id,date,prcp,tmax,tmin
MA000067161,2010-12-01,NA,NA,NA
MA000067161,2010-12-02,NA,NA,NA
MA000067161,2010-12-03,NA,NA,NA
MA000067161,2010-12-04,NA,NA,NA
MA000067161,2010-12-05,NA,NA,NA
MA000067161,2010-12-06,NA,NA,NA
MA000067161,2010-12-07,NA,NA,NA
MA000067161,2010-12-08,NA,NA,NA
MA000067161,2010-12-09,NA,NA,NA
MA000067161,2010-12-10,NA,NA,NA
MA000067161,2010-12-11,NA,NA,NA
MA000067161,2010-12-12,NA,NA,NA
MA000067161,2010-12-13,NA,NA,NA
MA000067161,2010-12-14,NA,NA,NA
MA000067161,2010-12-15,NA,NA,NA
MA000067161,2010-12-16,NA,NA,NA
MA000067161,2010-12-17,NA,NA,NA
MA000067161,2010-12-18,NA,NA,NA
MA000067161,2010-12-19,NA,NA,NA
MA000067161,2010-12-20,NA,NA,NA
MA000067161,2010-12-21,NA,NA,NA
MA000067161,2010-12-22,NA,NA,NA
MA000067161,2010-12-23,NA,NA,NA
MA000067161,2010-12-24,NA,NA,NA
MA000067161,2010-12-25,NA,NA,NA
MA000067161,2010-12-26,NA,NA,NA
MA000067161,2010-12-27,NA,342,225
MA000067161,2010-12-28,NA,345,230
MA000067161,2010-12-29,61,345,222
MA000067161,2010-12-30,NA,NA,NA
MA000067161,2010-12-31,10,NA,225
MA000067161,2011-01-01,NA,NA,NA
MA000067161,2011-01-02,NA,NA,NA
MA000067161,2011-01-03,NA,NA,NA
MA000067161,2011-01-04,NA,365,240
MA000067161,2011-01-05,NA,358,250
MA000067161,2011-01-06,NA,NA,NA
MA000067161,2011-01-07,1341,300,205
MA000067161,2011-01-08,61,318,205
MA000067161,2011-01-09,0,NA,225
MA000067161,2011-01-10,NA,336,224
MA000067161,2011-01-11,NA,340,230
MA000067161,2011-01-12,NA,340,230
MA000067161,2011-01-13,NA,340,235
MA000067161,2011-01-14,NA,346,236
MA000067161,2011-01-15,NA,334,226
MA000067161,2011-01-16,NA,365,224
MA000067161,2011-01-17,NA,365,226
MA000067161,2011-01-18,160,350,215
MA000067161,2011-01-19,20,345,217
MA000067161,2011-01-20,0,335,223
MA000067161,2011-01-21,NA,328,206
MA000067161,2011-01-22,NA,NA,NA
MA000067161,2011-01-23,NA,NA,NA
MA000067161,2011-01-24,NA,326,233
MA000067161,2011-01-25,NA,NA,237
MA000067161,2011-01-26,NA,330,226
MA000067161,2011-01-27,NA,NA,226
MA000067161,2011-01-28,61,338,235
MA000067161,2011-01-29,NA,NA,NA
MA000067161,2011-01-30,130,310,216
MA000067161,2011-01-31,0,310,208
MA000067161,2011-02-01,NA,310,216
MA000067161,2011-02-02,NA,337,218
MA000067161,2011-02-03,NA,345,210
MA000067161,2011-02-04,NA,355,220
MA000067161,2011-02-05,NA,355,215
MA000067161,2011-02-06,NA,360,218
MA000067161,2011-02-07,NA,360,218
MA000067161,2011-02-08,NA,NA,NA
MA000067161,2011-02-09,NA,335,220
MA000067161,2011-02-10,NA,336,230
MA000067161,2011-02-11,5,346,226
MA000067161,2011-02-12,0,346,222
MA000067161,2011-02-13,NA,372,220
MA000067161,2011-02-14,NA,372,215
MA000067161,2011-02-15,NA,380,NA
MA000067161,2011-02-16,NA,380,260
MA000067161,2011-02-17,NA,372,238
MA000067161,2011-02-18,NA,326,230
MA000067161,2011-02-19,NA,320,195
MA000067161,2011-02-20,351,268,200
MA000067161,2011-02-21,221,282,202
MA000067161,2011-02-22,20,292,210
MA000067161,2011-02-23,10,294,200
MA000067161,2011-02-24,0,315,204
MA000067161,2011-02-25,NA,NA,NA
MA000067161,2011-02-26,NA,312,210
MA000067161,2011-02-27,NA,312,213
MA000067161,2011-02-28,NA,312,217
MA000067161,2011-03-01,NA,314,212
MA000067161,2011-03-02,NA,325,216
MA000067161,2011-03-03,NA,326,205
MA000067161,2011-03-04,8,336,NA
MA000067161,2011-03-05,0,346,224
MA000067161,2011-03-06,NA,325,218
MA000067161,2011-03-07,NA,325,200
MA000067161,2011-03-08,NA,315,212
MA000067161,2011-03-09,NA,315,216
MA000067161,2011-03-10,NA,326,230
MA000067161,2011-03-11,610,326,215
MA000067161,2011-03-12,0,320,212
MA000067161,2011-03-13,NA,319,213
MA000067161,2011-03-14,NA,355,217
MA000067161,2011-03-15,NA,357,215
MA000067161,2011-03-16,NA,NA,NA
MA000067161,2011-03-17,NA,356,213
MA000067161,2011-03-18,NA,NA,NA
MA000067161,2011-03-19,NA,NA,NA
MA000067161,2011-03-20,NA,NA,NA
MA000067161,2011-03-21,NA,NA,NA
MA000067161,2011-03-22,NA,NA,NA
MA000067161,2011-03-23,NA,NA,NA
MA000067161,2011-03-24,NA,NA,NA
MA000067161,2011-03-25,NA,NA,NA
MA000067161,2011-03-26,NA,NA,NA
MA000067161,2011-03-27,NA,NA,NA
MA000067161,2011-03-28,NA,NA,NA
MA000067161,2011-03-29,NA,NA,NA
MA000067161,2011-03-30,NA,320,206
MA000067161,2011-03-31,NA,NA,NA
MA000067161,2011-04-01,NA,317,220
MA000067161,2011-04-02,NA,NA,NA
MA000067161,2011-04-03,NA,322,225
MA000067161,2011-04-04,NA,NA,NA
MA000067161,2011-04-05,NA,332,212
MA000067161,2011-04-06,NA,350,222
MA000067161,2011-04-07,NA,350,220
MA000067161,2011-04-08,NA,340,221
MA000067161,2011-04-09,NA,322,218
MA000067161,2011-04-10,NA,322,227
MA000067161,2011-04-11,NA,NA,NA
MA000067161,2011-04-12,NA,308,156
MA000067161,2011-04-13,NA,312,166
MA000067161,2011-04-14,NA,NA,NA
MA000067161,2011-04-15,NA,307,162
MA000067161,2011-04-16,NA,307,174
MA000067161,2011-04-17,NA,296,184
MA000067161,2011-04-18,NA,NA,NA
MA000067161,2011-04-19,NA,NA,NA
MA000067161,2011-04-20,NA,316,174
MA000067161,2011-04-21,NA,314,NA
MA000067161,2011-04-22,NA,310,180
MA000067161,2011-04-23,NA,306,186
MA000067161,2011-04-24,NA,306,182
MA000067161,2011-04-25,NA,295,180
MA000067161,2011-04-26,NA,296,NA
MA000067161,2011-04-27,NA,298,185
MA000067161,2011-04-28,NA,NA,NA
MA000067161,2011-04-29,NA,NA,NA
MA000067161,2011-04-30,NA,300,180
