id,date,prcp,tmax,tmin
MAM00067137,2010-01-01,0,301,197
MAM00067137,2010-01-02,NA,NA,196
MAM00067137,2010-01-03,119,334,194
MAM00067137,2010-01-04,340,300,185
MAM00067137,2010-01-05,160,294,184
MAM00067137,2010-01-06,10,294,167
MAM00067137,2010-01-07,231,279,181
MAM00067137,2010-01-08,221,250,175
MAM00067137,2010-01-09,5,262,176
MAM00067137,2010-01-10,0,262,174
MAM00067137,2010-01-11,8,246,159
MAM00067137,2010-01-12,5,248,164
MAM00067137,2010-01-13,10,248,184
MAM00067137,2010-01-14,71,240,187
MAM00067137,2010-01-15,221,244,184
MAM00067137,2010-01-16,99,273,189
MAM00067137,2010-01-17,10,NA,185
MAM00067137,2010-01-18,61,289,193
MAM00067137,2010-01-19,119,268,180
MAM00067137,2010-01-20,0,257,185
MAM00067137,2010-01-21,10,272,176
MAM00067137,2010-01-22,0,286,160
MAM00067137,2010-01-23,NA,286,176
MAM00067137,2010-01-24,NA,287,180
MAM00067137,2010-01-25,5,287,179
MAM00067137,2010-01-26,0,296,170
MAM00067137,2010-01-27,NA,309,180
MAM00067137,2010-01-28,NA,312,191
MAM00067137,2010-01-29,61,312,201
MAM00067137,2010-01-30,150,312,197
MAM00067137,2010-01-31,0,294,199
MAM00067137,2010-02-01,201,294,199
MAM00067137,2010-02-02,0,278,NA
MAM00067137,2010-02-03,99,277,164
MAM00067137,2010-02-04,0,284,186
MAM00067137,2010-02-05,10,284,185
MAM00067137,2010-02-06,0,269,178
MAM00067137,2010-02-07,41,266,183
MAM00067137,2010-02-08,5,266,184
MAM00067137,2010-02-09,10,262,172
MAM00067137,2010-02-10,5,262,178
MAM00067137,2010-02-11,0,260,172
MAM00067137,2010-02-12,0,264,176
MAM00067137,2010-02-13,NA,304,175
MAM00067137,2010-02-14,NA,304,192
MAM00067137,2010-02-15,NA,295,187
MAM00067137,2010-02-16,NA,284,187
MAM00067137,2010-02-17,NA,284,174
MAM00067137,2010-02-18,NA,284,162
MAM00067137,2010-02-19,NA,284,158
MAM00067137,2010-02-20,NA,287,NA
MAM00067137,2010-02-21,NA,287,176
