id,date,prcp,tmax,tmin
MD000033815,2010-01-01,20,10,-5
MD000033815,2010-01-02,NA,NA,NA
MD000033815,2010-01-03,NA,NA,-59
MD000033815,2010-01-04,20,-51,NA
MD000033815,2010-01-05,NA,NA,-66
MD000033815,2010-01-06,91,43,-20
MD000033815,2010-01-07,NA,54,-6
MD000033815,2010-01-08,NA,8,-3
MD000033815,2010-01-09,NA,113,-2
MD000033815,2010-01-10,NA,79,36
MD000033815,2010-01-11,249,NA,NA
MD000033815,2010-01-12,25,14,NA
MD000033815,2010-01-13,NA,NA,-32
MD000033815,2010-01-14,NA,NA,-36
MD000033815,2010-01-15,71,NA,NA
MD000033815,2010-01-16,NA,NA,NA
MD000033815,2010-01-17,5,-29,NA
MD000033815,2010-01-18,NA,-82,-90
MD000033815,2010-01-19,71,NA,-90
MD000033815,2010-01-20,71,-68,NA
MD000033815,2010-01-21,3,-76,NA
MD000033815,2010-01-22,41,-90,NA
MD000033815,2010-01-23,NA,-125,-179
MD000033815,2010-01-24,NA,-166,-217
MD000033815,2010-01-25,NA,-139,-218
MD000033815,2010-01-26,NA,-121,-215
MD000033815,2010-01-27,NA,-79,-151
MD000033815,2010-01-28,NA,-71,-120
MD000033815,2010-01-29,NA,-26,NA
MD000033815,2010-01-30,NA,NA,-112
MD000033815,2010-01-31,33,32,4
MD000033815,2010-02-01,102,16,NA
MD000033815,2010-02-02,NA,-3,-65
MD000033815,2010-02-03,NA,-4,-49
MD000033815,2010-02-04,NA,-25,-80
MD000033815,2010-02-05,NA,-43,NA
MD000033815,2010-02-06,NA,NA,NA
MD000033815,2010-02-07,NA,-91,-117
MD000033815,2010-02-08,NA,-65,-110
MD000033815,2010-02-09,NA,-45,-97
MD000033815,2010-02-10,0,NA,-57
MD000033815,2010-02-11,94,-2,-22
MD000033815,2010-02-12,61,0,-14
MD000033815,2010-02-13,109,50,-1
MD000033815,2010-02-14,NA,34,NA
MD000033815,2010-02-15,NA,-3,-26
MD000033815,2010-02-16,NA,26,-37
MD000033815,2010-02-17,NA,NA,-34
MD000033815,2010-02-18,89,11,-1
MD000033815,2010-02-19,NA,27,1
MD000033815,2010-02-20,NA,133,6
MD000033815,2010-02-21,NA,NA,NA
MD000033815,2010-02-22,NA,74,-11
MD000033815,2010-02-23,NA,101,1
MD000033815,2010-02-24,NA,67,34
MD000033815,2010-02-25,122,60,NA
MD000033815,2010-02-26,NA,94,NA
MD000033815,2010-02-27,3,7,-11
MD000033815,2010-02-28,NA,43,-13
MD000033815,2010-03-01,NA,111,10
MD000033815,2010-03-02,NA,124,40
MD000033815,2010-03-03,NA,86,NA
MD000033815,2010-03-04,NA,50,-28
MD000033815,2010-03-05,NA,21,-18
MD000033815,2010-03-06,180,-16,NA
MD000033815,2010-03-07,NA,-2,-51
MD000033815,2010-03-08,NA,-36,-88
MD000033815,2010-03-09,NA,-31,-75
MD000033815,2010-03-10,NA,-11,-80
MD000033815,2010-03-11,NA,-28,-85
MD000033815,2010-03-12,8,20,-41
MD000033815,2010-03-13,NA,35,-24
MD000033815,2010-03-14,NA,91,1
MD000033815,2010-03-15,NA,83,NA
MD000033815,2010-03-16,NA,61,-61
MD000033815,2010-03-17,NA,41,-46
MD000033815,2010-03-18,NA,96,-17
MD000033815,2010-03-19,NA,144,14
MD000033815,2010-03-20,NA,180,29
MD000033815,2010-03-21,NA,206,56
MD000033815,2010-03-22,NA,196,NA
MD000033815,2010-03-23,NA,140,38
MD000033815,2010-03-24,NA,189,42
MD000033815,2010-03-25,NA,157,49
MD000033815,2010-03-26,NA,139,18
MD000033815,2010-03-27,NA,162,1
MD000033815,2010-03-28,NA,NA,38
MD000033815,2010-03-29,NA,132,60
MD000033815,2010-03-30,NA,178,36
MD000033815,2010-03-31,NA,142,57
MD000033815,2010-04-01,99,116,78
MD000033815,2010-04-02,NA,135,66
MD000033815,2010-04-03,NA,178,NA
MD000033815,2010-04-04,NA,NA,72
MD000033815,2010-04-05,NA,149,68
MD000033815,2010-04-06,NA,171,77
MD000033815,2010-04-07,NA,184,94
