id,date,prcp,tmax,tmin
MGM00044292,2010-01-01,NA,-212,NA
MGM00044292,2010-01-02,5,-229,NA
MGM00044292,2010-01-03,NA,-255,NA
MGM00044292,2010-01-04,NA,-282,NA
MGM00044292,2010-01-05,NA,-266,NA
MGM00044292,2010-01-06,NA,-246,NA
MGM00044292,2010-01-07,NA,NA,-316
MGM00044292,2010-01-08,NA,-192,NA
MGM00044292,2010-01-09,NA,-224,NA
MGM00044292,2010-01-10,3,NA,NA
MGM00044292,2010-01-11,0,NA,NA
MGM00044292,2010-01-12,NA,NA,NA
MGM00044292,2010-01-13,NA,NA,NA
MGM00044292,2010-01-14,0,-170,NA
MGM00044292,2010-01-15,NA,-133,NA
MGM00044292,2010-01-16,NA,-136,NA
MGM00044292,2010-01-17,NA,-87,NA
MGM00044292,2010-01-18,NA,-74,NA
MGM00044292,2010-01-19,NA,NA,NA
MGM00044292,2010-01-20,NA,-242,NA
MGM00044292,2010-01-21,NA,NA,NA
MGM00044292,2010-01-22,NA,-182,NA
MGM00044292,2010-01-23,NA,-143,NA
MGM00044292,2010-01-24,NA,-179,NA
MGM00044292,2010-01-25,NA,-119,NA
MGM00044292,2010-01-26,NA,-91,NA
MGM00044292,2010-01-27,NA,-209,NA
MGM00044292,2010-01-28,NA,-141,NA
MGM00044292,2010-01-29,NA,-97,NA
MGM00044292,2010-01-30,NA,-106,NA
MGM00044292,2010-01-31,NA,NA,NA
MGM00044292,2010-02-01,NA,NA,NA
MGM00044292,2010-02-02,NA,-192,NA
MGM00044292,2010-02-03,NA,-188,NA
MGM00044292,2010-02-04,NA,-146,NA
MGM00044292,2010-02-05,NA,-12,NA
MGM00044292,2010-02-06,30,-122,NA
MGM00044292,2010-02-07,0,-167,NA
MGM00044292,2010-02-08,NA,-215,NA
MGM00044292,2010-02-09,NA,-215,NA
MGM00044292,2010-02-10,NA,-206,NA
MGM00044292,2010-02-11,NA,NA,NA
MGM00044292,2010-02-12,NA,NA,NA
MGM00044292,2010-02-13,NA,NA,NA
MGM00044292,2010-02-14,NA,-180,-369
MGM00044292,2010-02-15,NA,-172,NA
MGM00044292,2010-02-16,0,-157,NA
MGM00044292,2010-02-17,NA,-139,NA
MGM00044292,2010-02-18,NA,-108,NA
MGM00044292,2010-02-19,NA,-51,NA
MGM00044292,2010-02-20,NA,-60,NA
MGM00044292,2010-02-21,NA,-70,NA
MGM00044292,2010-02-22,NA,-46,NA
MGM00044292,2010-02-23,0,-61,NA
MGM00044292,2010-02-24,NA,-182,NA
MGM00044292,2010-02-25,NA,-158,NA
MGM00044292,2010-02-26,NA,-128,NA
MGM00044292,2010-02-27,NA,-130,NA
MGM00044292,2010-02-28,NA,-79,NA
MGM00044292,2010-03-01,15,NA,NA
MGM00044292,2010-03-02,NA,NA,-233
MGM00044292,2010-03-03,NA,-149,NA
MGM00044292,2010-03-04,NA,-189,NA
MGM00044292,2010-03-05,NA,-148,NA
MGM00044292,2010-03-06,NA,NA,NA
MGM00044292,2010-03-07,NA,NA,NA
MGM00044292,2010-03-08,NA,-138,NA
MGM00044292,2010-03-09,NA,-40,NA
MGM00044292,2010-03-10,NA,-26,NA
MGM00044292,2010-03-11,NA,NA,NA
MGM00044292,2010-03-12,NA,-45,-200
MGM00044292,2010-03-13,NA,-36,-125
MGM00044292,2010-03-14,0,NA,NA
MGM00044292,2010-03-15,NA,-100,NA
MGM00044292,2010-03-16,NA,-84,NA
MGM00044292,2010-03-17,NA,NA,NA
MGM00044292,2010-03-18,NA,30,-131
MGM00044292,2010-03-19,71,-22,NA
MGM00044292,2010-03-20,NA,-59,NA
MGM00044292,2010-03-21,NA,NA,NA
MGM00044292,2010-03-22,0,NA,NA
MGM00044292,2010-03-23,NA,NA,NA
MGM00044292,2010-03-24,0,-80,NA
MGM00044292,2010-03-25,NA,-24,-193
MGM00044292,2010-03-26,NA,20,-125
MGM00044292,2010-03-27,NA,38,NA
MGM00044292,2010-03-28,NA,78,-69
MGM00044292,2010-03-29,NA,5,NA
MGM00044292,2010-03-30,NA,NA,NA
MGM00044292,2010-03-31,0,-60,NA
MGM00044292,2010-04-01,NA,NA,NA
MGM00044292,2010-04-02,NA,26,-170
MGM00044292,2010-04-03,NA,-7,NA
MGM00044292,2010-04-04,NA,2,NA
MGM00044292,2010-04-05,NA,NA,NA
MGM00044292,2010-04-06,NA,68,NA
MGM00044292,2010-04-07,NA,102,NA
MGM00044292,2010-04-08,NA,NA,NA
MGM00044292,2010-04-09,NA,-48,NA
MGM00044292,2010-04-10,NA,-48,NA
MGM00044292,2010-04-11,NA,-66,NA
MGM00044292,2010-04-12,NA,NA,NA
MGM00044292,2010-04-13,NA,0,-158
MGM00044292,2010-04-14,NA,NA,-107
MGM00044292,2010-04-15,NA,30,NA
MGM00044292,2010-04-16,NA,102,-67
MGM00044292,2010-04-17,NA,133,NA
MGM00044292,2010-04-18,NA,66,NA
MGM00044292,2010-04-19,NA,53,NA
MGM00044292,2010-04-20,NA,NA,NA
MGM00044292,2010-04-21,NA,72,-22
MGM00044292,2010-04-22,NA,NA,NA
MGM00044292,2010-04-23,NA,116,NA
MGM00044292,2010-04-24,NA,NA,-112
MGM00044292,2010-04-25,NA,NA,NA
MGM00044292,2010-04-26,NA,NA,-107
MGM00044292,2010-04-27,10,NA,NA
MGM00044292,2010-04-28,NA,94,NA
MGM00044292,2010-04-29,NA,164,-33
MGM00044292,2010-04-30,NA,223,NA
MGM00044292,2010-05-01,NA,NA,NA
MGM00044292,2010-05-02,NA,NA,-5
MGM00044292,2010-05-03,NA,136,NA
MGM00044292,2010-05-04,NA,160,NA
MGM00044292,2010-05-05,NA,186,10
MGM00044292,2010-05-06,NA,107,NA
MGM00044292,2010-05-07,NA,105,-15
MGM00044292,2010-05-08,NA,76,NA
MGM00044292,2010-05-09,NA,NA,NA
MGM00044292,2010-05-10,NA,174,-5
MGM00044292,2010-05-11,NA,NA,73
MGM00044292,2010-05-12,NA,NA,NA
MGM00044292,2010-05-13,NA,137,NA
MGM00044292,2010-05-14,NA,192,NA
MGM00044292,2010-05-15,NA,253,57
MGM00044292,2010-05-16,NA,NA,NA
MGM00044292,2010-05-17,216,68,NA
MGM00044292,2010-05-18,NA,181,13
MGM00044292,2010-05-19,NA,224,NA
MGM00044292,2010-05-20,NA,230,NA
MGM00044292,2010-05-21,NA,233,68
MGM00044292,2010-05-22,NA,270,NA
MGM00044292,2010-05-23,NA,109,NA
MGM00044292,2010-05-24,NA,211,30
MGM00044292,2010-05-25,NA,219,NA
MGM00044292,2010-05-26,NA,194,NA
MGM00044292,2010-05-27,NA,154,NA
MGM00044292,2010-05-28,NA,207,NA
MGM00044292,2010-05-29,NA,246,NA
MGM00044292,2010-05-30,NA,272,NA
MGM00044292,2010-05-31,NA,295,NA
MGM00044292,2010-06-01,NA,310,127
MGM00044292,2010-06-02,NA,323,NA
MGM00044292,2010-06-03,NA,311,NA
MGM00044292,2010-06-04,NA,180,NA
MGM00044292,2010-06-05,NA,152,NA
MGM00044292,2010-06-06,NA,NA,NA
MGM00044292,2010-06-07,61,58,NA
MGM00044292,2010-06-08,0,NA,NA
MGM00044292,2010-06-09,NA,148,NA
MGM00044292,2010-06-10,NA,159,NA
MGM00044292,2010-06-11,NA,216,67
MGM00044292,2010-06-12,NA,205,NA
MGM00044292,2010-06-13,NA,262,NA
MGM00044292,2010-06-14,NA,287,NA
MGM00044292,2010-06-15,NA,165,NA
MGM00044292,2010-06-16,NA,214,NA
MGM00044292,2010-06-17,NA,290,109
MGM00044292,2010-06-18,NA,NA,NA
MGM00044292,2010-06-19,NA,259,NA
MGM00044292,2010-06-20,NA,306,NA
MGM00044292,2010-06-21,NA,NA,NA
MGM00044292,2010-06-22,NA,333,163
MGM00044292,2010-06-23,0,331,NA
MGM00044292,2010-06-24,0,371,NA
MGM00044292,2010-06-25,NA,372,NA
MGM00044292,2010-06-26,NA,383,NA
MGM00044292,2010-06-27,NA,366,NA
MGM00044292,2010-06-28,NA,352,NA
MGM00044292,2010-06-29,NA,188,NA
MGM00044292,2010-06-30,NA,256,99
MGM00044292,2010-07-01,NA,305,NA
MGM00044292,2010-07-02,NA,272,NA
MGM00044292,2010-07-03,NA,249,NA
MGM00044292,2010-07-04,NA,307,NA
MGM00044292,2010-07-05,NA,289,NA
MGM00044292,2010-07-06,NA,260,NA
MGM00044292,2010-07-07,NA,296,140
MGM00044292,2010-07-08,41,NA,NA
MGM00044292,2010-07-09,20,214,NA
MGM00044292,2010-07-10,NA,241,NA
MGM00044292,2010-07-11,NA,NA,137
MGM00044292,2010-07-12,NA,281,161
MGM00044292,2010-07-13,NA,266,NA
MGM00044292,2010-07-14,246,NA,NA
MGM00044292,2010-07-15,114,187,NA
MGM00044292,2010-07-16,NA,217,NA
MGM00044292,2010-07-17,NA,230,NA
MGM00044292,2010-07-18,NA,263,NA
MGM00044292,2010-07-19,NA,302,138
MGM00044292,2010-07-20,8,307,NA
MGM00044292,2010-07-21,NA,363,NA
MGM00044292,2010-07-22,NA,367,NA
MGM00044292,2010-07-23,NA,359,NA
MGM00044292,2010-07-24,NA,374,NA
MGM00044292,2010-07-25,NA,NA,NA
MGM00044292,2010-07-26,NA,312,131
MGM00044292,2010-07-27,NA,325,NA
MGM00044292,2010-07-28,20,304,NA
MGM00044292,2010-07-29,NA,301,NA
MGM00044292,2010-07-30,NA,NA,NA
MGM00044292,2010-07-31,NA,209,NA
MGM00044292,2010-08-01,NA,263,96
