id,date,prcp,tmax,tmin
MI000067693,2010-06-01,NA,NA,NA
MI000067693,2010-06-02,NA,NA,NA
MI000067693,2010-06-03,NA,NA,NA
MI000067693,2010-06-04,NA,NA,NA
MI000067693,2010-06-05,NA,NA,NA
MI000067693,2010-06-06,NA,NA,NA
MI000067693,2010-06-07,NA,NA,NA
MI000067693,2010-06-08,NA,NA,NA
MI000067693,2010-06-09,NA,NA,NA
MI000067693,2010-06-10,NA,NA,NA
MI000067693,2010-06-11,NA,NA,NA
MI000067693,2010-06-12,NA,NA,NA
MI000067693,2010-06-13,NA,NA,NA
MI000067693,2010-06-14,NA,NA,NA
MI000067693,2010-06-15,NA,NA,NA
MI000067693,2010-06-16,NA,NA,NA
MI000067693,2010-06-17,NA,NA,NA
MI000067693,2010-06-18,NA,NA,NA
MI000067693,2010-06-19,NA,NA,NA
MI000067693,2010-06-20,NA,NA,NA
MI000067693,2010-06-21,NA,NA,NA
MI000067693,2010-06-22,NA,NA,NA
MI000067693,2010-06-23,NA,NA,NA
MI000067693,2010-06-24,NA,248,NA
MI000067693,2010-06-25,NA,241,155
MI000067693,2010-06-26,NA,NA,149
MI000067693,2010-06-27,NA,230,NA
MI000067693,2010-06-28,NA,NA,138
MI000067693,2010-06-29,NA,NA,135
MI000067693,2010-06-30,NA,NA,NA
MI000067693,2010-07-01,NA,231,153
MI000067693,2010-07-02,NA,NA,NA
MI000067693,2010-07-03,NA,NA,NA
MI000067693,2010-07-04,0,223,149
MI000067693,2010-07-05,NA,NA,NA
MI000067693,2010-07-06,NA,219,NA
MI000067693,2010-07-07,NA,NA,139
MI000067693,2010-07-08,NA,222,139
MI000067693,2010-07-09,NA,222,NA
MI000067693,2010-07-10,NA,NA,150
MI000067693,2010-07-11,NA,NA,NA
MI000067693,2010-07-12,NA,NA,NA
MI000067693,2010-07-13,NA,NA,NA
MI000067693,2010-07-14,10,NA,NA
MI000067693,2010-07-15,0,NA,95
MI000067693,2010-07-16,NA,NA,NA
MI000067693,2010-07-17,NA,NA,NA
MI000067693,2010-07-18,NA,239,140
MI000067693,2010-07-19,NA,233,144
MI000067693,2010-07-20,NA,NA,NA
MI000067693,2010-07-21,NA,250,NA
MI000067693,2010-07-22,NA,NA,NA
MI000067693,2010-07-23,NA,NA,NA
MI000067693,2010-07-24,NA,NA,NA
MI000067693,2010-07-25,NA,NA,NA
MI000067693,2010-07-26,30,NA,159
MI000067693,2010-07-27,NA,NA,NA
MI000067693,2010-07-28,NA,NA,162
MI000067693,2010-07-29,NA,NA,140
MI000067693,2010-07-30,NA,NA,NA
MI000067693,2010-07-31,NA,NA,NA
MI000067693,2010-08-01,NA,218,NA
MI000067693,2010-08-02,NA,NA,NA
MI000067693,2010-08-03,NA,NA,148
MI000067693,2010-08-04,NA,NA,NA
MI000067693,2010-08-05,NA,NA,NA
MI000067693,2010-08-06,NA,NA,NA
MI000067693,2010-08-07,NA,236,128
MI000067693,2010-08-08,NA,234,151
MI000067693,2010-08-09,NA,NA,157
MI000067693,2010-08-10,NA,283,150
MI000067693,2010-08-11,NA,NA,NA
MI000067693,2010-08-12,NA,194,NA
MI000067693,2010-08-13,NA,NA,NA
MI000067693,2010-08-14,NA,NA,NA
MI000067693,2010-08-15,NA,NA,NA
MI000067693,2010-08-16,NA,NA,NA
MI000067693,2010-08-17,NA,NA,125
MI000067693,2010-08-18,NA,NA,131
MI000067693,2010-08-19,NA,NA,116
MI000067693,2010-08-20,NA,NA,NA
MI000067693,2010-08-21,NA,NA,134
MI000067693,2010-08-22,NA,NA,137
MI000067693,2010-08-23,NA,NA,139
MI000067693,2010-08-24,NA,258,NA
MI000067693,2010-08-25,0,NA,140
MI000067693,2010-08-26,NA,NA,136
MI000067693,2010-08-27,NA,NA,NA
MI000067693,2010-08-28,NA,NA,NA
MI000067693,2010-08-29,NA,NA,NA
MI000067693,2010-08-30,NA,NA,NA
MI000067693,2010-08-31,NA,NA,NA
MI000067693,2010-09-01,NA,300,NA
MI000067693,2010-09-02,NA,NA,NA
MI000067693,2010-09-03,NA,NA,NA
MI000067693,2010-09-04,NA,NA,191
MI000067693,2010-09-05,NA,NA,NA
MI000067693,2010-09-06,NA,NA,NA
MI000067693,2010-09-07,NA,295,146
MI000067693,2010-09-08,NA,NA,NA
MI000067693,2010-09-09,NA,280,NA
MI000067693,2010-09-10,NA,280,NA
MI000067693,2010-09-11,NA,NA,NA
MI000067693,2010-09-12,NA,NA,NA
MI000067693,2010-09-13,NA,NA,161
MI000067693,2010-09-14,NA,NA,135
MI000067693,2010-09-15,NA,NA,NA
MI000067693,2010-09-16,NA,NA,NA
MI000067693,2010-09-17,NA,NA,NA
