id,date,prcp,tmin
MI000067791,2013-05-01,NA,NA
MI000067791,2013-05-02,NA,64
MI000067791,2013-05-03,NA,NA
MI000067791,2013-05-04,NA,NA
MI000067791,2013-05-05,NA,NA
MI000067791,2013-05-06,NA,NA
MI000067791,2013-05-07,NA,NA
MI000067791,2013-05-08,NA,NA
MI000067791,2013-05-09,NA,NA
MI000067791,2013-05-10,NA,NA
MI000067791,2013-05-11,NA,NA
MI000067791,2013-05-12,NA,NA
MI000067791,2013-05-13,NA,NA
MI000067791,2013-05-14,NA,NA
MI000067791,2013-05-15,NA,NA
MI000067791,2013-05-16,NA,NA
MI000067791,2013-05-17,NA,NA
MI000067791,2013-05-18,NA,NA
MI000067791,2013-05-19,NA,NA
MI000067791,2013-05-20,NA,NA
MI000067791,2013-05-21,NA,NA
MI000067791,2013-05-22,NA,NA
MI000067791,2013-05-23,NA,NA
MI000067791,2013-05-24,NA,NA
MI000067791,2013-05-25,NA,NA
MI000067791,2013-05-26,NA,NA
MI000067791,2013-05-27,NA,NA
MI000067791,2013-05-28,NA,NA
MI000067791,2013-05-29,NA,NA
MI000067791,2013-05-30,NA,NA
MI000067791,2013-05-31,NA,NA
MI000067791,2018-03-01,NA,NA
MI000067791,2018-03-02,NA,NA
MI000067791,2018-03-03,NA,NA
MI000067791,2018-03-04,NA,NA
MI000067791,2018-03-05,NA,NA
MI000067791,2018-03-06,NA,NA
MI000067791,2018-03-07,NA,NA
MI000067791,2018-03-08,NA,NA
MI000067791,2018-03-09,NA,NA
MI000067791,2018-03-10,NA,NA
MI000067791,2018-03-11,NA,NA
MI000067791,2018-03-12,NA,NA
MI000067791,2018-03-13,NA,NA
MI000067791,2018-03-14,NA,NA
MI000067791,2018-03-15,NA,NA
MI000067791,2018-03-16,NA,171
MI000067791,2018-03-17,NA,NA
MI000067791,2018-03-18,NA,NA
MI000067791,2018-03-19,NA,NA
MI000067791,2018-03-20,NA,NA
MI000067791,2018-03-21,NA,NA
MI000067791,2018-03-22,NA,NA
MI000067791,2018-03-23,NA,NA
MI000067791,2018-03-24,NA,NA
MI000067791,2018-03-25,NA,NA
MI000067791,2018-03-26,NA,NA
MI000067791,2018-03-27,NA,NA
MI000067791,2018-03-28,NA,NA
MI000067791,2018-03-29,NA,NA
MI000067791,2018-03-30,NA,NA
MI000067791,2018-03-31,NA,NA
MI000067791,2018-04-01,NA,NA
MI000067791,2018-04-02,NA,NA
MI000067791,2018-04-03,NA,NA
MI000067791,2018-04-04,NA,NA
MI000067791,2018-04-05,NA,NA
MI000067791,2018-04-06,NA,NA
MI000067791,2018-04-07,NA,NA
MI000067791,2018-04-08,NA,NA
MI000067791,2018-04-09,NA,NA
MI000067791,2018-04-10,NA,NA
MI000067791,2018-04-11,NA,NA
MI000067791,2018-04-12,0,153
MI000067791,2018-04-13,NA,NA
MI000067791,2018-04-14,NA,NA
MI000067791,2018-04-15,NA,NA
MI000067791,2018-04-16,NA,NA
MI000067791,2018-04-17,NA,NA
MI000067791,2018-04-18,NA,NA
MI000067791,2018-04-19,NA,NA
MI000067791,2018-04-20,NA,NA
MI000067791,2018-04-21,NA,NA
MI000067791,2018-04-22,NA,NA
MI000067791,2018-04-23,NA,NA
MI000067791,2018-04-24,NA,NA
MI000067791,2018-04-25,NA,NA
MI000067791,2018-04-26,NA,NA
MI000067791,2018-04-27,NA,NA
MI000067791,2018-04-28,NA,NA
MI000067791,2018-04-29,NA,NA
MI000067791,2018-04-30,NA,111
MI000067791,2018-06-01,NA,NA
MI000067791,2018-06-02,NA,NA
MI000067791,2018-06-03,NA,NA
MI000067791,2018-06-04,NA,NA
MI000067791,2018-06-05,NA,NA
MI000067791,2018-06-06,NA,NA
MI000067791,2018-06-07,NA,NA
MI000067791,2018-06-08,NA,NA
MI000067791,2018-06-09,NA,NA
MI000067791,2018-06-10,NA,NA
MI000067791,2018-06-11,NA,41
MI000067791,2018-06-12,NA,NA
MI000067791,2018-06-13,NA,NA
MI000067791,2018-06-14,NA,NA
MI000067791,2018-06-15,NA,NA
MI000067791,2018-06-16,NA,NA
MI000067791,2018-06-17,NA,NA
MI000067791,2018-06-18,NA,NA
MI000067791,2018-06-19,NA,NA
MI000067791,2018-06-20,NA,NA
MI000067791,2018-06-21,NA,NA
MI000067791,2018-06-22,NA,NA
MI000067791,2018-06-23,NA,NA
MI000067791,2018-06-24,NA,NA
MI000067791,2018-06-25,NA,NA
MI000067791,2018-06-26,NA,NA
MI000067791,2018-06-27,NA,NA
MI000067791,2018-06-28,NA,NA
MI000067791,2018-06-29,NA,NA
MI000067791,2018-06-30,NA,NA
MI000067791,2018-07-01,NA,NA
MI000067791,2018-07-02,NA,NA
MI000067791,2018-07-03,NA,NA
