id,date,prcp,tmax,tmin
MIM00067586,2010-01-01,NA,NA,173
MIM00067586,2010-01-02,NA,NA,170
MIM00067586,2010-01-03,5,NA,NA
MIM00067586,2010-01-04,0,NA,184
MIM00067586,2010-01-05,10,286,189
MIM00067586,2010-01-06,NA,NA,NA
MIM00067586,2010-01-07,8,NA,177
MIM00067586,2010-01-08,NA,NA,NA
MIM00067586,2010-01-09,NA,NA,NA
MIM00067586,2010-01-10,130,NA,173
MIM00067586,2010-01-11,NA,NA,NA
MIM00067586,2010-01-12,NA,NA,NA
MIM00067586,2010-01-13,NA,270,NA
MIM00067586,2010-01-14,5,NA,180
MIM00067586,2010-01-15,0,243,180
MIM00067586,2010-01-16,NA,NA,NA
MIM00067586,2010-01-17,NA,NA,NA
MIM00067586,2010-01-18,NA,NA,NA
MIM00067586,2010-01-19,NA,NA,NA
MIM00067586,2010-01-20,NA,NA,NA
MIM00067586,2010-01-21,NA,NA,NA
MIM00067586,2010-01-22,NA,NA,NA
MIM00067586,2010-01-23,NA,NA,NA
MIM00067586,2010-01-24,NA,NA,NA
MIM00067586,2010-01-25,NA,NA,158
MIM00067586,2010-01-26,NA,291,179
MIM00067586,2010-01-27,NA,NA,NA
MIM00067586,2010-01-28,NA,NA,NA
MIM00067586,2010-01-29,8,259,187
MIM00067586,2010-01-30,30,280,175
MIM00067586,2010-01-31,20,NA,190
MIM00067586,2010-02-01,NA,NA,NA
MIM00067586,2010-02-02,NA,NA,NA
MIM00067586,2010-02-03,NA,NA,NA
MIM00067586,2010-02-04,NA,NA,NA
MIM00067586,2010-02-05,NA,NA,NA
MIM00067586,2010-02-06,NA,NA,NA
MIM00067586,2010-02-07,NA,NA,NA
MIM00067586,2010-02-08,NA,NA,NA
MIM00067586,2010-02-09,NA,NA,NA
MIM00067586,2010-02-10,NA,NA,NA
MIM00067586,2010-02-11,NA,267,166
MIM00067586,2010-02-12,NA,NA,NA
MIM00067586,2010-02-13,NA,NA,NA
MIM00067586,2010-02-14,NA,NA,171
MIM00067586,2010-02-15,NA,NA,NA
MIM00067586,2010-02-16,NA,NA,NA
MIM00067586,2010-02-17,381,268,170
MIM00067586,2010-02-18,NA,NA,NA
MIM00067586,2010-02-19,NA,NA,NA
MIM00067586,2010-02-20,NA,NA,NA
MIM00067586,2010-02-21,NA,NA,NA
MIM00067586,2010-02-22,NA,NA,NA
MIM00067586,2010-02-23,NA,NA,NA
MIM00067586,2010-02-24,NA,NA,NA
MIM00067586,2010-02-25,NA,NA,NA
MIM00067586,2010-02-26,180,NA,174
MIM00067586,2010-02-27,5,260,186
MIM00067586,2010-02-28,NA,NA,NA
MIM00067586,2010-03-01,79,248,178
MIM00067586,2010-03-02,NA,NA,NA
MIM00067586,2010-03-03,NA,NA,NA
MIM00067586,2010-03-04,NA,NA,NA
MIM00067586,2010-03-05,NA,NA,NA
MIM00067586,2010-03-06,NA,NA,NA
MIM00067586,2010-03-07,NA,NA,145
MIM00067586,2010-03-08,NA,242,157
MIM00067586,2010-03-09,NA,NA,NA
MIM00067586,2010-03-10,NA,NA,NA
MIM00067586,2010-03-11,NA,NA,NA
MIM00067586,2010-03-12,NA,NA,NA
MIM00067586,2010-03-13,NA,NA,NA
MIM00067586,2010-03-14,NA,NA,NA
MIM00067586,2010-03-15,5,NA,185
MIM00067586,2010-03-16,119,NA,176
MIM00067586,2010-03-17,NA,NA,NA
MIM00067586,2010-03-18,10,NA,176
MIM00067586,2010-03-19,NA,NA,NA
MIM00067586,2010-03-20,NA,NA,NA
MIM00067586,2010-03-21,NA,NA,NA
MIM00067586,2010-03-22,NA,NA,NA
MIM00067586,2010-03-23,NA,NA,NA
MIM00067586,2010-03-24,NA,260,173
