id,date,prcp,tmax,tmin
MJE00175553,2016-07-01,0,330,210
MJE00175553,2016-07-02,0,352,218
MJE00175553,2016-07-03,0,350,223
MJE00175553,2016-07-04,0,330,237
MJE00175553,2016-07-05,0,335,223
MJE00175553,2016-07-06,30,342,229
MJE00175553,2016-07-07,0,331,206
MJE00175553,2016-07-08,0,325,207
MJE00175553,2016-07-09,0,353,224
MJE00175553,2016-07-10,0,NA,254
MJE00175553,2016-07-11,0,367,254
MJE00175553,2016-07-12,0,369,242
MJE00175553,2016-07-13,0,367,240
MJE00175553,2016-07-14,0,336,230
MJE00175553,2016-07-15,450,304,231
MJE00175553,2016-07-16,260,249,163
MJE00175553,2016-07-17,3,286,159
MJE00175553,2016-07-18,0,316,182
MJE00175553,2016-07-19,0,326,233
MJE00175553,2016-07-20,0,333,236
MJE00175553,2016-07-21,0,341,NA
MJE00175553,2016-07-22,0,344,230
MJE00175553,2016-07-23,0,366,221
MJE00175553,2016-07-24,0,372,230
MJE00175553,2016-07-25,40,359,224
MJE00175553,2016-07-26,0,342,231
MJE00175553,2016-07-27,0,351,210
MJE00175553,2016-07-28,0,341,234
MJE00175553,2016-07-29,0,342,230
MJE00175553,2016-07-30,0,357,213
MJE00175553,2016-07-31,0,367,245
MJE00175553,2016-08-01,0,360,237
MJE00175553,2016-08-02,0,343,239
MJE00175553,2016-08-03,0,344,228
MJE00175553,2016-08-04,0,352,241
MJE00175553,2016-08-05,0,351,228
MJE00175553,2016-08-06,0,360,213
MJE00175553,2016-08-07,2,288,236
MJE00175553,2016-08-08,40,307,220
MJE00175553,2016-08-09,0,342,199
MJE00175553,2016-08-10,0,340,227
MJE00175553,2016-08-11,0,319,218
MJE00175553,2016-08-12,0,287,204
MJE00175553,2016-08-13,0,308,201
MJE00175553,2016-08-14,0,322,164
MJE00175553,2016-08-15,0,349,176
MJE00175553,2016-08-16,0,353,18
MJE00175553,2016-08-17,0,334,197
MJE00175553,2016-08-18,0,341,216
MJE00175553,2016-08-19,0,343,204
MJE00175553,2016-08-20,0,361,204
MJE00175553,2016-08-21,0,363,225
MJE00175553,2016-08-22,0,317,213
MJE00175553,2016-08-23,0,292,213
MJE00175553,2016-08-24,0,325,213
MJE00175553,2016-08-25,0,343,255
MJE00175553,2016-08-26,0,354,225
MJE00175553,2016-08-27,0,337,245
MJE00175553,2016-08-28,0,340,207
MJE00175553,2016-08-29,0,342,200
MJE00175553,2016-08-30,0,361,198
MJE00175553,2016-08-31,0,363,239
MJE00175553,2016-09-01,100,343,218
MJE00175553,2016-09-02,1,340,195
MJE00175553,2016-09-03,0,341,223
MJE00175553,2016-09-04,0,341,217
MJE00175553,2016-09-05,90,286,196
MJE00175553,2016-09-06,193,229,167
MJE00175553,2016-09-07,30,269,171
MJE00175553,2016-09-08,0,305,168
MJE00175553,2016-09-09,4,301,199
MJE00175553,2016-09-10,1,302,205
MJE00175553,2016-09-11,0,310,201
MJE00175553,2016-09-12,6,323,197
MJE00175553,2016-09-13,0,321,182
MJE00175553,2016-09-14,0,298,199
MJE00175553,2016-09-15,0,309,171
MJE00175553,2016-09-16,0,305,187
MJE00175553,2016-09-17,200,268,184
MJE00175553,2016-09-18,0,282,188
MJE00175553,2016-09-19,170,237,170
MJE00175553,2016-09-20,1,261,152
MJE00175553,2016-09-21,0,250,160
MJE00175553,2016-09-22,0,247,155
MJE00175553,2016-09-23,0,250,124
MJE00175553,2016-09-24,0,261,118
MJE00175553,2016-09-25,0,260,136
MJE00175553,2016-09-26,0,254,134
MJE00175553,2016-09-27,0,260,134
MJE00175553,2016-09-28,0,275,129
MJE00175553,2016-09-29,0,273,130
MJE00175553,2016-09-30,0,264,130
MJE00175553,2016-10-01,0,261,134
MJE00175553,2016-10-02,390,268,146
MJE00175553,2016-10-03,50,259,167
MJE00175553,2016-10-04,5,246,157
MJE00175553,2016-10-05,0,214,139
MJE00175553,2016-10-06,40,154,86
MJE00175553,2016-10-07,330,146,120
MJE00175553,2016-10-08,0,211,106
MJE00175553,2016-10-09,74,176,111
MJE00175553,2016-10-10,330,143,123
MJE00175553,2016-10-11,140,163,113
MJE00175553,2016-10-12,170,193,120
MJE00175553,2016-10-13,0,205,82
MJE00175553,2016-10-14,0,253,96
MJE00175553,2016-10-15,4,229,112
MJE00175553,2016-10-16,287,235,148
MJE00175553,2016-10-17,0,242,12
MJE00175553,2016-10-18,1,204,112
MJE00175553,2016-10-19,210,219,147
MJE00175553,2016-10-20,0,205,138
MJE00175553,2016-10-21,100,218,147
MJE00175553,2016-10-22,133,221,133
MJE00175553,2016-10-23,0,213,129
MJE00175553,2016-10-24,0,250,127
MJE00175553,2016-10-25,0,258,127
MJE00175553,2016-10-26,0,242,135
MJE00175553,2016-10-27,0,222,189
MJE00175553,2016-10-28,0,183,141
MJE00175553,2016-10-29,0,195,47
MJE00175553,2016-10-30,0,205,153
MJE00175553,2016-10-31,0,180,127
MJE00175553,2016-11-01,0,183,54
MJE00175553,2016-11-02,0,185,42
MJE00175553,2016-11-03,120,155,112
MJE00175553,2016-11-04,10,180,88
MJE00175553,2016-11-05,0,197,99
MJE00175553,2016-11-06,720,190,140
MJE00175553,2016-11-07,360,207,157
MJE00175553,2016-11-08,420,161,120
MJE00175553,2016-11-09,30,173,122
MJE00175553,2016-11-10,137,106,70
MJE00175553,2016-11-11,71,151,40
MJE00175553,2016-11-12,650,153,120
MJE00175553,2016-11-13,0,157,54
