id,date,prcp,tmax,tmin
ML000061297,2010-01-01,NA,332,195
ML000061297,2010-01-02,NA,335,NA
ML000061297,2010-01-03,NA,NA,160
ML000061297,2010-01-04,NA,340,160
ML000061297,2010-01-05,NA,350,NA
ML000061297,2010-01-06,NA,342,161
ML000061297,2010-01-07,NA,NA,165
ML000061297,2010-01-08,NA,352,190
ML000061297,2010-01-09,NA,338,174
ML000061297,2010-01-10,NA,339,172
ML000061297,2010-01-11,NA,345,180
ML000061297,2010-01-12,NA,352,190
ML000061297,2010-01-13,NA,345,180
ML000061297,2010-01-14,NA,352,185
ML000061297,2010-01-15,NA,355,185
ML000061297,2010-01-16,NA,355,NA
ML000061297,2010-01-17,NA,356,185
ML000061297,2010-01-18,NA,347,170
ML000061297,2010-01-19,NA,345,192
ML000061297,2010-01-20,NA,340,NA
ML000061297,2010-01-21,NA,342,180
ML000061297,2010-01-22,NA,345,185
ML000061297,2010-01-23,NA,348,185
ML000061297,2010-01-24,NA,NA,NA
ML000061297,2010-01-25,NA,350,204
ML000061297,2010-01-26,NA,354,210
ML000061297,2010-01-27,NA,355,185
ML000061297,2010-01-28,NA,352,205
ML000061297,2010-01-29,NA,360,230
ML000061297,2010-01-30,NA,365,NA
ML000061297,2010-01-31,NA,370,NA
ML000061297,2010-02-01,NA,370,200
ML000061297,2010-02-02,NA,370,192
ML000061297,2010-02-03,NA,375,NA
ML000061297,2010-02-04,NA,377,220
ML000061297,2010-02-05,NA,372,235
ML000061297,2010-02-06,NA,352,225
ML000061297,2010-02-07,NA,352,200
ML000061297,2010-02-08,NA,352,193
ML000061297,2010-02-09,NA,360,206
ML000061297,2010-02-10,NA,372,215
ML000061297,2010-02-11,NA,365,217
ML000061297,2010-02-12,NA,375,NA
ML000061297,2010-02-13,NA,375,NA
ML000061297,2010-02-14,NA,357,215
ML000061297,2010-02-15,NA,350,255
ML000061297,2010-02-16,NA,372,250
ML000061297,2010-02-17,NA,385,252
ML000061297,2010-02-18,NA,382,NA
ML000061297,2010-02-19,NA,387,285
ML000061297,2010-02-20,NA,373,NA
ML000061297,2010-02-21,NA,390,250
ML000061297,2010-02-22,NA,403,255
ML000061297,2010-02-23,NA,402,265
ML000061297,2010-02-24,NA,400,NA
ML000061297,2010-02-25,NA,NA,250
ML000061297,2010-02-26,NA,395,248
ML000061297,2010-02-27,NA,390,280
ML000061297,2010-02-28,NA,NA,280
ML000061297,2010-03-01,NA,376,280
ML000061297,2010-03-02,NA,385,284
ML000061297,2010-03-03,30,392,270
ML000061297,2010-03-04,0,388,260
ML000061297,2010-03-05,NA,385,272
ML000061297,2010-03-06,NA,NA,NA
ML000061297,2010-03-07,NA,383,280
ML000061297,2010-03-08,NA,384,295
ML000061297,2010-03-09,NA,385,283
ML000061297,2010-03-10,NA,380,NA
ML000061297,2010-03-11,NA,383,270
ML000061297,2010-03-12,NA,375,275
ML000061297,2010-03-13,NA,386,270
ML000061297,2010-03-14,NA,397,250
ML000061297,2010-03-15,NA,397,NA
ML000061297,2010-03-16,NA,NA,NA
ML000061297,2010-03-17,NA,380,NA
ML000061297,2010-03-18,NA,374,250
ML000061297,2010-03-19,NA,400,248
ML000061297,2010-03-20,NA,402,275
ML000061297,2010-03-21,NA,NA,285
ML000061297,2010-03-22,NA,365,244
ML000061297,2010-03-23,NA,372,NA
ML000061297,2010-03-24,NA,375,234
ML000061297,2010-03-25,NA,375,268
ML000061297,2010-03-26,NA,382,290
ML000061297,2010-03-27,NA,398,236
ML000061297,2010-03-28,NA,395,235
ML000061297,2010-03-29,NA,392,250
ML000061297,2010-03-30,NA,387,NA
ML000061297,2010-03-31,NA,390,NA
ML000061297,2010-04-01,NA,392,NA
ML000061297,2010-04-02,NA,NA,265
ML000061297,2010-04-03,NA,390,274
ML000061297,2010-04-04,NA,395,285
ML000061297,2010-04-05,991,392,NA
ML000061297,2010-04-06,170,356,230
ML000061297,2010-04-07,0,400,259
ML000061297,2010-04-08,NA,396,287
ML000061297,2010-04-09,NA,NA,NA
ML000061297,2010-04-10,NA,NA,NA
ML000061297,2010-04-11,NA,NA,NA
ML000061297,2010-04-12,NA,393,290
ML000061297,2010-04-13,NA,NA,278
ML000061297,2010-04-14,NA,340,265
ML000061297,2010-04-15,NA,400,268
ML000061297,2010-04-16,NA,NA,264
ML000061297,2010-04-17,NA,390,NA
ML000061297,2010-04-18,0,400,NA
ML000061297,2010-04-19,NA,394,NA
ML000061297,2010-04-20,5,366,255
ML000061297,2010-04-21,10,355,286
ML000061297,2010-04-22,0,382,284
ML000061297,2010-04-23,NA,NA,NA
ML000061297,2010-04-24,NA,355,NA
ML000061297,2010-04-25,NA,380,265
ML000061297,2010-04-26,NA,368,276
ML000061297,2010-04-27,30,NA,248
ML000061297,2010-04-28,0,376,169
ML000061297,2010-04-29,8,NA,266
ML000061297,2010-04-30,20,297,235
ML000061297,2010-05-01,5,380,NA
ML000061297,2010-05-02,0,NA,235
ML000061297,2010-05-03,30,358,240
ML000061297,2010-05-04,0,380,276
ML000061297,2010-05-05,180,380,275
ML000061297,2010-05-06,0,330,250
ML000061297,2010-05-07,NA,372,NA
ML000061297,2010-05-08,160,350,225
ML000061297,2010-05-09,0,372,255
ML000061297,2010-05-10,NA,360,NA
ML000061297,2010-05-11,NA,367,NA
ML000061297,2010-05-12,391,335,NA
ML000061297,2010-05-13,0,370,NA
ML000061297,2010-05-14,NA,365,NA
ML000061297,2010-05-15,NA,304,NA
ML000061297,2010-05-16,NA,356,240
ML000061297,2010-05-17,NA,NA,240
ML000061297,2010-05-18,NA,368,NA
ML000061297,2010-05-19,NA,367,273
ML000061297,2010-05-20,150,298,225
ML000061297,2010-05-21,0,320,250
ML000061297,2010-05-22,NA,350,NA
ML000061297,2010-05-23,NA,360,262
ML000061297,2010-05-24,NA,317,NA
ML000061297,2010-05-25,NA,NA,219
ML000061297,2010-05-26,NA,350,250
ML000061297,2010-05-27,NA,356,270
ML000061297,2010-05-28,NA,354,260
ML000061297,2010-05-29,0,360,NA
ML000061297,2010-05-30,NA,350,NA
ML000061297,2010-05-31,NA,364,NA
ML000061297,2010-06-01,30,287,210
ML000061297,2010-06-02,0,335,220
ML000061297,2010-06-03,NA,NA,240
ML000061297,2010-06-04,NA,320,245
ML000061297,2010-06-05,NA,NA,222
ML000061297,2010-06-06,NA,353,225
ML000061297,2010-06-07,NA,365,250
ML000061297,2010-06-08,NA,354,225
ML000061297,2010-06-09,NA,342,260
ML000061297,2010-06-10,NA,NA,NA
ML000061297,2010-06-11,NA,NA,185
ML000061297,2010-06-12,10,346,245
ML000061297,2010-06-13,8,NA,235
ML000061297,2010-06-14,0,342,NA
ML000061297,2010-06-15,150,330,233
ML000061297,2010-06-16,0,350,NA
ML000061297,2010-06-17,259,312,205
ML000061297,2010-06-18,8,340,232
ML000061297,2010-06-19,0,340,240
ML000061297,2010-06-20,NA,351,250
ML000061297,2010-06-21,NA,340,260
ML000061297,2010-06-22,NA,385,NA
ML000061297,2010-06-23,NA,335,220
ML000061297,2010-06-24,NA,NA,NA
ML000061297,2010-06-25,NA,NA,NA
ML000061297,2010-06-26,NA,324,230
ML000061297,2010-06-27,NA,305,230
ML000061297,2010-06-28,NA,327,240
ML000061297,2010-06-29,NA,345,240
ML000061297,2010-06-30,NA,NA,NA
ML000061297,2010-07-01,429,322,215
ML000061297,2010-07-02,0,320,220
ML000061297,2010-07-03,51,311,213
ML000061297,2010-07-04,0,333,NA
ML000061297,2010-07-05,211,335,180
ML000061297,2010-07-06,99,325,220
ML000061297,2010-07-07,0,312,235
ML000061297,2010-07-08,NA,315,NA
ML000061297,2010-07-09,NA,322,NA
ML000061297,2010-07-10,NA,308,228
ML000061297,2010-07-11,NA,310,NA
ML000061297,2010-07-12,361,290,201
ML000061297,2010-07-13,41,315,220
ML000061297,2010-07-14,0,328,NA
ML000061297,2010-07-15,99,319,224
ML000061297,2010-07-16,0,300,NA
ML000061297,2010-07-17,89,NA,200
ML000061297,2010-07-18,0,308,220
ML000061297,2010-07-19,3,320,NA
ML000061297,2010-07-20,0,308,NA
ML000061297,2010-07-21,NA,295,234
ML000061297,2010-07-22,NA,318,230
ML000061297,2010-07-23,5,NA,240
ML000061297,2010-07-24,180,283,207
ML000061297,2010-07-25,20,NA,210
ML000061297,2010-07-26,0,315,215
ML000061297,2010-07-27,NA,320,234
ML000061297,2010-07-28,NA,302,210
ML000061297,2010-07-29,NA,300,NA
ML000061297,2010-07-30,NA,NA,NA
ML000061297,2010-07-31,61,302,198
ML000061297,2010-08-01,0,308,219
ML000061297,2010-08-02,5,320,218
ML000061297,2010-08-03,0,322,225
ML000061297,2010-08-04,30,305,220
ML000061297,2010-08-05,0,310,230
ML000061297,2010-08-06,351,300,229
ML000061297,2010-08-07,0,313,NA
ML000061297,2010-08-08,41,275,219
ML000061297,2010-08-09,0,282,224
ML000061297,2010-08-10,0,310,226
ML000061297,2010-08-11,3,275,NA
ML000061297,2010-08-12,61,NA,217
ML000061297,2010-08-13,51,305,222
ML000061297,2010-08-14,130,286,215
ML000061297,2010-08-15,20,295,NA
