id,date,prcp,tmax,tmin
MLM00061240,2010-01-01,NA,338,199
MLM00061240,2010-01-02,NA,330,NA
MLM00061240,2010-01-03,NA,NA,205
MLM00061240,2010-01-04,NA,340,184
MLM00061240,2010-01-05,NA,344,NA
MLM00061240,2010-01-06,NA,350,175
MLM00061240,2010-01-07,NA,348,185
MLM00061240,2010-01-08,NA,350,188
MLM00061240,2010-01-09,NA,345,155
MLM00061240,2010-01-10,NA,342,185
MLM00061240,2010-01-11,NA,350,170
MLM00061240,2010-01-12,NA,363,202
MLM00061240,2010-01-13,NA,370,225
MLM00061240,2010-01-14,NA,366,204
MLM00061240,2010-01-15,NA,375,195
MLM00061240,2010-01-16,NA,363,NA
MLM00061240,2010-01-17,NA,347,NA
MLM00061240,2010-01-18,NA,320,195
MLM00061240,2010-01-19,NA,316,190
MLM00061240,2010-01-20,NA,328,NA
MLM00061240,2010-01-21,NA,335,185
MLM00061240,2010-01-22,NA,343,205
MLM00061240,2010-01-23,NA,341,185
MLM00061240,2010-01-24,NA,348,NA
MLM00061240,2010-01-25,NA,346,190
MLM00061240,2010-01-26,NA,334,202
MLM00061240,2010-01-27,NA,352,165
MLM00061240,2010-01-28,NA,355,200
MLM00061240,2010-01-29,NA,323,222
MLM00061240,2010-01-30,NA,360,179
MLM00061240,2010-01-31,NA,350,NA
MLM00061240,2010-02-01,NA,340,214
MLM00061240,2010-02-02,NA,364,215
MLM00061240,2010-02-03,NA,369,230
MLM00061240,2010-02-04,NA,378,235
MLM00061240,2010-02-05,NA,375,235
MLM00061240,2010-02-06,NA,350,230
MLM00061240,2010-02-07,NA,352,230
MLM00061240,2010-02-08,NA,360,NA
MLM00061240,2010-02-09,NA,374,210
MLM00061240,2010-02-10,NA,378,NA
MLM00061240,2010-02-11,NA,NA,NA
MLM00061240,2010-02-12,NA,388,NA
MLM00061240,2010-02-13,NA,385,200
MLM00061240,2010-02-14,NA,400,210
MLM00061240,2010-02-15,NA,398,214
MLM00061240,2010-02-16,NA,385,215
MLM00061240,2010-02-17,NA,410,255
MLM00061240,2010-02-18,NA,415,NA
MLM00061240,2010-02-19,NA,420,275
MLM00061240,2010-02-20,NA,418,NA
MLM00061240,2010-02-21,NA,420,260
MLM00061240,2010-02-22,NA,420,280
MLM00061240,2010-02-23,NA,432,NA
MLM00061240,2010-02-24,NA,429,NA
MLM00061240,2010-02-25,NA,429,275
MLM00061240,2010-02-26,NA,430,276
MLM00061240,2010-02-27,NA,430,269
MLM00061240,2010-02-28,NA,422,280
MLM00061240,2010-03-01,NA,410,250
MLM00061240,2010-03-02,NA,411,274
MLM00061240,2010-03-03,NA,413,263
MLM00061240,2010-03-04,NA,410,265
MLM00061240,2010-03-05,NA,398,270
MLM00061240,2010-03-06,NA,407,NA
MLM00061240,2010-03-07,NA,452,239
MLM00061240,2010-03-08,NA,425,268
MLM00061240,2010-03-09,NA,405,244
MLM00061240,2010-03-10,NA,394,NA
MLM00061240,2010-03-11,NA,383,260
MLM00061240,2010-03-12,NA,408,216
MLM00061240,2010-03-13,NA,422,228
MLM00061240,2010-03-14,NA,408,240
MLM00061240,2010-03-15,NA,417,NA
MLM00061240,2010-03-16,NA,NA,243
MLM00061240,2010-03-17,NA,395,NA
MLM00061240,2010-03-18,NA,417,215
MLM00061240,2010-03-19,NA,404,240
MLM00061240,2010-03-20,NA,413,296
MLM00061240,2010-03-21,NA,365,245
MLM00061240,2010-03-22,NA,347,235
MLM00061240,2010-03-23,NA,359,NA
MLM00061240,2010-03-24,NA,386,202
MLM00061240,2010-03-25,NA,390,240
MLM00061240,2010-03-26,NA,393,235
MLM00061240,2010-03-27,NA,392,263
MLM00061240,2010-03-28,NA,400,256
MLM00061240,2010-03-29,NA,400,270
MLM00061240,2010-03-30,NA,398,NA
MLM00061240,2010-03-31,NA,407,NA
MLM00061240,2010-04-01,NA,420,NA
MLM00061240,2010-04-02,NA,422,270
MLM00061240,2010-04-03,NA,423,242
MLM00061240,2010-04-04,NA,432,238
MLM00061240,2010-04-05,NA,NA,NA
MLM00061240,2010-04-06,NA,436,296
MLM00061240,2010-04-07,NA,433,259
MLM00061240,2010-04-08,NA,432,294
MLM00061240,2010-04-09,NA,NA,NA
MLM00061240,2010-04-10,NA,NA,NA
MLM00061240,2010-04-11,NA,NA,NA
MLM00061240,2010-04-12,NA,443,245
MLM00061240,2010-04-13,NA,NA,314
MLM00061240,2010-04-14,NA,426,340
MLM00061240,2010-04-15,NA,450,346
MLM00061240,2010-04-16,NA,433,357
MLM00061240,2010-04-17,NA,430,NA
MLM00061240,2010-04-18,NA,426,364
MLM00061240,2010-04-19,NA,456,346
MLM00061240,2010-04-20,NA,457,320
MLM00061240,2010-04-21,NA,460,354
MLM00061240,2010-04-22,NA,400,NA
MLM00061240,2010-04-23,NA,418,335
MLM00061240,2010-04-24,NA,433,312
MLM00061240,2010-04-25,NA,450,315
MLM00061240,2010-04-26,NA,440,305
MLM00061240,2010-04-27,NA,NA,310
MLM00061240,2010-04-28,NA,427,307
MLM00061240,2010-04-29,NA,430,306
MLM00061240,2010-04-30,NA,423,315
MLM00061240,2010-05-01,NA,450,330
MLM00061240,2010-05-02,NA,427,330
MLM00061240,2010-05-03,NA,450,285
MLM00061240,2010-05-04,NA,456,292
MLM00061240,2010-05-05,NA,450,280
MLM00061240,2010-05-06,NA,452,316
MLM00061240,2010-05-07,NA,429,NA
MLM00061240,2010-05-08,NA,442,296
MLM00061240,2010-05-09,NA,457,326
MLM00061240,2010-05-10,NA,456,327
MLM00061240,2010-05-11,NA,460,NA
MLM00061240,2010-05-12,NA,446,325
MLM00061240,2010-05-13,NA,460,NA
MLM00061240,2010-05-14,NA,455,NA
MLM00061240,2010-05-15,NA,436,360
MLM00061240,2010-05-16,NA,450,330
MLM00061240,2010-05-17,NA,NA,342
MLM00061240,2010-05-18,NA,465,348
MLM00061240,2010-05-19,NA,460,336
MLM00061240,2010-05-20,NA,380,325
MLM00061240,2010-05-21,NA,400,302
MLM00061240,2010-05-22,NA,425,325
MLM00061240,2010-05-23,NA,450,330
MLM00061240,2010-05-24,NA,450,350
MLM00061240,2010-05-25,NA,NA,326
MLM00061240,2010-05-26,NA,457,265
MLM00061240,2010-05-27,NA,466,318
MLM00061240,2010-05-28,0,420,315
MLM00061240,2010-05-29,NA,413,335
MLM00061240,2010-05-30,NA,414,NA
MLM00061240,2010-05-31,NA,446,NA
MLM00061240,2010-06-01,NA,408,325
MLM00061240,2010-06-02,NA,426,305
MLM00061240,2010-06-03,NA,NA,320
MLM00061240,2010-06-04,NA,385,308
MLM00061240,2010-06-05,NA,412,NA
MLM00061240,2010-06-06,NA,397,265
MLM00061240,2010-06-07,NA,456,302
MLM00061240,2010-06-08,NA,436,NA
MLM00061240,2010-06-09,NA,416,NA
MLM00061240,2010-06-10,NA,358,NA
MLM00061240,2010-06-11,NA,411,290
MLM00061240,2010-06-12,NA,442,314
MLM00061240,2010-06-13,NA,NA,330
MLM00061240,2010-06-14,NA,404,NA
MLM00061240,2010-06-15,NA,402,NA
MLM00061240,2010-06-16,NA,439,NA
MLM00061240,2010-06-17,0,403,310
MLM00061240,2010-06-18,5,407,300
MLM00061240,2010-06-19,0,421,315
MLM00061240,2010-06-20,10,425,300
MLM00061240,2010-06-21,41,392,279
MLM00061240,2010-06-22,0,362,295
MLM00061240,2010-06-23,NA,425,300
MLM00061240,2010-06-24,NA,455,NA
MLM00061240,2010-06-25,NA,NA,NA
MLM00061240,2010-06-26,10,345,290
MLM00061240,2010-06-27,0,365,284
MLM00061240,2010-06-28,NA,415,290
MLM00061240,2010-06-29,20,400,260
MLM00061240,2010-06-30,0,NA,NA
MLM00061240,2010-07-01,NA,423,NA
MLM00061240,2010-07-02,NA,422,NA
MLM00061240,2010-07-03,340,372,225
MLM00061240,2010-07-04,0,392,270
MLM00061240,2010-07-05,NA,405,310
MLM00061240,2010-07-06,NA,406,295
MLM00061240,2010-07-07,20,390,282
MLM00061240,2010-07-08,0,386,273
MLM00061240,2010-07-09,NA,392,301
MLM00061240,2010-07-10,8,370,NA
MLM00061240,2010-07-11,0,341,280
MLM00061240,2010-07-12,NA,357,262
MLM00061240,2010-07-13,NA,430,274
MLM00061240,2010-07-14,NA,430,NA
MLM00061240,2010-07-15,NA,450,335
MLM00061240,2010-07-16,NA,375,305
MLM00061240,2010-07-17,NA,375,258
MLM00061240,2010-07-18,NA,396,296
MLM00061240,2010-07-19,NA,412,322
MLM00061240,2010-07-20,NA,374,285
