id,date,prcp,tmax,tmin
MOE00147755,2010-01-01,NA,180,NA
MOE00147755,2010-01-02,NA,190,60
MOE00147755,2010-01-03,NA,221,66
MOE00147755,2010-01-04,NA,236,91
MOE00147755,2010-01-05,0,171,126
MOE00147755,2010-01-06,NA,170,NA
MOE00147755,2010-01-07,NA,167,NA
MOE00147755,2010-01-08,0,148,NA
MOE00147755,2010-01-09,NA,75,NA
MOE00147755,2010-01-10,NA,NA,NA
MOE00147755,2010-01-11,NA,176,NA
MOE00147755,2010-01-12,NA,181,NA
MOE00147755,2010-01-13,NA,NA,NA
MOE00147755,2010-01-14,NA,NA,NA
MOE00147755,2010-01-15,NA,180,NA
MOE00147755,2010-01-16,NA,233,58
MOE00147755,2010-01-17,NA,NA,52
MOE00147755,2010-01-18,NA,267,97
MOE00147755,2010-01-19,NA,182,NA
MOE00147755,2010-01-20,NA,193,NA
MOE00147755,2010-01-21,NA,186,NA
MOE00147755,2010-01-22,NA,202,47
MOE00147755,2010-01-23,NA,195,NA
MOE00147755,2010-01-24,5,140,77
MOE00147755,2010-01-25,130,112,NA
MOE00147755,2010-01-26,330,139,NA
MOE00147755,2010-01-27,41,110,75
MOE00147755,2010-01-28,61,135,NA
MOE00147755,2010-01-29,0,158,49
MOE00147755,2010-01-30,NA,159,NA
MOE00147755,2010-01-31,NA,157,51
MOE00147755,2010-02-01,NA,152,56
MOE00147755,2010-02-02,NA,163,71
MOE00147755,2010-02-03,NA,NA,64
MOE00147755,2010-02-04,NA,210,NA
MOE00147755,2010-02-05,NA,208,NA
MOE00147755,2010-02-06,NA,209,74
MOE00147755,2010-02-07,NA,NA,NA
MOE00147755,2010-02-08,NA,NA,96
MOE00147755,2010-02-09,20,161,108
MOE00147755,2010-02-10,0,143,NA
MOE00147755,2010-02-11,3,161,NA
MOE00147755,2010-02-12,0,163,NA
MOE00147755,2010-02-13,130,172,88
MOE00147755,2010-02-14,99,133,78
MOE00147755,2010-02-15,0,180,72
MOE00147755,2010-02-16,5,192,95
MOE00147755,2010-02-17,5,NA,91
