id,date,prcp,tmax,tmin
MOM00060135,2010-01-01,170,183,NA
MOM00060135,2010-01-02,NA,NA,89
MOM00060135,2010-01-03,NA,NA,85
MOM00060135,2010-01-04,NA,192,98
MOM00060135,2010-01-05,269,NA,NA
MOM00060135,2010-01-06,409,NA,128
MOM00060135,2010-01-07,310,159,NA
MOM00060135,2010-01-08,99,130,NA
MOM00060135,2010-01-09,41,141,40
MOM00060135,2010-01-10,30,155,60
MOM00060135,2010-01-11,180,187,82
MOM00060135,2010-01-12,30,182,98
MOM00060135,2010-01-13,5,190,155
MOM00060135,2010-01-14,99,187,NA
MOM00060135,2010-01-15,79,213,82
MOM00060135,2010-01-16,0,195,84
MOM00060135,2010-01-17,NA,266,74
MOM00060135,2010-01-18,NA,201,NA
MOM00060135,2010-01-19,NA,201,NA
MOM00060135,2010-01-20,0,194,NA
MOM00060135,2010-01-21,NA,191,NA
MOM00060135,2010-01-22,NA,179,69
MOM00060135,2010-01-23,NA,182,105
MOM00060135,2010-01-24,NA,168,NA
MOM00060135,2010-01-25,NA,NA,94
MOM00060135,2010-01-26,140,130,NA
MOM00060135,2010-01-27,41,158,45
MOM00060135,2010-01-28,0,173,NA
MOM00060135,2010-01-29,NA,169,54
MOM00060135,2010-01-30,5,NA,67
MOM00060135,2010-01-31,8,168,73
MOM00060135,2010-02-01,5,NA,NA
MOM00060135,2010-02-02,0,206,75
MOM00060135,2010-02-03,NA,NA,140
MOM00060135,2010-02-04,109,201,NA
MOM00060135,2010-02-05,20,200,NA
MOM00060135,2010-02-06,0,198,91
MOM00060135,2010-02-07,0,226,97
MOM00060135,2010-02-08,NA,187,116
MOM00060135,2010-02-09,89,175,NA
MOM00060135,2010-02-10,20,NA,105
MOM00060135,2010-02-11,51,180,NA
MOM00060135,2010-02-12,5,187,89
MOM00060135,2010-02-13,51,175,138
MOM00060135,2010-02-14,10,174,NA
MOM00060135,2010-02-15,41,183,103
MOM00060135,2010-02-16,140,163,NA
MOM00060135,2010-02-17,259,NA,NA
MOM00060135,2010-02-18,71,198,113
MOM00060135,2010-02-19,79,177,NA
MOM00060135,2010-02-20,99,169,89
MOM00060135,2010-02-21,140,182,118
MOM00060135,2010-02-22,30,212,143
MOM00060135,2010-02-23,0,202,NA
MOM00060135,2010-02-24,30,194,NA
MOM00060135,2010-02-25,0,NA,113
MOM00060135,2010-02-26,NA,243,135
MOM00060135,2010-02-27,NA,NA,105
MOM00060135,2010-02-28,71,189,NA
MOM00060135,2010-03-01,51,NA,NA
MOM00060135,2010-03-02,0,192,92
MOM00060135,2010-03-03,51,NA,116
