id,date,prcp,tmax,tmin
MOW00013017,2019-01-01,NA,NA,NA
MOW00013017,2019-01-02,NA,NA,NA
MOW00013017,2019-01-03,NA,NA,33
MOW00013017,2019-01-04,NA,NA,29
MOW00013017,2019-01-05,NA,NA,16
MOW00013017,2019-01-06,NA,NA,NA
MOW00013017,2019-01-07,NA,NA,17
MOW00013017,2019-01-08,NA,NA,16
MOW00013017,2019-01-09,NA,NA,15
MOW00013017,2019-01-10,NA,NA,25
MOW00013017,2019-01-11,NA,NA,36
MOW00013017,2019-01-12,NA,NA,21
MOW00013017,2019-01-13,NA,NA,NA
MOW00013017,2019-01-14,NA,NA,15
MOW00013017,2019-01-15,NA,NA,22
MOW00013017,2019-01-16,NA,NA,44
MOW00013017,2019-01-17,71,NA,96
MOW00013017,2019-01-18,89,NA,NA
MOW00013017,2019-01-19,0,NA,68
MOW00013017,2019-01-20,660,NA,114
MOW00013017,2019-01-21,5,NA,86
MOW00013017,2019-01-22,3,NA,64
MOW00013017,2019-01-23,20,NA,118
MOW00013017,2019-01-24,NA,NA,NA
MOW00013017,2019-01-25,20,NA,87
MOW00013017,2019-01-26,0,NA,93
MOW00013017,2019-01-27,NA,NA,80
MOW00013017,2019-01-28,NA,NA,85
MOW00013017,2019-01-29,NA,NA,106
MOW00013017,2019-01-30,NA,NA,99
MOW00013017,2019-01-31,20,NA,123
MOW00013017,2019-02-01,0,NA,123
MOW00013017,2019-02-02,221,NA,NA
MOW00013017,2019-02-03,5,NA,63
MOW00013017,2019-02-04,0,NA,16
MOW00013017,2019-02-05,NA,NA,22
MOW00013017,2019-02-06,NA,NA,40
MOW00013017,2019-02-07,NA,NA,70
MOW00013017,2019-02-08,NA,NA,70
MOW00013017,2019-02-09,NA,NA,48
MOW00013017,2019-02-10,NA,NA,50
MOW00013017,2019-02-11,NA,NA,41
MOW00013017,2019-02-12,NA,NA,NA
MOW00013017,2019-02-13,NA,NA,75
MOW00013017,2019-02-14,NA,NA,59
MOW00013017,2019-02-15,NA,NA,61
MOW00013017,2019-02-16,NA,NA,93
MOW00013017,2019-02-17,NA,NA,74
MOW00013017,2019-02-18,NA,NA,111
MOW00013017,2019-02-19,NA,NA,56
MOW00013017,2019-02-20,NA,NA,52
MOW00013017,2019-02-21,NA,NA,72
MOW00013017,2019-02-22,NA,NA,77
MOW00013017,2019-02-23,NA,NA,65
MOW00013017,2019-02-24,NA,NA,50
MOW00013017,2019-02-25,NA,NA,77
MOW00013017,2019-02-26,NA,NA,NA
MOW00013017,2019-02-27,NA,NA,65
MOW00013017,2019-02-28,NA,NA,74
MOW00013017,2019-03-01,NA,NA,60
MOW00013017,2019-03-02,NA,NA,94
MOW00013017,2019-03-03,NA,NA,85
MOW00013017,2019-03-04,NA,NA,NA
MOW00013017,2019-03-05,NA,NA,59
MOW00013017,2019-03-06,NA,NA,109
MOW00013017,2019-03-07,51,NA,NA
MOW00013017,2019-03-08,3,NA,88
