id,date,prcp,tmax,tmin
MP000061995,2010-01-01,10,274,212
MP000061995,2010-01-02,0,282,206
MP000061995,2010-01-03,0,291,208
MP000061995,2010-01-04,8,273,217
MP000061995,2010-01-05,61,285,223
MP000061995,2010-01-06,5,290,225
MP000061995,2010-01-07,0,290,215
MP000061995,2010-01-08,30,275,222
MP000061995,2010-01-09,0,265,220
MP000061995,2010-01-10,41,268,219
MP000061995,2010-01-11,0,271,221
MP000061995,2010-01-12,0,290,220
MP000061995,2010-01-13,10,272,225
MP000061995,2010-01-14,0,282,226
MP000061995,2010-01-15,71,299,226
MP000061995,2010-01-16,470,288,216
MP000061995,2010-01-17,160,281,233
MP000061995,2010-01-18,20,284,NA
MP000061995,2010-01-19,0,302,214
MP000061995,2010-01-20,0,299,206
MP000061995,2010-01-21,30,276,NA
MP000061995,2010-01-22,99,281,219
MP000061995,2010-01-23,8,275,221
MP000061995,2010-01-24,439,270,NA
MP000061995,2010-01-25,231,273,215
MP000061995,2010-01-26,71,NA,227
MP000061995,2010-01-27,99,282,227
MP000061995,2010-01-28,61,275,223
MP000061995,2010-01-29,71,283,226
MP000061995,2010-01-30,0,294,228
MP000061995,2010-01-31,0,298,198
MP000061995,2010-02-01,0,303,205
MP000061995,2010-02-02,20,295,209
MP000061995,2010-02-03,0,295,227
MP000061995,2010-02-04,130,268,222
MP000061995,2010-02-05,429,306,230
MP000061995,2010-02-06,30,293,215
MP000061995,2010-02-07,30,296,225
MP000061995,2010-02-08,71,289,NA
MP000061995,2010-02-09,130,285,225
MP000061995,2010-02-10,409,255,215
MP000061995,2010-02-11,330,289,219
MP000061995,2010-02-12,41,295,227
MP000061995,2010-02-13,0,300,230
MP000061995,2010-02-14,20,293,231
MP000061995,2010-02-15,0,299,227
MP000061995,2010-02-16,0,282,230
MP000061995,2010-02-17,589,283,215
MP000061995,2010-02-18,109,280,220
MP000061995,2010-02-19,130,281,215
MP000061995,2010-02-20,20,286,220
MP000061995,2010-02-21,20,282,220
MP000061995,2010-02-22,61,276,225
MP000061995,2010-02-23,8,294,225
MP000061995,2010-02-24,0,300,212
MP000061995,2010-02-25,0,278,231
MP000061995,2010-02-26,10,284,231
MP000061995,2010-02-27,0,295,NA
MP000061995,2010-02-28,0,303,226
MP000061995,2010-03-01,5,293,230
MP000061995,2010-03-02,0,295,230
MP000061995,2010-03-03,0,284,236
MP000061995,2010-03-04,NA,280,NA
MP000061995,2010-03-05,NA,273,224
MP000061995,2010-03-06,NA,NA,224
MP000061995,2010-03-07,211,265,234
MP000061995,2010-03-08,71,297,232
MP000061995,2010-03-09,10,288,232
MP000061995,2010-03-10,79,246,225
MP000061995,2010-03-11,10,274,210
MP000061995,2010-03-12,0,274,200
MP000061995,2010-03-13,10,264,205
MP000061995,2010-03-14,89,272,213
MP000061995,2010-03-15,0,285,223
MP000061995,2010-03-16,0,300,219
MP000061995,2010-03-17,0,275,230
MP000061995,2010-03-18,221,278,220
MP000061995,2010-03-19,0,293,242
MP000061995,2010-03-20,0,301,228
MP000061995,2010-03-21,20,297,232
MP000061995,2010-03-22,61,281,224
MP000061995,2010-03-23,140,308,222
MP000061995,2010-03-24,30,285,222
MP000061995,2010-03-25,30,280,224
MP000061995,2010-03-26,71,282,220
MP000061995,2010-03-27,10,268,214
MP000061995,2010-03-28,20,287,215
MP000061995,2010-03-29,0,290,213
MP000061995,2010-03-30,89,283,205
MP000061995,2010-03-31,0,279,NA
MP000061995,2010-04-01,10,280,217
MP000061995,2010-04-02,10,278,223
MP000061995,2010-04-03,0,282,202
MP000061995,2010-04-04,41,270,214
MP000061995,2010-04-05,0,280,216
MP000061995,2010-04-06,0,284,219
MP000061995,2010-04-07,0,277,213
MP000061995,2010-04-08,10,283,194
MP000061995,2010-04-09,61,283,221
MP000061995,2010-04-10,5,274,214
MP000061995,2010-04-11,0,287,204
MP000061995,2010-04-12,0,283,200
MP000061995,2010-04-13,0,280,NA
MP000061995,2010-04-14,0,264,191
MP000061995,2010-04-15,0,259,209
MP000061995,2010-04-16,0,267,200
MP000061995,2010-04-17,0,268,202
MP000061995,2010-04-18,0,269,200
MP000061995,2010-04-19,8,278,211
MP000061995,2010-04-20,330,266,201
MP000061995,2010-04-21,30,266,213
MP000061995,2010-04-22,61,264,218
MP000061995,2010-04-23,5,270,212
MP000061995,2010-04-24,30,268,208
MP000061995,2010-04-25,0,270,202
MP000061995,2010-04-26,0,266,195
MP000061995,2010-04-27,NA,264,NA
MP000061995,2010-04-28,10,268,202
MP000061995,2010-04-29,160,263,200
MP000061995,2010-04-30,0,273,203
MP000061995,2010-05-01,61,270,214
MP000061995,2010-05-02,51,275,218
MP000061995,2010-05-03,3,278,210
MP000061995,2010-05-04,0,283,194
MP000061995,2010-05-05,0,275,221
MP000061995,2010-05-06,0,270,NA
MP000061995,2010-05-07,0,266,211
MP000061995,2010-05-08,0,272,205
MP000061995,2010-05-09,0,264,203
MP000061995,2010-05-10,0,267,196
MP000061995,2010-05-11,41,259,202
MP000061995,2010-05-12,10,253,206
MP000061995,2010-05-13,20,272,206
MP000061995,2010-05-14,0,267,165
MP000061995,2010-05-15,0,262,NA
MP000061995,2010-05-16,20,265,154
MP000061995,2010-05-17,5,257,202
MP000061995,2010-05-18,221,235,209
MP000061995,2010-05-19,150,249,208
MP000061995,2010-05-20,41,248,198
MP000061995,2010-05-21,5,253,193
MP000061995,2010-05-22,20,247,179
MP000061995,2010-05-23,0,249,177
MP000061995,2010-05-24,0,256,196
MP000061995,2010-05-25,0,256,198
MP000061995,2010-05-26,41,257,NA
MP000061995,2010-05-27,10,253,188
MP000061995,2010-05-28,10,254,195
MP000061995,2010-05-29,30,245,195
MP000061995,2010-05-30,119,255,200
MP000061995,2010-05-31,20,245,190
MP000061995,2010-06-01,61,241,175
MP000061995,2010-06-02,20,249,180
MP000061995,2010-06-03,0,255,190
MP000061995,2010-06-04,0,265,185
MP000061995,2010-06-05,0,268,176
MP000061995,2010-06-06,20,259,181
MP000061995,2010-06-07,0,244,187
MP000061995,2010-06-08,0,244,161
MP000061995,2010-06-09,3,238,187
MP000061995,2010-06-10,0,244,173
MP000061995,2010-06-11,NA,233,158
MP000061995,2010-06-12,10,230,180
MP000061995,2010-06-13,30,230,176
MP000061995,2010-06-14,41,238,178
MP000061995,2010-06-15,10,233,183
MP000061995,2010-06-16,30,244,180
MP000061995,2010-06-17,8,NA,172
MP000061995,2010-06-18,20,244,167
MP000061995,2010-06-19,20,244,166
MP000061995,2010-06-20,20,NA,185
MP000061995,2010-06-21,0,253,181
MP000061995,2010-06-22,0,250,177
MP000061995,2010-06-23,61,NA,176
MP000061995,2010-06-24,41,237,192
MP000061995,2010-06-25,119,244,189
MP000061995,2010-06-26,0,249,193
MP000061995,2010-06-27,0,235,170
MP000061995,2010-06-28,0,233,149
MP000061995,2010-06-29,51,213,NA
MP000061995,2010-06-30,79,205,153
MP000061995,2010-07-01,99,211,146
MP000061995,2010-07-02,61,213,148
MP000061995,2010-07-03,20,215,131
MP000061995,2010-07-04,51,NA,152
MP000061995,2010-07-05,10,214,140
MP000061995,2010-07-06,20,211,136
MP000061995,2010-07-07,41,227,148
MP000061995,2010-07-08,180,218,170
MP000061995,2010-07-09,191,217,158
MP000061995,2010-07-10,30,234,174
MP000061995,2010-07-11,30,NA,158
MP000061995,2010-07-12,20,231,171
MP000061995,2010-07-13,30,225,136
MP000061995,2010-07-14,191,249,166
MP000061995,2010-07-15,0,252,152
MP000061995,2010-07-16,0,247,178
MP000061995,2010-07-17,5,240,182
MP000061995,2010-07-18,41,242,182
MP000061995,2010-07-19,3,230,186
MP000061995,2010-07-20,51,226,174
MP000061995,2010-07-21,71,221,175
MP000061995,2010-07-22,41,221,166
MP000061995,2010-07-23,79,220,172
MP000061995,2010-07-24,0,220,167
MP000061995,2010-07-25,269,223,170
MP000061995,2010-07-26,79,211,170
MP000061995,2010-07-27,0,210,147
MP000061995,2010-07-28,140,207,153
MP000061995,2010-07-29,61,224,155
MP000061995,2010-07-30,0,221,153
MP000061995,2010-07-31,30,220,150
MP000061995,2010-08-01,99,206,155
MP000061995,2010-08-02,10,210,143
MP000061995,2010-08-03,30,207,153
MP000061995,2010-08-04,10,214,137
MP000061995,2010-08-05,30,215,148
MP000061995,2010-08-06,20,233,156
MP000061995,2010-08-07,0,225,158
MP000061995,2010-08-08,41,207,159
MP000061995,2010-08-09,160,NA,156
MP000061995,2010-08-10,10,226,165
MP000061995,2010-08-11,0,236,161
MP000061995,2010-08-12,0,234,150
MP000061995,2010-08-13,8,217,160
MP000061995,2010-08-14,290,216,165
MP000061995,2010-08-15,20,240,156
MP000061995,2010-08-16,0,236,165
MP000061995,2010-08-17,5,227,165
MP000061995,2010-08-18,150,218,167
MP000061995,2010-08-19,30,218,165
MP000061995,2010-08-20,109,223,165
MP000061995,2010-08-21,30,230,165
MP000061995,2010-08-22,10,230,166
MP000061995,2010-08-23,170,230,178
MP000061995,2010-08-24,0,234,164
MP000061995,2010-08-25,71,202,155
MP000061995,2010-08-26,41,217,148
MP000061995,2010-08-27,20,220,150
MP000061995,2010-08-28,61,206,155
MP000061995,2010-08-29,180,220,174
MP000061995,2010-08-30,51,219,170
MP000061995,2010-08-31,20,215,159
MP000061995,2010-09-01,30,221,161
MP000061995,2010-09-02,0,214,154
MP000061995,2010-09-03,109,197,165
MP000061995,2010-09-04,51,232,165
MP000061995,2010-09-05,0,245,168
MP000061995,2010-09-06,0,244,175
MP000061995,2010-09-07,0,256,NA
MP000061995,2010-09-08,109,258,155
MP000061995,2010-09-09,0,256,152
MP000061995,2010-09-10,0,231,173
MP000061995,2010-09-11,99,258,165
MP000061995,2010-09-12,0,259,131
MP000061995,2010-09-13,0,237,176
MP000061995,2010-09-14,0,220,153
MP000061995,2010-09-15,NA,210,NA
MP000061995,2010-09-16,20,NA,165
MP000061995,2010-09-17,0,231,154
MP000061995,2010-09-18,0,233,174
MP000061995,2010-09-19,3,245,170
MP000061995,2010-09-20,0,NA,157
MP000061995,2010-09-21,0,236,150
MP000061995,2010-09-22,NA,220,170
MP000061995,2010-09-23,NA,227,156
MP000061995,2010-09-24,0,236,152
MP000061995,2010-09-25,0,241,145
MP000061995,2010-09-26,0,246,125
MP000061995,2010-09-27,0,230,170
MP000061995,2010-09-28,5,247,171
MP000061995,2010-09-29,51,227,173
MP000061995,2010-09-30,231,221,164
MP000061995,2010-10-01,20,223,163
MP000061995,2010-10-02,89,228,165
MP000061995,2010-10-03,10,234,158
MP000061995,2010-10-04,10,235,176
MP000061995,2010-10-05,51,252,188
MP000061995,2010-10-06,0,255,185
MP000061995,2010-10-07,0,247,184
MP000061995,2010-10-08,0,250,170
MP000061995,2010-10-09,0,245,167
MP000061995,2010-10-10,0,259,161
MP000061995,2010-10-11,0,260,138
MP000061995,2010-10-12,0,NA,161
MP000061995,2010-10-13,0,252,172
MP000061995,2010-10-14,0,258,177
MP000061995,2010-10-15,0,247,167
MP000061995,2010-10-16,0,245,177
MP000061995,2010-10-17,0,251,184
MP000061995,2010-10-18,0,255,182
MP000061995,2010-10-19,0,250,190
MP000061995,2010-10-20,0,257,180
MP000061995,2010-10-21,8,252,174
MP000061995,2010-10-22,0,249,188
MP000061995,2010-10-23,0,248,172
MP000061995,2010-10-24,51,248,176
MP000061995,2010-10-25,99,236,182
MP000061995,2010-10-26,3,260,180
MP000061995,2010-10-27,0,258,195
MP000061995,2010-10-28,0,252,186
MP000061995,2010-10-29,0,266,175
MP000061995,2010-10-30,0,248,185
MP000061995,2010-10-31,0,263,189
MP000061995,2010-11-01,0,262,189
MP000061995,2010-11-02,0,NA,152
MP000061995,2010-11-03,0,273,165
MP000061995,2010-11-04,0,259,188
MP000061995,2010-11-05,0,267,196
MP000061995,2010-11-06,30,233,184
MP000061995,2010-11-07,20,246,175
MP000061995,2010-11-08,3,236,163
MP000061995,2010-11-09,0,239,174
MP000061995,2010-11-10,5,251,165
MP000061995,2010-11-11,0,252,178
MP000061995,2010-11-12,0,250,175
MP000061995,2010-11-13,3,247,172
MP000061995,2010-11-14,20,260,187
MP000061995,2010-11-15,0,257,190
MP000061995,2010-11-16,10,248,185
MP000061995,2010-11-17,0,256,166
MP000061995,2010-11-18,0,266,NA
MP000061995,2010-11-19,0,261,181
MP000061995,2010-11-20,599,247,183
MP000061995,2010-11-21,41,263,185
MP000061995,2010-11-22,0,256,191
MP000061995,2010-11-23,0,265,199
MP000061995,2010-11-24,0,266,175
MP000061995,2010-11-25,0,271,185
MP000061995,2010-11-26,5,267,190
MP000061995,2010-11-27,5,NA,194
MP000061995,2010-11-28,30,243,198
MP000061995,2010-11-29,10,266,198
MP000061995,2010-11-30,0,266,184
MP000061995,2010-12-01,10,267,191
MP000061995,2010-12-02,0,NA,190
MP000061995,2010-12-03,5,261,186
MP000061995,2010-12-04,0,259,184
MP000061995,2010-12-05,0,265,174
MP000061995,2010-12-06,0,264,186
MP000061995,2010-12-07,0,263,189
MP000061995,2010-12-08,0,280,197
MP000061995,2010-12-09,3,270,192
MP000061995,2010-12-10,0,NA,201
MP000061995,2010-12-11,0,267,194
MP000061995,2010-12-12,20,274,190
MP000061995,2010-12-13,0,277,203
MP000061995,2010-12-14,0,276,194
MP000061995,2010-12-15,0,274,190
MP000061995,2010-12-16,0,282,165
MP000061995,2010-12-17,0,289,193
