id,date,prcp,tmax,tmin
MR000001442,2010-01-01,NA,367,NA
MR000001442,2010-01-02,NA,370,NA
MR000001442,2010-01-03,NA,352,NA
MR000001442,2010-01-04,NA,328,NA
MR000001442,2010-01-05,NA,333,NA
MR000001442,2010-01-06,NA,319,NA
MR000001442,2010-01-07,NA,309,NA
MR000001442,2010-01-08,NA,297,NA
MR000001442,2010-01-09,NA,NA,NA
MR000001442,2010-01-10,NA,293,NA
MR000001442,2010-01-11,NA,300,NA
MR000001442,2010-01-12,NA,322,NA
MR000001442,2010-01-13,NA,326,NA
MR000001442,2010-01-14,NA,334,NA
MR000001442,2010-01-15,NA,343,NA
MR000001442,2010-01-16,NA,363,NA
MR000001442,2010-01-17,NA,359,NA
MR000001442,2010-01-18,NA,332,NA
MR000001442,2010-01-19,NA,331,NA
MR000001442,2010-01-20,NA,335,NA
MR000001442,2010-01-21,NA,343,NA
MR000001442,2010-01-22,NA,347,NA
MR000001442,2010-01-23,NA,345,NA
MR000001442,2010-01-24,NA,324,NA
MR000001442,2010-01-25,NA,298,NA
MR000001442,2010-01-26,NA,NA,NA
MR000001442,2010-01-27,NA,NA,NA
MR000001442,2010-01-28,NA,300,NA
MR000001442,2010-01-29,NA,NA,NA
MR000001442,2010-01-30,NA,344,NA
MR000001442,2010-01-31,NA,323,NA
MR000001442,2010-02-01,NA,345,220
MR000001442,2010-02-02,NA,287,NA
MR000001442,2010-02-03,NA,303,NA
MR000001442,2010-02-04,NA,343,NA
MR000001442,2010-02-05,NA,405,NA
MR000001442,2010-02-06,NA,402,NA
MR000001442,2010-02-07,NA,NA,NA
MR000001442,2010-02-08,NA,NA,NA
MR000001442,2010-02-09,NA,349,NA
MR000001442,2010-02-10,NA,NA,NA
MR000001442,2010-02-11,NA,328,NA
MR000001442,2010-02-12,NA,NA,NA
MR000001442,2010-02-13,NA,NA,NA
MR000001442,2010-02-14,NA,NA,NA
MR000001442,2010-02-15,NA,262,NA
MR000001442,2010-02-16,NA,256,NA
MR000001442,2010-02-17,NA,NA,NA
MR000001442,2010-02-18,NA,263,NA
MR000001442,2010-02-19,NA,285,NA
MR000001442,2010-02-20,NA,308,NA
MR000001442,2010-02-21,NA,332,NA
MR000001442,2010-02-22,NA,374,NA
MR000001442,2010-02-23,NA,388,NA
MR000001442,2010-02-24,NA,NA,NA
