id,date,prcp,tmax,tmin
MUM00041256,2010-01-01,33,276,NA
MUM00041256,2010-01-02,23,241,176
MUM00041256,2010-01-03,0,245,NA
MUM00041256,2010-01-04,NA,246,172
MUM00041256,2010-01-05,NA,250,168
MUM00041256,2010-01-06,NA,244,186
MUM00041256,2010-01-07,NA,245,NA
MUM00041256,2010-01-08,NA,252,164
MUM00041256,2010-01-09,NA,250,NA
MUM00041256,2010-01-10,NA,251,153
MUM00041256,2010-01-11,33,223,158
MUM00041256,2010-01-12,NA,245,NA
MUM00041256,2010-01-13,NA,243,141
MUM00041256,2010-01-14,NA,240,NA
MUM00041256,2010-01-15,NA,243,154
MUM00041256,2010-01-16,NA,NA,146
MUM00041256,2010-01-17,NA,NA,157
MUM00041256,2010-01-18,NA,245,166
MUM00041256,2010-01-19,NA,263,162
MUM00041256,2010-01-20,NA,252,173
MUM00041256,2010-01-21,NA,270,171
MUM00041256,2010-01-22,NA,273,161
MUM00041256,2010-01-23,NA,295,163
MUM00041256,2010-01-24,NA,255,168
MUM00041256,2010-01-25,NA,256,177
MUM00041256,2010-01-26,NA,264,184
MUM00041256,2010-01-27,NA,274,190
MUM00041256,2010-01-28,NA,241,195
MUM00041256,2010-01-29,NA,242,186
MUM00041256,2010-01-30,NA,246,NA
MUM00041256,2010-01-31,NA,274,168
MUM00041256,2010-02-01,NA,266,157
MUM00041256,2010-02-02,NA,294,177
MUM00041256,2010-02-03,NA,NA,190
MUM00041256,2010-02-04,NA,307,202
MUM00041256,2010-02-05,NA,313,NA
MUM00041256,2010-02-06,NA,297,208
MUM00041256,2010-02-07,262,233,NA
MUM00041256,2010-02-08,71,223,NA
MUM00041256,2010-02-09,0,222,160
MUM00041256,2010-02-10,NA,230,159
MUM00041256,2010-02-11,NA,NA,161
MUM00041256,2010-02-12,NA,245,165
MUM00041256,2010-02-13,NA,247,179
MUM00041256,2010-02-14,NA,246,174
MUM00041256,2010-02-15,NA,247,176
MUM00041256,2010-02-16,NA,NA,167
MUM00041256,2010-02-17,NA,260,170
MUM00041256,2010-02-18,NA,NA,175
MUM00041256,2010-02-19,NA,279,177
MUM00041256,2010-02-20,NA,279,171
MUM00041256,2010-02-21,NA,337,189
MUM00041256,2010-02-22,NA,256,NA
MUM00041256,2010-02-23,NA,260,175
MUM00041256,2010-02-24,NA,299,178
MUM00041256,2010-02-25,NA,287,183
MUM00041256,2010-02-26,NA,320,210
MUM00041256,2010-02-27,NA,322,235
MUM00041256,2010-02-28,3,330,201
MUM00041256,2010-03-01,15,272,NA
MUM00041256,2010-03-02,3,261,216
MUM00041256,2010-03-03,NA,296,NA
MUM00041256,2010-03-04,NA,251,NA
MUM00041256,2010-03-05,NA,NA,177
MUM00041256,2010-03-06,NA,258,NA
MUM00041256,2010-03-07,NA,276,194
MUM00041256,2010-03-08,NA,295,NA
MUM00041256,2010-03-09,NA,294,NA
MUM00041256,2010-03-10,NA,321,188
MUM00041256,2010-03-11,NA,342,199
MUM00041256,2010-03-12,NA,301,201
MUM00041256,2010-03-13,NA,321,206
MUM00041256,2010-03-14,NA,317,209
MUM00041256,2010-03-15,NA,325,200
MUM00041256,2010-03-16,NA,341,205
MUM00041256,2010-03-17,NA,322,207
MUM00041256,2010-03-18,NA,291,208
MUM00041256,2010-03-19,NA,294,NA
MUM00041256,2010-03-20,NA,323,212
MUM00041256,2010-03-21,NA,349,202
MUM00041256,2010-03-22,NA,351,215
MUM00041256,2010-03-23,NA,314,NA
MUM00041256,2010-03-24,NA,313,226
MUM00041256,2010-03-25,NA,NA,228
MUM00041256,2010-03-26,NA,NA,NA
MUM00041256,2010-03-27,NA,366,256
MUM00041256,2010-03-28,NA,332,NA
MUM00041256,2010-03-29,NA,321,NA
MUM00041256,2010-03-30,NA,367,NA
MUM00041256,2010-03-31,NA,381,NA
MUM00041256,2010-04-01,NA,358,249
MUM00041256,2010-04-02,NA,326,243
MUM00041256,2010-04-03,NA,342,234
MUM00041256,2010-04-04,NA,334,221
MUM00041256,2010-04-05,NA,NA,227
MUM00041256,2010-04-06,NA,NA,235
MUM00041256,2010-04-07,NA,336,NA
MUM00041256,2010-04-08,NA,340,245
MUM00041256,2010-04-09,NA,400,260
MUM00041256,2010-04-10,NA,414,262
MUM00041256,2010-04-11,NA,377,258
MUM00041256,2010-04-12,NA,358,267
MUM00041256,2010-04-13,NA,347,251
MUM00041256,2010-04-14,NA,399,NA
MUM00041256,2010-04-15,NA,402,284
MUM00041256,2010-04-16,NA,363,297
MUM00041256,2010-04-17,NA,360,277
MUM00041256,2010-04-18,NA,370,NA
MUM00041256,2010-04-19,NA,359,268
MUM00041256,2010-04-20,NA,330,NA
MUM00041256,2010-04-21,NA,330,247
MUM00041256,2010-04-22,NA,331,240
MUM00041256,2010-04-23,NA,323,248
MUM00041256,2010-04-24,NA,NA,264
MUM00041256,2010-04-25,NA,391,296
MUM00041256,2010-04-26,NA,375,NA
MUM00041256,2010-04-27,NA,NA,270
MUM00041256,2010-04-28,NA,387,NA
MUM00041256,2010-04-29,NA,402,274
MUM00041256,2010-04-30,NA,NA,NA
MUM00041256,2010-05-01,NA,398,NA
MUM00041256,2010-05-02,NA,343,280
MUM00041256,2010-05-03,NA,342,290
MUM00041256,2010-05-04,NA,371,NA
MUM00041256,2010-05-05,NA,361,284
MUM00041256,2010-05-06,NA,360,275
MUM00041256,2010-05-07,NA,343,276
MUM00041256,2010-05-08,NA,369,265
MUM00041256,2010-05-09,NA,365,245
MUM00041256,2010-05-10,NA,NA,268
MUM00041256,2010-05-11,NA,NA,268
MUM00041256,2010-05-12,NA,421,268
MUM00041256,2010-05-13,NA,400,306
MUM00041256,2010-05-14,NA,400,307
MUM00041256,2010-05-15,NA,429,315
MUM00041256,2010-05-16,NA,NA,317
MUM00041256,2010-05-17,NA,416,NA
MUM00041256,2010-05-18,NA,378,308
MUM00041256,2010-05-19,NA,NA,NA
MUM00041256,2010-05-20,NA,426,NA
MUM00041256,2010-05-21,NA,433,NA
MUM00041256,2010-05-22,NA,NA,NA
MUM00041256,2010-05-23,NA,465,NA
MUM00041256,2010-05-24,NA,433,NA
MUM00041256,2010-05-25,NA,431,325
MUM00041256,2010-05-26,NA,456,328
MUM00041256,2010-05-27,NA,418,NA
