id,date,prcp,tmax,tmin
MV000043555,2010-02-01,NA,NA,NA
MV000043555,2010-02-02,NA,NA,NA
MV000043555,2010-02-03,NA,NA,NA
MV000043555,2010-02-04,NA,NA,NA
MV000043555,2010-02-05,NA,NA,NA
MV000043555,2010-02-06,NA,NA,NA
MV000043555,2010-02-07,NA,NA,NA
MV000043555,2010-02-08,NA,NA,NA
MV000043555,2010-02-09,NA,NA,NA
MV000043555,2010-02-10,NA,NA,NA
MV000043555,2010-02-11,NA,NA,NA
MV000043555,2010-02-12,NA,NA,NA
MV000043555,2010-02-13,NA,NA,NA
MV000043555,2010-02-14,NA,NA,NA
MV000043555,2010-02-15,NA,NA,NA
MV000043555,2010-02-16,NA,NA,NA
MV000043555,2010-02-17,NA,NA,NA
MV000043555,2010-02-18,NA,NA,NA
MV000043555,2010-02-19,NA,NA,252
MV000043555,2010-02-20,NA,NA,NA
MV000043555,2010-02-21,NA,NA,NA
MV000043555,2010-02-22,NA,NA,NA
MV000043555,2010-02-23,NA,NA,NA
MV000043555,2010-02-24,NA,NA,NA
MV000043555,2010-02-25,NA,NA,NA
MV000043555,2010-02-26,NA,NA,NA
MV000043555,2010-02-27,NA,NA,NA
MV000043555,2010-02-28,NA,NA,NA
MV000043555,2011-10-01,NA,NA,NA
MV000043555,2011-10-02,NA,NA,NA
MV000043555,2011-10-03,NA,NA,NA
MV000043555,2011-10-04,NA,NA,NA
MV000043555,2011-10-05,NA,312,NA
MV000043555,2011-10-06,0,311,275
MV000043555,2011-10-07,0,320,276
MV000043555,2011-10-08,0,313,NA
MV000043555,2011-10-09,0,312,274
MV000043555,2011-10-10,0,NA,277
MV000043555,2011-10-11,0,NA,274
MV000043555,2011-10-12,0,316,266
MV000043555,2011-10-13,0,NA,276
MV000043555,2011-10-14,0,317,272
MV000043555,2011-10-15,0,NA,270
MV000043555,2011-10-16,0,314,274
MV000043555,2011-10-17,0,324,278
MV000043555,2011-10-18,0,312,NA
MV000043555,2011-10-19,3,NA,NA
MV000043555,2011-10-20,20,NA,253
MV000043555,2011-10-21,3,NA,NA
MV000043555,2011-10-22,30,300,NA
MV000043555,2011-10-23,43,NA,240
MV000043555,2011-10-24,0,301,NA
MV000043555,2011-10-25,13,NA,NA
MV000043555,2011-10-26,25,NA,NA
MV000043555,2011-10-27,61,NA,238
MV000043555,2011-10-28,5,313,244
MV000043555,2011-10-29,0,300,268
MV000043555,2011-10-30,0,NA,NA
MV000043555,2011-10-31,10,303,250
MV000043555,2011-11-01,3,300,251
MV000043555,2011-11-02,15,NA,252
MV000043555,2011-11-03,0,314,264
MV000043555,2011-11-04,0,NA,280
MV000043555,2011-11-05,0,320,275
MV000043555,2011-11-06,0,NA,NA
MV000043555,2011-11-07,0,322,NA
MV000043555,2011-11-08,0,NA,268
MV000043555,2011-11-09,30,NA,NA
MV000043555,2011-11-10,NA,NA,254
MV000043555,2011-11-11,0,NA,NA
MV000043555,2011-11-12,NA,301,NA
MV000043555,2011-11-13,NA,312,250
MV000043555,2011-11-14,0,316,261
MV000043555,2011-11-15,0,316,263
MV000043555,2011-11-16,0,316,NA
MV000043555,2011-11-17,3,316,NA
MV000043555,2011-11-18,0,312,NA
MV000043555,2011-11-19,0,NA,NA
MV000043555,2011-11-20,0,NA,260
MV000043555,2011-11-21,61,290,NA
MV000043555,2011-11-22,0,313,254
MV000043555,2011-11-23,8,NA,NA
MV000043555,2011-11-24,13,NA,NA
MV000043555,2011-11-25,15,282,248
MV000043555,2011-11-26,0,307,NA
MV000043555,2011-11-27,3,NA,260
MV000043555,2011-11-28,3,302,255
MV000043555,2011-11-29,5,312,258
MV000043555,2011-11-30,0,306,274
MV000043555,2011-12-01,0,NA,270
MV000043555,2011-12-02,0,305,256
MV000043555,2011-12-03,13,310,NA
MV000043555,2011-12-04,0,313,249
MV000043555,2011-12-05,NA,NA,NA
MV000043555,2011-12-06,0,NA,NA
MV000043555,2011-12-07,NA,NA,NA
MV000043555,2011-12-08,0,314,254
MV000043555,2011-12-09,0,296,NA
MV000043555,2011-12-10,23,310,232
MV000043555,2011-12-11,3,312,NA
MV000043555,2011-12-12,0,306,254
MV000043555,2011-12-13,0,310,260
MV000043555,2011-12-14,0,NA,268
MV000043555,2011-12-15,0,307,266
MV000043555,2011-12-16,0,312,NA
