id,date,prcp,tmax,tmin
MXM00076382,2010-01-01,0,252,52
MXM00076382,2010-01-02,0,170,60
MXM00076382,2010-01-03,0,NA,NA
MXM00076382,2010-01-04,0,232,65
MXM00076382,2010-01-05,0,NA,NA
MXM00076382,2010-01-06,0,NA,NA
MXM00076382,2010-01-07,NA,NA,NA
MXM00076382,2010-01-08,0,234,22
MXM00076382,2010-01-09,NA,NA,NA
MXM00076382,2010-01-10,0,NA,NA
MXM00076382,2010-01-11,0,NA,NA
MXM00076382,2010-01-12,0,200,25
MXM00076382,2010-01-13,NA,NA,NA
MXM00076382,2010-01-14,0,NA,NA
MXM00076382,2010-01-15,NA,NA,NA
MXM00076382,2010-01-16,13,NA,NA
MXM00076382,2010-01-17,0,NA,NA
MXM00076382,2010-01-18,0,NA,NA
MXM00076382,2010-01-19,0,NA,NA
MXM00076382,2010-01-20,0,302,77
MXM00076382,2010-01-21,0,306,135
MXM00076382,2010-01-22,0,NA,NA
MXM00076382,2010-01-23,0,328,122
MXM00076382,2010-01-24,0,NA,NA
MXM00076382,2010-01-25,0,NA,NA
MXM00076382,2010-01-26,0,230,54
MXM00076382,2010-01-27,0,NA,NA
MXM00076382,2010-01-28,0,NA,NA
MXM00076382,2010-01-29,0,NA,NA
MXM00076382,2010-01-30,0,262,80
MXM00076382,2010-01-31,0,NA,NA
MXM00076382,2010-02-01,0,NA,NA
MXM00076382,2010-02-02,0,256,80
MXM00076382,2010-02-03,NA,NA,NA
MXM00076382,2010-02-04,0,NA,NA
MXM00076382,2010-02-05,0,NA,NA
MXM00076382,2010-02-06,0,NA,NA
MXM00076382,2010-02-07,0,260,60
MXM00076382,2010-02-08,0,NA,NA
MXM00076382,2010-02-09,0,NA,NA
MXM00076382,2010-02-10,0,238,98
MXM00076382,2010-02-11,0,NA,NA
MXM00076382,2010-02-12,0,236,38
MXM00076382,2010-02-13,0,220,38
MXM00076382,2010-02-14,0,NA,NA
MXM00076382,2010-02-15,0,NA,NA
MXM00076382,2010-02-16,0,NA,NA
MXM00076382,2010-02-17,NA,NA,NA
MXM00076382,2010-02-18,NA,NA,NA
MXM00076382,2010-02-19,NA,NA,NA
MXM00076382,2010-02-20,0,NA,NA
MXM00076382,2010-02-21,0,294,100
MXM00076382,2010-02-22,0,NA,NA
MXM00076382,2010-02-23,0,282,85
MXM00076382,2010-02-24,0,NA,NA
MXM00076382,2010-02-25,0,NA,NA
MXM00076382,2010-02-26,0,NA,NA
MXM00076382,2010-02-27,0,NA,NA
MXM00076382,2010-02-28,0,NA,NA
MXM00076382,2010-03-01,0,336,100
MXM00076382,2010-03-02,NA,NA,NA
MXM00076382,2010-03-03,0,NA,NA
MXM00076382,2010-03-04,0,280,67
MXM00076382,2010-03-05,0,295,105
MXM00076382,2010-03-06,0,248,120
MXM00076382,2010-03-07,0,260,120
