id,date,prcp,tmax,tmin
MXN00007104,2010-01-01,79,289,139
MXN00007104,2010-01-02,0,200,139
MXN00007104,2010-01-03,0,328,106
MXN00007104,2010-01-04,0,300,150
MXN00007104,2010-01-05,18,350,106
MXN00007104,2010-01-06,28,367,128
MXN00007104,2010-01-07,422,317,150
MXN00007104,2010-01-08,0,278,117
MXN00007104,2010-01-09,0,228,39
MXN00007104,2010-01-10,0,317,78
MXN00007104,2010-01-11,0,217,28
MXN00007104,2010-01-12,0,206,17
MXN00007104,2010-01-13,0,217,78
MXN00007104,2010-01-14,0,267,78
MXN00007104,2010-01-15,0,317,56
MXN00007104,2010-01-16,0,NA,NA
MXN00007104,2010-01-17,0,317,128
MXN00007104,2010-01-18,0,306,106
MXN00007104,2010-01-19,0,NA,NA
MXN00007104,2010-01-20,0,NA,NA
MXN00007104,2010-01-21,0,NA,NA
MXN00007104,2010-01-22,0,NA,NA
MXN00007104,2010-01-23,0,NA,NA
MXN00007104,2010-01-24,0,350,150
MXN00007104,2010-01-25,0,NA,NA
MXN00007104,2010-01-26,0,300,117
MXN00007104,2010-01-27,0,256,150
MXN00007104,2010-01-28,0,289,89
MXN00007104,2010-01-29,0,328,139
MXN00007104,2010-01-30,0,300,128
MXN00007104,2010-01-31,0,278,156
MXN00007104,2010-02-01,0,300,150
MXN00007104,2010-02-02,0,278,128
MXN00007104,2010-02-03,0,300,139
MXN00007104,2010-02-04,0,328,156
MXN00007104,2010-02-05,0,328,100
MXN00007104,2010-02-06,0,317,156
MXN00007104,2010-02-07,0,306,150
MXN00007104,2010-02-08,0,306,100
MXN00007104,2010-02-09,0,328,150
MXN00007104,2010-02-10,0,300,100
MXN00007104,2010-02-11,0,306,139
MXN00007104,2010-02-12,0,328,128
MXN00007104,2010-02-13,0,306,89
MXN00007104,2010-02-14,0,NA,NA
MXN00007104,2010-02-15,0,317,89
MXN00007104,2010-02-16,0,317,50
MXN00007104,2010-02-17,0,300,89
MXN00007104,2010-02-18,0,NA,NA
MXN00007104,2010-02-19,0,306,150
MXN00007104,2010-02-20,0,317,156
MXN00007104,2010-02-21,0,300,89
MXN00007104,2010-02-22,0,317,150
MXN00007104,2010-02-23,0,306,128
MXN00007104,2010-02-24,0,339,139
MXN00007104,2010-02-25,0,306,67
MXN00007104,2010-02-26,0,NA,NA
MXN00007104,2010-02-27,0,317,156
MXN00007104,2010-02-28,0,328,150
MXN00007104,2010-03-01,0,328,156
MXN00007104,2010-03-02,0,NA,NA
MXN00007104,2010-03-03,0,317,139
MXN00007104,2010-03-04,0,300,89
MXN00007104,2010-03-05,0,306,117
MXN00007104,2010-03-06,0,306,128
MXN00007104,2010-03-07,0,306,150
MXN00007104,2010-03-08,0,317,139
MXN00007104,2010-03-09,0,378,78
MXN00007104,2010-03-10,0,306,100
MXN00007104,2010-03-11,0,350,106
MXN00007104,2010-03-12,0,317,67
MXN00007104,2010-03-13,0,300,139
MXN00007104,2010-03-14,0,306,128
MXN00007104,2010-03-15,0,339,50
MXN00007104,2010-03-16,0,350,100
MXN00007104,2010-03-17,0,289,128
MXN00007104,2010-03-18,0,250,100
MXN00007104,2010-03-19,0,NA,NA
MXN00007104,2010-03-20,0,339,78
MXN00007104,2010-03-21,0,328,100
MXN00007104,2010-03-22,0,356,100
MXN00007104,2010-03-23,0,317,106
MXN00007104,2010-03-24,0,306,156
MXN00007104,2010-03-25,0,339,150
MXN00007104,2010-03-26,0,NA,NA
MXN00007104,2010-03-27,0,NA,NA
MXN00007104,2010-03-28,0,356,117
MXN00007104,2010-03-29,0,267,100
MXN00007104,2010-03-30,0,317,78
MXN00007104,2010-03-31,0,306,167
MXN00007104,2010-04-01,0,317,128
MXN00007104,2010-04-02,51,317,150
MXN00007104,2010-04-03,0,328,128
MXN00007104,2010-04-04,0,339,128
MXN00007104,2010-04-05,0,306,156
MXN00007104,2010-04-06,0,339,150
MXN00007104,2010-04-07,0,350,150
MXN00007104,2010-04-08,231,356,128
MXN00007104,2010-04-09,0,306,117
MXN00007104,2010-04-10,0,306,117
MXN00007104,2010-04-11,0,317,139
MXN00007104,2010-04-12,48,317,100
MXN00007104,2010-04-13,0,339,139
MXN00007104,2010-04-14,559,317,139
MXN00007104,2010-04-15,0,317,117
MXN00007104,2010-04-16,33,317,139
MXN00007104,2010-04-17,0,317,100
MXN00007104,2010-04-18,0,339,156
MXN00007104,2010-04-19,0,350,117
MXN00007104,2010-04-20,0,317,117
MXN00007104,2010-04-21,0,289,139
MXN00007104,2010-04-22,0,339,139
MXN00007104,2010-04-23,0,317,128
MXN00007104,2010-04-24,0,317,139
MXN00007104,2010-04-25,0,339,150
MXN00007104,2010-04-26,0,389,156
MXN00007104,2010-04-27,140,317,128
MXN00007104,2010-04-28,0,317,128
MXN00007104,2010-04-29,0,367,139
MXN00007104,2010-04-30,0,350,156
MXN00007104,2010-05-01,0,367,100
MXN00007104,2010-05-02,0,356,106
MXN00007104,2010-05-03,0,350,117
MXN00007104,2010-05-04,0,NA,NA
MXN00007104,2010-05-05,0,367,156
MXN00007104,2010-05-06,0,328,106
MXN00007104,2010-05-07,0,339,128
MXN00007104,2010-05-08,0,328,139
MXN00007104,2010-05-09,0,328,128
MXN00007104,2010-05-10,0,339,139
MXN00007104,2010-05-11,0,339,117
MXN00007104,2010-05-12,0,378,100
MXN00007104,2010-05-13,0,339,117
MXN00007104,2010-05-14,0,317,139
MXN00007104,2010-05-15,0,350,150
MXN00007104,2010-05-16,0,350,100
MXN00007104,2010-05-17,193,317,150
MXN00007104,2010-05-18,0,339,128
MXN00007104,2010-05-19,18,350,106
MXN00007104,2010-05-20,0,350,156
MXN00007104,2010-05-21,0,356,178
MXN00007104,2010-05-22,94,328,178
MXN00007104,2010-05-23,0,339,150
MXN00007104,2010-05-24,0,317,156
MXN00007104,2010-05-25,0,317,178
MXN00007104,2010-05-26,0,317,156
MXN00007104,2010-05-27,79,306,167
MXN00007104,2010-05-28,20,306,150
MXN00007104,2010-05-29,249,317,150
MXN00007104,2010-05-30,0,350,139
MXN00007104,2010-05-31,0,356,128
MXN00007104,2010-06-01,0,317,128
MXN00007104,2010-06-02,53,367,128
MXN00007104,2010-06-03,0,339,167
MXN00007104,2010-06-04,0,339,156
MXN00007104,2010-06-05,130,306,156
MXN00007104,2010-06-06,0,339,150
MXN00007104,2010-06-07,0,350,150
MXN00007104,2010-06-08,0,356,139
MXN00007104,2010-06-09,224,306,117
MXN00007104,2010-06-10,0,156,106
MXN00007104,2010-06-11,0,NA,NA
MXN00007104,2010-06-12,48,317,100
MXN00007104,2010-06-13,0,339,139
MXN00007104,2010-06-14,749,306,139
MXN00007104,2010-06-15,0,NA,NA
MXN00007104,2010-06-16,399,306,89
MXN00007104,2010-06-17,0,NA,NA
MXN00007104,2010-06-18,0,339,156
MXN00007104,2010-06-19,0,350,117
MXN00007104,2010-06-20,203,317,117
MXN00007104,2010-06-21,0,289,139
MXN00007104,2010-06-22,211,339,139
MXN00007104,2010-06-23,0,317,128
MXN00007104,2010-06-24,0,317,139
MXN00007104,2010-06-25,0,339,150
MXN00007104,2010-06-26,208,339,139
MXN00007104,2010-06-27,163,328,156
MXN00007104,2010-06-28,140,317,156
MXN00007104,2010-06-29,0,317,128
MXN00007104,2010-06-30,0,350,139
MXN00007104,2010-07-01,267,328,128
MXN00007104,2010-07-02,0,200,139
MXN00007104,2010-07-03,216,328,106
MXN00007104,2010-07-04,38,300,150
MXN00007104,2010-07-05,0,350,139
MXN00007104,2010-07-06,0,367,128
MXN00007104,2010-07-07,0,317,150
MXN00007104,2010-07-08,399,328,117
MXN00007104,2010-07-09,109,289,139
MXN00007104,2010-07-10,198,306,150
MXN00007104,2010-07-11,249,350,150
MXN00007104,2010-07-12,51,306,139
MXN00007104,2010-07-13,0,NA,NA
MXN00007104,2010-07-14,0,306,178
MXN00007104,2010-07-15,0,306,150
MXN00007104,2010-07-16,198,328,139
MXN00007104,2010-07-17,249,317,128
MXN00007104,2010-07-18,229,306,150
MXN00007104,2010-07-19,99,317,156
MXN00007104,2010-07-20,0,317,156
MXN00007104,2010-07-21,18,328,117
MXN00007104,2010-07-22,89,NA,NA
MXN00007104,2010-07-23,0,317,139
MXN00007104,2010-07-24,0,328,139
MXN00007104,2010-07-25,0,NA,NA
MXN00007104,2010-07-26,168,328,117
MXN00007104,2010-07-27,168,256,150
MXN00007104,2010-07-28,0,289,89
MXN00007104,2010-07-29,290,328,139
MXN00007104,2010-07-30,290,306,128
MXN00007104,2010-07-31,0,300,128
MXN00007104,2010-08-01,198,306,156
MXN00007104,2010-08-02,114,300,150
MXN00007104,2010-08-03,198,300,150
MXN00007104,2010-08-04,58,328,156
MXN00007104,2010-08-05,23,306,150
MXN00007104,2010-08-06,0,339,150
MXN00007104,2010-08-07,0,306,139
MXN00007104,2010-08-08,208,317,100
MXN00007104,2010-08-09,30,328,139
MXN00007104,2010-08-10,0,300,150
MXN00007104,2010-08-11,0,306,139
MXN00007104,2010-08-12,0,339,128
MXN00007104,2010-08-13,0,339,156
MXN00007104,2010-08-14,0,317,150
MXN00007104,2010-08-15,198,317,89
MXN00007104,2010-08-16,0,317,156
MXN00007104,2010-08-17,157,317,89
MXN00007104,2010-08-18,445,NA,NA
MXN00007104,2010-08-19,23,306,150
MXN00007104,2010-08-20,135,300,150
MXN00007104,2010-08-21,104,300,156
MXN00007104,2010-08-22,521,306,150
MXN00007104,2010-08-23,0,306,150
MXN00007104,2010-08-24,112,339,139
MXN00007104,2010-08-25,130,306,67
MXN00007104,2010-08-26,0,NA,NA
MXN00007104,2010-08-27,0,300,156
MXN00007104,2010-08-28,0,300,150
MXN00007104,2010-08-29,0,306,156
MXN00007104,2010-08-30,0,300,167
MXN00007104,2010-08-31,109,306,178
MXN00007104,2010-09-01,28,306,150
MXN00007104,2010-09-02,0,317,178
MXN00007104,2010-09-03,30,306,150
MXN00007104,2010-09-04,0,328,167
MXN00007104,2010-09-05,0,300,128
MXN00007104,2010-09-06,0,317,150
MXN00007104,2010-09-07,99,339,128
MXN00007104,2010-09-08,218,317,139
MXN00007104,2010-09-09,249,317,106
MXN00007104,2010-09-10,150,300,150
MXN00007104,2010-09-11,130,328,139
MXN00007104,2010-09-12,48,300,150
MXN00007104,2010-09-13,0,317,139
MXN00007104,2010-09-14,99,317,117
MXN00007104,2010-09-15,198,306,139
MXN00007104,2010-09-16,99,289,106
MXN00007104,2010-09-17,130,317,128
MXN00007104,2010-09-18,140,300,150
MXN00007104,2010-09-19,198,317,128
MXN00007104,2010-09-20,0,306,117
MXN00007104,2010-09-21,0,317,89
MXN00007104,2010-09-22,0,NA,NA
MXN00007104,2010-09-23,79,300,50
MXN00007104,2010-09-24,348,306,67
MXN00007104,2010-09-25,279,300,150
MXN00007104,2010-09-26,0,317,128
MXN00007104,2010-09-27,0,306,150
MXN00007104,2010-09-28,119,328,150
MXN00007104,2010-09-29,198,306,156
MXN00007104,2010-09-30,0,317,156
MXN00007104,2010-10-01,0,328,100
MXN00007104,2010-10-02,0,317,56
MXN00007104,2010-10-03,0,317,139
MXN00007104,2010-10-04,0,300,89
MXN00007104,2010-10-05,0,306,117
MXN00007104,2010-10-06,0,306,128
MXN00007104,2010-10-07,0,306,150
MXN00007104,2010-10-08,0,317,139
MXN00007104,2010-10-09,0,378,78
MXN00007104,2010-10-10,0,306,100
MXN00007104,2010-10-11,0,350,106
MXN00007104,2010-10-12,0,317,100
MXN00007104,2010-10-13,0,317,139
MXN00007104,2010-10-14,0,300,150
MXN00007104,2010-10-15,0,306,150
MXN00007104,2010-10-16,0,NA,NA
MXN00007104,2010-10-17,0,350,100
MXN00007104,2010-10-18,0,289,128
MXN00007104,2010-10-19,249,250,100
MXN00007104,2010-10-20,0,356,106
MXN00007104,2010-10-21,0,339,78
MXN00007104,2010-10-22,0,328,100
MXN00007104,2010-10-23,0,356,156
MXN00007104,2010-10-24,0,317,106
MXN00007104,2010-10-25,0,306,156
MXN00007104,2010-10-26,0,339,150
MXN00007104,2010-10-27,0,328,139
MXN00007104,2010-10-28,0,328,150
MXN00007104,2010-10-29,150,356,89
MXN00007104,2010-10-30,0,267,78
MXN00007104,2010-10-31,0,306,78
MXN00007104,2010-11-01,51,350,100
MXN00007104,2010-11-02,221,339,100
MXN00007104,2010-11-03,0,328,128
MXN00007104,2010-11-04,198,217,100
MXN00007104,2010-11-05,0,239,78
MXN00007104,2010-11-06,0,367,67
MXN00007104,2010-11-07,0,NA,NA
MXN00007104,2010-11-08,0,317,156
MXN00007104,2010-11-09,0,367,117
MXN00007104,2010-11-10,0,350,128
MXN00007104,2010-11-11,0,378,117
MXN00007104,2010-11-12,0,289,28
MXN00007104,2010-11-13,0,300,67
MXN00007104,2010-11-14,0,NA,NA
MXN00007104,2010-11-15,13,306,150
MXN00007104,2010-11-16,0,317,117
MXN00007104,2010-11-17,0,289,56
MXN00007104,2010-11-18,0,239,117
MXN00007104,2010-11-19,0,317,117
MXN00007104,2010-11-20,0,NA,NA
MXN00007104,2010-11-21,0,317,139
MXN00007104,2010-11-22,0,289,139
MXN00007104,2010-11-23,0,339,106
MXN00007104,2010-11-24,0,339,150
MXN00007104,2010-11-25,0,317,139
MXN00007104,2010-11-26,0,328,78
MXN00007104,2010-11-27,0,339,128
MXN00007104,2010-11-28,0,356,150
MXN00007104,2010-11-29,0,328,139
MXN00007104,2010-11-30,0,317,78
MXN00007104,2010-12-01,0,317,106
MXN00007104,2010-12-02,0,317,150
MXN00007104,2010-12-03,74,328,128
