id,date,prcp,tmax,tmin
MY000096413,2010-01-01,56,314,233
MY000096413,2010-01-02,117,314,240
MY000096413,2010-01-03,3,330,238
MY000096413,2010-01-04,1031,NA,NA
MY000096413,2010-01-05,511,300,NA
MY000096413,2010-01-06,493,NA,220
MY000096413,2010-01-07,0,297,227
MY000096413,2010-01-08,404,303,229
MY000096413,2010-01-09,152,NA,NA
MY000096413,2010-01-10,0,320,231
MY000096413,2010-01-11,0,NA,238
MY000096413,2010-01-12,3,NA,NA
MY000096413,2010-01-13,381,267,NA
MY000096413,2010-01-14,1895,256,NA
MY000096413,2010-01-15,1283,294,213
MY000096413,2010-01-16,495,NA,234
MY000096413,2010-01-17,114,289,NA
MY000096413,2010-01-18,599,255,NA
MY000096413,2010-01-19,1024,306,NA
MY000096413,2010-01-20,3,327,227
MY000096413,2010-01-21,15,314,231
MY000096413,2010-01-22,0,307,237
MY000096413,2010-01-23,8,304,238
MY000096413,2010-01-24,0,312,NA
MY000096413,2010-01-25,36,NA,NA
MY000096413,2010-01-26,79,NA,236
MY000096413,2010-01-27,0,295,234
MY000096413,2010-01-28,23,337,236
MY000096413,2010-01-29,86,274,NA
MY000096413,2010-01-30,3,NA,228
MY000096413,2010-01-31,305,NA,238
MY000096413,2010-02-01,5,NA,NA
MY000096413,2010-02-02,0,300,NA
MY000096413,2010-02-03,262,312,233
MY000096413,2010-02-04,0,312,239
MY000096413,2010-02-05,41,NA,NA
MY000096413,2010-02-06,203,NA,234
MY000096413,2010-02-07,3,NA,236
MY000096413,2010-02-08,643,303,NA
MY000096413,2010-02-09,5,316,240
MY000096413,2010-02-10,33,291,NA
MY000096413,2010-02-11,343,NA,235
MY000096413,2010-02-12,0,NA,NA
MY000096413,2010-02-13,198,NA,238
MY000096413,2010-02-14,1120,NA,NA
MY000096413,2010-02-15,97,NA,NA
MY000096413,2010-02-16,137,288,235
MY000096413,2010-02-17,61,280,236
MY000096413,2010-02-18,196,NA,NA
MY000096413,2010-02-19,297,305,NA
MY000096413,2010-02-20,767,NA,219
MY000096413,2010-02-21,3,NA,229
MY000096413,2010-02-22,0,304,236
MY000096413,2010-02-23,0,323,239
MY000096413,2010-02-24,0,304,245
MY000096413,2010-02-25,0,311,NA
MY000096413,2010-02-26,0,335,236
MY000096413,2010-02-27,0,335,249
MY000096413,2010-02-28,5,NA,NA
MY000096413,2010-03-01,10,295,NA
MY000096413,2010-03-02,43,305,227
MY000096413,2010-03-03,56,NA,236
MY000096413,2010-03-04,0,314,242
MY000096413,2010-03-05,0,313,NA
MY000096413,2010-03-06,0,334,231
MY000096413,2010-03-07,0,337,235
MY000096413,2010-03-08,170,NA,NA
MY000096413,2010-03-09,74,304,NA
MY000096413,2010-03-10,56,274,NA
MY000096413,2010-03-11,262,311,216
MY000096413,2010-03-12,3,324,NA
MY000096413,2010-03-13,264,316,234
MY000096413,2010-03-14,0,300,237
MY000096413,2010-03-15,122,NA,238
MY000096413,2010-03-16,15,301,NA
MY000096413,2010-03-17,297,300,230
MY000096413,2010-03-18,5,NA,235
MY000096413,2010-03-19,97,292,239
MY000096413,2010-03-20,602,NA,240
MY000096413,2010-03-21,0,322,NA
MY000096413,2010-03-22,361,315,234
