id,date,prcp,tmax,tmin
MYM00096471,2010-01-01,53,322,NA
MYM00096471,2010-01-02,401,312,238
MYM00096471,2010-01-03,0,321,NA
MYM00096471,2010-01-04,0,NA,241
MYM00096471,2010-01-05,0,323,NA
MYM00096471,2010-01-06,0,322,243
MYM00096471,2010-01-07,0,NA,NA
MYM00096471,2010-01-08,0,313,238
MYM00096471,2010-01-09,0,316,238
MYM00096471,2010-01-10,0,320,242
MYM00096471,2010-01-11,0,320,NA
MYM00096471,2010-01-12,5,319,238
MYM00096471,2010-01-13,559,300,238
MYM00096471,2010-01-14,20,294,NA
MYM00096471,2010-01-15,147,NA,NA
MYM00096471,2010-01-16,655,NA,NA
MYM00096471,2010-01-17,107,285,231
MYM00096471,2010-01-18,0,314,NA
MYM00096471,2010-01-19,147,NA,243
MYM00096471,2010-01-20,0,320,NA
MYM00096471,2010-01-21,0,322,NA
MYM00096471,2010-01-22,15,315,229
MYM00096471,2010-01-23,0,302,NA
MYM00096471,2010-01-24,15,323,236
MYM00096471,2010-01-25,0,NA,NA
MYM00096471,2010-01-26,0,321,NA
MYM00096471,2010-01-27,0,312,233
MYM00096471,2010-01-28,33,NA,236
MYM00096471,2010-01-29,0,316,NA
MYM00096471,2010-01-30,0,317,NA
MYM00096471,2010-01-31,0,NA,238
MYM00096471,2010-02-01,0,321,NA
MYM00096471,2010-02-02,0,323,NA
MYM00096471,2010-02-03,0,327,239
MYM00096471,2010-02-04,0,322,241
MYM00096471,2010-02-05,0,320,NA
MYM00096471,2010-02-06,0,323,NA
MYM00096471,2010-02-07,0,314,NA
MYM00096471,2010-02-08,0,313,NA
MYM00096471,2010-02-09,0,310,215
MYM00096471,2010-02-10,0,323,238
MYM00096471,2010-02-11,0,323,235
MYM00096471,2010-02-12,0,NA,235
MYM00096471,2010-02-13,0,NA,NA
MYM00096471,2010-02-14,0,324,219
MYM00096471,2010-02-15,0,323,232
MYM00096471,2010-02-16,0,333,NA
MYM00096471,2010-02-17,5,327,238
MYM00096471,2010-02-18,0,325,236
MYM00096471,2010-02-19,0,323,241
MYM00096471,2010-02-20,0,321,NA
MYM00096471,2010-02-21,0,321,234
MYM00096471,2010-02-22,0,319,241
MYM00096471,2010-02-23,0,320,247
MYM00096471,2010-02-24,0,320,NA
MYM00096471,2010-02-25,0,324,NA
MYM00096471,2010-02-26,0,322,249
MYM00096471,2010-02-27,0,NA,246
MYM00096471,2010-02-28,0,326,NA
MYM00096471,2010-03-01,0,326,238
MYM00096471,2010-03-02,0,335,235
MYM00096471,2010-03-03,0,NA,236
MYM00096471,2010-03-04,0,NA,244
MYM00096471,2010-03-05,0,NA,246
MYM00096471,2010-03-06,0,335,248
MYM00096471,2010-03-07,0,NA,250
MYM00096471,2010-03-08,0,330,257
MYM00096471,2010-03-09,0,338,255
MYM00096471,2010-03-10,0,330,NA
MYM00096471,2010-03-11,0,NA,NA
MYM00096471,2010-03-12,0,NA,240
MYM00096471,2010-03-13,0,336,243
MYM00096471,2010-03-14,0,NA,245
MYM00096471,2010-03-15,0,341,NA
MYM00096471,2010-03-16,0,NA,NA
MYM00096471,2010-03-17,0,334,225
MYM00096471,2010-03-18,0,334,239
MYM00096471,2010-03-19,0,337,244
MYM00096471,2010-03-20,0,330,249
MYM00096471,2010-03-21,0,326,249
MYM00096471,2010-03-22,0,NA,NA
MYM00096471,2010-03-23,0,NA,252
MYM00096471,2010-03-24,3,334,NA
MYM00096471,2010-03-25,0,331,NA
