id,date,prcp,tmax,tmin
MZ000067295,2010-01-01,NA,326,NA
MZ000067295,2010-01-02,NA,334,180
MZ000067295,2010-01-03,NA,NA,215
MZ000067295,2010-01-04,NA,336,215
MZ000067295,2010-01-05,NA,NA,220
MZ000067295,2010-01-06,NA,NA,NA
MZ000067295,2010-01-07,NA,NA,203
MZ000067295,2010-01-08,51,NA,202
MZ000067295,2010-01-09,0,307,197
MZ000067295,2010-01-10,NA,304,208
MZ000067295,2010-01-11,NA,NA,NA
MZ000067295,2010-01-12,NA,318,NA
MZ000067295,2010-01-13,NA,NA,NA
MZ000067295,2010-01-14,NA,NA,NA
MZ000067295,2010-01-15,NA,NA,NA
MZ000067295,2010-01-16,NA,351,225
MZ000067295,2010-01-17,NA,NA,NA
MZ000067295,2010-01-18,0,NA,214
MZ000067295,2010-01-19,NA,NA,197
MZ000067295,2010-01-20,NA,NA,NA
MZ000067295,2010-01-21,NA,NA,NA
MZ000067295,2010-01-22,NA,NA,NA
MZ000067295,2010-01-23,NA,NA,210
MZ000067295,2010-01-24,NA,NA,199
MZ000067295,2010-01-25,NA,NA,NA
MZ000067295,2010-01-26,NA,NA,NA
MZ000067295,2010-01-27,NA,NA,NA
MZ000067295,2010-01-28,NA,322,NA
MZ000067295,2010-01-29,79,NA,NA
MZ000067295,2010-01-30,30,NA,184
MZ000067295,2010-01-31,61,NA,194
MZ000067295,2010-02-01,0,311,219
MZ000067295,2010-02-02,0,322,NA
MZ000067295,2010-02-03,NA,298,196
MZ000067295,2010-02-04,NA,320,NA
MZ000067295,2010-02-05,NA,306,200
MZ000067295,2010-02-06,NA,300,NA
MZ000067295,2010-02-07,NA,310,196
MZ000067295,2010-02-08,NA,305,NA
MZ000067295,2010-02-09,130,256,210
MZ000067295,2010-02-10,10,281,206
MZ000067295,2010-02-11,0,311,205
MZ000067295,2010-02-12,NA,313,NA
MZ000067295,2010-02-13,NA,331,232
MZ000067295,2010-02-14,NA,NA,NA
MZ000067295,2010-02-15,150,NA,200
MZ000067295,2010-02-16,0,300,216
MZ000067295,2010-02-17,8,NA,215
MZ000067295,2010-02-18,20,289,211
MZ000067295,2010-02-19,0,258,NA
MZ000067295,2010-02-20,640,NA,210
