id,date,prcp,tmax,tmin
NG000001052,2010-01-01,NA,NA,154
NG000001052,2010-01-02,NA,342,NA
NG000001052,2010-01-03,NA,344,NA
NG000001052,2010-01-04,NA,346,142
NG000001052,2010-01-05,NA,330,138
NG000001052,2010-01-06,NA,350,NA
NG000001052,2010-01-07,NA,354,NA
NG000001052,2010-01-08,NA,350,NA
NG000001052,2010-01-09,NA,350,154
NG000001052,2010-01-10,NA,350,NA
NG000001052,2010-01-11,NA,352,165
NG000001052,2010-01-12,NA,NA,162
NG000001052,2010-01-13,NA,364,166
NG000001052,2010-01-14,NA,362,170
NG000001052,2010-01-15,NA,356,NA
NG000001052,2010-01-16,NA,NA,155
NG000001052,2010-01-17,NA,354,175
NG000001052,2010-01-18,NA,NA,NA
NG000001052,2010-01-19,NA,324,150
NG000001052,2010-01-20,NA,NA,155
NG000001052,2010-01-21,NA,345,170
NG000001052,2010-01-22,NA,NA,156
NG000001052,2010-01-23,NA,NA,NA
NG000001052,2010-01-24,NA,NA,155
NG000001052,2010-01-25,NA,355,176
NG000001052,2010-01-26,NA,NA,200
NG000001052,2010-01-27,NA,365,190
NG000001052,2010-01-28,NA,365,190
NG000001052,2010-01-29,NA,354,NA
NG000001052,2010-01-30,NA,365,181
NG000001052,2010-01-31,NA,355,182
NG000001052,2010-02-01,NA,355,180
NG000001052,2010-02-02,NA,358,164
NG000001052,2010-02-03,NA,375,166
NG000001052,2010-02-04,NA,375,NA
NG000001052,2010-02-05,NA,360,NA
NG000001052,2010-02-06,NA,340,210
NG000001052,2010-02-07,NA,NA,NA
NG000001052,2010-02-08,NA,342,180
NG000001052,2010-02-09,NA,363,NA
NG000001052,2010-02-10,NA,374,165
NG000001052,2010-02-11,NA,NA,186
NG000001052,2010-02-12,NA,NA,NA
NG000001052,2010-02-13,NA,375,240
NG000001052,2010-02-14,NA,395,220
NG000001052,2010-02-15,NA,NA,214
NG000001052,2010-02-16,NA,415,NA
NG000001052,2010-02-17,NA,415,239
NG000001052,2010-02-18,NA,NA,235
NG000001052,2010-02-19,NA,426,235
NG000001052,2010-02-20,NA,427,NA
NG000001052,2010-02-21,NA,NA,236
NG000001052,2010-02-22,NA,430,235
NG000001052,2010-02-23,NA,421,235
NG000001052,2010-02-24,NA,425,240
NG000001052,2010-02-25,NA,NA,228
NG000001052,2010-02-26,NA,420,220
NG000001052,2010-02-27,NA,NA,256
NG000001052,2010-02-28,NA,NA,250
NG000001052,2010-03-01,NA,405,NA
NG000001052,2010-03-02,NA,NA,250
NG000001052,2010-03-03,NA,400,250
NG000001052,2010-03-04,NA,395,NA
NG000001052,2010-03-05,NA,401,218
NG000001052,2010-03-06,NA,NA,220
NG000001052,2010-03-07,NA,NA,247
NG000001052,2010-03-08,NA,NA,NA
NG000001052,2010-03-09,NA,NA,NA
NG000001052,2010-03-10,NA,396,255
NG000001052,2010-03-11,NA,414,NA
NG000001052,2010-03-12,NA,410,290
NG000001052,2010-03-13,NA,NA,274
NG000001052,2010-03-14,NA,425,260
NG000001052,2010-03-15,NA,NA,255
NG000001052,2010-03-16,NA,410,NA
NG000001052,2010-03-17,NA,NA,265
NG000001052,2010-03-18,NA,420,262
NG000001052,2010-03-19,NA,385,300
NG000001052,2010-03-20,NA,366,274
NG000001052,2010-03-21,NA,351,268
NG000001052,2010-03-22,NA,NA,240
NG000001052,2010-03-23,NA,NA,237
NG000001052,2010-03-24,NA,372,NA
NG000001052,2010-03-25,NA,384,196
NG000001052,2010-03-26,NA,390,NA
NG000001052,2010-03-27,NA,NA,227
NG000001052,2010-03-28,NA,390,280
NG000001052,2010-03-29,NA,400,NA
NG000001052,2010-03-30,NA,398,270
NG000001052,2010-03-31,NA,NA,250
NG000001052,2010-04-01,NA,415,268
NG000001052,2010-04-02,NA,420,260
NG000001052,2010-04-03,NA,425,250
NG000001052,2010-04-04,NA,NA,256
NG000001052,2010-04-05,NA,410,274
NG000001052,2010-04-06,NA,NA,275
NG000001052,2010-04-07,NA,432,275
NG000001052,2010-04-08,NA,422,298
NG000001052,2010-04-09,NA,420,NA
NG000001052,2010-04-10,NA,435,260
NG000001052,2010-04-11,NA,NA,NA
NG000001052,2010-04-12,NA,435,NA
NG000001052,2010-04-13,NA,435,300
NG000001052,2010-04-14,NA,434,315
NG000001052,2010-04-15,NA,445,320
NG000001052,2010-04-16,NA,425,320
NG000001052,2010-04-17,NA,424,315
NG000001052,2010-04-18,NA,457,313
NG000001052,2010-04-19,NA,462,323
NG000001052,2010-04-20,NA,444,330
NG000001052,2010-04-21,NA,450,318
NG000001052,2010-04-22,NA,446,322
NG000001052,2010-04-23,51,400,NA
NG000001052,2010-04-24,0,380,318
NG000001052,2010-04-25,NA,415,307
NG000001052,2010-04-26,NA,418,320
NG000001052,2010-04-27,20,350,236
NG000001052,2010-04-28,0,NA,275
NG000001052,2010-04-29,NA,435,295
NG000001052,2010-04-30,NA,421,305
NG000001052,2010-05-01,NA,415,310
NG000001052,2010-05-02,NA,NA,NA
NG000001052,2010-05-03,89,403,235
NG000001052,2010-05-04,8,NA,265
NG000001052,2010-05-05,0,410,310
NG000001052,2010-05-06,NA,395,305
NG000001052,2010-05-07,NA,366,265
NG000001052,2010-05-08,NA,410,294
NG000001052,2010-05-09,5,420,286
NG000001052,2010-05-10,0,436,312
NG000001052,2010-05-11,NA,432,NA
NG000001052,2010-05-12,NA,397,288
NG000001052,2010-05-13,NA,NA,305
NG000001052,2010-05-14,NA,NA,314
NG000001052,2010-05-15,NA,425,295
NG000001052,2010-05-16,NA,434,315
NG000001052,2010-05-17,NA,445,325
NG000001052,2010-05-18,NA,440,306
NG000001052,2010-05-19,NA,426,317
NG000001052,2010-05-20,NA,402,NA
NG000001052,2010-05-21,130,331,250
NG000001052,2010-05-22,0,395,270
NG000001052,2010-05-23,NA,426,305
NG000001052,2010-05-24,NA,402,286
NG000001052,2010-05-25,NA,423,303
NG000001052,2010-05-26,NA,425,306
NG000001052,2010-05-27,NA,410,305
NG000001052,2010-05-28,0,400,300
NG000001052,2010-05-29,30,354,264
NG000001052,2010-05-30,0,408,270
NG000001052,2010-05-31,NA,390,300
NG000001052,2010-06-01,0,340,NA
NG000001052,2010-06-02,NA,380,260
NG000001052,2010-06-03,NA,386,NA
NG000001052,2010-06-04,170,362,220
NG000001052,2010-06-05,0,NA,242
