id,date,prcp,tmax,tmin
NGM00061053,2010-01-01,NA,NA,NA
NGM00061053,2010-01-02,NA,NA,NA
NGM00061053,2010-01-03,NA,NA,NA
NGM00061053,2010-01-04,NA,NA,NA
NGM00061053,2010-01-05,NA,NA,NA
NGM00061053,2010-01-06,NA,NA,NA
NGM00061053,2010-01-07,NA,NA,NA
NGM00061053,2010-01-08,NA,NA,NA
NGM00061053,2010-01-09,NA,NA,NA
NGM00061053,2010-01-10,NA,NA,NA
NGM00061053,2010-01-11,NA,NA,NA
NGM00061053,2010-01-12,NA,NA,NA
NGM00061053,2010-01-13,NA,NA,NA
NGM00061053,2010-01-14,NA,357,130
NGM00061053,2010-01-15,NA,360,125
NGM00061053,2010-01-16,NA,NA,130
NGM00061053,2010-01-17,NA,NA,NA
NGM00061053,2010-01-18,NA,305,NA
NGM00061053,2010-01-19,NA,NA,NA
NGM00061053,2010-01-20,NA,NA,NA
NGM00061053,2010-01-21,NA,NA,NA
NGM00061053,2010-01-22,NA,NA,NA
NGM00061053,2010-01-23,NA,NA,NA
NGM00061053,2010-01-24,NA,NA,NA
NGM00061053,2010-01-25,NA,NA,NA
NGM00061053,2010-01-26,NA,NA,NA
NGM00061053,2010-01-27,NA,NA,NA
NGM00061053,2010-01-28,NA,NA,NA
NGM00061053,2010-01-29,NA,NA,NA
NGM00061053,2010-01-30,NA,NA,NA
NGM00061053,2010-01-31,NA,NA,NA
NGM00061053,2010-02-01,NA,NA,NA
NGM00061053,2010-02-02,NA,NA,NA
NGM00061053,2010-02-03,NA,NA,NA
NGM00061053,2010-02-04,NA,NA,NA
NGM00061053,2010-02-05,NA,NA,NA
NGM00061053,2010-02-06,NA,NA,NA
NGM00061053,2010-02-07,NA,NA,NA
NGM00061053,2010-02-08,NA,NA,NA
NGM00061053,2010-02-09,NA,NA,NA
NGM00061053,2010-02-10,NA,NA,135
NGM00061053,2010-02-11,NA,NA,NA
NGM00061053,2010-02-12,NA,NA,NA
NGM00061053,2010-02-13,NA,NA,NA
NGM00061053,2010-02-14,NA,NA,NA
NGM00061053,2010-02-15,NA,NA,NA
NGM00061053,2010-02-16,NA,NA,NA
NGM00061053,2010-02-17,NA,NA,NA
NGM00061053,2010-02-18,NA,NA,NA
NGM00061053,2010-02-19,NA,NA,NA
NGM00061053,2010-02-20,NA,NA,NA
NGM00061053,2010-02-21,NA,NA,NA
NGM00061053,2010-02-22,NA,NA,NA
NGM00061053,2010-02-23,NA,NA,NA
NGM00061053,2010-02-24,NA,NA,NA
NGM00061053,2010-02-25,NA,NA,NA
NGM00061053,2010-02-26,NA,NA,NA
NGM00061053,2010-02-27,NA,NA,NA
NGM00061053,2010-02-28,NA,NA,NA
NGM00061053,2010-07-01,NA,NA,NA
NGM00061053,2010-07-02,NA,NA,NA
NGM00061053,2010-07-03,NA,NA,NA
NGM00061053,2010-07-04,NA,NA,NA
NGM00061053,2010-07-05,NA,NA,NA
NGM00061053,2010-07-06,NA,NA,NA
NGM00061053,2010-07-07,NA,NA,NA
NGM00061053,2010-07-08,NA,NA,NA
NGM00061053,2010-07-09,NA,NA,NA
NGM00061053,2010-07-10,NA,NA,NA
NGM00061053,2010-07-11,NA,NA,NA
NGM00061053,2010-07-12,NA,NA,NA
NGM00061053,2010-07-13,NA,NA,NA
NGM00061053,2010-07-14,NA,NA,NA
NGM00061053,2010-07-15,NA,NA,NA
NGM00061053,2010-07-16,NA,NA,NA
NGM00061053,2010-07-17,NA,NA,NA
NGM00061053,2010-07-18,NA,NA,NA
NGM00061053,2010-07-19,NA,NA,NA
NGM00061053,2010-07-20,NA,NA,NA
NGM00061053,2010-07-21,30,NA,236
NGM00061053,2010-07-22,0,340,235
NGM00061053,2010-07-23,NA,325,237
NGM00061053,2010-07-24,NA,302,235
NGM00061053,2010-07-25,NA,342,242
NGM00061053,2010-07-26,NA,356,252
NGM00061053,2010-07-27,NA,372,240
NGM00061053,2010-07-28,NA,NA,240
NGM00061053,2010-07-29,NA,NA,NA
NGM00061053,2010-07-30,NA,NA,NA
NGM00061053,2010-07-31,NA,NA,NA
NGM00061053,2010-08-01,NA,NA,NA
NGM00061053,2010-08-02,NA,345,NA
NGM00061053,2010-08-03,NA,NA,NA
NGM00061053,2010-08-04,NA,NA,NA
NGM00061053,2010-08-05,NA,NA,NA
NGM00061053,2010-08-06,NA,NA,NA
NGM00061053,2010-08-07,NA,NA,NA
NGM00061053,2010-08-08,NA,NA,NA
NGM00061053,2010-08-09,NA,NA,NA
NGM00061053,2010-08-10,NA,NA,NA
NGM00061053,2010-08-11,NA,NA,NA
NGM00061053,2010-08-12,NA,NA,NA
NGM00061053,2010-08-13,NA,NA,NA
NGM00061053,2010-08-14,NA,NA,NA
NGM00061053,2010-08-15,NA,NA,NA
NGM00061053,2010-08-16,NA,NA,NA
NGM00061053,2010-08-17,NA,NA,NA
NGM00061053,2010-08-18,NA,NA,NA
NGM00061053,2010-08-19,NA,NA,NA
NGM00061053,2010-08-20,NA,NA,NA
NGM00061053,2010-08-21,NA,NA,NA
NGM00061053,2010-08-22,NA,NA,NA
NGM00061053,2010-08-23,NA,NA,NA
NGM00061053,2010-08-24,NA,350,NA
NGM00061053,2010-08-25,NA,339,230
NGM00061053,2010-08-26,371,313,205
NGM00061053,2010-08-27,0,324,230
NGM00061053,2010-08-28,NA,320,NA
NGM00061053,2010-08-29,NA,NA,235
NGM00061053,2010-08-30,NA,300,NA
NGM00061053,2010-08-31,NA,NA,210
NGM00061053,2011-01-01,NA,NA,NA
NGM00061053,2011-01-02,NA,NA,NA
NGM00061053,2011-01-03,NA,NA,NA
NGM00061053,2011-01-04,NA,NA,NA
NGM00061053,2011-01-05,NA,NA,178
NGM00061053,2011-01-06,NA,NA,NA
NGM00061053,2011-01-07,NA,NA,NA
