id,date,tmax,tmin
NIM00065082,2010-01-01,322,NA
NIM00065082,2010-01-02,320,NA
NIM00065082,2010-01-03,NA,115
NIM00065082,2010-01-04,310,107
NIM00065082,2010-01-05,NA,110
NIM00065082,2010-01-06,311,115
NIM00065082,2010-01-07,320,125
NIM00065082,2010-01-08,335,NA
NIM00065082,2010-01-09,NA,NA
NIM00065082,2010-01-10,362,135
NIM00065082,2010-01-11,353,149
NIM00065082,2010-01-12,NA,NA
NIM00065082,2010-01-13,NA,124
NIM00065082,2010-01-14,340,140
NIM00065082,2010-01-15,NA,145
NIM00065082,2010-01-16,NA,149
NIM00065082,2010-01-17,NA,128
NIM00065082,2010-01-18,270,120
NIM00065082,2010-01-19,NA,127
NIM00065082,2010-01-20,NA,NA
NIM00065082,2010-01-21,318,NA
NIM00065082,2010-01-22,330,128
NIM00065082,2010-01-23,341,NA
NIM00065082,2010-01-24,NA,NA
NIM00065082,2010-01-25,372,176
NIM00065082,2010-01-26,379,170
NIM00065082,2010-01-27,NA,191
NIM00065082,2010-01-28,NA,NA
NIM00065082,2010-01-29,NA,NA
NIM00065082,2010-01-30,391,NA
NIM00065082,2010-01-31,384,169
NIM00065082,2010-02-01,NA,NA
NIM00065082,2010-02-02,342,NA
NIM00065082,2010-02-03,NA,165
NIM00065082,2010-02-04,340,164
NIM00065082,2010-02-05,320,177
NIM00065082,2010-02-06,NA,NA
NIM00065082,2010-02-07,NA,120
NIM00065082,2010-02-08,323,120
NIM00065082,2010-02-09,NA,NA
NIM00065082,2010-02-10,NA,NA
NIM00065082,2010-02-11,361,190
NIM00065082,2010-02-12,370,180
NIM00065082,2010-02-13,374,180
NIM00065082,2010-02-14,NA,172
NIM00065082,2010-02-15,390,NA
NIM00065082,2010-02-16,NA,190
NIM00065082,2010-02-17,417,NA
NIM00065082,2010-02-18,414,205
NIM00065082,2010-02-19,427,NA
NIM00065082,2010-02-20,420,230
NIM00065082,2010-02-21,NA,214
NIM00065082,2010-02-22,423,NA
NIM00065082,2010-02-23,417,201
NIM00065082,2010-02-24,413,180
NIM00065082,2010-02-25,NA,192
NIM00065082,2010-02-26,410,225
NIM00065082,2010-02-27,NA,NA
NIM00065082,2010-02-28,NA,NA
NIM00065082,2010-03-01,NA,NA
NIM00065082,2010-03-02,390,NA
NIM00065082,2010-03-03,NA,NA
NIM00065082,2010-03-04,NA,NA
NIM00065082,2010-03-05,404,NA
NIM00065082,2010-03-06,NA,NA
NIM00065082,2010-03-07,NA,NA
NIM00065082,2010-03-08,418,NA
NIM00065082,2010-03-09,NA,NA
NIM00065082,2010-03-10,NA,208
NIM00065082,2010-03-11,NA,NA
NIM00065082,2010-03-12,440,NA
NIM00065082,2010-03-13,NA,NA
NIM00065082,2010-03-14,420,NA
NIM00065082,2010-03-15,NA,NA
NIM00065082,2010-03-16,NA,NA
NIM00065082,2010-03-17,NA,278
NIM00065082,2010-03-18,NA,NA
NIM00065082,2010-03-19,331,NA
NIM00065082,2010-03-20,NA,215
NIM00065082,2010-03-21,NA,NA
NIM00065082,2010-03-22,NA,190
NIM00065082,2010-03-23,NA,NA
NIM00065082,2010-03-24,NA,NA
NIM00065082,2010-03-25,NA,NA
NIM00065082,2010-03-26,NA,NA
NIM00065082,2010-03-27,NA,195
NIM00065082,2010-03-28,NA,NA
NIM00065082,2010-03-29,NA,174
NIM00065082,2010-03-30,402,NA
NIM00065082,2010-03-31,407,NA
NIM00065082,2010-04-01,NA,223
NIM00065082,2010-04-02,NA,NA
NIM00065082,2010-04-03,408,NA
NIM00065082,2010-04-04,425,NA
NIM00065082,2010-04-05,NA,NA
NIM00065082,2010-04-06,430,224
NIM00065082,2010-04-07,NA,NA
NIM00065082,2010-04-08,NA,235
NIM00065082,2010-04-09,NA,NA
NIM00065082,2010-04-10,417,NA
NIM00065082,2010-04-11,NA,NA
NIM00065082,2010-04-12,NA,243
NIM00065082,2010-04-13,449,242
NIM00065082,2010-04-14,NA,NA
NIM00065082,2010-04-15,432,NA
NIM00065082,2010-04-16,NA,269
NIM00065082,2010-04-17,NA,270
NIM00065082,2010-04-18,NA,255
NIM00065082,2010-04-19,455,259
NIM00065082,2010-04-20,NA,NA
NIM00065082,2010-04-21,450,292
NIM00065082,2010-04-22,NA,296
NIM00065082,2010-04-23,NA,NA
NIM00065082,2010-04-24,NA,266
NIM00065082,2010-04-25,424,288
NIM00065082,2010-04-26,NA,NA
NIM00065082,2010-04-27,NA,NA
NIM00065082,2010-04-28,NA,NA
NIM00065082,2010-04-29,NA,NA
NIM00065082,2010-04-30,405,NA
NIM00065082,2010-05-01,NA,NA
NIM00065082,2010-05-02,NA,NA
NIM00065082,2010-05-03,NA,272
NIM00065082,2010-05-04,417,NA
NIM00065082,2010-05-05,422,NA
NIM00065082,2010-05-06,NA,NA
NIM00065082,2010-05-07,NA,260
NIM00065082,2010-05-08,NA,280
NIM00065082,2010-05-09,NA,NA
NIM00065082,2010-05-10,NA,NA
NIM00065082,2010-05-11,NA,NA
NIM00065082,2010-05-12,NA,280
NIM00065082,2010-05-13,435,285
NIM00065082,2010-05-14,NA,NA
NIM00065082,2010-05-15,NA,NA
NIM00065082,2010-05-16,NA,305
NIM00065082,2010-05-17,NA,NA
NIM00065082,2010-05-18,NA,285
NIM00065082,2010-05-19,NA,298
NIM00065082,2010-05-20,NA,269
NIM00065082,2010-05-21,NA,302
NIM00065082,2010-05-22,405,280
NIM00065082,2010-05-23,NA,NA
NIM00065082,2010-05-24,420,283
NIM00065082,2010-05-25,417,305
NIM00065082,2010-05-26,NA,NA
NIM00065082,2010-05-27,NA,NA
NIM00065082,2010-05-28,NA,259
NIM00065082,2010-05-29,NA,276
NIM00065082,2010-05-30,NA,NA
NIM00065082,2010-05-31,NA,NA
NIM00065082,2010-06-01,NA,NA
NIM00065082,2010-06-02,NA,NA
NIM00065082,2010-06-03,NA,NA
NIM00065082,2010-06-04,NA,NA
NIM00065082,2010-06-05,NA,NA
NIM00065082,2010-06-06,NA,NA
NIM00065082,2010-06-07,NA,NA
NIM00065082,2010-06-08,NA,NA
NIM00065082,2010-06-09,NA,NA
NIM00065082,2010-06-10,NA,NA
NIM00065082,2010-06-11,NA,NA
NIM00065082,2010-06-12,NA,NA
NIM00065082,2010-06-13,NA,NA
NIM00065082,2010-06-14,NA,NA
NIM00065082,2010-06-15,NA,NA
NIM00065082,2010-06-16,NA,NA
NIM00065082,2010-06-17,NA,NA
NIM00065082,2010-06-18,NA,NA
NIM00065082,2010-06-19,NA,NA
NIM00065082,2010-06-20,NA,NA
NIM00065082,2010-06-21,NA,NA
NIM00065082,2010-06-22,NA,NA
NIM00065082,2010-06-23,NA,NA
NIM00065082,2010-06-24,NA,NA
NIM00065082,2010-06-25,NA,NA
NIM00065082,2010-06-26,NA,NA
NIM00065082,2010-06-27,NA,NA
NIM00065082,2010-06-28,NA,NA
NIM00065082,2010-06-29,NA,NA
NIM00065082,2010-06-30,NA,277
NIM00065082,2010-07-01,NA,255
NIM00065082,2010-07-02,NA,NA
NIM00065082,2010-07-03,317,NA
NIM00065082,2010-07-04,NA,NA
NIM00065082,2010-07-05,NA,NA
NIM00065082,2010-07-06,NA,228
NIM00065082,2010-07-07,338,256
NIM00065082,2010-07-08,NA,NA
NIM00065082,2010-07-09,NA,NA
NIM00065082,2010-07-10,NA,218
NIM00065082,2010-07-11,NA,248
NIM00065082,2010-07-12,NA,NA
