id,date,tmax,tmin
NLE00102462,2010-01-01,13,-71
NLE00102462,2010-01-02,18,-70
NLE00102462,2010-01-03,5,-117
NLE00102462,2010-01-04,1,-109
NLE00102462,2010-01-05,5,-41
NLE00102462,2010-01-06,-23,-109
NLE00102462,2010-01-07,-19,-136
NLE00102462,2010-01-08,-26,-147
NLE00102462,2010-01-09,-6,-45
NLE00102462,2010-01-10,-4,-35
NLE00102462,2010-01-11,3,-32
NLE00102462,2010-01-12,-3,-17
NLE00102462,2010-01-13,8,-40
NLE00102462,2010-01-14,43,-34
NLE00102462,2010-01-15,21,-45
NLE00102462,2010-01-16,37,9
NLE00102462,2010-01-17,73,35
NLE00102462,2010-01-18,61,11
NLE00102462,2010-01-19,57,27
NLE00102462,2010-01-20,44,12
NLE00102462,2010-01-21,36,19
NLE00102462,2010-01-22,69,7
NLE00102462,2010-01-23,44,6
NLE00102462,2010-01-24,25,6
NLE00102462,2010-01-25,18,-32
NLE00102462,2010-01-26,-26,-92
NLE00102462,2010-01-27,38,-102
NLE00102462,2010-01-28,44,6
NLE00102462,2010-01-29,41,2
NLE00102462,2010-01-30,20,-16
NLE00102462,2010-01-31,32,-17
NLE00102462,2010-02-01,34,-14
NLE00102462,2010-02-02,69,1
NLE00102462,2010-02-03,58,-9
NLE00102462,2010-02-04,85,33
NLE00102462,2010-02-05,80,-12
NLE00102462,2010-02-06,42,-20
NLE00102462,2010-02-07,26,10
NLE00102462,2010-02-08,16,-38
NLE00102462,2010-02-09,-14,-49
NLE00102462,2010-02-10,-12,-64
NLE00102462,2010-02-11,-9,-56
NLE00102462,2010-02-12,5,-97
NLE00102462,2010-02-13,-8,-73
NLE00102462,2010-02-14,2,-99
NLE00102462,2010-02-15,-5,-77
NLE00102462,2010-02-16,36,-38
NLE00102462,2010-02-17,24,-85
NLE00102462,2010-02-18,70,5
NLE00102462,2010-02-19,68,7
NLE00102462,2010-02-20,53,-43
NLE00102462,2010-02-21,61,-43
NLE00102462,2010-02-22,96,18
NLE00102462,2010-02-23,35,22
NLE00102462,2010-02-24,101,28
NLE00102462,2010-02-25,109,75
NLE00102462,2010-02-26,101,54
NLE00102462,2010-02-27,105,43
NLE00102462,2010-02-28,113,37
NLE00102462,2010-03-01,73,-25
NLE00102462,2010-03-02,84,-38
NLE00102462,2010-03-03,71,-54
NLE00102462,2010-03-04,66,-32
NLE00102462,2010-03-05,54,-45
NLE00102462,2010-03-06,42,-37
NLE00102462,2010-03-07,40,-62
NLE00102462,2010-03-08,28,-65
NLE00102462,2010-03-09,50,-48
NLE00102462,2010-03-10,66,-33
NLE00102462,2010-03-11,50,-10
NLE00102462,2010-03-12,69,25
NLE00102462,2010-03-13,85,26
NLE00102462,2010-03-14,78,43
NLE00102462,2010-03-15,108,2
NLE00102462,2010-03-16,107,2
NLE00102462,2010-03-17,147,1
NLE00102462,2010-03-18,184,26
NLE00102462,2010-03-19,160,122
NLE00102462,2010-03-20,177,108
NLE00102462,2010-03-21,117,42
NLE00102462,2010-03-22,133,46
NLE00102462,2010-03-23,148,55
NLE00102462,2010-03-24,188,75
NLE00102462,2010-03-25,201,118
NLE00102462,2010-03-26,140,89
NLE00102462,2010-03-27,135,78
NLE00102462,2010-03-28,117,66
NLE00102462,2010-03-29,155,74
NLE00102462,2010-03-30,127,58
NLE00102462,2010-03-31,92,34
NLE00102462,2010-04-01,94,31
NLE00102462,2010-04-02,134,26
NLE00102462,2010-04-03,123,63
NLE00102462,2010-04-04,100,45
NLE00102462,2010-04-05,118,31
NLE00102462,2010-04-06,175,58
NLE00102462,2010-04-07,203,28
NLE00102462,2010-04-08,131,16
NLE00102462,2010-04-09,161,7
NLE00102462,2010-04-10,139,37
NLE00102462,2010-04-11,118,-9
NLE00102462,2010-04-12,146,25
NLE00102462,2010-04-13,164,46
NLE00102462,2010-04-14,154,12
NLE00102462,2010-04-15,162,32
NLE00102462,2010-04-16,124,16
NLE00102462,2010-04-17,160,-25
NLE00102462,2010-04-18,183,-6
NLE00102462,2010-04-19,142,30
NLE00102462,2010-04-20,123,20
NLE00102462,2010-04-21,120,-20
NLE00102462,2010-04-22,120,-30
NLE00102462,2010-04-23,158,-19
NLE00102462,2010-04-24,207,-6
NLE00102462,2010-04-25,232,34
NLE00102462,2010-04-26,165,59
NLE00102462,2010-04-27,195,60
NLE00102462,2010-04-28,237,42
NLE00102462,2010-04-29,263,94
NLE00102462,2010-04-30,156,96
NLE00102462,2010-05-01,128,56
NLE00102462,2010-05-02,112,53
NLE00102462,2010-05-03,73,49
NLE00102462,2010-05-04,119,42
NLE00102462,2010-05-05,133,-5
NLE00102462,2010-05-06,145,39
NLE00102462,2010-05-07,107,58
NLE00102462,2010-05-08,112,69
NLE00102462,2010-05-09,127,55
NLE00102462,2010-05-10,122,34
NLE00102462,2010-05-11,101,14
NLE00102462,2010-05-12,85,43
NLE00102462,2010-05-13,111,13
NLE00102462,2010-05-14,126,3
NLE00102462,2010-05-15,151,-4
NLE00102462,2010-05-16,158,67
NLE00102462,2010-05-17,162,43
NLE00102462,2010-05-18,167,18
NLE00102462,2010-05-19,174,21
NLE00102462,2010-05-20,210,17
NLE00102462,2010-05-21,207,69
NLE00102462,2010-05-22,210,61
NLE00102462,2010-05-23,249,77
NLE00102462,2010-05-24,238,104
NLE00102462,2010-05-25,204,110
NLE00102462,2010-05-26,113,47
NLE00102462,2010-05-27,156,42
NLE00102462,2010-05-28,167,35
NLE00102462,2010-05-29,210,36
NLE00102462,2010-05-30,166,106
NLE00102462,2010-05-31,147,74
NLE00102462,2010-06-01,163,61
NLE00102462,2010-06-02,214,59
NLE00102462,2010-06-03,236,76
NLE00102462,2010-06-04,257,86
NLE00102462,2010-06-05,276,91
NLE00102462,2010-06-06,241,124
NLE00102462,2010-06-07,200,114
NLE00102462,2010-06-08,233,114
NLE00102462,2010-06-09,193,149
NLE00102462,2010-06-10,212,155
NLE00102462,2010-06-11,200,109
NLE00102462,2010-06-12,197,78
NLE00102462,2010-06-13,174,45
NLE00102462,2010-06-14,233,69
NLE00102462,2010-06-15,185,101
NLE00102462,2010-06-16,235,85
NLE00102462,2010-06-17,247,107
NLE00102462,2010-06-18,169,110
NLE00102462,2010-06-19,157,96
NLE00102462,2010-06-20,136,93
NLE00102462,2010-06-21,187,71
NLE00102462,2010-06-22,216,49
NLE00102462,2010-06-23,269,78
NLE00102462,2010-06-24,263,110
NLE00102462,2010-06-25,259,104
NLE00102462,2010-06-26,270,134
NLE00102462,2010-06-27,291,111
NLE00102462,2010-06-28,287,117
NLE00102462,2010-06-29,264,103
NLE00102462,2010-06-30,267,140
NLE00102462,2010-07-01,296,129
NLE00102462,2010-07-02,341,209
NLE00102462,2010-07-03,269,137
NLE00102462,2010-07-04,256,129
NLE00102462,2010-07-05,228,121
NLE00102462,2010-07-06,215,86
NLE00102462,2010-07-07,282,72
NLE00102462,2010-07-08,296,127
NLE00102462,2010-07-09,347,185
NLE00102462,2010-07-10,308,172
NLE00102462,2010-07-11,309,174
NLE00102462,2010-07-12,255,142
NLE00102462,2010-07-13,270,126
NLE00102462,2010-07-14,282,164
NLE00102462,2010-07-15,238,160
NLE00102462,2010-07-16,221,139
NLE00102462,2010-07-17,226,127
NLE00102462,2010-07-18,239,118
NLE00102462,2010-07-19,278,111
NLE00102462,2010-07-20,307,133
NLE00102462,2010-07-21,248,164
NLE00102462,2010-07-22,243,110
NLE00102462,2010-07-23,218,97
NLE00102462,2010-07-24,217,122
NLE00102462,2010-07-25,219,116
NLE00102462,2010-07-26,213,110
NLE00102462,2010-07-27,226,113
NLE00102462,2010-07-28,232,133
NLE00102462,2010-07-29,208,119
NLE00102462,2010-07-30,233,133
NLE00102462,2010-07-31,241,153
NLE00102462,2010-08-01,224,147
NLE00102462,2010-08-02,211,117
NLE00102462,2010-08-03,228,94
NLE00102462,2010-08-04,212,133
NLE00102462,2010-08-05,193,97
NLE00102462,2010-08-06,235,92
NLE00102462,2010-08-07,221,148
NLE00102462,2010-08-08,212,132
NLE00102462,2010-08-09,231,122
NLE00102462,2010-08-10,230,133
NLE00102462,2010-08-11,214,97
NLE00102462,2010-08-12,205,88
NLE00102462,2010-08-13,193,104
NLE00102462,2010-08-14,231,78
NLE00102462,2010-08-15,222,154
NLE00102462,2010-08-16,215,157
NLE00102462,2010-08-17,181,148
NLE00102462,2010-08-18,197,132
NLE00102462,2010-08-19,220,127
NLE00102462,2010-08-20,284,137
NLE00102462,2010-08-21,268,175
NLE00102462,2010-08-22,244,169
NLE00102462,2010-08-23,223,160
NLE00102462,2010-08-24,208,132
NLE00102462,2010-08-25,205,136
NLE00102462,2010-08-26,235,145
NLE00102462,2010-08-27,180,92
NLE00102462,2010-08-28,183,84
NLE00102462,2010-08-29,162,110
NLE00102462,2010-08-30,194,93
NLE00102462,2010-08-31,190,60
NLE00102462,2010-09-01,184,51
NLE00102462,2010-09-02,186,63
NLE00102462,2010-09-03,181,76
NLE00102462,2010-09-04,191,69
NLE00102462,2010-09-05,199,59
NLE00102462,2010-09-06,210,80
NLE00102462,2010-09-07,186,116
NLE00102462,2010-09-08,200,121
NLE00102462,2010-09-09,213,134
NLE00102462,2010-09-10,184,143
NLE00102462,2010-09-11,233,138
NLE00102462,2010-09-12,197,91
NLE00102462,2010-09-13,194,87
NLE00102462,2010-09-14,179,137
NLE00102462,2010-09-15,171,110
NLE00102462,2010-09-16,162,94
NLE00102462,2010-09-17,162,80
NLE00102462,2010-09-18,162,72
NLE00102462,2010-09-19,162,75
NLE00102462,2010-09-20,193,119
NLE00102462,2010-09-21,207,116
NLE00102462,2010-09-22,226,78
NLE00102462,2010-09-23,210,116
NLE00102462,2010-09-24,178,111
NLE00102462,2010-09-25,150,83
NLE00102462,2010-09-26,142,56
NLE00102462,2010-09-27,126,36
NLE00102462,2010-09-28,152,108
NLE00102462,2010-09-29,158,97
NLE00102462,2010-09-30,167,72
NLE00102462,2010-10-01,170,50
NLE00102462,2010-10-02,175,128
NLE00102462,2010-10-03,236,140
NLE00102462,2010-10-04,227,133
NLE00102462,2010-10-05,198,146
NLE00102462,2010-10-06,188,121
NLE00102462,2010-10-07,183,72
NLE00102462,2010-10-08,188,103
NLE00102462,2010-10-09,202,91
NLE00102462,2010-10-10,200,67
NLE00102462,2010-10-11,171,42
NLE00102462,2010-10-12,139,43
NLE00102462,2010-10-13,122,34
NLE00102462,2010-10-14,120,15
NLE00102462,2010-10-15,132,84
NLE00102462,2010-10-16,120,45
NLE00102462,2010-10-17,112,-10
NLE00102462,2010-10-18,124,-22
NLE00102462,2010-10-19,132,67
NLE00102462,2010-10-20,101,30
NLE00102462,2010-10-21,109,27
NLE00102462,2010-10-22,118,57
NLE00102462,2010-10-23,87,50
NLE00102462,2010-10-24,120,12
NLE00102462,2010-10-25,112,1
NLE00102462,2010-10-26,93,0
NLE00102462,2010-10-27,116,69
NLE00102462,2010-10-28,144,84
NLE00102462,2010-10-29,151,80
NLE00102462,2010-10-30,145,70
NLE00102462,2010-10-31,146,55
NLE00102462,2010-11-01,107,50
NLE00102462,2010-11-02,128,75
NLE00102462,2010-11-03,151,117
NLE00102462,2010-11-04,170,144
NLE00102462,2010-11-05,149,131
NLE00102462,2010-11-06,145,37
NLE00102462,2010-11-07,81,27
NLE00102462,2010-11-08,75,28
NLE00102462,2010-11-09,83,44
NLE00102462,2010-11-10,89,25
NLE00102462,2010-11-11,119,35
NLE00102462,2010-11-12,140,103
NLE00102462,2010-11-13,141,88
NLE00102462,2010-11-14,139,78
NLE00102462,2010-11-15,107,5
NLE00102462,2010-11-16,97,-18
NLE00102462,2010-11-17,55,23
NLE00102462,2010-11-18,69,38
NLE00102462,2010-11-19,90,56
NLE00102462,2010-11-20,91,5
NLE00102462,2010-11-21,61,-7
NLE00102462,2010-11-22,59,-6
NLE00102462,2010-11-23,64,8
NLE00102462,2010-11-24,57,17
NLE00102462,2010-11-25,32,-15
NLE00102462,2010-11-26,23,-33
