id,date,prcp,tmax,tmin
NO000050540,2010-01-01,0,-19,-64
NO000050540,2010-01-02,1,-27,-99
NO000050540,2010-01-03,0,-29,-100
NO000050540,2010-01-04,11,-1,-42
NO000050540,2010-01-05,8,-27,-82
NO000050540,2010-01-06,0,-35,-113
NO000050540,2010-01-07,10,-58,-103
NO000050540,2010-01-08,0,-70,-124
NO000050540,2010-01-09,0,-91,-134
NO000050540,2010-01-10,0,-48,-108
NO000050540,2010-01-11,0,-37,-99
NO000050540,2010-01-12,0,-19,-83
NO000050540,2010-01-13,0,4,-67
NO000050540,2010-01-14,0,24,-54
NO000050540,2010-01-15,0,15,-49
NO000050540,2010-01-16,0,47,-12
NO000050540,2010-01-17,0,45,-1
NO000050540,2010-01-18,8,24,-3
NO000050540,2010-01-19,2,22,-5
NO000050540,2010-01-20,12,9,-32
NO000050540,2010-01-21,0,13,-39
NO000050540,2010-01-22,0,26,-47
NO000050540,2010-01-23,0,5,-28
NO000050540,2010-01-24,0,21,-40
NO000050540,2010-01-25,0,9,-25
NO000050540,2010-01-26,0,16,-7
NO000050540,2010-01-27,54,63,3
NO000050540,2010-01-28,113,31,-6
NO000050540,2010-01-29,3,-1,-66
NO000050540,2010-01-30,2,-6,-59
NO000050540,2010-01-31,146,6,-62
NO000050540,2010-02-01,0,-14,-94
NO000050540,2010-02-02,32,10,-56
NO000050540,2010-02-03,0,11,-81
NO000050540,2010-02-04,0,18,-87
NO000050540,2010-02-05,21,27,-16
NO000050540,2010-02-06,0,47,-9
NO000050540,2010-02-07,0,41,-21
NO000050540,2010-02-08,0,40,-27
NO000050540,2010-02-09,0,30,-59
NO000050540,2010-02-10,0,7,-81
NO000050540,2010-02-11,9,40,-15
NO000050540,2010-02-12,3,49,-47
NO000050540,2010-02-13,0,47,-54
NO000050540,2010-02-14,0,32,-46
NO000050540,2010-02-15,0,34,9
NO000050540,2010-02-16,0,45,-10
NO000050540,2010-02-17,0,12,-49
NO000050540,2010-02-18,0,20,-38
NO000050540,2010-02-19,0,13,-54
NO000050540,2010-02-20,0,-8,-74
NO000050540,2010-02-21,5,-40,-61
NO000050540,2010-02-22,69,-4,-44
NO000050540,2010-02-23,77,19,-54
NO000050540,2010-02-24,65,1,-44
NO000050540,2010-02-25,108,39,-41
NO000050540,2010-02-26,1,46,-42
NO000050540,2010-02-27,0,34,-19
NO000050540,2010-02-28,0,44,-69
NO000050540,2010-03-01,0,49,-60
