id,date,prcp,tmax,tmin
NSM00081225,2010-01-01,0,315,206
NSM00081225,2010-01-02,NA,NA,NA
NSM00081225,2010-01-03,NA,316,NA
NSM00081225,2010-01-04,51,NA,219
NSM00081225,2010-01-05,41,312,229
NSM00081225,2010-01-06,140,NA,230
NSM00081225,2010-01-07,0,314,203
NSM00081225,2010-01-08,0,NA,205
NSM00081225,2010-01-09,0,318,198
NSM00081225,2010-01-10,0,NA,224
NSM00081225,2010-01-11,0,315,225
NSM00081225,2010-01-12,71,NA,215
NSM00081225,2010-01-13,61,NA,205
NSM00081225,2010-01-14,0,316,NA
NSM00081225,2010-01-15,NA,NA,238
NSM00081225,2010-01-16,NA,NA,240
NSM00081225,2010-01-17,160,317,235
NSM00081225,2010-01-18,109,NA,234
NSM00081225,2010-01-19,89,NA,226
NSM00081225,2010-01-20,0,316,213
NSM00081225,2010-01-21,0,312,NA
NSM00081225,2010-01-22,0,316,210
NSM00081225,2010-01-23,0,319,205
NSM00081225,2010-01-24,0,312,224
NSM00081225,2010-01-25,10,NA,223
NSM00081225,2010-01-26,71,310,213
NSM00081225,2010-01-27,20,NA,214
NSM00081225,2010-01-28,0,316,200
NSM00081225,2010-01-29,0,321,NA
NSM00081225,2010-01-30,5,300,NA
NSM00081225,2010-01-31,119,290,235
NSM00081225,2010-02-01,51,290,232
NSM00081225,2010-02-02,5,290,NA
NSM00081225,2010-02-03,30,NA,230
NSM00081225,2010-02-04,79,305,240
NSM00081225,2010-02-05,0,320,222
NSM00081225,2010-02-06,8,NA,226
NSM00081225,2010-02-07,69,NA,NA
NSM00081225,2010-02-08,3,NA,234
NSM00081225,2010-02-09,0,NA,233
NSM00081225,2010-02-10,0,320,206
NSM00081225,2010-02-11,0,NA,194
NSM00081225,2010-02-12,0,325,214
NSM00081225,2010-02-13,20,NA,205
NSM00081225,2010-02-14,0,NA,208
NSM00081225,2010-02-15,0,NA,210
NSM00081225,2010-02-16,5,330,226
NSM00081225,2010-02-17,0,NA,NA
NSM00081225,2010-02-18,51,317,240
NSM00081225,2010-02-19,56,321,NA
NSM00081225,2010-02-20,10,316,NA
NSM00081225,2010-02-21,20,330,231
NSM00081225,2010-02-22,48,280,NA
NSM00081225,2010-02-23,279,293,238
NSM00081225,2010-02-24,5,NA,240
NSM00081225,2010-02-25,0,318,245
NSM00081225,2010-02-26,0,NA,240
NSM00081225,2010-02-27,0,334,NA
NSM00081225,2010-02-28,23,328,NA
NSM00081225,2010-03-01,10,NA,224
NSM00081225,2010-03-02,30,335,238
NSM00081225,2010-03-03,30,330,NA
NSM00081225,2010-03-04,10,NA,245
NSM00081225,2010-03-05,99,324,228
NSM00081225,2010-03-06,8,330,215
NSM00081225,2010-03-07,0,330,236
NSM00081225,2010-03-08,310,NA,238
NSM00081225,2010-03-09,41,NA,230
NSM00081225,2010-03-10,51,328,243
NSM00081225,2010-03-11,51,NA,NA
NSM00081225,2010-03-12,0,NA,216
NSM00081225,2010-03-13,0,NA,NA
NSM00081225,2010-03-14,NA,NA,240
NSM00081225,2010-03-15,30,326,235
NSM00081225,2010-03-16,150,305,240
NSM00081225,2010-03-17,8,NA,236
NSM00081225,2010-03-18,99,NA,238
NSM00081225,2010-03-19,30,NA,NA
NSM00081225,2010-03-20,10,NA,215
NSM00081225,2010-03-21,61,NA,218
NSM00081225,2010-03-22,0,324,205
NSM00081225,2010-03-23,0,NA,207
NSM00081225,2010-03-24,61,330,235
NSM00081225,2010-03-25,41,305,238
NSM00081225,2010-03-26,0,NA,NA
NSM00081225,2010-03-27,5,312,NA
NSM00081225,2010-03-28,10,315,218
NSM00081225,2010-03-29,71,NA,NA
NSM00081225,2010-03-30,79,322,236
NSM00081225,2010-03-31,0,NA,NA
NSM00081225,2010-04-01,109,304,240
NSM00081225,2010-04-02,119,NA,233
NSM00081225,2010-04-03,0,320,235
NSM00081225,2010-04-04,8,327,242
NSM00081225,2010-04-05,30,NA,240
NSM00081225,2010-04-06,46,310,239
NSM00081225,2010-04-07,30,NA,240
NSM00081225,2010-04-08,0,NA,NA
NSM00081225,2010-04-09,0,NA,213
NSM00081225,2010-04-10,0,NA,232
NSM00081225,2010-04-11,5,314,232
NSM00081225,2010-04-12,0,NA,226
NSM00081225,2010-04-13,160,330,NA
NSM00081225,2010-04-14,330,NA,228
NSM00081225,2010-04-15,41,320,240
NSM00081225,2010-04-16,429,305,238
NSM00081225,2010-04-17,0,NA,232
NSM00081225,2010-04-18,231,330,NA
NSM00081225,2010-04-19,0,339,235
NSM00081225,2010-04-20,0,NA,236
NSM00081225,2010-04-21,0,NA,234
NSM00081225,2010-04-22,20,340,244
NSM00081225,2010-04-23,0,NA,242
NSM00081225,2010-04-24,0,338,248
NSM00081225,2010-04-25,41,NA,250
NSM00081225,2010-04-26,41,NA,NA
NSM00081225,2010-04-27,249,334,246
NSM00081225,2010-04-28,71,NA,236
NSM00081225,2010-04-29,30,NA,232
NSM00081225,2010-04-30,221,NA,236
NSM00081225,2010-05-01,290,NA,235
NSM00081225,2010-05-02,0,NA,225
NSM00081225,2010-05-03,0,327,216
NSM00081225,2010-05-04,30,322,240
NSM00081225,2010-05-05,500,NA,NA
NSM00081225,2010-05-06,10,NA,228
NSM00081225,2010-05-07,30,326,240
NSM00081225,2010-05-08,30,316,240
NSM00081225,2010-05-09,490,309,249
NSM00081225,2010-05-10,41,NA,216
NSM00081225,2010-05-11,79,314,238
NSM00081225,2010-05-12,41,321,240
NSM00081225,2010-05-13,109,311,244
NSM00081225,2010-05-14,94,NA,NA
NSM00081225,2010-05-15,71,325,NA
NSM00081225,2010-05-16,137,310,NA
NSM00081225,2010-05-17,13,304,NA
NSM00081225,2010-05-18,150,NA,231
NSM00081225,2010-05-19,20,328,240
NSM00081225,2010-05-20,51,NA,241
NSM00081225,2010-05-21,0,324,NA
NSM00081225,2010-05-22,211,NA,230
NSM00081225,2010-05-23,41,338,237
NSM00081225,2010-05-24,66,297,NA
NSM00081225,2010-05-25,5,NA,240
NSM00081225,2010-05-26,132,320,NA
NSM00081225,2010-05-27,89,316,245
NSM00081225,2010-05-28,89,318,235
NSM00081225,2010-05-29,89,NA,232
NSM00081225,2010-05-30,249,NA,NA
NSM00081225,2010-05-31,541,NA,235
NSM00081225,2010-06-01,20,NA,230
NSM00081225,2010-06-02,41,335,240
NSM00081225,2010-06-03,99,NA,246
NSM00081225,2010-06-04,0,NA,232
NSM00081225,2010-06-05,10,335,234
NSM00081225,2010-06-06,5,NA,226
NSM00081225,2010-06-07,20,322,226
NSM00081225,2010-06-08,0,NA,243
NSM00081225,2010-06-09,NA,NA,NA
NSM00081225,2010-06-10,0,332,230
NSM00081225,2010-06-11,3,NA,240
NSM00081225,2010-06-12,0,NA,NA
NSM00081225,2010-06-13,0,326,NA
NSM00081225,2010-06-14,23,324,NA
NSM00081225,2010-06-15,160,NA,238
NSM00081225,2010-06-16,20,330,230
NSM00081225,2010-06-17,20,NA,232
NSM00081225,2010-06-18,0,329,239
NSM00081225,2010-06-19,NA,NA,NA
NSM00081225,2010-06-20,89,332,232
NSM00081225,2010-06-21,150,NA,224
NSM00081225,2010-06-22,0,320,NA
NSM00081225,2010-06-23,10,NA,225
NSM00081225,2010-06-24,43,329,NA
NSM00081225,2010-06-25,20,NA,229
NSM00081225,2010-06-26,0,NA,NA
NSM00081225,2010-06-27,170,321,233
NSM00081225,2010-06-28,290,NA,239
NSM00081225,2010-06-29,89,320,NA
NSM00081225,2010-06-30,0,301,232
NSM00081225,2010-07-01,201,NA,NA
NSM00081225,2010-07-02,5,NA,NA
NSM00081225,2010-07-03,175,327,234
NSM00081225,2010-07-04,51,324,NA
NSM00081225,2010-07-05,97,326,NA
NSM00081225,2010-07-06,376,312,NA
NSM00081225,2010-07-07,160,NA,NA
NSM00081225,2010-07-08,89,325,226
NSM00081225,2010-07-09,140,331,230
NSM00081225,2010-07-10,89,324,230
