id,date,prcp,tmax,tmin
PE000084752,2010-01-01,NA,210,86
PE000084752,2010-01-02,NA,203,107
PE000084752,2010-01-03,NA,NA,106
PE000084752,2010-01-04,NA,227,113
PE000084752,2010-01-05,NA,218,133
PE000084752,2010-01-06,0,NA,90
PE000084752,2010-01-07,10,NA,113
PE000084752,2010-01-08,0,NA,117
PE000084752,2010-01-09,NA,233,117
PE000084752,2010-01-10,NA,NA,115
PE000084752,2010-01-11,20,193,NA
PE000084752,2010-01-12,0,NA,92
PE000084752,2010-01-13,NA,192,90
PE000084752,2010-01-14,NA,NA,NA
PE000084752,2010-01-15,NA,245,NA
PE000084752,2010-01-16,NA,NA,NA
PE000084752,2010-01-17,NA,233,NA
PE000084752,2010-01-18,NA,NA,NA
PE000084752,2010-01-19,NA,NA,105
PE000084752,2010-01-20,NA,226,119
PE000084752,2010-01-21,NA,225,114
PE000084752,2010-01-22,NA,NA,126
PE000084752,2010-01-23,NA,NA,137
PE000084752,2010-01-24,NA,219,105
PE000084752,2010-01-25,NA,212,106
PE000084752,2010-01-26,NA,NA,98
PE000084752,2010-01-27,NA,225,107
PE000084752,2010-01-28,NA,209,117
PE000084752,2010-01-29,NA,NA,106
PE000084752,2010-01-30,NA,226,NA
PE000084752,2010-01-31,NA,222,NA
PE000084752,2010-02-01,NA,NA,140
PE000084752,2010-02-02,NA,NA,81
PE000084752,2010-02-03,NA,255,144
PE000084752,2010-02-04,NA,NA,140
PE000084752,2010-02-05,NA,NA,NA
PE000084752,2010-02-06,NA,216,NA
PE000084752,2010-02-07,NA,NA,NA
PE000084752,2010-02-08,61,NA,118
PE000084752,2010-02-09,0,NA,136
PE000084752,2010-02-10,NA,NA,NA
PE000084752,2010-02-11,NA,210,116
PE000084752,2010-02-12,NA,212,NA
PE000084752,2010-02-13,NA,218,NA
PE000084752,2010-02-14,NA,216,NA
PE000084752,2010-02-15,NA,213,118
PE000084752,2010-02-16,NA,218,107
PE000084752,2010-02-17,NA,199,105
PE000084752,2010-02-18,NA,NA,123
PE000084752,2010-02-19,NA,221,NA
PE000084752,2010-02-20,NA,NA,136
PE000084752,2010-02-21,NA,239,NA
PE000084752,2010-02-22,30,223,128
PE000084752,2010-02-23,8,NA,NA
PE000084752,2010-02-24,0,216,NA
PE000084752,2010-02-25,NA,199,114
PE000084752,2010-02-26,3,203,118
PE000084752,2010-02-27,0,NA,NA
PE000084752,2010-02-28,NA,NA,105
PE000084752,2010-03-01,NA,226,44
PE000084752,2010-03-02,NA,210,118
PE000084752,2010-03-03,NA,NA,107
PE000084752,2010-03-04,NA,220,112
PE000084752,2010-03-05,NA,225,117
PE000084752,2010-03-06,NA,NA,NA
PE000084752,2010-03-07,NA,238,116
PE000084752,2010-03-08,NA,NA,118
PE000084752,2010-03-09,NA,NA,NA
PE000084752,2010-03-10,NA,NA,123
PE000084752,2010-03-11,NA,211,NA
PE000084752,2010-03-12,NA,221,NA
PE000084752,2010-03-13,NA,218,104
PE000084752,2010-03-14,NA,220,NA
PE000084752,2010-03-15,NA,215,108
PE000084752,2010-03-16,NA,NA,NA
PE000084752,2010-03-17,NA,232,NA
PE000084752,2010-03-18,5,NA,100
PE000084752,2010-03-19,0,217,111
PE000084752,2010-03-20,NA,213,132
PE000084752,2010-03-21,NA,220,118
PE000084752,2010-03-22,NA,226,113
PE000084752,2010-03-23,NA,NA,NA
PE000084752,2010-03-24,NA,205,107
PE000084752,2010-03-25,NA,212,108
PE000084752,2010-03-26,NA,205,113
PE000084752,2010-03-27,NA,207,NA
PE000084752,2010-03-28,NA,NA,NA
PE000084752,2010-03-29,NA,NA,112
PE000084752,2010-03-30,NA,226,110
PE000084752,2010-03-31,NA,224,NA
PE000084752,2010-04-01,NA,200,NA
PE000084752,2010-04-02,NA,196,NA
PE000084752,2010-04-03,NA,NA,NA
PE000084752,2010-04-04,NA,NA,115
PE000084752,2010-04-05,NA,232,NA
PE000084752,2010-04-06,NA,NA,NA
PE000084752,2010-04-07,NA,223,NA
PE000084752,2010-04-08,NA,225,118
PE000084752,2010-04-09,NA,224,122
PE000084752,2010-04-10,NA,NA,NA
PE000084752,2010-04-11,NA,227,97
PE000084752,2010-04-12,NA,220,83
PE000084752,2010-04-13,NA,202,NA
PE000084752,2010-04-14,NA,NA,93
PE000084752,2010-04-15,NA,217,NA
PE000084752,2010-04-16,NA,218,96
PE000084752,2010-04-17,NA,NA,NA
PE000084752,2010-04-18,NA,NA,NA
PE000084752,2010-04-19,NA,228,135
PE000084752,2010-04-20,NA,NA,132
PE000084752,2010-04-21,NA,236,120
PE000084752,2010-04-22,NA,NA,125
PE000084752,2010-04-23,NA,252,120
PE000084752,2010-04-24,NA,244,129
PE000084752,2010-04-25,NA,230,107
PE000084752,2010-04-26,NA,NA,83
PE000084752,2010-04-27,NA,228,77
PE000084752,2010-04-28,NA,NA,79
PE000084752,2010-04-29,NA,204,NA
PE000084752,2010-04-30,NA,186,NA
PE000084752,2010-05-01,NA,NA,NA
PE000084752,2010-05-02,NA,NA,96
PE000084752,2010-05-03,NA,NA,73
PE000084752,2010-05-04,NA,213,69
PE000084752,2010-05-05,NA,NA,62
PE000084752,2010-05-06,NA,NA,48
PE000084752,2010-05-07,NA,213,88
PE000084752,2010-05-08,NA,NA,84
PE000084752,2010-05-09,NA,234,117
PE000084752,2010-05-10,NA,241,NA
PE000084752,2010-05-11,NA,242,80
PE000084752,2010-05-12,NA,220,67
PE000084752,2010-05-13,NA,213,NA
PE000084752,2010-05-14,NA,NA,95
PE000084752,2010-05-15,NA,209,NA
PE000084752,2010-05-16,NA,NA,131
PE000084752,2010-05-17,NA,220,NA
PE000084752,2010-05-18,NA,226,NA
PE000084752,2010-05-19,NA,222,95
PE000084752,2010-05-20,NA,218,NA
PE000084752,2010-05-21,NA,NA,99
PE000084752,2010-05-22,NA,224,85
PE000084752,2010-05-23,NA,183,NA
PE000084752,2010-05-24,NA,NA,96
PE000084752,2010-05-25,NA,210,NA
PE000084752,2010-05-26,NA,205,97
PE000084752,2010-05-27,NA,NA,111
PE000084752,2010-05-28,NA,203,91
PE000084752,2010-05-29,NA,190,73
PE000084752,2010-05-30,NA,NA,NA
PE000084752,2010-05-31,NA,NA,76
PE000084752,2010-06-01,NA,205,84
PE000084752,2010-06-02,NA,NA,NA
PE000084752,2010-06-03,NA,189,NA
PE000084752,2010-06-04,NA,NA,NA
PE000084752,2010-06-05,NA,NA,NA
PE000084752,2010-06-06,NA,242,NA
PE000084752,2010-06-07,NA,221,79
PE000084752,2010-06-08,NA,NA,86
PE000084752,2010-06-09,NA,222,NA
PE000084752,2010-06-10,NA,NA,78
PE000084752,2010-06-11,NA,NA,NA
PE000084752,2010-06-12,NA,NA,NA
PE000084752,2010-06-13,NA,216,NA
PE000084752,2010-06-14,NA,NA,NA
PE000084752,2010-06-15,NA,NA,69
PE000084752,2010-06-16,NA,NA,74
PE000084752,2010-06-17,NA,216,88
PE000084752,2010-06-18,NA,204,82
PE000084752,2010-06-19,NA,NA,NA
PE000084752,2010-06-20,NA,224,85
PE000084752,2010-06-21,NA,200,84
PE000084752,2010-06-22,NA,NA,79
PE000084752,2010-06-23,NA,240,73
PE000084752,2010-06-24,NA,NA,NA
PE000084752,2010-06-25,NA,212,96
PE000084752,2010-06-26,NA,213,94
PE000084752,2010-06-27,NA,NA,86
PE000084752,2010-06-28,NA,206,96
PE000084752,2010-06-29,NA,204,NA
PE000084752,2010-06-30,NA,201,74
PE000084752,2010-07-01,NA,209,72
PE000084752,2010-07-02,NA,NA,84
PE000084752,2010-07-03,NA,218,89
PE000084752,2010-07-04,NA,NA,NA
PE000084752,2010-07-05,NA,215,71
PE000084752,2010-07-06,NA,NA,83
PE000084752,2010-07-07,NA,NA,61
PE000084752,2010-07-08,NA,191,NA
PE000084752,2010-07-09,NA,NA,NA
PE000084752,2010-07-10,NA,207,68
PE000084752,2010-07-11,NA,NA,42
PE000084752,2010-07-12,NA,203,NA
PE000084752,2010-07-13,NA,210,NA
PE000084752,2010-07-14,NA,188,NA
PE000084752,2010-07-15,NA,NA,-37
PE000084752,2010-07-16,NA,NA,46
PE000084752,2010-07-17,NA,NA,64
PE000084752,2010-07-18,NA,NA,61
PE000084752,2010-07-19,NA,NA,NA
PE000084752,2010-07-20,NA,210,NA
PE000084752,2010-07-21,NA,NA,54
PE000084752,2010-07-22,NA,NA,56
PE000084752,2010-07-23,NA,NA,47
PE000084752,2010-07-24,NA,214,NA
PE000084752,2010-07-25,NA,NA,49
PE000084752,2010-07-26,NA,211,59
PE000084752,2010-07-27,NA,207,NA
PE000084752,2010-07-28,NA,197,55
PE000084752,2010-07-29,NA,190,NA
PE000084752,2010-07-30,NA,194,NA
PE000084752,2010-07-31,NA,193,NA
PE000084752,2010-08-01,NA,NA,80
PE000084752,2010-08-02,NA,NA,74
PE000084752,2010-08-03,NA,222,NA
PE000084752,2010-08-04,NA,222,NA
PE000084752,2010-08-05,NA,214,66
PE000084752,2010-08-06,NA,201,70
PE000084752,2010-08-07,NA,204,80
PE000084752,2010-08-08,NA,NA,NA
PE000084752,2010-08-09,NA,223,70
PE000084752,2010-08-10,NA,199,65
PE000084752,2010-08-11,NA,NA,41
PE000084752,2010-08-12,NA,NA,69
PE000084752,2010-08-13,NA,233,NA
PE000084752,2010-08-14,NA,221,72
PE000084752,2010-08-15,NA,209,83
PE000084752,2010-08-16,NA,NA,75
PE000084752,2010-08-17,NA,235,75
PE000084752,2010-08-18,NA,NA,NA
PE000084752,2010-08-19,NA,207,84
PE000084752,2010-08-20,NA,206,81
PE000084752,2010-08-21,NA,NA,NA
PE000084752,2010-08-22,NA,NA,82
PE000084752,2010-08-23,NA,219,NA
PE000084752,2010-08-24,NA,NA,NA
PE000084752,2010-08-25,NA,225,78
PE000084752,2010-08-26,NA,220,81
PE000084752,2010-08-27,NA,NA,86
PE000084752,2010-08-28,NA,219,NA
PE000084752,2010-08-29,NA,NA,69
PE000084752,2010-08-30,NA,207,NA
PE000084752,2010-08-31,NA,NA,74
PE000084752,2010-09-01,NA,178,77
PE000084752,2010-09-02,NA,NA,NA
PE000084752,2010-09-03,NA,195,113
PE000084752,2010-09-04,NA,NA,NA
