id,date,prcp,tmin
PEM00084542,2010-03-01,NA,NA
PEM00084542,2010-03-02,NA,NA
PEM00084542,2010-03-03,NA,NA
PEM00084542,2010-03-04,NA,NA
PEM00084542,2010-03-05,NA,NA
PEM00084542,2010-03-06,NA,NA
PEM00084542,2010-03-07,NA,NA
PEM00084542,2010-03-08,NA,NA
PEM00084542,2010-03-09,NA,NA
PEM00084542,2010-03-10,NA,NA
PEM00084542,2010-03-11,NA,NA
PEM00084542,2010-03-12,NA,NA
PEM00084542,2010-03-13,NA,NA
PEM00084542,2010-03-14,NA,NA
PEM00084542,2010-03-15,NA,NA
PEM00084542,2010-03-16,NA,NA
PEM00084542,2010-03-17,NA,NA
PEM00084542,2010-03-18,NA,NA
PEM00084542,2010-03-19,NA,NA
PEM00084542,2010-03-20,NA,105
PEM00084542,2010-03-21,NA,110
PEM00084542,2010-03-22,NA,NA
PEM00084542,2010-03-23,NA,NA
PEM00084542,2010-03-24,NA,NA
PEM00084542,2010-03-25,99,110
PEM00084542,2010-03-26,NA,NA
PEM00084542,2010-03-27,NA,NA
PEM00084542,2010-03-28,NA,NA
PEM00084542,2010-03-29,NA,NA
PEM00084542,2010-03-30,NA,100
PEM00084542,2010-03-31,NA,NA
PEM00084542,2010-04-01,NA,NA
PEM00084542,2010-04-02,NA,NA
PEM00084542,2010-04-03,NA,NA
PEM00084542,2010-04-04,NA,110
PEM00084542,2010-04-05,NA,NA
PEM00084542,2010-04-06,NA,NA
PEM00084542,2010-04-07,NA,NA
PEM00084542,2010-04-08,51,80
PEM00084542,2010-04-09,NA,NA
PEM00084542,2010-04-10,NA,NA
PEM00084542,2010-04-11,41,100
PEM00084542,2010-04-12,0,70
PEM00084542,2010-04-13,NA,NA
PEM00084542,2010-04-14,NA,NA
PEM00084542,2010-04-15,NA,NA
PEM00084542,2010-04-16,NA,105
PEM00084542,2010-04-17,NA,NA
PEM00084542,2010-04-18,NA,NA
PEM00084542,2010-04-19,NA,NA
PEM00084542,2010-04-20,NA,100
PEM00084542,2010-04-21,NA,80
PEM00084542,2010-04-22,NA,NA
PEM00084542,2010-04-23,NA,70
PEM00084542,2010-04-24,NA,NA
PEM00084542,2010-04-25,NA,NA
PEM00084542,2010-04-26,NA,NA
PEM00084542,2010-04-27,NA,100
PEM00084542,2010-04-28,NA,NA
PEM00084542,2010-04-29,NA,100
PEM00084542,2010-04-30,NA,NA
PEM00084542,2010-05-01,NA,NA
PEM00084542,2010-05-02,NA,NA
PEM00084542,2010-05-03,NA,NA
PEM00084542,2010-05-04,NA,NA
PEM00084542,2010-05-05,NA,NA
PEM00084542,2010-05-06,NA,NA
PEM00084542,2010-05-07,NA,NA
PEM00084542,2010-05-08,NA,NA
PEM00084542,2010-05-09,NA,NA
PEM00084542,2010-05-10,NA,NA
PEM00084542,2010-05-11,NA,NA
PEM00084542,2010-05-12,NA,90
PEM00084542,2010-05-13,NA,NA
PEM00084542,2010-05-14,NA,NA
PEM00084542,2010-05-15,NA,NA
PEM00084542,2010-05-16,NA,NA
PEM00084542,2010-05-17,NA,NA
PEM00084542,2010-05-18,NA,NA
PEM00084542,2010-05-19,NA,NA
PEM00084542,2010-05-20,NA,NA
PEM00084542,2010-05-21,NA,70
PEM00084542,2010-05-22,10,60
PEM00084542,2010-05-23,NA,NA
PEM00084542,2010-05-24,NA,60
PEM00084542,2010-05-25,NA,NA
PEM00084542,2010-05-26,NA,50
PEM00084542,2010-05-27,NA,60
PEM00084542,2010-05-28,NA,NA
PEM00084542,2010-05-29,NA,45
PEM00084542,2010-05-30,NA,NA
PEM00084542,2010-05-31,NA,NA
