id,date,prcp,tmax,tmin
PEM00084782,2010-01-01,NA,274,161
PEM00084782,2010-01-02,NA,277,174
PEM00084782,2010-01-03,NA,NA,173
PEM00084782,2010-01-04,NA,280,163
PEM00084782,2010-01-05,NA,278,180
PEM00084782,2010-01-06,NA,281,172
PEM00084782,2010-01-07,NA,280,NA
PEM00084782,2010-01-08,NA,275,150
PEM00084782,2010-01-09,NA,276,174
PEM00084782,2010-01-10,NA,NA,NA
PEM00084782,2010-01-11,NA,282,171
PEM00084782,2010-01-12,NA,285,152
PEM00084782,2010-01-13,NA,273,166
PEM00084782,2010-01-14,NA,NA,NA
PEM00084782,2010-01-15,NA,282,171
PEM00084782,2010-01-16,NA,NA,151
PEM00084782,2010-01-17,NA,270,NA
PEM00084782,2010-01-18,NA,282,NA
PEM00084782,2010-01-19,NA,280,170
PEM00084782,2010-01-20,NA,285,150
PEM00084782,2010-01-21,NA,280,166
PEM00084782,2010-01-22,NA,283,168
PEM00084782,2010-01-23,NA,NA,NA
PEM00084782,2010-01-24,NA,287,153
PEM00084782,2010-01-25,NA,284,177
PEM00084782,2010-01-26,NA,NA,166
PEM00084782,2010-01-27,NA,301,173
PEM00084782,2010-01-28,NA,300,169
PEM00084782,2010-01-29,NA,NA,184
PEM00084782,2010-01-30,NA,295,NA
PEM00084782,2010-01-31,NA,290,173
PEM00084782,2010-02-01,NA,290,153
PEM00084782,2010-02-02,NA,NA,NA
PEM00084782,2010-02-03,NA,284,193
PEM00084782,2010-02-04,NA,NA,180
PEM00084782,2010-02-05,NA,NA,NA
PEM00084782,2010-02-06,NA,300,NA
PEM00084782,2010-02-07,NA,NA,NA
PEM00084782,2010-02-08,NA,300,180
PEM00084782,2010-02-09,NA,NA,180
PEM00084782,2010-02-10,NA,280,180
PEM00084782,2010-02-11,NA,NA,186
PEM00084782,2010-02-12,NA,NA,NA
PEM00084782,2010-02-13,NA,290,NA
PEM00084782,2010-02-14,NA,287,NA
PEM00084782,2010-02-15,NA,293,188
PEM00084782,2010-02-16,NA,301,170
PEM00084782,2010-02-17,NA,NA,170
PEM00084782,2010-02-18,NA,NA,165
PEM00084782,2010-02-19,NA,310,NA
PEM00084782,2010-02-20,NA,305,193
PEM00084782,2010-02-21,NA,300,192
PEM00084782,2010-02-22,NA,NA,190
PEM00084782,2010-02-23,NA,NA,182
PEM00084782,2010-02-24,NA,289,NA
PEM00084782,2010-02-25,NA,292,186
PEM00084782,2010-02-26,NA,NA,182
PEM00084782,2010-02-27,NA,NA,NA
PEM00084782,2010-02-28,NA,293,170
PEM00084782,2010-03-01,NA,295,160
PEM00084782,2010-03-02,NA,291,165
PEM00084782,2010-03-03,NA,291,172
PEM00084782,2010-03-04,NA,NA,NA
PEM00084782,2010-03-05,NA,280,158
PEM00084782,2010-03-06,NA,283,NA
PEM00084782,2010-03-07,NA,280,152
PEM00084782,2010-03-08,NA,NA,157
PEM00084782,2010-03-09,NA,NA,NA
PEM00084782,2010-03-10,NA,NA,151
PEM00084782,2010-03-11,NA,284,162
PEM00084782,2010-03-12,NA,295,160
PEM00084782,2010-03-13,NA,290,160
PEM00084782,2010-03-14,NA,277,161
PEM00084782,2010-03-15,NA,280,151
PEM00084782,2010-03-16,NA,280,NA
PEM00084782,2010-03-17,NA,280,NA
PEM00084782,2010-03-18,NA,NA,151
PEM00084782,2010-03-19,NA,286,155
PEM00084782,2010-03-20,NA,280,157
PEM00084782,2010-03-21,NA,285,160
PEM00084782,2010-03-22,NA,280,162
PEM00084782,2010-03-23,NA,NA,166
PEM00084782,2010-03-24,NA,NA,160
PEM00084782,2010-03-25,NA,290,148
PEM00084782,2010-03-26,NA,274,149
PEM00084782,2010-03-27,NA,278,NA
PEM00084782,2010-03-28,NA,270,NA
PEM00084782,2010-03-29,NA,NA,130
PEM00084782,2010-03-30,NA,NA,162
PEM00084782,2010-03-31,NA,280,NA
PEM00084782,2010-04-01,NA,280,NA
PEM00084782,2010-04-02,NA,280,165
PEM00084782,2010-04-03,NA,NA,NA
PEM00084782,2010-04-04,NA,272,180
PEM00084782,2010-04-05,NA,280,NA
PEM00084782,2010-04-06,NA,270,NA
PEM00084782,2010-04-07,NA,277,166
PEM00084782,2010-04-08,NA,274,168
PEM00084782,2010-04-09,0,255,174
PEM00084782,2010-04-10,NA,NA,NA
PEM00084782,2010-04-11,NA,270,172
PEM00084782,2010-04-12,NA,270,170
PEM00084782,2010-04-13,NA,NA,NA
PEM00084782,2010-04-14,NA,NA,165
PEM00084782,2010-04-15,NA,308,NA
PEM00084782,2010-04-16,NA,285,169
PEM00084782,2010-04-17,NA,277,NA
