id,date,prcp,tmax,tmin
PKM00041756,2010-01-01,0,250,NA
PKM00041756,2010-01-02,71,240,160
PKM00041756,2010-01-03,20,245,118
PKM00041756,2010-01-04,0,255,NA
PKM00041756,2010-01-05,0,245,145
PKM00041756,2010-01-06,0,255,140
PKM00041756,2010-01-07,0,255,150
PKM00041756,2010-01-08,0,260,150
PKM00041756,2010-01-09,0,260,130
PKM00041756,2010-01-10,0,NA,NA
PKM00041756,2010-01-11,0,225,105
PKM00041756,2010-01-12,0,235,90
PKM00041756,2010-01-13,0,250,90
PKM00041756,2010-01-14,0,250,120
PKM00041756,2010-01-15,0,245,145
PKM00041756,2010-01-16,0,245,150
PKM00041756,2010-01-17,0,245,150
PKM00041756,2010-01-18,0,290,NA
PKM00041756,2010-01-19,0,280,155
PKM00041756,2010-01-20,0,250,170
PKM00041756,2010-01-21,0,260,160
PKM00041756,2010-01-22,0,250,175
PKM00041756,2010-01-23,0,255,175
PKM00041756,2010-01-24,0,275,NA
PKM00041756,2010-01-25,0,260,170
PKM00041756,2010-01-26,0,265,175
PKM00041756,2010-01-27,0,255,185
PKM00041756,2010-01-28,0,250,170
PKM00041756,2010-01-29,0,255,160
PKM00041756,2010-01-30,0,250,NA
PKM00041756,2010-01-31,0,250,165
PKM00041756,2010-02-01,0,255,173
PKM00041756,2010-02-02,0,250,NA
PKM00041756,2010-02-03,0,250,NA
PKM00041756,2010-02-04,0,NA,185
PKM00041756,2010-02-05,0,260,185
PKM00041756,2010-02-06,0,255,195
PKM00041756,2010-02-07,0,265,210
PKM00041756,2010-02-08,0,245,NA
PKM00041756,2010-02-09,0,220,123
PKM00041756,2010-02-10,0,230,95
PKM00041756,2010-02-11,0,NA,140
PKM00041756,2010-02-12,0,260,145
PKM00041756,2010-02-13,0,265,163
PKM00041756,2010-02-14,NA,270,NA
PKM00041756,2010-02-15,0,270,NA
PKM00041756,2010-02-16,0,260,155
PKM00041756,2010-02-17,0,280,163
PKM00041756,2010-02-18,0,260,160
PKM00041756,2010-02-19,0,265,180
PKM00041756,2010-02-20,0,265,160
PKM00041756,2010-02-21,0,250,NA
PKM00041756,2010-02-22,0,260,195
PKM00041756,2010-02-23,0,270,168
PKM00041756,2010-02-24,0,270,190
PKM00041756,2010-02-25,0,270,185
PKM00041756,2010-02-26,0,270,190
PKM00041756,2010-02-27,0,270,208
PKM00041756,2010-02-28,0,265,210
PKM00041756,2010-03-01,0,290,207
PKM00041756,2010-03-02,0,270,208
PKM00041756,2010-03-03,0,280,205
PKM00041756,2010-03-04,0,270,210
PKM00041756,2010-03-05,NA,270,190
PKM00041756,2010-03-06,0,270,NA
PKM00041756,2010-03-07,0,280,170
PKM00041756,2010-03-08,0,300,198
PKM00041756,2010-03-09,0,310,185
PKM00041756,2010-03-10,0,330,200
PKM00041756,2010-03-11,0,310,185
PKM00041756,2010-03-12,0,310,210
PKM00041756,2010-03-13,0,310,210
PKM00041756,2010-03-14,0,300,NA
PKM00041756,2010-03-15,0,NA,208
PKM00041756,2010-03-16,0,300,223
PKM00041756,2010-03-17,0,330,210
PKM00041756,2010-03-18,0,345,183
PKM00041756,2010-03-19,0,360,NA
PKM00041756,2010-03-20,0,320,222
