id,date,prcp,tmax,tmin
PLM00012205,2010-01-01,0,NA,-22
PLM00012205,2010-01-02,0,-5,NA
PLM00012205,2010-01-03,48,-27,NA
PLM00012205,2010-01-04,0,NA,-75
PLM00012205,2010-01-05,3,-35,NA
PLM00012205,2010-01-06,0,NA,-93
PLM00012205,2010-01-07,8,-46,NA
PLM00012205,2010-01-08,5,-38,NA
PLM00012205,2010-01-09,0,NA,-60
PLM00012205,2010-01-10,76,NA,NA
PLM00012205,2010-01-11,61,-28,-52
PLM00012205,2010-01-12,23,NA,NA
PLM00012205,2010-01-13,0,-4,-109
PLM00012205,2010-01-14,0,-34,NA
PLM00012205,2010-01-15,0,-41,-89
PLM00012205,2010-01-16,0,-36,NA
PLM00012205,2010-01-17,0,NA,NA
PLM00012205,2010-01-18,8,-7,-30
PLM00012205,2010-01-19,0,-10,NA
PLM00012205,2010-01-20,5,-11,NA
PLM00012205,2010-01-21,3,NA,-113
PLM00012205,2010-01-22,0,NA,NA
PLM00012205,2010-01-23,0,-76,-156
PLM00012205,2010-01-24,0,NA,-170
PLM00012205,2010-01-25,0,NA,NA
PLM00012205,2010-01-26,0,NA,-228
PLM00012205,2010-01-27,20,NA,NA
PLM00012205,2010-01-28,71,18,-77
PLM00012205,2010-01-29,0,15,NA
PLM00012205,2010-01-30,20,9,NA
PLM00012205,2010-01-31,18,NA,NA
PLM00012205,2010-02-01,0,6,NA
PLM00012205,2010-02-02,3,5,-74
PLM00012205,2010-02-03,36,27,NA
PLM00012205,2010-02-04,5,19,NA
PLM00012205,2010-02-05,5,37,NA
PLM00012205,2010-02-06,0,-1,NA
PLM00012205,2010-02-07,0,-40,-73
PLM00012205,2010-02-08,0,-31,NA
PLM00012205,2010-02-09,0,-27,NA
PLM00012205,2010-02-10,8,-43,-85
PLM00012205,2010-02-11,10,-6,-95
PLM00012205,2010-02-12,43,4,NA
PLM00012205,2010-02-13,23,1,NA
PLM00012205,2010-02-14,10,NA,NA
PLM00012205,2010-02-15,5,4,NA
PLM00012205,2010-02-16,0,0,NA
PLM00012205,2010-02-17,0,0,-32
PLM00012205,2010-02-18,10,39,-33
PLM00012205,2010-02-19,0,NA,-66
PLM00012205,2010-02-20,3,48,NA
PLM00012205,2010-02-21,0,24,NA
PLM00012205,2010-02-22,0,55,-99
PLM00012205,2010-02-23,20,49,NA
PLM00012205,2010-02-24,3,17,NA
PLM00012205,2010-02-25,5,NA,NA
PLM00012205,2010-02-26,0,88,NA
PLM00012205,2010-02-27,5,74,NA
PLM00012205,2010-02-28,3,NA,23
PLM00012205,2010-03-01,28,103,NA
PLM00012205,2010-03-02,30,54,NA
PLM00012205,2010-03-03,3,44,NA
PLM00012205,2010-03-04,0,26,NA
PLM00012205,2010-03-05,NA,-13,NA
PLM00012205,2010-03-06,0,8,NA
PLM00012205,2010-03-07,0,8,NA
PLM00012205,2010-03-08,0,10,NA
PLM00012205,2010-03-09,0,36,-84
PLM00012205,2010-03-10,0,39,NA
PLM00012205,2010-03-11,0,-13,NA
PLM00012205,2010-03-12,0,42,-23
PLM00012205,2010-03-13,15,61,NA
PLM00012205,2010-03-14,18,39,NA
PLM00012205,2010-03-15,43,37,NA
PLM00012205,2010-03-16,23,46,NA
PLM00012205,2010-03-17,0,75,NA
PLM00012205,2010-03-18,0,136,NA
PLM00012205,2010-03-19,0,149,NA
PLM00012205,2010-03-20,NA,124,NA
PLM00012205,2010-03-21,66,131,NA
PLM00012205,2010-03-22,0,114,NA
PLM00012205,2010-03-23,0,131,NA
PLM00012205,2010-03-24,0,141,NA
PLM00012205,2010-03-25,0,199,50
PLM00012205,2010-03-26,0,220,28
PLM00012205,2010-03-27,56,178,NA
PLM00012205,2010-03-28,84,117,NA
PLM00012205,2010-03-29,41,115,NA
PLM00012205,2010-03-30,0,136,NA
PLM00012205,2010-03-31,0,121,NA
PLM00012205,2010-04-01,0,124,NA
PLM00012205,2010-04-02,0,118,NA
PLM00012205,2010-04-03,0,107,NA
PLM00012205,2010-04-04,0,142,NA
PLM00012205,2010-04-05,0,115,NA
PLM00012205,2010-04-06,0,134,NA
PLM00012205,2010-04-07,0,148,NA
PLM00012205,2010-04-08,0,180,NA
PLM00012205,2010-04-09,0,138,NA
PLM00012205,2010-04-10,0,110,NA
PLM00012205,2010-04-11,5,101,NA
PLM00012205,2010-04-12,0,147,NA
PLM00012205,2010-04-13,0,136,NA
PLM00012205,2010-04-14,0,128,NA
PLM00012205,2010-04-15,0,134,NA
PLM00012205,2010-04-16,0,121,NA
PLM00012205,2010-04-17,0,161,NA
PLM00012205,2010-04-18,0,196,NA
PLM00012205,2010-04-19,0,151,NA
PLM00012205,2010-04-20,5,143,NA
PLM00012205,2010-04-21,20,94,NA
PLM00012205,2010-04-22,38,104,NA
PLM00012205,2010-04-23,5,125,NA
