id,date,prcp,tmax,tmin
RIE00100814,2010-01-01,0,172,82
RIE00100814,2010-01-02,18,110,55
RIE00100814,2010-01-03,41,72,-9
RIE00100814,2010-01-04,3,40,-33
RIE00100814,2010-01-05,6,24,-13
RIE00100814,2010-01-06,69,110,21
RIE00100814,2010-01-07,57,137,58
RIE00100814,2010-01-08,8,150,25
RIE00100814,2010-01-09,0,186,99
RIE00100814,2010-01-10,44,152,41
RIE00100814,2010-01-11,16,85,37
RIE00100814,2010-01-12,0,42,8
RIE00100814,2010-01-13,0,58,-15
RIE00100814,2010-01-14,0,24,-34
RIE00100814,2010-01-15,0,34,6
RIE00100814,2010-01-16,2,75,-13
RIE00100814,2010-01-17,0,35,11
RIE00100814,2010-01-18,10,17,-5
RIE00100814,2010-01-19,2,10,-18
RIE00100814,2010-01-20,63,20,-12
RIE00100814,2010-01-21,2,19,-47
RIE00100814,2010-01-22,0,-30,-67
RIE00100814,2010-01-23,0,-9,-85
RIE00100814,2010-01-24,0,-10,-93
RIE00100814,2010-01-25,0,-5,-117
RIE00100814,2010-01-26,0,-11,-96
RIE00100814,2010-01-27,0,-38,-84
RIE00100814,2010-01-28,128,-36,-135
RIE00100814,2010-01-29,57,21,-52
RIE00100814,2010-01-30,0,70,-87
RIE00100814,2010-01-31,14,58,2
RIE00100814,2010-02-01,41,5,-32
RIE00100814,2010-02-02,23,7,-56
RIE00100814,2010-02-03,0,25,-105
RIE00100814,2010-02-04,0,38,-56
RIE00100814,2010-02-05,0,76,-30
RIE00100814,2010-02-06,16,35,-2
RIE00100814,2010-02-07,6,33,-14
RIE00100814,2010-02-08,6,10,-44
RIE00100814,2010-02-09,6,43,-29
RIE00100814,2010-02-10,0,30,-10
RIE00100814,2010-02-11,17,57,-7
RIE00100814,2010-02-12,30,105,10
RIE00100814,2010-02-13,92,52,1
RIE00100814,2010-02-14,85,13,-18
RIE00100814,2010-02-15,35,14,-21
RIE00100814,2010-02-16,15,70,-70
RIE00100814,2010-02-17,66,72,18
RIE00100814,2010-02-18,54,127,52
RIE00100814,2010-02-19,11,177,27
RIE00100814,2010-02-20,0,187,94
RIE00100814,2010-02-21,43,142,6
RIE00100814,2010-02-22,5,106,-35
RIE00100814,2010-02-23,7,134,54
RIE00100814,2010-02-24,57,145,60
RIE00100814,2010-02-25,142,98,67
RIE00100814,2010-02-26,39,158,45
RIE00100814,2010-02-27,57,105,50
RIE00100814,2010-02-28,30,135,14
RIE00100814,2010-03-01,9,135,74
RIE00100814,2010-03-02,199,117,75
RIE00100814,2010-03-03,0,117,30
RIE00100814,2010-03-04,0,95,54
RIE00100814,2010-03-05,42,56,2
RIE00100814,2010-03-06,16,24,-26
RIE00100814,2010-03-07,0,54,-66
RIE00100814,2010-03-08,0,10,-18
RIE00100814,2010-03-09,17,33,-38
RIE00100814,2010-03-10,1,23,-27
RIE00100814,2010-03-11,55,93,-5
RIE00100814,2010-03-12,0,46,4
RIE00100814,2010-03-13,11,90,-16
RIE00100814,2010-03-14,0,75,18
RIE00100814,2010-03-15,0,107,0
RIE00100814,2010-03-16,0,153,-20
RIE00100814,2010-03-17,4,89,27
RIE00100814,2010-03-18,1,154,-16
RIE00100814,2010-03-19,0,195,-9
RIE00100814,2010-03-20,0,210,34
RIE00100814,2010-03-21,0,227,60
RIE00100814,2010-03-22,0,215,100
RIE00100814,2010-03-23,1,187,97
RIE00100814,2010-03-24,55,150,79
RIE00100814,2010-03-25,0,225,84
RIE00100814,2010-03-26,0,229,120
RIE00100814,2010-03-27,0,232,101
RIE00100814,2010-03-28,49,146,73
RIE00100814,2010-03-29,1,190,33
RIE00100814,2010-03-30,0,217,36
RIE00100814,2010-03-31,27,207,102
RIE00100814,2010-04-01,0,205,70
RIE00100814,2010-04-02,17,198,48
RIE00100814,2010-04-03,20,171,67
RIE00100814,2010-04-04,0,234,28
RIE00100814,2010-04-05,13,187,112
RIE00100814,2010-04-06,38,124,73
RIE00100814,2010-04-07,23,90,61
RIE00100814,2010-04-08,0,195,74
RIE00100814,2010-04-09,0,198,31
RIE00100814,2010-04-10,0,172,50
RIE00100814,2010-04-11,0,158,44
RIE00100814,2010-04-12,40,154,76
RIE00100814,2010-04-13,19,182,89
RIE00100814,2010-04-14,44,163,100
RIE00100814,2010-04-15,107,141,92
RIE00100814,2010-04-16,27,160,82
RIE00100814,2010-04-17,67,186,82
RIE00100814,2010-04-18,0,206,51
RIE00100814,2010-04-19,7,160,112
RIE00100814,2010-04-20,235,126,94
RIE00100814,2010-04-21,120,203,65
RIE00100814,2010-04-22,0,208,63
RIE00100814,2010-04-23,0,236,74
RIE00100814,2010-04-24,0,169,140
RIE00100814,2010-04-25,12,180,122
RIE00100814,2010-04-26,6,226,129
RIE00100814,2010-04-27,0,226,109
RIE00100814,2010-04-28,0,214,38
RIE00100814,2010-04-29,0,227,74
RIE00100814,2010-04-30,0,265,67
RIE00100814,2010-05-01,0,286,76
RIE00100814,2010-05-02,0,290,104
RIE00100814,2010-05-03,0,290,160
RIE00100814,2010-05-04,0,282,136
RIE00100814,2010-05-05,0,278,175
RIE00100814,2010-05-06,0,280,152
RIE00100814,2010-05-07,163,210,122
RIE00100814,2010-05-08,94,224,85
RIE00100814,2010-05-09,0,209,118
RIE00100814,2010-05-10,0,243,80
RIE00100814,2010-05-11,0,255,129
RIE00100814,2010-05-12,13,268,165
RIE00100814,2010-05-13,2,244,126
RIE00100814,2010-05-14,3,260,104
RIE00100814,2010-05-15,1,195,140
RIE00100814,2010-05-16,148,183,78
RIE00100814,2010-05-17,38,112,76
RIE00100814,2010-05-18,30,115,72
RIE00100814,2010-05-19,16,115,90
RIE00100814,2010-05-20,0,170,90
RIE00100814,2010-05-21,0,193,73
RIE00100814,2010-05-22,0,214,120
RIE00100814,2010-05-23,124,193,131
RIE00100814,2010-05-24,18,240,125
RIE00100814,2010-05-25,0,276,101
RIE00100814,2010-05-26,0,300,130
RIE00100814,2010-05-27,0,292,116
RIE00100814,2010-05-28,0,271,130
RIE00100814,2010-05-29,0,263,146
RIE00100814,2010-05-30,38,246,145
RIE00100814,2010-05-31,0,237,154
RIE00100814,2010-06-01,169,184,94
RIE00100814,2010-06-02,16,202,109
RIE00100814,2010-06-03,2,225,113
RIE00100814,2010-06-04,0,245,115
RIE00100814,2010-06-05,0,200,135
RIE00100814,2010-06-06,1,265,165
RIE00100814,2010-06-07,0,281,110
RIE00100814,2010-06-08,0,304,112
RIE00100814,2010-06-09,0,322,135
RIE00100814,2010-06-10,0,326,155
RIE00100814,2010-06-11,0,344,169
RIE00100814,2010-06-12,0,355,176
RIE00100814,2010-06-13,0,357,220
RIE00100814,2010-06-14,4,360,219
RIE00100814,2010-06-15,0,335,215
RIE00100814,2010-06-16,0,350,224
RIE00100814,2010-06-17,0,306,180
RIE00100814,2010-06-18,0,324,193
RIE00100814,2010-06-19,36,306,175
RIE00100814,2010-06-20,61,269,159
RIE00100814,2010-06-21,28,264,148
RIE00100814,2010-06-22,38,223,121
RIE00100814,2010-06-23,114,157,130
RIE00100814,2010-06-24,24,232,134
RIE00100814,2010-06-25,0,236,155
RIE00100814,2010-06-26,24,232,135
RIE00100814,2010-06-27,82,186,145
RIE00100814,2010-06-28,43,248,164
RIE00100814,2010-06-29,0,252,182
RIE00100814,2010-06-30,32,276,163
RIE00100814,2010-07-01,1,282,186
RIE00100814,2010-07-02,9,275,184
RIE00100814,2010-07-03,5,294,172
RIE00100814,2010-07-04,0,263,175
RIE00100814,2010-07-05,75,285,140
RIE00100814,2010-07-06,0,284,166
RIE00100814,2010-07-07,0,253,185
RIE00100814,2010-07-08,18,205,129
RIE00100814,2010-07-09,0,262,168
RIE00100814,2010-07-10,0,284,169
RIE00100814,2010-07-11,0,300,160
RIE00100814,2010-07-12,0,310,185
RIE00100814,2010-07-13,132,324,173
RIE00100814,2010-07-14,0,331,189
RIE00100814,2010-07-15,0,340,197
RIE00100814,2010-07-16,0,345,195
RIE00100814,2010-07-17,0,345,201
RIE00100814,2010-07-18,0,350,193
RIE00100814,2010-07-19,14,283,205
RIE00100814,2010-07-20,0,303,203
RIE00100814,2010-07-21,0,340,191
RIE00100814,2010-07-22,0,345,195
RIE00100814,2010-07-23,0,344,195
RIE00100814,2010-07-24,0,344,187
RIE00100814,2010-07-25,61,244,174
RIE00100814,2010-07-26,7,206,138
RIE00100814,2010-07-27,11,232,151
RIE00100814,2010-07-28,16,253,155
RIE00100814,2010-07-29,9,298,125
RIE00100814,2010-07-30,0,326,146
RIE00100814,2010-07-31,0,314,189
RIE00100814,2010-08-01,129,248,181
RIE00100814,2010-08-02,0,298,184
RIE00100814,2010-08-03,0,340,184
RIE00100814,2010-08-04,0,260,196
RIE00100814,2010-08-05,9,299,195
