id,date,prcp,tmax,tmin
ROE00108901,2010-01-01,86,137,39
ROE00108901,2010-01-02,37,76,32
ROE00108901,2010-01-03,43,34,-26
ROE00108901,2010-01-04,5,-25,-52
ROE00108901,2010-01-05,0,-34,-98
ROE00108901,2010-01-06,7,74,-42
ROE00108901,2010-01-07,30,69,14
ROE00108901,2010-01-08,1,128,-10
ROE00108901,2010-01-09,0,171,75
ROE00108901,2010-01-10,17,138,29
ROE00108901,2010-01-11,0,62,13
ROE00108901,2010-01-12,0,25,-13
ROE00108901,2010-01-13,9,11,-7
ROE00108901,2010-01-14,7,13,-14
ROE00108901,2010-01-15,0,41,-10
ROE00108901,2010-01-16,0,30,-24
ROE00108901,2010-01-17,0,38,-49
ROE00108901,2010-01-18,15,2,-32
ROE00108901,2010-01-19,60,-2,-12
ROE00108901,2010-01-20,121,3,-52
ROE00108901,2010-01-21,11,-37,-135
ROE00108901,2010-01-22,0,-71,-191
ROE00108901,2010-01-23,3,-22,-109
ROE00108901,2010-01-24,0,-66,-183
ROE00108901,2010-01-25,0,-86,-242
ROE00108901,2010-01-26,0,-73,-213
ROE00108901,2010-01-27,0,-42,-145
ROE00108901,2010-01-28,0,-74,-151
ROE00108901,2010-01-29,5,27,-105
ROE00108901,2010-01-30,0,48,-134
ROE00108901,2010-01-31,3,54,-24
ROE00108901,2010-02-01,2,8,-29
ROE00108901,2010-02-02,4,-17,-55
ROE00108901,2010-02-03,0,12,-107
ROE00108901,2010-02-04,0,24,-42
ROE00108901,2010-02-05,0,18,-114
ROE00108901,2010-02-06,0,38,-60
ROE00108901,2010-02-07,0,24,-16
ROE00108901,2010-02-08,24,-3,-37
ROE00108901,2010-02-09,0,9,-41
ROE00108901,2010-02-10,0,54,-124
ROE00108901,2010-02-11,12,59,2
ROE00108901,2010-02-12,0,71,0
ROE00108901,2010-02-13,67,21,-13
ROE00108901,2010-02-14,0,37,-19
ROE00108901,2010-02-15,25,5,-30
ROE00108901,2010-02-16,0,57,-54
ROE00108901,2010-02-17,0,53,-9
ROE00108901,2010-02-18,8,86,14
ROE00108901,2010-02-19,8,157,15
ROE00108901,2010-02-20,0,175,104
ROE00108901,2010-02-21,5,104,13
ROE00108901,2010-02-22,0,100,-44
ROE00108901,2010-02-23,0,137,-3
ROE00108901,2010-02-24,3,109,19
ROE00108901,2010-02-25,0,113,28
ROE00108901,2010-02-26,0,127,16
ROE00108901,2010-02-27,28,87,53
ROE00108901,2010-02-28,0,116,18
ROE00108901,2010-03-01,0,134,58
ROE00108901,2010-03-02,0,147,-11
ROE00108901,2010-03-03,0,96,13
ROE00108901,2010-03-04,0,73,-23
ROE00108901,2010-03-05,53,58,-8
ROE00108901,2010-03-06,25,-4,-50
ROE00108901,2010-03-07,0,-4,-74
ROE00108901,2010-03-08,0,9,-88
ROE00108901,2010-03-09,8,-18,-51
ROE00108901,2010-03-10,0,29,-83
ROE00108901,2010-03-11,0,63,-5
ROE00108901,2010-03-12,0,29,-15
ROE00108901,2010-03-13,2,49,-13
ROE00108901,2010-03-14,0,64,6
ROE00108901,2010-03-15,16,77,-13
ROE00108901,2010-03-16,2,67,-92
ROE00108901,2010-03-17,42,47,-92
ROE00108901,2010-03-18,0,94,-5
ROE00108901,2010-03-19,0,148,-24
ROE00108901,2010-03-20,0,175,-16
ROE00108901,2010-03-21,0,180,21
ROE00108901,2010-03-22,0,189,24
ROE00108901,2010-03-23,26,143,86
ROE00108901,2010-03-24,0,194,42
ROE00108901,2010-03-25,0,191,41
ROE00108901,2010-03-26,0,198,35
ROE00108901,2010-03-27,0,216,19
ROE00108901,2010-03-28,266,136,44
ROE00108901,2010-03-29,0,153,29
ROE00108901,2010-03-30,0,196,21
ROE00108901,2010-03-31,11,143,86
ROE00108901,2010-04-01,47,131,66
ROE00108901,2010-04-02,0,157,-2
ROE00108901,2010-04-03,59,106,34
ROE00108901,2010-04-04,0,165,-7
ROE00108901,2010-04-05,11,149,96
ROE00108901,2010-04-06,116,99,61
ROE00108901,2010-04-07,29,147,57
ROE00108901,2010-04-08,0,157,34
ROE00108901,2010-04-09,0,176,32
ROE00108901,2010-04-10,41,158,45
ROE00108901,2010-04-11,126,106,39
ROE00108901,2010-04-12,0,151,23
ROE00108901,2010-04-13,0,172,39
ROE00108901,2010-04-14,0,141,92
ROE00108901,2010-04-15,71,109,75
ROE00108901,2010-04-16,0,138,9
ROE00108901,2010-04-17,0,164,25
ROE00108901,2010-04-18,0,190,21
ROE00108901,2010-04-19,3,162,85
ROE00108901,2010-04-20,237,121,85
ROE00108901,2010-04-21,1,177,49
ROE00108901,2010-04-22,18,144,52
ROE00108901,2010-04-23,0,181,10
ROE00108901,2010-04-24,0,151,92
ROE00108901,2010-04-25,0,216,97
ROE00108901,2010-04-26,0,198,78
ROE00108901,2010-04-27,0,212,53
ROE00108901,2010-04-28,55,162,84
