id,date,prcp,tmax,tmin
ROM00015023,2012-04-01,NA,NA,NA
ROM00015023,2012-04-02,NA,NA,NA
ROM00015023,2012-04-03,NA,NA,NA
ROM00015023,2012-04-04,NA,NA,NA
ROM00015023,2012-04-05,NA,NA,NA
ROM00015023,2012-04-06,NA,NA,NA
ROM00015023,2012-04-07,NA,NA,NA
ROM00015023,2012-04-08,NA,NA,NA
ROM00015023,2012-04-09,NA,NA,NA
ROM00015023,2012-04-10,NA,NA,NA
ROM00015023,2012-04-11,NA,153,NA
ROM00015023,2012-04-12,0,159,NA
ROM00015023,2012-04-13,0,184,58
ROM00015023,2012-04-14,0,134,NA
ROM00015023,2012-04-15,64,NA,NA
ROM00015023,2012-04-16,30,190,55
ROM00015023,2012-04-17,0,132,NA
ROM00015023,2012-04-18,112,NA,49
ROM00015023,2012-04-19,0,NA,NA
ROM00015023,2012-04-20,NA,NA,NA
ROM00015023,2012-04-21,NA,NA,NA
ROM00015023,2012-04-22,NA,NA,NA
ROM00015023,2012-04-23,NA,NA,NA
ROM00015023,2012-04-24,NA,NA,NA
ROM00015023,2012-04-25,NA,NA,NA
ROM00015023,2012-04-26,NA,NA,NA
ROM00015023,2012-04-27,NA,NA,NA
ROM00015023,2012-04-28,NA,NA,NA
ROM00015023,2012-04-29,NA,NA,NA
ROM00015023,2012-04-30,NA,NA,NA
ROM00015023,2012-05-01,NA,NA,NA
ROM00015023,2012-05-02,NA,NA,NA
ROM00015023,2012-05-03,NA,NA,NA
ROM00015023,2012-05-04,NA,NA,NA
ROM00015023,2012-05-05,NA,NA,NA
ROM00015023,2012-05-06,NA,NA,NA
ROM00015023,2012-05-07,NA,NA,NA
ROM00015023,2012-05-08,NA,NA,NA
ROM00015023,2012-05-09,NA,NA,NA
ROM00015023,2012-05-10,NA,NA,NA
ROM00015023,2012-05-11,NA,NA,NA
ROM00015023,2012-05-12,NA,NA,NA
ROM00015023,2012-05-13,NA,NA,NA
ROM00015023,2012-05-14,NA,NA,NA
ROM00015023,2012-05-15,NA,NA,NA
ROM00015023,2012-05-16,NA,NA,NA
ROM00015023,2012-05-17,NA,NA,NA
ROM00015023,2012-05-18,NA,NA,NA
ROM00015023,2012-05-19,NA,NA,NA
ROM00015023,2012-05-20,NA,NA,NA
ROM00015023,2012-05-21,NA,NA,NA
ROM00015023,2012-05-22,NA,NA,NA
ROM00015023,2012-05-23,NA,NA,NA
ROM00015023,2012-05-24,NA,NA,NA
ROM00015023,2012-05-25,0,175,NA
ROM00015023,2012-05-26,0,177,109
ROM00015023,2012-05-27,0,NA,NA
ROM00015023,2012-05-28,0,196,NA
ROM00015023,2012-05-29,NA,NA,NA
ROM00015023,2012-05-30,NA,224,NA
ROM00015023,2012-05-31,0,NA,NA
ROM00015023,2014-07-01,0,214,NA
