id,date,prcp,tmax,tmin
RP000986530,2010-01-01,61,272,222
RP000986530,2010-01-02,127,310,232
RP000986530,2010-01-03,33,NA,238
RP000986530,2010-01-04,0,304,233
RP000986530,2010-01-05,3,303,232
RP000986530,2010-01-06,107,318,230
RP000986530,2010-01-07,117,308,228
RP000986530,2010-01-08,0,274,230
RP000986530,2010-01-09,30,272,230
RP000986530,2010-01-10,429,292,224
RP000986530,2010-01-11,239,275,230
RP000986530,2010-01-12,396,258,222
RP000986530,2010-01-13,348,NA,228
RP000986530,2010-01-14,1130,290,225
RP000986530,2010-01-15,1433,255,214
RP000986530,2010-01-16,671,250,NA
RP000986530,2010-01-17,1148,280,220
RP000986530,2010-01-18,353,280,230
RP000986530,2010-01-19,871,300,228
RP000986530,2010-01-20,104,306,234
RP000986530,2010-01-21,89,287,232
RP000986530,2010-01-22,23,312,230
RP000986530,2010-01-23,185,264,230
RP000986530,2010-01-24,617,282,226
RP000986530,2010-01-25,48,298,232
RP000986530,2010-01-26,66,290,223
RP000986530,2010-01-27,513,288,220
RP000986530,2010-01-28,5,304,236
RP000986530,2010-01-29,18,294,238
RP000986530,2010-01-30,97,274,234
RP000986530,2010-01-31,193,310,230
RP000986530,2010-02-01,0,310,242
RP000986530,2010-02-02,117,282,231
RP000986530,2010-02-03,61,304,228
RP000986530,2010-02-04,2167,255,223
RP000986530,2010-02-05,579,290,228
RP000986530,2010-02-06,5,302,230
RP000986530,2010-02-07,0,310,232
RP000986530,2010-02-08,NA,304,226
RP000986530,2010-02-09,25,298,234
RP000986530,2010-02-10,38,273,230
RP000986530,2010-02-11,437,310,230
RP000986530,2010-02-12,0,320,240
RP000986530,2010-02-13,0,310,234
RP000986530,2010-02-14,25,315,232
RP000986530,2010-02-15,0,292,250
RP000986530,2010-02-16,3,302,236
RP000986530,2010-02-17,79,314,236
RP000986530,2010-02-18,23,312,236
RP000986530,2010-02-19,36,280,234
RP000986530,2010-02-20,300,280,230
RP000986530,2010-02-21,84,285,230
RP000986530,2010-02-22,8,312,NA
RP000986530,2010-02-23,0,310,236
RP000986530,2010-02-24,3,312,230
RP000986530,2010-02-25,0,324,230
RP000986530,2010-02-26,NA,318,238
RP000986530,2010-02-27,NA,324,240
RP000986530,2010-02-28,0,322,240
RP000986530,2010-03-01,41,307,234
RP000986530,2010-03-02,33,NA,230
RP000986530,2010-03-03,76,326,232
RP000986530,2010-03-04,18,308,234
RP000986530,2010-03-05,41,310,235
RP000986530,2010-03-06,20,324,238
RP000986530,2010-03-07,0,324,240
