id,date,prcp,tmax,tmin
RPM00098446,2010-01-01,NA,298,232
RPM00098446,2010-01-02,NA,292,230
RPM00098446,2010-01-03,282,288,242
RPM00098446,2010-01-04,320,287,242
RPM00098446,2010-01-05,0,297,235
RPM00098446,2010-01-06,3,295,221
RPM00098446,2010-01-07,429,272,230
RPM00098446,2010-01-08,328,NA,225
RPM00098446,2010-01-09,58,280,216
RPM00098446,2010-01-10,94,288,NA
RPM00098446,2010-01-11,81,296,224
RPM00098446,2010-01-12,145,294,221
RPM00098446,2010-01-13,8,275,226
RPM00098446,2010-01-14,0,264,214
RPM00098446,2010-01-15,NA,276,214
RPM00098446,2010-01-16,NA,274,216
RPM00098446,2010-01-17,NA,291,240
RPM00098446,2010-01-18,183,284,NA
RPM00098446,2010-01-19,8,290,238
RPM00098446,2010-01-20,56,295,NA
RPM00098446,2010-01-21,36,288,230
RPM00098446,2010-01-22,0,293,224
RPM00098446,2010-01-23,NA,292,228
RPM00098446,2010-01-24,NA,288,228
RPM00098446,2010-01-25,NA,296,232
RPM00098446,2010-01-26,NA,296,226
RPM00098446,2010-01-27,NA,295,230
RPM00098446,2010-01-28,5,304,225
RPM00098446,2010-01-29,0,306,216
RPM00098446,2010-01-30,NA,305,234
RPM00098446,2010-01-31,NA,302,NA
RPM00098446,2010-02-01,NA,306,234
RPM00098446,2010-02-02,13,296,220
RPM00098446,2010-02-03,71,300,210
RPM00098446,2010-02-04,0,298,NA
RPM00098446,2010-02-05,NA,306,205
RPM00098446,2010-02-06,NA,296,NA
RPM00098446,2010-02-07,NA,298,NA
RPM00098446,2010-02-08,NA,308,216
RPM00098446,2010-02-09,NA,306,226
RPM00098446,2010-02-10,NA,295,236
RPM00098446,2010-02-11,505,308,234
RPM00098446,2010-02-12,5,NA,215
RPM00098446,2010-02-13,23,300,215
RPM00098446,2010-02-14,0,300,238
RPM00098446,2010-02-15,10,306,NA
RPM00098446,2010-02-16,0,308,207
RPM00098446,2010-02-17,NA,308,214
RPM00098446,2010-02-18,NA,306,210
RPM00098446,2010-02-19,NA,304,NA
RPM00098446,2010-02-20,NA,294,NA
RPM00098446,2010-02-21,NA,298,200
RPM00098446,2010-02-22,NA,308,201
RPM00098446,2010-02-23,NA,NA,218
RPM00098446,2010-02-24,NA,NA,220
RPM00098446,2010-02-25,NA,NA,216
RPM00098446,2010-02-26,NA,NA,198
RPM00098446,2010-02-27,NA,305,200
RPM00098446,2010-02-28,NA,302,NA
RPM00098446,2010-03-01,NA,314,213
RPM00098446,2010-03-02,NA,318,NA
RPM00098446,2010-03-03,NA,305,NA
RPM00098446,2010-03-04,5,NA,210
RPM00098446,2010-03-05,0,316,240
RPM00098446,2010-03-06,NA,NA,234
RPM00098446,2010-03-07,64,308,NA
RPM00098446,2010-03-08,13,310,NA
RPM00098446,2010-03-09,0,314,234
RPM00098446,2010-03-10,152,290,230
RPM00098446,2010-03-11,56,286,230
RPM00098446,2010-03-12,178,298,230
RPM00098446,2010-03-13,13,302,NA
RPM00098446,2010-03-14,8,306,230
RPM00098446,2010-03-15,5,305,NA
RPM00098446,2010-03-16,15,303,221
RPM00098446,2010-03-17,0,310,224
RPM00098446,2010-03-18,10,312,NA
RPM00098446,2010-03-19,23,312,227
RPM00098446,2010-03-20,8,312,226
RPM00098446,2010-03-21,0,302,256
RPM00098446,2010-03-22,8,318,248
RPM00098446,2010-03-23,5,312,NA
RPM00098446,2010-03-24,61,316,NA
RPM00098446,2010-03-25,0,NA,220
RPM00098446,2010-03-26,51,324,225
RPM00098446,2010-03-27,0,312,NA
RPM00098446,2010-03-28,NA,312,225
RPM00098446,2010-03-29,NA,316,232
RPM00098446,2010-03-30,NA,287,222
RPM00098446,2010-03-31,NA,306,236
RPM00098446,2010-04-01,38,NA,232
RPM00098446,2010-04-02,84,316,242
RPM00098446,2010-04-03,0,318,234
RPM00098446,2010-04-04,NA,315,224
RPM00098446,2010-04-05,NA,316,232
RPM00098446,2010-04-06,NA,314,232
RPM00098446,2010-04-07,NA,315,230
RPM00098446,2010-04-08,NA,310,230
RPM00098446,2010-04-09,NA,312,218
RPM00098446,2010-04-10,NA,316,222
RPM00098446,2010-04-11,NA,318,NA
RPM00098446,2010-04-12,NA,318,236
RPM00098446,2010-04-13,NA,315,238
RPM00098446,2010-04-14,48,315,NA
RPM00098446,2010-04-15,43,308,228
RPM00098446,2010-04-16,0,310,NA
RPM00098446,2010-04-17,NA,315,240
RPM00098446,2010-04-18,NA,322,NA
RPM00098446,2010-04-19,NA,324,242
RPM00098446,2010-04-20,104,304,242
RPM00098446,2010-04-21,0,312,NA
RPM00098446,2010-04-22,NA,316,230
RPM00098446,2010-04-23,NA,315,232
RPM00098446,2010-04-24,NA,315,NA
RPM00098446,2010-04-25,NA,324,230
RPM00098446,2010-04-26,NA,NA,242
RPM00098446,2010-04-27,140,314,242
RPM00098446,2010-04-28,41,325,244
RPM00098446,2010-04-29,579,310,242
RPM00098446,2010-04-30,0,315,NA
RPM00098446,2010-05-01,NA,315,244
RPM00098446,2010-05-02,NA,324,248
RPM00098446,2010-05-03,NA,316,256
RPM00098446,2010-05-04,NA,318,242
RPM00098446,2010-05-05,NA,320,242
RPM00098446,2010-05-06,NA,324,NA
RPM00098446,2010-05-07,NA,320,240
RPM00098446,2010-05-08,5,312,NA
RPM00098446,2010-05-09,0,318,250
RPM00098446,2010-05-10,43,324,254
RPM00098446,2010-05-11,0,313,234
RPM00098446,2010-05-12,56,320,246
RPM00098446,2010-05-13,5,320,NA
RPM00098446,2010-05-14,0,320,245
RPM00098446,2010-05-15,NA,324,234
RPM00098446,2010-05-16,NA,326,NA
RPM00098446,2010-05-17,NA,328,240
RPM00098446,2010-05-18,NA,326,250
RPM00098446,2010-05-19,NA,324,NA
RPM00098446,2010-05-20,NA,326,248
RPM00098446,2010-05-21,NA,324,NA
RPM00098446,2010-05-22,NA,324,225
RPM00098446,2010-05-23,NA,328,248
RPM00098446,2010-05-24,NA,327,250
RPM00098446,2010-05-25,NA,328,256
RPM00098446,2010-05-26,NA,326,256
RPM00098446,2010-05-27,NA,330,NA
RPM00098446,2010-05-28,NA,324,NA
RPM00098446,2010-05-29,NA,324,240
RPM00098446,2010-05-30,NA,326,NA
RPM00098446,2010-05-31,NA,346,258
RPM00098446,2010-06-01,NA,368,258
RPM00098446,2010-06-02,NA,326,NA
RPM00098446,2010-06-03,NA,356,260
RPM00098446,2010-06-04,NA,NA,262
RPM00098446,2010-06-05,NA,360,218
RPM00098446,2010-06-06,NA,343,272
RPM00098446,2010-06-07,NA,341,NA
RPM00098446,2010-06-08,NA,338,256
RPM00098446,2010-06-09,NA,328,256
RPM00098446,2010-06-10,NA,344,257
RPM00098446,2010-06-11,NA,334,254
RPM00098446,2010-06-12,NA,340,260
RPM00098446,2010-06-13,140,332,NA
RPM00098446,2010-06-14,0,330,NA
RPM00098446,2010-06-15,5,328,254
RPM00098446,2010-06-16,0,334,255
RPM00098446,2010-06-17,69,328,252
RPM00098446,2010-06-18,5,302,254
RPM00098446,2010-06-19,0,322,250
RPM00098446,2010-06-20,NA,326,NA
RPM00098446,2010-06-21,NA,326,NA
RPM00098446,2010-06-22,NA,325,NA
RPM00098446,2010-06-23,NA,323,247
RPM00098446,2010-06-24,NA,324,255
RPM00098446,2010-06-25,NA,328,254
RPM00098446,2010-06-26,NA,330,252
RPM00098446,2010-06-27,NA,330,NA
RPM00098446,2010-06-28,NA,336,250
RPM00098446,2010-06-29,NA,304,246
RPM00098446,2010-06-30,NA,328,246
RPM00098446,2010-07-01,NA,326,246
RPM00098446,2010-07-02,NA,322,252
RPM00098446,2010-07-03,NA,325,NA
RPM00098446,2010-07-04,NA,328,252
RPM00098446,2010-07-05,NA,328,254
RPM00098446,2010-07-06,15,330,260
RPM00098446,2010-07-07,23,325,NA
RPM00098446,2010-07-08,43,324,246
RPM00098446,2010-07-09,297,316,248
RPM00098446,2010-07-10,0,322,NA
RPM00098446,2010-07-11,97,306,238
RPM00098446,2010-07-12,0,322,245
RPM00098446,2010-07-13,109,284,242
RPM00098446,2010-07-14,754,280,236
RPM00098446,2010-07-15,353,304,226
RPM00098446,2010-07-16,107,306,240
RPM00098446,2010-07-17,0,315,250
RPM00098446,2010-07-18,28,305,NA
RPM00098446,2010-07-19,251,316,244
RPM00098446,2010-07-20,193,314,242
RPM00098446,2010-07-21,18,310,243
RPM00098446,2010-07-22,41,312,250
RPM00098446,2010-07-23,61,310,242
RPM00098446,2010-07-24,343,295,242
RPM00098446,2010-07-25,597,294,246
RPM00098446,2010-07-26,41,306,246
RPM00098446,2010-07-27,216,NA,242
RPM00098446,2010-07-28,15,312,246
RPM00098446,2010-07-29,5,314,242
RPM00098446,2010-07-30,51,316,242
RPM00098446,2010-07-31,135,318,244
RPM00098446,2010-08-01,28,318,246
RPM00098446,2010-08-02,0,318,240
RPM00098446,2010-08-03,13,304,240
RPM00098446,2010-08-04,0,320,NA
RPM00098446,2010-08-05,249,322,236
RPM00098446,2010-08-06,5,302,250
RPM00098446,2010-08-07,43,NA,250
RPM00098446,2010-08-08,0,316,NA
RPM00098446,2010-08-09,NA,324,NA
RPM00098446,2010-08-10,NA,330,246
RPM00098446,2010-08-11,602,290,238
RPM00098446,2010-08-12,43,302,230
RPM00098446,2010-08-13,0,315,242
RPM00098446,2010-08-14,15,318,NA
RPM00098446,2010-08-15,0,294,NA
RPM00098446,2010-08-16,196,316,242
RPM00098446,2010-08-17,650,316,242
RPM00098446,2010-08-18,99,300,236
RPM00098446,2010-08-19,264,316,242
RPM00098446,2010-08-20,0,305,246
RPM00098446,2010-08-21,124,300,244
RPM00098446,2010-08-22,23,314,NA
RPM00098446,2010-08-23,48,316,250
RPM00098446,2010-08-24,0,314,234
RPM00098446,2010-08-25,36,NA,NA
RPM00098446,2010-08-26,381,316,235
RPM00098446,2010-08-27,69,328,244
RPM00098446,2010-08-28,5,330,245
RPM00098446,2010-08-29,0,324,NA
RPM00098446,2010-08-30,NA,334,246
RPM00098446,2010-08-31,NA,340,242
RPM00098446,2010-09-01,NA,336,244
RPM00098446,2010-09-02,NA,304,NA
RPM00098446,2010-09-03,NA,322,234
RPM00098446,2010-09-04,NA,312,250
RPM00098446,2010-09-05,NA,NA,264
RPM00098446,2010-09-06,112,318,NA
RPM00098446,2010-09-07,0,312,NA
RPM00098446,2010-09-08,511,312,232
RPM00098446,2010-09-09,18,312,235
RPM00098446,2010-09-10,0,318,242
RPM00098446,2010-09-11,295,314,NA
RPM00098446,2010-09-12,203,307,244
RPM00098446,2010-09-13,58,NA,NA
RPM00098446,2010-09-14,165,318,232
RPM00098446,2010-09-15,66,300,232
RPM00098446,2010-09-16,81,312,238
RPM00098446,2010-09-17,23,332,242
RPM00098446,2010-09-18,132,320,235
RPM00098446,2010-09-19,0,324,252
RPM00098446,2010-09-20,NA,322,245
RPM00098446,2010-09-21,NA,316,236
RPM00098446,2010-09-22,NA,318,230
RPM00098446,2010-09-23,NA,320,240
RPM00098446,2010-09-24,NA,320,NA
RPM00098446,2010-09-25,201,298,242
RPM00098446,2010-09-26,81,314,245
RPM00098446,2010-09-27,0,311,243
RPM00098446,2010-09-28,20,316,244
RPM00098446,2010-09-29,119,324,236
RPM00098446,2010-09-30,257,286,232
RPM00098446,2010-10-01,699,296,232
RPM00098446,2010-10-02,104,304,232
RPM00098446,2010-10-03,127,314,232
RPM00098446,2010-10-04,41,NA,246
RPM00098446,2010-10-05,5,322,NA
RPM00098446,2010-10-06,0,320,232
RPM00098446,2010-10-07,61,318,235
RPM00098446,2010-10-08,323,310,242
RPM00098446,2010-10-09,30,314,232
RPM00098446,2010-10-10,86,321,250
RPM00098446,2010-10-11,0,318,248
RPM00098446,2010-10-12,104,296,250
RPM00098446,2010-10-13,333,NA,246
RPM00098446,2010-10-14,33,324,245
RPM00098446,2010-10-15,0,320,244
RPM00098446,2010-10-16,455,308,238
RPM00098446,2010-10-17,447,320,240
RPM00098446,2010-10-18,0,326,250
RPM00098446,2010-10-19,23,318,242
RPM00098446,2010-10-20,43,316,242
RPM00098446,2010-10-21,0,324,250
RPM00098446,2010-10-22,NA,322,254
RPM00098446,2010-10-23,NA,331,NA
RPM00098446,2010-10-24,NA,328,240
RPM00098446,2010-10-25,NA,328,241
RPM00098446,2010-10-26,NA,NA,NA
RPM00098446,2010-10-27,NA,NA,NA
RPM00098446,2010-10-28,NA,NA,NA
RPM00098446,2010-10-29,NA,NA,NA
RPM00098446,2010-10-30,NA,NA,NA
RPM00098446,2010-10-31,541,NA,NA
RPM00098446,2010-11-01,NA,NA,NA
RPM00098446,2010-11-02,NA,NA,NA
RPM00098446,2010-11-03,NA,NA,NA
RPM00098446,2010-11-04,NA,300,NA
RPM00098446,2010-11-05,NA,288,NA
RPM00098446,2010-11-06,NA,314,NA
RPM00098446,2010-11-07,NA,310,232
RPM00098446,2010-11-08,NA,312,244
RPM00098446,2010-11-09,25,316,236
RPM00098446,2010-11-10,137,310,232
RPM00098446,2010-11-11,0,316,238
RPM00098446,2010-11-12,NA,310,218
RPM00098446,2010-11-13,102,310,240
RPM00098446,2010-11-14,127,298,NA
RPM00098446,2010-11-15,104,316,246
RPM00098446,2010-11-16,391,314,242
RPM00098446,2010-11-17,56,316,232
RPM00098446,2010-11-18,239,304,234
RPM00098446,2010-11-19,10,NA,240
RPM00098446,2010-11-20,0,308,242
RPM00098446,2010-11-21,221,298,242
RPM00098446,2010-11-22,191,304,240
RPM00098446,2010-11-23,15,306,234
RPM00098446,2010-11-24,0,316,NA
RPM00098446,2010-11-25,NA,310,238
RPM00098446,2010-11-26,NA,304,230
RPM00098446,2010-11-27,NA,NA,230
RPM00098446,2010-11-28,NA,280,232
RPM00098446,2010-11-29,NA,312,NA
RPM00098446,2010-11-30,NA,310,232
RPM00098446,2010-12-01,NA,310,242
RPM00098446,2010-12-02,NA,298,NA
RPM00098446,2010-12-03,823,306,234
RPM00098446,2010-12-04,401,308,242
RPM00098446,2010-12-05,363,310,234
RPM00098446,2010-12-06,5,310,252
RPM00098446,2010-12-07,69,312,240
RPM00098446,2010-12-08,653,295,238
RPM00098446,2010-12-09,493,290,240
RPM00098446,2010-12-10,33,286,232
RPM00098446,2010-12-11,0,282,NA
RPM00098446,2010-12-12,538,294,230
RPM00098446,2010-12-13,0,310,NA
RPM00098446,2010-12-14,13,310,236
RPM00098446,2010-12-15,0,308,214
RPM00098446,2010-12-16,114,306,NA
RPM00098446,2010-12-17,0,310,232
RPM00098446,2010-12-18,5,310,240
RPM00098446,2010-12-19,46,305,238
RPM00098446,2010-12-20,297,300,248
RPM00098446,2010-12-21,130,314,242
RPM00098446,2010-12-22,0,310,222
RPM00098446,2010-12-23,NA,290,236
RPM00098446,2010-12-24,284,282,232
RPM00098446,2010-12-25,1006,314,230
RPM00098446,2010-12-26,0,300,242
RPM00098446,2010-12-27,5,282,250
RPM00098446,2010-12-28,33,286,232
RPM00098446,2010-12-29,1234,280,232
RPM00098446,2010-12-30,577,288,NA
RPM00098446,2010-12-31,56,NA,220
RPM00098446,2011-01-01,91,268,216
RPM00098446,2011-01-02,28,NA,228
RPM00098446,2011-01-03,0,280,NA
RPM00098446,2011-01-04,NA,284,214
RPM00098446,2011-01-05,NA,285,224
RPM00098446,2011-01-06,137,276,NA
RPM00098446,2011-01-07,338,274,222
RPM00098446,2011-01-08,150,282,230
RPM00098446,2011-01-09,711,295,220
RPM00098446,2011-01-10,389,NA,247
RPM00098446,2011-01-11,89,290,232
RPM00098446,2011-01-12,493,268,232
RPM00098446,2011-01-13,117,280,236
RPM00098446,2011-01-14,617,286,226
RPM00098446,2011-01-15,94,315,236
RPM00098446,2011-01-16,5,270,NA
RPM00098446,2011-01-17,91,271,216
RPM00098446,2011-01-18,5,286,220
RPM00098446,2011-01-19,NA,286,220
RPM00098446,2011-01-20,201,288,230
RPM00098446,2011-01-21,10,294,226
RPM00098446,2011-01-22,0,298,NA
RPM00098446,2011-01-23,NA,300,NA
RPM00098446,2011-01-24,5,286,240
RPM00098446,2011-01-25,234,282,228
RPM00098446,2011-01-26,5,292,232
RPM00098446,2011-01-27,0,NA,NA
RPM00098446,2011-01-28,NA,286,220
RPM00098446,2011-01-29,NA,NA,220
RPM00098446,2011-01-30,NA,280,220
RPM00098446,2011-01-31,NA,281,226
RPM00098446,2011-02-01,NA,288,220
RPM00098446,2011-02-02,NA,265,220
RPM00098446,2011-02-03,NA,292,230
RPM00098446,2011-02-04,NA,286,228
RPM00098446,2011-02-05,NA,295,226
RPM00098446,2011-02-06,NA,284,230
RPM00098446,2011-02-07,NA,283,235
RPM00098446,2011-02-08,NA,322,232
RPM00098446,2011-02-09,NA,324,232
RPM00098446,2011-02-10,NA,304,NA
RPM00098446,2011-02-11,NA,306,236
RPM00098446,2011-02-12,NA,295,225
RPM00098446,2011-02-13,NA,290,232
RPM00098446,2011-02-14,NA,285,NA
RPM00098446,2011-02-15,NA,304,222
RPM00098446,2011-02-16,NA,302,222
RPM00098446,2011-02-17,NA,302,NA
RPM00098446,2011-02-18,NA,308,226
RPM00098446,2011-02-19,NA,298,NA
RPM00098446,2011-02-20,NA,296,208
RPM00098446,2011-02-21,NA,306,202
RPM00098446,2011-02-22,NA,296,198
RPM00098446,2011-02-23,NA,294,202
RPM00098446,2011-02-24,NA,292,225
RPM00098446,2011-02-25,NA,294,212
RPM00098446,2011-02-26,NA,292,196
RPM00098446,2011-02-27,20,292,231
RPM00098446,2011-02-28,0,300,250
RPM00098446,2011-03-01,104,292,NA
RPM00098446,2011-03-02,541,300,226
RPM00098446,2011-03-03,168,272,NA
RPM00098446,2011-03-04,356,288,212
RPM00098446,2011-03-05,48,286,230
RPM00098446,2011-03-06,269,295,230
RPM00098446,2011-03-07,86,302,NA
RPM00098446,2011-03-08,33,298,226
RPM00098446,2011-03-09,0,302,214
RPM00098446,2011-03-10,99,298,NA
RPM00098446,2011-03-11,0,304,226
RPM00098446,2011-03-12,NA,300,236
RPM00098446,2011-03-13,58,306,235
RPM00098446,2011-03-14,729,298,238
RPM00098446,2011-03-15,0,288,232
RPM00098446,2011-03-16,439,286,226
RPM00098446,2011-03-17,0,290,232
RPM00098446,2011-03-18,8,286,230
RPM00098446,2011-03-19,0,286,230
RPM00098446,2011-03-20,18,286,233
RPM00098446,2011-03-21,15,306,250
RPM00098446,2011-03-22,43,306,242
RPM00098446,2011-03-23,127,286,242
RPM00098446,2011-03-24,130,294,242
RPM00098446,2011-03-25,0,308,238
RPM00098446,2011-03-26,NA,288,242
RPM00098446,2011-03-27,48,280,240
RPM00098446,2011-03-28,457,296,240
RPM00098446,2011-03-29,117,300,236
RPM00098446,2011-03-30,10,300,235
RPM00098446,2011-03-31,0,296,246
RPM00098446,2011-04-01,NA,306,240
RPM00098446,2011-04-02,NA,304,228
RPM00098446,2011-04-03,NA,306,NA
RPM00098446,2011-04-04,NA,NA,NA
RPM00098446,2011-04-05,NA,304,214
RPM00098446,2011-04-06,NA,NA,NA
RPM00098446,2011-04-07,NA,288,NA
RPM00098446,2011-04-08,NA,298,192
RPM00098446,2011-04-09,86,286,224
