id,date,tmax,tmin
RSM00031913,2010-01-01,-177,-240
RSM00031913,2010-01-02,NA,NA
RSM00031913,2010-01-03,NA,NA
RSM00031913,2010-01-04,-155,-216
RSM00031913,2010-01-05,NA,NA
RSM00031913,2010-01-06,NA,NA
RSM00031913,2010-01-07,-54,-111
RSM00031913,2010-01-08,NA,NA
RSM00031913,2010-01-09,-113,NA
RSM00031913,2010-01-10,-108,NA
RSM00031913,2010-01-11,-146,NA
RSM00031913,2010-01-12,-170,-290
RSM00031913,2010-01-13,-197,-300
RSM00031913,2010-01-14,-157,-286
RSM00031913,2010-01-15,-140,-272
RSM00031913,2010-01-16,-118,NA
RSM00031913,2010-01-17,-141,-265
RSM00031913,2010-01-18,-155,-259
RSM00031913,2010-01-19,NA,-220
RSM00031913,2010-01-20,-67,NA
RSM00031913,2010-01-21,-155,-250
RSM00031913,2010-01-22,-114,-255
RSM00031913,2010-01-23,-64,-236
RSM00031913,2010-01-24,-65,-200
RSM00031913,2010-01-25,NA,NA
RSM00031913,2010-01-26,-92,-211
RSM00031913,2010-01-27,6,-200
RSM00031913,2010-01-28,-103,NA
RSM00031913,2010-01-29,-62,-221
RSM00031913,2010-01-30,2,-191
RSM00031913,2010-01-31,NA,NA
RSM00031913,2010-02-01,-131,NA
RSM00031913,2010-02-02,-194,-290
RSM00031913,2010-02-03,-155,-320
RSM00031913,2010-02-04,NA,NA
RSM00031913,2010-02-05,NA,NA
RSM00031913,2010-02-06,-60,NA
RSM00031913,2010-02-07,-100,-200
RSM00031913,2010-02-08,0,NA
RSM00031913,2010-02-09,-93,NA
RSM00031913,2010-02-10,-84,-205
RSM00031913,2010-02-11,-110,NA
RSM00031913,2010-02-12,-107,-240
RSM00031913,2010-02-13,-101,-244
RSM00031913,2010-02-14,-96,-235
RSM00031913,2010-02-15,-95,NA
RSM00031913,2010-02-16,-91,-234
RSM00031913,2010-02-17,-108,-239
RSM00031913,2010-02-18,NA,NA
RSM00031913,2010-02-19,-100,-208
RSM00031913,2010-02-20,-90,NA
RSM00031913,2010-02-21,NA,NA
RSM00031913,2010-02-22,NA,NA
RSM00031913,2010-02-23,NA,NA
RSM00031913,2010-02-24,NA,NA
RSM00031913,2010-02-25,NA,NA
RSM00031913,2010-02-26,-66,NA
RSM00031913,2010-02-27,-115,-250
RSM00031913,2010-02-28,-77,NA
RSM00031913,2010-03-01,-75,NA
RSM00031913,2010-03-02,NA,NA
RSM00031913,2010-03-03,-55,NA
RSM00031913,2010-03-04,-30,-210
RSM00031913,2010-03-05,NA,NA
RSM00031913,2010-03-06,-62,NA
RSM00031913,2010-03-07,-80,-212
RSM00031913,2010-03-08,-75,-220
RSM00031913,2010-03-09,-64,-230
RSM00031913,2010-03-10,-55,NA
RSM00031913,2010-03-11,NA,-231
RSM00031913,2010-03-12,NA,NA
RSM00031913,2010-03-13,-35,NA
RSM00031913,2010-03-14,-23,-150
RSM00031913,2010-03-15,NA,NA
RSM00031913,2010-03-16,-35,-131
RSM00031913,2010-03-17,-25,NA
RSM00031913,2010-03-18,6,-160
RSM00031913,2010-03-19,5,-146
RSM00031913,2010-03-20,-15,NA
RSM00031913,2010-03-21,13,NA
RSM00031913,2010-03-22,30,-113
RSM00031913,2010-03-23,42,-94
RSM00031913,2010-03-24,38,NA
RSM00031913,2010-03-25,10,-126
RSM00031913,2010-03-26,NA,-110
RSM00031913,2010-03-27,5,NA
RSM00031913,2010-03-28,1,-126
RSM00031913,2010-03-29,24,-136
RSM00031913,2010-03-30,NA,NA
RSM00031913,2010-03-31,NA,NA
RSM00031913,2010-04-01,62,-4
RSM00031913,2010-04-02,NA,NA
RSM00031913,2010-04-03,45,-62
RSM00031913,2010-04-04,NA,-61
RSM00031913,2010-04-05,NA,NA
RSM00031913,2010-04-06,NA,-62
RSM00031913,2010-04-07,50,NA
RSM00031913,2010-04-08,105,-66
RSM00031913,2010-04-09,99,NA
RSM00031913,2010-04-10,72,NA
RSM00031913,2010-04-11,62,NA
RSM00031913,2010-04-12,31,-62
RSM00031913,2010-04-13,NA,NA
RSM00031913,2010-04-14,41,NA
RSM00031913,2010-04-15,56,-56
RSM00031913,2010-04-16,37,-72
RSM00031913,2010-04-17,84,-53
RSM00031913,2010-04-18,72,-49
RSM00031913,2010-04-19,55,-19
RSM00031913,2010-04-20,NA,NA
RSM00031913,2010-04-21,140,-12
RSM00031913,2010-04-22,131,-14
RSM00031913,2010-04-23,142,-11
RSM00031913,2010-04-24,NA,NA
RSM00031913,2010-04-25,NA,NA
RSM00031913,2010-04-26,142,NA
RSM00031913,2010-04-27,81,12
RSM00031913,2010-04-28,115,NA
RSM00031913,2010-04-29,NA,NA
RSM00031913,2010-04-30,160,43
RSM00031913,2010-05-01,204,NA
RSM00031913,2010-05-02,226,18
RSM00031913,2010-05-03,230,NA
RSM00031913,2010-05-04,216,36
RSM00031913,2010-05-05,NA,NA
RSM00031913,2010-05-06,NA,NA
RSM00031913,2010-05-07,NA,NA
RSM00031913,2010-05-08,116,34
RSM00031913,2010-05-09,110,31
RSM00031913,2010-05-10,NA,NA
RSM00031913,2010-05-11,NA,NA
RSM00031913,2010-05-12,NA,26
RSM00031913,2010-05-13,169,52
RSM00031913,2010-05-14,190,40
RSM00031913,2010-05-15,NA,NA
RSM00031913,2010-05-16,252,96
RSM00031913,2010-05-17,264,81
RSM00031913,2010-05-18,360,122
RSM00031913,2010-05-19,NA,NA
RSM00031913,2010-05-20,NA,NA
RSM00031913,2010-05-21,207,105
RSM00031913,2010-05-22,184,112
RSM00031913,2010-05-23,221,106
RSM00031913,2010-05-24,182,141
RSM00031913,2010-05-25,NA,NA
RSM00031913,2010-05-26,181,NA
RSM00031913,2010-05-27,196,79
RSM00031913,2010-05-28,190,91
RSM00031913,2010-05-29,190,100
RSM00031913,2010-05-30,213,88
RSM00031913,2010-05-31,289,NA
RSM00031913,2010-06-01,NA,NA
RSM00031913,2010-06-02,NA,130
RSM00031913,2010-06-03,207,NA
RSM00031913,2010-06-04,225,144
RSM00031913,2010-06-05,306,160
RSM00031913,2010-06-06,NA,NA
RSM00031913,2010-06-07,238,110
RSM00031913,2010-06-08,295,130
RSM00031913,2010-06-09,307,156
RSM00031913,2010-06-10,256,136
RSM00031913,2010-06-11,NA,145
RSM00031913,2010-06-12,263,125
RSM00031913,2010-06-13,NA,NA
RSM00031913,2010-06-14,271,141
RSM00031913,2010-06-15,240,152
RSM00031913,2010-06-16,241,NA
RSM00031913,2010-06-17,NA,150
RSM00031913,2010-06-18,278,157
RSM00031913,2010-06-19,278,175
RSM00031913,2010-06-20,NA,NA
RSM00031913,2010-06-21,NA,NA
RSM00031913,2010-06-22,224,82
RSM00031913,2010-06-23,251,134
RSM00031913,2010-06-24,331,164
RSM00031913,2010-06-25,368,NA
RSM00031913,2010-06-26,310,NA
RSM00031913,2010-06-27,291,176
RSM00031913,2010-06-28,NA,197
RSM00031913,2010-06-29,259,190
RSM00031913,2010-06-30,NA,NA
RSM00031913,2010-07-01,263,178
RSM00031913,2010-07-02,258,180
RSM00031913,2010-07-03,263,NA
RSM00031913,2010-07-04,247,164
RSM00031913,2010-07-05,NA,NA
RSM00031913,2010-07-06,220,NA
RSM00031913,2010-07-07,228,162
RSM00031913,2010-07-08,223,160
RSM00031913,2010-07-09,220,169
RSM00031913,2010-07-10,236,NA
RSM00031913,2010-07-11,246,150
RSM00031913,2010-07-12,285,146
RSM00031913,2010-07-13,264,151
RSM00031913,2010-07-14,268,NA
RSM00031913,2010-07-15,286,163
RSM00031913,2010-07-16,269,180
RSM00031913,2010-07-17,274,NA
RSM00031913,2010-07-18,NA,NA
RSM00031913,2010-07-19,286,184
RSM00031913,2010-07-20,NA,NA
RSM00031913,2010-07-21,294,NA
RSM00031913,2010-07-22,278,188
RSM00031913,2010-07-23,NA,NA
RSM00031913,2010-07-24,273,NA
RSM00031913,2010-07-25,280,160
RSM00031913,2010-07-26,NA,NA
RSM00031913,2010-07-27,281,184
RSM00031913,2010-07-28,NA,NA
RSM00031913,2010-07-29,271,141
RSM00031913,2010-07-30,279,150
RSM00031913,2010-07-31,NA,NA
RSM00031913,2010-08-01,282,139
RSM00031913,2010-08-02,281,138
RSM00031913,2010-08-03,264,154
RSM00031913,2010-08-04,NA,NA
RSM00031913,2010-08-05,300,208
RSM00031913,2010-08-06,NA,NA
RSM00031913,2010-08-07,261,144
RSM00031913,2010-08-08,NA,NA
RSM00031913,2010-08-09,265,194
RSM00031913,2010-08-10,278,NA
RSM00031913,2010-08-11,288,NA
RSM00031913,2010-08-12,NA,NA
RSM00031913,2010-08-13,292,159
RSM00031913,2010-08-14,255,163
RSM00031913,2010-08-15,NA,NA
RSM00031913,2010-08-16,271,NA
RSM00031913,2010-08-17,295,142
RSM00031913,2010-08-18,289,156
RSM00031913,2010-08-19,285,171
RSM00031913,2010-08-20,NA,NA
RSM00031913,2010-08-21,313,164
RSM00031913,2010-08-22,NA,NA
RSM00031913,2010-08-23,NA,NA
RSM00031913,2010-08-24,NA,136
RSM00031913,2010-08-25,284,127
RSM00031913,2010-08-26,282,145
RSM00031913,2010-08-27,252,159
RSM00031913,2010-08-28,280,169
RSM00031913,2010-08-29,275,232
RSM00031913,2010-08-30,273,NA
RSM00031913,2010-08-31,257,NA
RSM00031913,2010-09-01,257,115
RSM00031913,2010-09-02,235,141
RSM00031913,2010-09-03,262,146
RSM00031913,2010-09-04,227,157
RSM00031913,2010-09-05,272,NA
RSM00031913,2010-09-06,279,NA
RSM00031913,2010-09-07,195,NA
RSM00031913,2010-09-08,226,40
RSM00031913,2010-09-09,232,60
RSM00031913,2010-09-10,240,96
RSM00031913,2010-09-11,244,NA
RSM00031913,2010-09-12,236,96
RSM00031913,2010-09-13,294,110
RSM00031913,2010-09-14,311,125
RSM00031913,2010-09-15,310,141
RSM00031913,2010-09-16,264,NA
RSM00031913,2010-09-17,160,NA
RSM00031913,2010-09-18,170,21
RSM00031913,2010-09-19,188,46
RSM00031913,2010-09-20,235,NA
RSM00031913,2010-09-21,174,NA
RSM00031913,2010-09-22,163,NA
RSM00031913,2010-09-23,149,-15
RSM00031913,2010-09-24,150,-33
RSM00031913,2010-09-25,160,15
RSM00031913,2010-09-26,NA,40
RSM00031913,2010-09-27,159,66
RSM00031913,2010-09-28,NA,NA
RSM00031913,2010-09-29,185,NA
RSM00031913,2010-09-30,224,5
RSM00031913,2010-10-01,147,NA
RSM00031913,2010-10-02,118,-9
RSM00031913,2010-10-03,132,60
RSM00031913,2010-10-04,NA,NA
RSM00031913,2010-10-05,180,NA
RSM00031913,2010-10-06,158,10
RSM00031913,2010-10-07,174,12
RSM00031913,2010-10-08,205,45
RSM00031913,2010-10-09,187,55
RSM00031913,2010-10-10,189,79
RSM00031913,2010-10-11,115,67
RSM00031913,2010-10-12,132,NA
RSM00031913,2010-10-13,135,-23
RSM00031913,2010-10-14,NA,NA
RSM00031913,2010-10-15,114,-18
RSM00031913,2010-10-16,67,-38
RSM00031913,2010-10-17,81,NA
RSM00031913,2010-10-18,93,NA
RSM00031913,2010-10-19,102,-74
RSM00031913,2010-10-20,98,-55
RSM00031913,2010-10-21,125,-38
RSM00031913,2010-10-22,89,-44
RSM00031913,2010-10-23,170,-18
RSM00031913,2010-10-24,85,40
