id,date,prcp,tmax,tmin
RSM00034123,2010-01-01,94,-17,-63
RSM00034123,2010-01-02,104,-36,-82
RSM00034123,2010-01-03,73,-36,-147
RSM00034123,2010-01-04,0,-147,-210
RSM00034123,2010-01-05,0,-157,-256
RSM00034123,2010-01-06,0,-94,-207
RSM00034123,2010-01-07,7,-73,-126
RSM00034123,2010-01-08,87,5,-73
RSM00034123,2010-01-09,54,8,-14
RSM00034123,2010-01-10,58,-11,-61
RSM00034123,2010-01-11,0,-61,-97
RSM00034123,2010-01-12,0,-55,-92
RSM00034123,2010-01-13,49,-49,-72
RSM00034123,2010-01-14,0,-57,-145
RSM00034123,2010-01-15,0,-105,-150
RSM00034123,2010-01-16,0,-133,-195
RSM00034123,2010-01-17,0,-159,-245
RSM00034123,2010-01-18,0,-140,-239
RSM00034123,2010-01-19,0,-127,-241
RSM00034123,2010-01-20,0,-141,-243
RSM00034123,2010-01-21,0,-146,-224
RSM00034123,2010-01-22,0,-172,-253
RSM00034123,2010-01-23,0,-195,-273
RSM00034123,2010-01-24,0,-211,-325
RSM00034123,2010-01-25,0,-199,-305
RSM00034123,2010-01-26,0,-199,-272
RSM00034123,2010-01-27,0,-173,-274
RSM00034123,2010-01-28,0,-166,-258
RSM00034123,2010-01-29,4,-115,-230
RSM00034123,2010-01-30,26,-95,-142
RSM00034123,2010-01-31,11,-21,-143
RSM00034123,2010-02-01,0,11,-35
RSM00034123,2010-02-02,41,-2,-45
RSM00034123,2010-02-03,3,11,-68
RSM00034123,2010-02-04,0,-58,-127
RSM00034123,2010-02-05,0,-102,-168
RSM00034123,2010-02-06,0,-69,-185
RSM00034123,2010-02-07,0,-105,-186
RSM00034123,2010-02-08,8,-106,-180
RSM00034123,2010-02-09,12,-78,-109
RSM00034123,2010-02-10,18,-87,-122
RSM00034123,2010-02-11,0,-104,-162
RSM00034123,2010-02-12,0,-90,-176
RSM00034123,2010-02-13,0,-91,-171
RSM00034123,2010-02-14,36,-71,-105
RSM00034123,2010-02-15,6,11,-71
RSM00034123,2010-02-16,62,-7,-25
RSM00034123,2010-02-17,54,-24,-60
RSM00034123,2010-02-18,8,-49,-173
RSM00034123,2010-02-19,0,7,-75
