id,date,tmax
RSM00034214,2013-03-01,NA
RSM00034214,2013-03-02,NA
RSM00034214,2013-03-03,NA
RSM00034214,2013-03-04,NA
RSM00034214,2013-03-05,NA
RSM00034214,2013-03-06,NA
RSM00034214,2013-03-07,NA
RSM00034214,2013-03-08,NA
RSM00034214,2013-03-09,6
RSM00034214,2013-03-10,NA
RSM00034214,2013-03-11,NA
RSM00034214,2013-03-12,NA
RSM00034214,2013-03-13,NA
RSM00034214,2013-03-14,NA
RSM00034214,2013-03-15,NA
RSM00034214,2013-03-16,NA
RSM00034214,2013-03-17,NA
RSM00034214,2013-03-18,NA
RSM00034214,2013-03-19,NA
RSM00034214,2013-03-20,NA
RSM00034214,2013-03-21,NA
RSM00034214,2013-03-22,NA
RSM00034214,2013-03-23,NA
RSM00034214,2013-03-24,NA
RSM00034214,2013-03-25,NA
RSM00034214,2013-03-26,NA
RSM00034214,2013-03-27,NA
RSM00034214,2013-03-28,NA
RSM00034214,2013-03-29,NA
RSM00034214,2013-03-30,NA
RSM00034214,2013-03-31,NA
