id,date,prcp,tmin
RSM00037004,2013-05-01,NA,141
RSM00037004,2013-05-02,NA,174
RSM00037004,2013-05-03,NA,137
RSM00037004,2013-05-04,NA,NA
RSM00037004,2013-05-05,NA,NA
RSM00037004,2013-05-06,NA,NA
RSM00037004,2013-05-07,NA,129
RSM00037004,2013-05-08,NA,139
RSM00037004,2013-05-09,NA,152
RSM00037004,2013-05-10,NA,NA
RSM00037004,2013-05-11,NA,134
RSM00037004,2013-05-12,NA,NA
RSM00037004,2013-05-13,25,NA
RSM00037004,2013-05-14,NA,132
RSM00037004,2013-05-15,NA,NA
RSM00037004,2013-05-16,NA,142
RSM00037004,2013-05-17,NA,157
RSM00037004,2013-05-18,NA,151
RSM00037004,2013-05-19,NA,154
RSM00037004,2013-05-20,NA,164
RSM00037004,2013-05-21,NA,169
RSM00037004,2013-05-22,NA,147
RSM00037004,2013-05-23,NA,179
RSM00037004,2013-05-24,NA,NA
RSM00037004,2013-05-25,NA,NA
RSM00037004,2013-05-26,NA,160
RSM00037004,2013-05-27,NA,172
RSM00037004,2013-05-28,NA,NA
RSM00037004,2013-05-29,NA,145
RSM00037004,2013-05-30,NA,170
RSM00037004,2013-05-31,NA,NA
RSM00037004,2013-06-01,NA,NA
RSM00037004,2013-06-02,NA,153
RSM00037004,2013-06-03,NA,NA
RSM00037004,2013-06-04,330,163
RSM00037004,2013-06-05,NA,NA
RSM00037004,2013-06-06,NA,NA
RSM00037004,2013-06-07,NA,NA
RSM00037004,2013-06-08,NA,151
RSM00037004,2013-06-09,NA,155
RSM00037004,2013-06-10,NA,173
RSM00037004,2013-06-11,NA,172
RSM00037004,2013-06-12,NA,164
RSM00037004,2013-06-13,NA,192
RSM00037004,2013-06-14,NA,228
RSM00037004,2013-06-15,NA,NA
RSM00037004,2013-06-16,NA,200
RSM00037004,2013-06-17,NA,NA
RSM00037004,2013-06-18,NA,182
RSM00037004,2013-06-19,NA,199
RSM00037004,2013-06-20,NA,195
RSM00037004,2013-06-21,NA,NA
RSM00037004,2013-06-22,NA,179
RSM00037004,2013-06-23,89,192
RSM00037004,2013-06-24,NA,174
RSM00037004,2013-06-25,NA,NA
RSM00037004,2013-06-26,NA,199
RSM00037004,2013-06-27,NA,211
RSM00037004,2013-06-28,NA,213
RSM00037004,2013-06-29,NA,215
RSM00037004,2013-06-30,NA,218
RSM00037004,2013-07-01,NA,NA
RSM00037004,2013-07-02,170,NA
RSM00037004,2013-07-03,18,192
RSM00037004,2013-07-04,38,202
RSM00037004,2013-07-05,NA,193
RSM00037004,2013-07-06,NA,201
RSM00037004,2013-07-07,NA,199
RSM00037004,2013-07-08,NA,218
RSM00037004,2013-07-09,NA,NA
RSM00037004,2013-07-10,NA,228
RSM00037004,2013-07-11,NA,233
RSM00037004,2013-07-12,NA,NA
RSM00037004,2013-07-13,NA,203
RSM00037004,2013-07-14,NA,NA
RSM00037004,2013-07-15,NA,195
RSM00037004,2013-07-16,NA,192
RSM00037004,2013-07-17,NA,214
RSM00037004,2013-07-18,NA,246
RSM00037004,2013-07-19,NA,244
RSM00037004,2013-07-20,NA,190
RSM00037004,2013-07-21,NA,184
RSM00037004,2013-07-22,NA,195
RSM00037004,2013-07-23,NA,180
RSM00037004,2013-07-24,NA,187
RSM00037004,2013-07-25,NA,NA
RSM00037004,2013-07-26,NA,NA
RSM00037004,2013-07-27,NA,181
RSM00037004,2013-07-28,NA,NA
RSM00037004,2013-07-29,NA,190
RSM00037004,2013-07-30,NA,175
RSM00037004,2013-07-31,NA,189
RSM00037004,2013-08-01,NA,NA
RSM00037004,2013-08-02,53,197
RSM00037004,2013-08-03,NA,NA
RSM00037004,2013-08-04,NA,169
RSM00037004,2013-08-05,30,175
RSM00037004,2013-08-06,NA,189
RSM00037004,2013-08-07,NA,183
RSM00037004,2013-08-08,NA,195
RSM00037004,2013-08-09,NA,214
RSM00037004,2013-08-10,NA,220
RSM00037004,2013-08-11,NA,NA
RSM00037004,2013-08-12,NA,223
RSM00037004,2013-08-13,NA,NA
RSM00037004,2013-08-14,NA,200
RSM00037004,2013-08-15,NA,225
RSM00037004,2013-08-16,NA,NA
RSM00037004,2013-08-17,NA,240
RSM00037004,2013-08-18,NA,235
RSM00037004,2013-08-19,NA,227
RSM00037004,2013-08-20,NA,229
RSM00037004,2013-08-21,NA,236
RSM00037004,2013-08-22,NA,NA
RSM00037004,2013-08-23,NA,220
RSM00037004,2013-08-24,NA,NA
RSM00037004,2013-08-25,NA,199
RSM00037004,2013-08-26,NA,185
RSM00037004,2013-08-27,NA,NA
RSM00037004,2013-08-28,NA,210
RSM00037004,2013-08-29,NA,NA
RSM00037004,2013-08-30,NA,227
RSM00037004,2013-08-31,NA,NA
RSM00037004,2013-09-01,NA,NA
RSM00037004,2013-09-02,NA,179
RSM00037004,2013-09-03,NA,177
RSM00037004,2013-09-04,429,NA
RSM00037004,2013-09-05,320,NA
RSM00037004,2013-09-06,NA,136
RSM00037004,2013-09-07,NA,NA
RSM00037004,2013-09-08,28,NA
RSM00037004,2013-09-09,NA,128
RSM00037004,2013-09-10,NA,128
RSM00037004,2013-09-11,NA,NA
RSM00037004,2013-09-12,NA,166
RSM00037004,2013-09-13,NA,158
RSM00037004,2013-09-14,NA,170
RSM00037004,2013-09-15,79,139
RSM00037004,2013-09-16,NA,165
RSM00037004,2013-09-17,NA,169
RSM00037004,2013-09-18,NA,173
RSM00037004,2013-09-19,89,NA
RSM00037004,2013-09-20,NA,159
RSM00037004,2013-09-21,NA,131
RSM00037004,2013-09-22,NA,136
RSM00037004,2013-09-23,30,113
RSM00037004,2013-09-24,480,NA
RSM00037004,2013-09-25,201,NA
RSM00037004,2013-09-26,NA,93
RSM00037004,2013-09-27,NA,NA
RSM00037004,2013-09-28,NA,NA
RSM00037004,2013-09-29,43,92
RSM00037004,2013-09-30,NA,78
RSM00037004,2013-10-01,NA,119
RSM00037004,2013-10-02,124,139
RSM00037004,2013-10-03,15,NA
RSM00037004,2013-10-04,8,NA
RSM00037004,2013-10-05,124,70
RSM00037004,2013-10-06,NA,62
RSM00037004,2013-10-07,NA,56
RSM00037004,2013-10-08,NA,47
RSM00037004,2013-10-09,NA,75
RSM00037004,2013-10-10,NA,68
RSM00037004,2013-10-11,NA,92
RSM00037004,2013-10-12,NA,107
RSM00037004,2013-10-13,NA,101
RSM00037004,2013-10-14,NA,92
RSM00037004,2013-10-15,NA,93
RSM00037004,2013-10-16,NA,104
RSM00037004,2013-10-17,NA,161
RSM00037004,2013-10-18,NA,170
RSM00037004,2013-10-19,NA,NA
RSM00037004,2013-10-20,NA,99
RSM00037004,2013-10-21,NA,80
RSM00037004,2013-10-22,NA,NA
RSM00037004,2013-10-23,NA,NA
RSM00037004,2013-10-24,NA,89
RSM00037004,2013-10-25,NA,78
RSM00037004,2013-10-26,NA,63
RSM00037004,2013-10-27,NA,NA
RSM00037004,2013-10-28,NA,NA
RSM00037004,2013-10-29,NA,NA
RSM00037004,2013-10-30,NA,92
RSM00037004,2013-10-31,NA,102
RSM00037004,2013-11-01,NA,NA
RSM00037004,2013-11-02,NA,87
RSM00037004,2013-11-03,NA,103
RSM00037004,2013-11-04,NA,133
RSM00037004,2013-11-05,NA,138
RSM00037004,2013-11-06,NA,153
RSM00037004,2013-11-07,NA,NA
RSM00037004,2013-11-08,NA,NA
RSM00037004,2013-11-09,NA,64
RSM00037004,2013-11-10,NA,60
RSM00037004,2013-11-11,NA,100
RSM00037004,2013-11-12,NA,102
RSM00037004,2013-11-13,NA,102
RSM00037004,2013-11-14,NA,NA
RSM00037004,2013-11-15,NA,NA
RSM00037004,2013-11-16,NA,40
RSM00037004,2013-11-17,NA,40
RSM00037004,2013-11-18,NA,73
RSM00037004,2013-11-19,NA,NA
RSM00037004,2013-11-20,NA,56
RSM00037004,2013-11-21,NA,100
RSM00037004,2013-11-22,NA,95
RSM00037004,2013-11-23,NA,87
RSM00037004,2013-11-24,NA,79
RSM00037004,2013-11-25,NA,95
RSM00037004,2013-11-26,NA,NA
