id,date,prcp,tmax,tmin
RWM00064387,2010-01-01,NA,NA,NA
RWM00064387,2010-01-02,NA,NA,NA
RWM00064387,2010-01-03,89,270,162
RWM00064387,2010-01-04,0,280,NA
RWM00064387,2010-01-05,NA,NA,NA
RWM00064387,2010-01-06,NA,NA,NA
RWM00064387,2010-01-07,NA,NA,NA
RWM00064387,2010-01-08,20,297,166
RWM00064387,2010-01-09,5,NA,167
RWM00064387,2010-01-10,0,NA,NA
RWM00064387,2010-01-11,NA,245,NA
RWM00064387,2010-01-12,0,NA,160
RWM00064387,2010-01-13,NA,290,NA
RWM00064387,2010-01-14,NA,290,166
RWM00064387,2010-01-15,NA,NA,NA
RWM00064387,2010-01-16,20,NA,NA
RWM00064387,2010-01-17,0,NA,NA
RWM00064387,2010-01-18,NA,302,150
RWM00064387,2010-01-19,NA,287,NA
RWM00064387,2010-01-20,NA,288,152
RWM00064387,2010-01-21,NA,286,154
RWM00064387,2010-01-22,0,280,NA
RWM00064387,2010-01-23,NA,NA,156
RWM00064387,2010-01-24,NA,270,NA
RWM00064387,2010-01-25,NA,NA,154
RWM00064387,2010-01-26,NA,NA,160
RWM00064387,2010-01-27,NA,314,168
RWM00064387,2010-01-28,NA,NA,NA
RWM00064387,2010-01-29,NA,NA,NA
RWM00064387,2010-01-30,NA,NA,155
RWM00064387,2010-01-31,NA,305,NA
RWM00064387,2010-02-01,NA,NA,NA
RWM00064387,2010-02-02,NA,NA,NA
RWM00064387,2010-02-03,NA,328,180
RWM00064387,2010-02-04,NA,325,NA
RWM00064387,2010-02-05,41,268,158
RWM00064387,2010-02-06,0,284,170
RWM00064387,2010-02-07,NA,284,170
RWM00064387,2010-02-08,0,284,180
RWM00064387,2010-02-09,191,NA,170
RWM00064387,2010-02-10,0,282,158
RWM00064387,2010-02-11,NA,NA,163
RWM00064387,2010-02-12,NA,308,NA
RWM00064387,2010-02-13,NA,308,172
RWM00064387,2010-02-14,NA,306,NA
RWM00064387,2010-02-15,NA,306,180
RWM00064387,2010-02-16,89,274,NA
RWM00064387,2010-02-17,640,245,168
RWM00064387,2010-02-18,0,298,NA
RWM00064387,2010-02-19,NA,NA,NA
RWM00064387,2010-02-20,10,299,174
RWM00064387,2010-02-21,279,302,178
RWM00064387,2010-02-22,20,302,172
RWM00064387,2010-02-23,71,NA,172
RWM00064387,2010-02-24,0,NA,NA
RWM00064387,2010-02-25,NA,NA,NA
RWM00064387,2010-02-26,NA,279,180
RWM00064387,2010-02-27,NA,NA,168
RWM00064387,2010-02-28,361,NA,NA
RWM00064387,2010-03-01,160,294,180
RWM00064387,2010-03-02,20,292,178
RWM00064387,2010-03-03,41,292,NA
RWM00064387,2010-03-04,0,303,NA
RWM00064387,2010-03-05,10,311,165
RWM00064387,2010-03-06,20,311,NA
RWM00064387,2010-03-07,41,282,173
RWM00064387,2010-03-08,0,283,178
RWM00064387,2010-03-09,NA,NA,NA
RWM00064387,2010-03-10,419,288,158
RWM00064387,2010-03-11,0,NA,152
RWM00064387,2010-03-12,NA,304,156
RWM00064387,2010-03-13,NA,311,NA
RWM00064387,2010-03-14,NA,311,170
RWM00064387,2010-03-15,NA,311,NA
RWM00064387,2010-03-16,NA,304,NA
RWM00064387,2010-03-17,NA,289,169
RWM00064387,2010-03-18,NA,274,NA
RWM00064387,2010-03-19,NA,275,166
RWM00064387,2010-03-20,NA,260,NA
RWM00064387,2010-03-21,NA,NA,NA
RWM00064387,2010-03-22,NA,290,NA
RWM00064387,2010-03-23,NA,290,178
RWM00064387,2010-03-24,130,253,NA
RWM00064387,2010-03-25,20,NA,162
RWM00064387,2010-03-26,0,NA,162
RWM00064387,2010-03-27,NA,282,NA
RWM00064387,2010-03-28,NA,NA,NA
RWM00064387,2010-03-29,61,271,160
RWM00064387,2010-03-30,0,NA,168
RWM00064387,2010-03-31,NA,NA,NA
RWM00064387,2010-04-01,NA,NA,NA
RWM00064387,2010-04-02,NA,NA,NA
RWM00064387,2010-04-03,899,265,160
RWM00064387,2010-04-04,0,265,160
RWM00064387,2010-04-05,20,266,NA
RWM00064387,2010-04-06,0,280,161
RWM00064387,2010-04-07,NA,286,167
RWM00064387,2010-04-08,NA,288,167
RWM00064387,2010-04-09,NA,NA,184
RWM00064387,2010-04-10,20,NA,NA
RWM00064387,2010-04-11,201,NA,152
RWM00064387,2010-04-12,20,292,155
RWM00064387,2010-04-13,NA,NA,164
RWM00064387,2010-04-14,NA,NA,NA
RWM00064387,2010-04-15,61,289,NA
RWM00064387,2010-04-16,0,NA,NA
RWM00064387,2010-04-17,NA,NA,NA
RWM00064387,2010-04-18,NA,NA,NA
RWM00064387,2010-04-19,NA,NA,NA
RWM00064387,2010-04-20,NA,NA,NA
RWM00064387,2010-04-21,NA,NA,NA
RWM00064387,2010-04-22,NA,NA,NA
RWM00064387,2010-04-23,NA,NA,NA
RWM00064387,2010-04-24,NA,NA,NA
RWM00064387,2010-04-25,NA,NA,NA
RWM00064387,2010-04-26,NA,NA,NA
RWM00064387,2010-04-27,NA,NA,NA
RWM00064387,2010-04-28,NA,NA,170
RWM00064387,2010-04-29,NA,260,NA
RWM00064387,2010-04-30,259,257,NA
RWM00064387,2010-05-01,0,NA,NA
