id,date,prcp,tmax,tmin
SA000403940,2010-01-01,NA,NA,NA
SA000403940,2010-01-02,NA,230,36
SA000403940,2010-01-03,NA,NA,54
SA000403940,2010-01-04,NA,246,66
SA000403940,2010-01-05,NA,252,62
SA000403940,2010-01-06,NA,184,70
SA000403940,2010-01-07,NA,184,42
SA000403940,2010-01-08,NA,212,24
SA000403940,2010-01-09,NA,240,30
SA000403940,2010-01-10,NA,182,30
SA000403940,2010-01-11,NA,NA,10
SA000403940,2010-01-12,NA,234,44
SA000403940,2010-01-13,NA,230,NA
SA000403940,2010-01-14,NA,240,102
SA000403940,2010-01-15,NA,260,88
SA000403940,2010-01-16,NA,250,80
SA000403940,2010-01-17,NA,264,104
SA000403940,2010-01-18,NA,220,110
SA000403940,2010-01-19,NA,NA,64
SA000403940,2010-01-20,NA,224,80
SA000403940,2010-01-21,NA,200,56
SA000403940,2010-01-22,NA,184,54
SA000403940,2010-01-23,NA,210,56
SA000403940,2010-01-24,NA,230,84
SA000403940,2010-01-25,NA,184,NA
SA000403940,2010-01-26,NA,NA,54
SA000403940,2010-01-27,NA,174,30
SA000403940,2010-01-28,NA,222,54
SA000403940,2010-01-29,NA,244,98
SA000403940,2010-01-30,NA,272,78
SA000403940,2010-01-31,NA,290,124
SA000403940,2010-02-01,NA,232,NA
SA000403940,2010-02-02,NA,250,100
SA000403940,2010-02-03,NA,NA,120
SA000403940,2010-02-04,NA,146,NA
SA000403940,2010-02-05,NA,144,20
SA000403940,2010-02-06,NA,120,NA
SA000403940,2010-02-07,NA,134,-30
SA000403940,2010-02-08,NA,176,-6
SA000403940,2010-02-09,NA,NA,70
SA000403940,2010-02-10,NA,220,38
SA000403940,2010-02-11,NA,230,40
SA000403940,2010-02-12,NA,260,82
SA000403940,2010-02-13,NA,274,112
SA000403940,2010-02-14,NA,262,130
SA000403940,2010-02-15,NA,284,94
SA000403940,2010-02-16,NA,284,112
SA000403940,2010-02-17,NA,292,110
SA000403940,2010-02-18,NA,300,120
SA000403940,2010-02-19,NA,290,140
SA000403940,2010-02-20,NA,252,114
SA000403940,2010-02-21,NA,NA,NA
SA000403940,2010-02-22,NA,304,106
SA000403940,2010-02-23,NA,300,110
SA000403940,2010-02-24,NA,244,130
SA000403940,2010-02-25,NA,NA,102
SA000403940,2010-02-26,NA,190,120
SA000403940,2010-02-27,NA,190,88
SA000403940,2010-02-28,NA,240,76
SA000403940,2010-03-01,NA,210,94
SA000403940,2010-03-02,NA,176,82
SA000403940,2010-03-03,NA,250,60
SA000403940,2010-03-04,NA,220,NA
SA000403940,2010-03-05,NA,284,64
SA000403940,2010-03-06,NA,296,92
SA000403940,2010-03-07,NA,320,102
SA000403940,2010-03-08,NA,310,100
SA000403940,2010-03-09,NA,310,126
SA000403940,2010-03-10,NA,NA,110
SA000403940,2010-03-11,NA,330,110
SA000403940,2010-03-12,NA,322,132
SA000403940,2010-03-13,NA,334,120
SA000403940,2010-03-14,NA,340,138
SA000403940,2010-03-15,NA,NA,148
SA000403940,2010-03-16,NA,352,150
SA000403940,2010-03-17,NA,340,168
SA000403940,2010-03-18,NA,350,NA
SA000403940,2010-03-19,NA,192,110
SA000403940,2010-03-20,NA,216,102
SA000403940,2010-03-21,NA,210,90
SA000403940,2010-03-22,NA,220,110
SA000403940,2010-03-23,259,140,114
SA000403940,2010-03-24,NA,232,NA
SA000403940,2010-03-25,NA,264,104
SA000403940,2010-03-26,NA,222,NA
SA000403940,2010-03-27,NA,210,88
SA000403940,2010-03-28,NA,220,NA
SA000403940,2010-03-29,NA,268,102
SA000403940,2010-03-30,NA,300,130
SA000403940,2010-03-31,NA,254,NA
SA000403940,2010-04-01,NA,280,128
SA000403940,2010-04-02,NA,304,128
SA000403940,2010-04-03,NA,318,150
SA000403940,2010-04-04,NA,260,NA
SA000403940,2010-04-05,NA,270,150
SA000403940,2010-04-06,NA,300,126
SA000403940,2010-04-07,30,NA,164
SA000403940,2010-04-08,NA,324,164
SA000403940,2010-04-09,NA,302,166
SA000403940,2010-04-10,NA,292,130
SA000403940,2010-04-11,NA,320,130
SA000403940,2010-04-12,NA,280,164
SA000403940,2010-04-13,NA,270,NA
SA000403940,2010-04-14,NA,274,150
SA000403940,2010-04-15,NA,274,NA
SA000403940,2010-04-16,NA,304,154
SA000403940,2010-04-17,NA,NA,160
SA000403940,2010-04-18,NA,320,178
SA000403940,2010-04-19,NA,316,160
SA000403940,2010-04-20,NA,350,184
SA000403940,2010-04-21,NA,344,206
SA000403940,2010-04-22,NA,344,180
SA000403940,2010-04-23,NA,274,160
SA000403940,2010-04-24,NA,274,150
SA000403940,2010-04-25,NA,304,152
SA000403940,2010-04-26,NA,314,NA
SA000403940,2010-04-27,NA,342,154
SA000403940,2010-04-28,NA,354,160
SA000403940,2010-04-29,NA,NA,230
SA000403940,2010-04-30,NA,330,216
SA000403940,2010-05-01,NA,324,NA
SA000403940,2010-05-02,NA,270,134
SA000403940,2010-05-03,NA,NA,152
SA000403940,2010-05-04,NA,NA,164
SA000403940,2010-05-05,NA,334,164
SA000403940,2010-05-06,NA,NA,174
SA000403940,2010-05-07,NA,346,180
SA000403940,2010-05-08,NA,342,168
SA000403940,2010-05-09,NA,372,180
SA000403940,2010-05-10,NA,370,190
SA000403940,2010-05-11,NA,NA,212
SA000403940,2010-05-12,NA,388,230
SA000403940,2010-05-13,NA,370,NA
SA000403940,2010-05-14,NA,364,194
SA000403940,2010-05-15,NA,360,NA
SA000403940,2010-05-16,NA,350,194
SA000403940,2010-05-17,NA,354,200
SA000403940,2010-05-18,NA,394,220
SA000403940,2010-05-19,NA,396,260
SA000403940,2010-05-20,NA,NA,268
SA000403940,2010-05-21,NA,NA,230
SA000403940,2010-05-22,NA,382,230
SA000403940,2010-05-23,NA,394,220
SA000403940,2010-05-24,NA,NA,210
SA000403940,2010-05-25,NA,340,194
SA000403940,2010-05-26,NA,NA,210
SA000403940,2010-05-27,NA,394,218
SA000403940,2010-05-28,NA,396,254
SA000403940,2010-05-29,NA,372,260
SA000403940,2010-05-30,NA,NA,230
SA000403940,2010-05-31,NA,NA,250
SA000403940,2010-06-01,NA,414,NA
SA000403940,2010-06-02,NA,414,240
SA000403940,2010-06-03,NA,410,244
SA000403940,2010-06-04,NA,416,234
SA000403940,2010-06-05,NA,NA,230
