id,date,prcp,tmax,tmin
SAM00041030,2010-01-01,NA,344,180
SAM00041030,2010-01-02,NA,356,206
SAM00041030,2010-01-03,NA,360,180
SAM00041030,2010-01-04,NA,338,198
SAM00041030,2010-01-05,NA,350,NA
SAM00041030,2010-01-06,NA,352,200
SAM00041030,2010-01-07,NA,358,NA
SAM00041030,2010-01-08,NA,352,200
SAM00041030,2010-01-09,NA,360,NA
SAM00041030,2010-01-10,NA,360,156
SAM00041030,2010-01-11,NA,344,164
SAM00041030,2010-01-12,NA,330,154
SAM00041030,2010-01-13,NA,344,174
SAM00041030,2010-01-14,NA,342,200
SAM00041030,2010-01-15,NA,336,210
SAM00041030,2010-01-16,NA,342,204
SAM00041030,2010-01-17,NA,342,214
SAM00041030,2010-01-18,NA,350,220
SAM00041030,2010-01-19,NA,322,220
SAM00041030,2010-01-20,NA,310,NA
SAM00041030,2010-01-21,NA,322,200
SAM00041030,2010-01-22,NA,317,152
SAM00041030,2010-01-23,NA,NA,194
SAM00041030,2010-01-24,NA,303,200
SAM00041030,2010-01-25,NA,322,200
SAM00041030,2010-01-26,NA,344,180
SAM00041030,2010-01-27,NA,344,180
SAM00041030,2010-01-28,NA,340,218
SAM00041030,2010-01-29,NA,350,218
SAM00041030,2010-01-30,NA,364,NA
SAM00041030,2010-01-31,NA,NA,210
SAM00041030,2010-02-01,NA,370,220
SAM00041030,2010-02-02,NA,352,220
SAM00041030,2010-02-03,NA,325,220
SAM00041030,2010-02-04,NA,290,NA
SAM00041030,2010-02-05,NA,NA,152
SAM00041030,2010-02-06,NA,272,150
SAM00041030,2010-02-07,NA,320,150
SAM00041030,2010-02-08,NA,330,150
SAM00041030,2010-02-09,NA,328,190
SAM00041030,2010-02-10,NA,350,180
SAM00041030,2010-02-11,NA,330,200
SAM00041030,2010-02-12,20,330,220
SAM00041030,2010-02-13,NA,340,NA
SAM00041030,2010-02-14,NA,NA,200
SAM00041030,2010-02-15,NA,355,NA
SAM00041030,2010-02-16,NA,346,210
SAM00041030,2010-02-17,NA,360,220
SAM00041030,2010-02-18,NA,350,220
SAM00041030,2010-02-19,NA,360,234
SAM00041030,2010-02-20,NA,374,NA
SAM00041030,2010-02-21,NA,358,228
SAM00041030,2010-02-22,NA,360,228
SAM00041030,2010-02-23,NA,365,200
SAM00041030,2010-02-24,NA,364,220
SAM00041030,2010-02-25,NA,360,210
SAM00041030,2010-02-26,NA,358,NA
SAM00041030,2010-02-27,NA,316,176
SAM00041030,2010-02-28,NA,335,168
SAM00041030,2010-03-01,NA,345,180
SAM00041030,2010-03-02,NA,330,190
SAM00041030,2010-03-03,NA,350,180
