id,date,tmax,tmin
SF000068370,2014-02-01,NA,NA
SF000068370,2014-02-02,NA,NA
SF000068370,2014-02-03,NA,NA
SF000068370,2014-02-04,NA,NA
SF000068370,2014-02-05,NA,NA
SF000068370,2014-02-06,NA,NA
SF000068370,2014-02-07,NA,NA
SF000068370,2014-02-08,NA,NA
SF000068370,2014-02-09,NA,NA
SF000068370,2014-02-10,NA,NA
SF000068370,2014-02-11,NA,NA
SF000068370,2014-02-12,NA,NA
SF000068370,2014-02-13,NA,NA
SF000068370,2014-02-14,NA,NA
SF000068370,2014-02-15,NA,NA
SF000068370,2014-02-16,NA,NA
SF000068370,2014-02-17,NA,NA
SF000068370,2014-02-18,304,101
SF000068370,2014-02-19,NA,NA
SF000068370,2014-02-20,NA,NA
SF000068370,2014-02-21,NA,NA
SF000068370,2014-02-22,NA,NA
SF000068370,2014-02-23,NA,NA
SF000068370,2014-02-24,NA,NA
SF000068370,2014-02-25,NA,NA
SF000068370,2014-02-26,NA,NA
SF000068370,2014-02-27,NA,NA
SF000068370,2014-02-28,NA,NA
