id,date,prcp,tmax,tmin
SF000347620,2013-12-01,NA,NA,NA
SF000347620,2013-12-02,NA,NA,NA
SF000347620,2013-12-03,NA,NA,NA
SF000347620,2013-12-04,NA,NA,NA
SF000347620,2013-12-05,NA,NA,NA
SF000347620,2013-12-06,NA,NA,NA
SF000347620,2013-12-07,NA,NA,NA
SF000347620,2013-12-08,NA,NA,NA
SF000347620,2013-12-09,NA,NA,NA
SF000347620,2013-12-10,NA,NA,NA
SF000347620,2013-12-11,10,232,120
SF000347620,2013-12-12,10,252,132
SF000347620,2013-12-13,0,286,145
SF000347620,2013-12-14,NA,286,151
SF000347620,2013-12-15,NA,278,148
SF000347620,2013-12-16,NA,278,158
SF000347620,2013-12-17,NA,245,126
SF000347620,2013-12-18,NA,257,92
SF000347620,2013-12-19,NA,309,107
SF000347620,2013-12-20,NA,319,184
SF000347620,2013-12-21,NA,319,177
SF000347620,2013-12-22,NA,298,143
SF000347620,2013-12-23,NA,284,170
SF000347620,2013-12-24,NA,273,181
SF000347620,2013-12-25,41,273,197
SF000347620,2013-12-26,5,275,189
SF000347620,2013-12-27,3,309,183
SF000347620,2013-12-28,8,309,171
SF000347620,2013-12-29,0,276,155
SF000347620,2013-12-30,NA,336,120
SF000347620,2013-12-31,NA,336,160
SF000347620,2014-01-01,NA,343,172
SF000347620,2014-01-02,NA,343,216
SF000347620,2014-01-03,NA,332,176
SF000347620,2014-01-04,NA,392,205
SF000347620,2014-01-05,5,392,210
SF000347620,2014-01-06,20,322,208
SF000347620,2014-01-07,61,291,205
SF000347620,2014-01-08,3,302,210
SF000347620,2014-01-09,5,302,155
SF000347620,2014-01-10,51,262,138
SF000347620,2014-01-11,0,268,144
SF000347620,2014-01-12,NA,268,113
SF000347620,2014-01-13,NA,265,126
SF000347620,2014-01-14,NA,294,97
SF000347620,2014-01-15,NA,362,134
SF000347620,2014-01-16,NA,362,161
SF000347620,2014-01-17,NA,307,181
SF000347620,2014-01-18,NA,302,136
SF000347620,2014-01-19,NA,294,151
SF000347620,2014-01-20,NA,303,181
SF000347620,2014-01-21,NA,303,167
SF000347620,2014-01-22,NA,378,137
SF000347620,2014-01-23,NA,378,204
SF000347620,2014-01-24,NA,356,172
SF000347620,2014-01-25,NA,293,175
SF000347620,2014-01-26,NA,275,134
SF000347620,2014-01-27,NA,356,161
SF000347620,2014-01-28,NA,356,194
SF000347620,2014-01-29,30,346,210
SF000347620,2014-01-30,0,285,178
SF000347620,2014-01-31,10,285,187
SF000347620,2014-02-01,0,388,153
SF000347620,2014-02-02,NA,388,176
SF000347620,2014-02-03,NA,283,119
SF000347620,2014-02-04,NA,383,138
SF000347620,2014-02-05,NA,383,195
SF000347620,2014-02-06,5,270,172
SF000347620,2014-02-07,30,346,200
SF000347620,2014-02-08,3,346,189
SF000347620,2014-02-09,0,300,143
SF000347620,2014-02-10,NA,300,100
SF000347620,2014-02-11,NA,337,164
SF000347620,2014-02-12,NA,338,220
SF000347620,2014-02-13,5,338,202
SF000347620,2014-02-14,10,285,202
SF000347620,2014-02-15,20,310,210
SF000347620,2014-02-16,0,311,214
SF000347620,2014-02-17,NA,398,177
SF000347620,2014-02-18,NA,398,228
SF000347620,2014-02-19,NA,NA,NA
SF000347620,2014-02-20,NA,220,187
SF000347620,2014-02-21,NA,226,179
SF000347620,2014-02-22,NA,293,129
SF000347620,2014-02-23,NA,314,138
SF000347620,2014-02-24,NA,314,155
SF000347620,2014-02-25,NA,273,147
SF000347620,2014-02-26,NA,290,136
SF000347620,2014-02-27,NA,320,123
SF000347620,2014-02-28,NA,329,137
SF000347620,2014-03-01,NA,329,162
SF000347620,2014-03-02,NA,361,142
SF000347620,2014-03-03,NA,361,170
SF000347620,2014-03-04,20,247,163
SF000347620,2014-03-05,10,281,137
SF000347620,2014-03-06,0,349,137
SF000347620,2014-03-07,NA,349,169
SF000347620,2014-03-08,NA,293,132
SF000347620,2014-03-09,8,254,145
SF000347620,2014-03-10,119,237,127
SF000347620,2014-03-11,0,272,161
SF000347620,2014-03-12,30,272,136
SF000347620,2014-03-13,51,232,98
SF000347620,2014-03-14,3,287,74
SF000347620,2014-03-15,0,287,96
SF000347620,2014-03-16,NA,305,112
SF000347620,2014-03-17,NA,305,121
SF000347620,2014-03-18,NA,323,150
SF000347620,2014-03-19,NA,323,174
SF000347620,2014-03-20,NA,268,121
SF000347620,2014-03-21,NA,331,79
SF000347620,2014-03-22,NA,415,140
SF000347620,2014-03-23,5,NA,185
SF000347620,2014-03-24,0,340,188
SF000347620,2014-03-25,NA,340,176
SF000347620,2014-03-26,NA,264,112
SF000347620,2014-03-27,NA,264,134
SF000347620,2014-03-28,NA,294,100
SF000347620,2014-03-29,NA,352,116
SF000347620,2014-03-30,NA,NA,127
SF000347620,2014-03-31,NA,280,115
SF000347620,2014-04-01,NA,280,124
SF000347620,2014-04-02,NA,243,117
SF000347620,2014-04-03,61,238,125
SF000347620,2014-04-04,10,203,138
SF000347620,2014-04-05,10,232,102
SF000347620,2014-04-06,0,252,96
SF000347620,2014-04-07,NA,315,110
SF000347620,2014-04-08,NA,316,129
SF000347620,2014-04-09,NA,316,112
