id,date,prcp,tmax,tmin
SFM00068816,2010-01-01,NA,285,196
SFM00068816,2010-01-02,NA,318,197
SFM00068816,2010-01-03,28,318,NA
SFM00068816,2010-01-04,3,271,159
SFM00068816,2010-01-05,0,NA,137
SFM00068816,2010-01-06,NA,368,NA
SFM00068816,2010-01-07,198,267,177
SFM00068816,2010-01-08,0,237,NA
SFM00068816,2010-01-09,NA,280,176
SFM00068816,2010-01-10,NA,280,NA
SFM00068816,2010-01-11,NA,253,166
SFM00068816,2010-01-12,NA,274,199
SFM00068816,2010-01-13,NA,380,NA
SFM00068816,2010-01-14,NA,NA,NA
SFM00068816,2010-01-15,NA,243,167
SFM00068816,2010-01-16,NA,241,167
SFM00068816,2010-01-17,NA,289,171
SFM00068816,2010-01-18,NA,289,NA
SFM00068816,2010-01-19,NA,267,NA
SFM00068816,2010-01-20,NA,253,169
SFM00068816,2010-01-21,NA,290,157
SFM00068816,2010-01-22,NA,290,NA
SFM00068816,2010-01-23,NA,269,NA
SFM00068816,2010-01-24,NA,269,136
SFM00068816,2010-01-25,NA,254,185
SFM00068816,2010-01-26,NA,264,155
SFM00068816,2010-01-27,NA,264,155
SFM00068816,2010-01-28,0,250,177
SFM00068816,2010-01-29,NA,284,173
SFM00068816,2010-01-30,NA,284,NA
SFM00068816,2010-01-31,NA,260,NA
SFM00068816,2010-02-01,NA,250,136
SFM00068816,2010-02-02,NA,243,136
SFM00068816,2010-02-03,NA,247,137
SFM00068816,2010-02-04,3,285,170
SFM00068816,2010-02-05,0,285,142
SFM00068816,2010-02-06,NA,250,156
SFM00068816,2010-02-07,0,278,187
SFM00068816,2010-02-08,NA,279,196
SFM00068816,2010-02-09,NA,284,169
SFM00068816,2010-02-10,0,284,NA
SFM00068816,2010-02-11,0,278,172
SFM00068816,2010-02-12,NA,278,NA
SFM00068816,2010-02-13,3,256,NA
SFM00068816,2010-02-14,0,NA,157
SFM00068816,2010-02-15,NA,298,157
SFM00068816,2010-02-16,23,258,150
SFM00068816,2010-02-17,13,237,135
SFM00068816,2010-02-18,0,252,159
SFM00068816,2010-02-19,NA,282,195
SFM00068816,2010-02-20,NA,365,169
SFM00068816,2010-02-21,NA,365,210
SFM00068816,2010-02-22,NA,307,195
SFM00068816,2010-02-23,NA,307,206
SFM00068816,2010-02-24,NA,328,189
