id,date,prcp,tmax,tmin
SG000061641,2010-01-01,NA,NA,197
SG000061641,2010-01-02,NA,NA,NA
SG000061641,2010-01-03,NA,NA,200
SG000061641,2010-01-04,NA,NA,NA
SG000061641,2010-01-05,NA,260,195
SG000061641,2010-01-06,NA,254,190
SG000061641,2010-01-07,NA,254,190
SG000061641,2010-01-08,NA,242,NA
SG000061641,2010-01-09,NA,254,190
SG000061641,2010-01-10,NA,242,NA
SG000061641,2010-01-11,NA,NA,185
SG000061641,2010-01-12,NA,NA,178
SG000061641,2010-01-13,NA,NA,177
SG000061641,2010-01-14,NA,NA,190
SG000061641,2010-01-15,NA,NA,180
SG000061641,2010-01-16,NA,NA,NA
SG000061641,2010-01-17,NA,NA,NA
SG000061641,2010-01-18,NA,365,200
SG000061641,2010-01-19,NA,NA,196
SG000061641,2010-01-20,NA,NA,NA
SG000061641,2010-01-21,NA,NA,NA
SG000061641,2010-01-22,NA,NA,NA
SG000061641,2010-01-23,NA,NA,NA
SG000061641,2010-01-24,NA,NA,192
SG000061641,2010-01-25,NA,NA,193
SG000061641,2010-01-26,NA,NA,189
SG000061641,2010-01-27,NA,248,178
SG000061641,2010-01-28,NA,NA,NA
SG000061641,2010-01-29,NA,250,190
SG000061641,2010-01-30,NA,255,NA
SG000061641,2010-01-31,NA,269,NA
SG000061641,2010-02-01,NA,266,NA
SG000061641,2010-02-02,NA,NA,206
SG000061641,2010-02-03,NA,240,199
SG000061641,2010-02-04,NA,246,190
SG000061641,2010-02-05,NA,NA,191
SG000061641,2010-02-06,NA,NA,210
SG000061641,2010-02-07,NA,NA,213
SG000061641,2010-02-08,NA,NA,198
SG000061641,2010-02-09,NA,252,194
SG000061641,2010-02-10,NA,266,193
SG000061641,2010-02-11,NA,255,195
SG000061641,2010-02-12,NA,NA,NA
SG000061641,2010-02-13,NA,248,NA
SG000061641,2010-02-14,NA,251,NA
SG000061641,2010-02-15,NA,255,NA
SG000061641,2010-02-16,NA,256,NA
SG000061641,2010-02-17,NA,252,NA
SG000061641,2010-02-18,NA,256,NA
SG000061641,2010-02-19,NA,255,NA
SG000061641,2010-02-20,NA,250,NA
SG000061641,2010-02-21,NA,251,NA
SG000061641,2010-02-22,NA,255,NA
SG000061641,2010-02-23,NA,NA,196
SG000061641,2010-02-24,NA,NA,206
SG000061641,2010-02-25,NA,NA,NA
SG000061641,2010-02-26,NA,NA,NA
SG000061641,2010-02-27,NA,NA,NA
SG000061641,2010-02-28,NA,262,174
SG000061641,2010-03-01,NA,271,205
SG000061641,2010-03-02,NA,254,203
SG000061641,2010-03-03,NA,246,198
SG000061641,2010-03-04,NA,261,NA
SG000061641,2010-03-05,NA,261,NA
SG000061641,2010-03-06,NA,261,200
SG000061641,2010-03-07,NA,250,196
SG000061641,2010-03-08,NA,252,192
SG000061641,2010-03-09,NA,NA,185
SG000061641,2010-03-10,NA,NA,190
SG000061641,2010-03-11,NA,NA,176
SG000061641,2010-03-12,NA,290,195
SG000061641,2010-03-13,NA,300,202
SG000061641,2010-03-14,NA,NA,197
SG000061641,2010-03-15,NA,NA,NA
SG000061641,2010-03-16,NA,266,NA
SG000061641,2010-03-17,NA,NA,198
SG000061641,2010-03-18,NA,310,210
SG000061641,2010-03-19,NA,294,NA
SG000061641,2010-03-20,NA,NA,NA
SG000061641,2010-03-21,NA,270,NA
SG000061641,2010-03-22,NA,260,NA
SG000061641,2010-03-23,NA,265,210
SG000061641,2010-03-24,NA,260,NA
SG000061641,2010-03-25,NA,250,205
SG000061641,2010-03-26,NA,NA,205
SG000061641,2010-03-27,NA,NA,208
SG000061641,2010-03-28,NA,NA,222
SG000061641,2010-03-29,NA,NA,214
SG000061641,2010-03-30,NA,NA,209
SG000061641,2010-03-31,NA,267,NA
SG000061641,2010-04-01,NA,NA,210
SG000061641,2010-04-02,NA,280,NA
SG000061641,2010-04-03,NA,277,218
SG000061641,2010-04-04,NA,270,200
SG000061641,2010-04-05,NA,267,208
SG000061641,2010-04-06,NA,258,NA
SG000061641,2010-04-07,NA,260,NA
SG000061641,2010-04-08,NA,NA,202
SG000061641,2010-04-09,NA,NA,210
