id,date,prcp,tmax,tmin
SGM00061695,2010-01-01,NA,355,NA
SGM00061695,2010-01-02,NA,350,196
SGM00061695,2010-01-03,NA,NA,197
SGM00061695,2010-01-04,NA,360,195
SGM00061695,2010-01-05,NA,360,NA
SGM00061695,2010-01-06,NA,350,NA
SGM00061695,2010-01-07,NA,345,181
SGM00061695,2010-01-08,NA,345,NA
SGM00061695,2010-01-09,NA,344,192
SGM00061695,2010-01-10,NA,325,209
SGM00061695,2010-01-11,NA,296,NA
SGM00061695,2010-01-12,NA,348,209
SGM00061695,2010-01-13,NA,355,NA
SGM00061695,2010-01-14,NA,379,NA
SGM00061695,2010-01-15,NA,379,160
SGM00061695,2010-01-16,NA,386,NA
SGM00061695,2010-01-17,NA,390,NA
SGM00061695,2010-01-18,NA,390,175
SGM00061695,2010-01-19,NA,365,179
SGM00061695,2010-01-20,NA,367,185
SGM00061695,2010-01-21,NA,370,NA
SGM00061695,2010-01-22,NA,368,NA
SGM00061695,2010-01-23,NA,368,NA
SGM00061695,2010-01-24,NA,384,190
SGM00061695,2010-01-25,NA,362,198
SGM00061695,2010-01-26,NA,350,NA
SGM00061695,2010-01-27,NA,335,NA
SGM00061695,2010-01-28,NA,NA,197
SGM00061695,2010-01-29,NA,340,190
SGM00061695,2010-01-30,NA,379,187
SGM00061695,2010-01-31,NA,340,190
SGM00061695,2010-02-01,NA,355,205
SGM00061695,2010-02-02,NA,355,225
SGM00061695,2010-02-03,NA,370,215
SGM00061695,2010-02-04,NA,390,NA
SGM00061695,2010-02-05,NA,371,NA
SGM00061695,2010-02-06,NA,407,210
SGM00061695,2010-02-07,NA,400,NA
SGM00061695,2010-02-08,NA,390,199
SGM00061695,2010-02-09,NA,387,NA
SGM00061695,2010-02-10,NA,387,NA
SGM00061695,2010-02-11,NA,390,193
SGM00061695,2010-02-12,NA,NA,200
SGM00061695,2010-02-13,NA,360,NA
SGM00061695,2010-02-14,NA,320,190
SGM00061695,2010-02-15,NA,330,185
SGM00061695,2010-02-16,NA,355,200
SGM00061695,2010-02-17,NA,360,NA
SGM00061695,2010-02-18,NA,362,195
SGM00061695,2010-02-19,NA,345,NA
SGM00061695,2010-02-20,NA,380,NA
SGM00061695,2010-02-21,NA,388,218
SGM00061695,2010-02-22,NA,410,185
SGM00061695,2010-02-23,NA,420,199
SGM00061695,2010-02-24,NA,415,NA
SGM00061695,2010-02-25,NA,430,NA
SGM00061695,2010-02-26,NA,395,214
SGM00061695,2010-02-27,NA,382,210
SGM00061695,2010-02-28,NA,410,200
SGM00061695,2010-03-01,NA,390,220
SGM00061695,2010-03-02,NA,390,NA
SGM00061695,2010-03-03,NA,393,NA
SGM00061695,2010-03-04,NA,414,NA
SGM00061695,2010-03-05,NA,390,209
SGM00061695,2010-03-06,NA,390,NA
SGM00061695,2010-03-07,NA,405,192
SGM00061695,2010-03-08,NA,415,NA
SGM00061695,2010-03-09,NA,415,205
SGM00061695,2010-03-10,NA,420,210
SGM00061695,2010-03-11,NA,420,200
SGM00061695,2010-03-12,NA,384,NA
SGM00061695,2010-03-13,NA,430,221
SGM00061695,2010-03-14,NA,415,NA
SGM00061695,2010-03-15,NA,416,205
SGM00061695,2010-03-16,NA,406,195
SGM00061695,2010-03-17,NA,430,206
SGM00061695,2010-03-18,NA,406,NA
SGM00061695,2010-03-19,NA,415,NA
SGM00061695,2010-03-20,NA,410,NA
SGM00061695,2010-03-21,NA,412,NA
SGM00061695,2010-03-22,NA,380,NA
SGM00061695,2010-03-23,NA,383,230
SGM00061695,2010-03-24,NA,385,NA
SGM00061695,2010-03-25,NA,396,210
SGM00061695,2010-03-26,NA,408,NA
SGM00061695,2010-03-27,NA,395,225
SGM00061695,2010-03-28,NA,414,225
SGM00061695,2010-03-29,NA,440,NA
SGM00061695,2010-03-30,NA,399,209
SGM00061695,2010-03-31,NA,399,220
SGM00061695,2010-04-01,NA,394,225
SGM00061695,2010-04-02,NA,370,NA
SGM00061695,2010-04-03,NA,400,234
SGM00061695,2010-04-04,NA,392,224
SGM00061695,2010-04-05,NA,392,225
SGM00061695,2010-04-06,NA,390,199
SGM00061695,2010-04-07,NA,393,NA
SGM00061695,2010-04-08,NA,405,215
SGM00061695,2010-04-09,NA,385,NA
SGM00061695,2010-04-10,NA,381,215
SGM00061695,2010-04-11,NA,355,208
SGM00061695,2010-04-12,NA,362,210
SGM00061695,2010-04-13,NA,386,NA
SGM00061695,2010-04-14,NA,380,219
SGM00061695,2010-04-15,NA,390,217
SGM00061695,2010-04-16,NA,404,240
SGM00061695,2010-04-17,NA,412,138
SGM00061695,2010-04-18,NA,415,NA
SGM00061695,2010-04-19,NA,370,NA
SGM00061695,2010-04-20,NA,394,NA
SGM00061695,2010-04-21,NA,420,248
SGM00061695,2010-04-22,NA,424,249
SGM00061695,2010-04-23,NA,411,240
SGM00061695,2010-04-24,NA,405,222
SGM00061695,2010-04-25,NA,430,NA
SGM00061695,2010-04-26,NA,390,NA
SGM00061695,2010-04-27,NA,365,220
SGM00061695,2010-04-28,NA,355,230
SGM00061695,2010-04-29,NA,361,220
SGM00061695,2010-04-30,NA,361,225
SGM00061695,2010-05-01,NA,360,230
SGM00061695,2010-05-02,NA,372,230
SGM00061695,2010-05-03,NA,380,NA
SGM00061695,2010-05-04,NA,380,NA
