id,date,prcp,tmax,tmin
SL000061856,2010-03-01,NA,NA,NA
SL000061856,2010-03-02,NA,NA,NA
SL000061856,2010-03-03,NA,NA,NA
SL000061856,2010-03-04,NA,NA,NA
SL000061856,2010-03-05,NA,NA,NA
SL000061856,2010-03-06,NA,NA,NA
SL000061856,2010-03-07,NA,NA,NA
SL000061856,2010-03-08,NA,NA,NA
SL000061856,2010-03-09,NA,NA,NA
SL000061856,2010-03-10,NA,NA,NA
SL000061856,2010-03-11,NA,NA,NA
SL000061856,2010-03-12,NA,NA,NA
SL000061856,2010-03-13,NA,NA,NA
SL000061856,2010-03-14,NA,NA,NA
SL000061856,2010-03-15,NA,NA,NA
SL000061856,2010-03-16,NA,NA,NA
SL000061856,2010-03-17,NA,NA,NA
SL000061856,2010-03-18,NA,NA,NA
SL000061856,2010-03-19,NA,NA,NA
SL000061856,2010-03-20,NA,NA,NA
SL000061856,2010-03-21,NA,NA,NA
SL000061856,2010-03-22,NA,NA,NA
SL000061856,2010-03-23,NA,NA,255
SL000061856,2010-03-24,NA,NA,NA
SL000061856,2010-03-25,NA,NA,NA
SL000061856,2010-03-26,NA,NA,NA
SL000061856,2010-03-27,NA,NA,NA
SL000061856,2010-03-28,NA,NA,NA
SL000061856,2010-03-29,NA,NA,NA
SL000061856,2010-03-30,NA,NA,NA
SL000061856,2010-03-31,NA,NA,NA
SL000061856,2012-04-01,NA,NA,NA
SL000061856,2012-04-02,NA,NA,NA
SL000061856,2012-04-03,NA,NA,NA
SL000061856,2012-04-04,NA,NA,NA
SL000061856,2012-04-05,NA,NA,NA
SL000061856,2012-04-06,NA,NA,NA
SL000061856,2012-04-07,NA,NA,NA
SL000061856,2012-04-08,NA,NA,NA
SL000061856,2012-04-09,NA,NA,NA
SL000061856,2012-04-10,NA,NA,NA
SL000061856,2012-04-11,NA,NA,NA
SL000061856,2012-04-12,NA,329,NA
SL000061856,2012-04-13,NA,NA,NA
SL000061856,2012-04-14,NA,NA,NA
SL000061856,2012-04-15,NA,NA,NA
SL000061856,2012-04-16,NA,NA,NA
SL000061856,2012-04-17,NA,NA,NA
SL000061856,2012-04-18,NA,NA,NA
SL000061856,2012-04-19,NA,NA,NA
SL000061856,2012-04-20,NA,304,NA
SL000061856,2012-04-21,NA,NA,NA
SL000061856,2012-04-22,NA,NA,NA
SL000061856,2012-04-23,NA,NA,NA
SL000061856,2012-04-24,NA,NA,240
SL000061856,2012-04-25,NA,314,NA
SL000061856,2012-04-26,NA,352,NA
SL000061856,2012-04-27,NA,NA,NA
SL000061856,2012-04-28,NA,NA,NA
SL000061856,2012-04-29,NA,NA,NA
SL000061856,2012-04-30,NA,NA,NA
SL000061856,2012-05-01,NA,NA,NA
SL000061856,2012-05-02,NA,NA,NA
SL000061856,2012-05-03,NA,NA,NA
SL000061856,2012-05-04,NA,NA,NA
SL000061856,2012-05-05,NA,NA,NA
SL000061856,2012-05-06,NA,NA,NA
SL000061856,2012-05-07,NA,NA,NA
SL000061856,2012-05-08,NA,320,NA
SL000061856,2012-05-09,NA,NA,NA
SL000061856,2012-05-10,NA,NA,NA
SL000061856,2012-05-11,NA,NA,NA
SL000061856,2012-05-12,NA,382,NA
SL000061856,2012-05-13,NA,NA,NA
SL000061856,2012-05-14,NA,NA,239
SL000061856,2012-05-15,NA,290,NA
SL000061856,2012-05-16,NA,NA,NA
SL000061856,2012-05-17,NA,NA,236
SL000061856,2012-05-18,NA,NA,233
SL000061856,2012-05-19,NA,NA,NA
SL000061856,2012-05-20,NA,NA,NA
SL000061856,2012-05-21,NA,NA,NA
SL000061856,2012-05-22,NA,NA,NA
SL000061856,2012-05-23,NA,310,NA
SL000061856,2012-05-24,NA,302,NA
SL000061856,2012-05-25,NA,NA,NA
SL000061856,2012-05-26,NA,NA,NA
SL000061856,2012-05-27,NA,NA,NA
SL000061856,2012-05-28,NA,307,NA
SL000061856,2012-05-29,NA,NA,NA
SL000061856,2012-05-30,NA,NA,NA
SL000061856,2012-05-31,NA,300,NA
SL000061856,2012-06-01,NA,NA,NA
SL000061856,2012-06-02,NA,NA,235
SL000061856,2012-06-03,NA,NA,NA
SL000061856,2012-06-04,NA,292,NA
SL000061856,2012-06-05,NA,NA,NA
SL000061856,2012-06-06,NA,NA,NA
SL000061856,2012-06-07,NA,NA,NA
