id,date,prcp,tmax,tmin
SNM00048698,2010-01-01,0,NA,249
SNM00048698,2010-01-02,0,NA,247
SNM00048698,2010-01-03,0,314,NA
SNM00048698,2010-01-04,5,NA,237
SNM00048698,2010-01-05,5,316,238
SNM00048698,2010-01-06,0,316,250
SNM00048698,2010-01-07,15,NA,240
SNM00048698,2010-01-08,53,NA,232
SNM00048698,2010-01-09,10,NA,NA
SNM00048698,2010-01-10,0,NA,235
SNM00048698,2010-01-11,0,NA,238
SNM00048698,2010-01-12,0,321,242
SNM00048698,2010-01-13,180,NA,245
SNM00048698,2010-01-14,0,NA,247
SNM00048698,2010-01-15,0,311,249
SNM00048698,2010-01-16,0,312,245
SNM00048698,2010-01-17,0,NA,240
SNM00048698,2010-01-18,0,NA,248
SNM00048698,2010-01-19,36,315,NA
SNM00048698,2010-01-20,244,312,218
SNM00048698,2010-01-21,0,310,242
SNM00048698,2010-01-22,0,300,NA
SNM00048698,2010-01-23,109,NA,222
SNM00048698,2010-01-24,0,312,249
SNM00048698,2010-01-25,0,314,NA
SNM00048698,2010-01-26,0,NA,247
SNM00048698,2010-01-27,0,312,249
SNM00048698,2010-01-28,0,314,249
SNM00048698,2010-01-29,33,320,245
SNM00048698,2010-01-30,0,320,246
SNM00048698,2010-01-31,0,323,250
SNM00048698,2010-02-01,0,NA,NA
SNM00048698,2010-02-02,0,341,238
SNM00048698,2010-02-03,0,331,239
SNM00048698,2010-02-04,0,333,256
SNM00048698,2010-02-05,0,337,251
SNM00048698,2010-02-06,0,331,249
SNM00048698,2010-02-07,0,333,257
SNM00048698,2010-02-08,0,NA,257
SNM00048698,2010-02-09,0,321,256
SNM00048698,2010-02-10,20,333,255
SNM00048698,2010-02-11,0,333,260
SNM00048698,2010-02-12,0,NA,250
SNM00048698,2010-02-13,0,NA,253
SNM00048698,2010-02-14,0,334,256
SNM00048698,2010-02-15,0,325,259
SNM00048698,2010-02-16,0,330,259
SNM00048698,2010-02-17,28,337,254
SNM00048698,2010-02-18,5,333,NA
SNM00048698,2010-02-19,0,331,249
SNM00048698,2010-02-20,0,323,250
SNM00048698,2010-02-21,0,NA,255
SNM00048698,2010-02-22,0,NA,257
SNM00048698,2010-02-23,0,341,259
SNM00048698,2010-02-24,0,350,258
SNM00048698,2010-02-25,10,345,258
SNM00048698,2010-02-26,0,352,259
SNM00048698,2010-02-27,0,NA,259
SNM00048698,2010-02-28,0,347,256
SNM00048698,2010-03-01,0,342,256
SNM00048698,2010-03-02,0,346,259
SNM00048698,2010-03-03,0,354,260
SNM00048698,2010-03-04,0,354,256
SNM00048698,2010-03-05,0,345,254
SNM00048698,2010-03-06,0,355,252
SNM00048698,2010-03-07,0,352,255
SNM00048698,2010-03-08,0,NA,252
SNM00048698,2010-03-09,0,350,NA
SNM00048698,2010-03-10,287,325,239
SNM00048698,2010-03-11,69,NA,245
SNM00048698,2010-03-12,0,332,259
SNM00048698,2010-03-13,0,320,NA
SNM00048698,2010-03-14,81,332,252
SNM00048698,2010-03-15,0,344,258
SNM00048698,2010-03-16,0,306,256
SNM00048698,2010-03-17,28,NA,251
SNM00048698,2010-03-18,0,324,NA
SNM00048698,2010-03-19,264,322,228
SNM00048698,2010-03-20,178,NA,NA
SNM00048698,2010-03-21,155,322,235
SNM00048698,2010-03-22,0,NA,246
SNM00048698,2010-03-23,0,301,NA
SNM00048698,2010-03-24,577,328,236
SNM00048698,2010-03-25,20,333,250
SNM00048698,2010-03-26,229,328,240
SNM00048698,2010-03-27,0,NA,253
SNM00048698,2010-03-28,0,330,258
SNM00048698,2010-03-29,0,331,254
SNM00048698,2010-03-30,0,314,259
SNM00048698,2010-03-31,0,323,NA
SNM00048698,2010-04-01,490,312,241
SNM00048698,2010-04-02,79,326,245
SNM00048698,2010-04-03,0,NA,NA
SNM00048698,2010-04-04,142,NA,225
SNM00048698,2010-04-05,114,NA,230
SNM00048698,2010-04-06,0,333,240
SNM00048698,2010-04-07,0,335,253
SNM00048698,2010-04-08,0,333,260
SNM00048698,2010-04-09,0,NA,261
SNM00048698,2010-04-10,0,320,NA
SNM00048698,2010-04-11,0,345,252
SNM00048698,2010-04-12,140,NA,247
SNM00048698,2010-04-13,0,341,NA
SNM00048698,2010-04-14,277,335,239
SNM00048698,2010-04-15,0,340,NA
SNM00048698,2010-04-16,170,311,244
SNM00048698,2010-04-17,10,NA,NA
SNM00048698,2010-04-18,399,NA,236
SNM00048698,2010-04-19,13,331,249
SNM00048698,2010-04-20,81,334,251
SNM00048698,2010-04-21,10,319,253
SNM00048698,2010-04-22,10,334,NA
SNM00048698,2010-04-23,38,342,250
SNM00048698,2010-04-24,0,334,NA
SNM00048698,2010-04-25,10,NA,257
SNM00048698,2010-04-26,28,300,NA
SNM00048698,2010-04-27,51,337,245
SNM00048698,2010-04-28,5,NA,253
SNM00048698,2010-04-29,0,331,265
SNM00048698,2010-04-30,3,NA,265
SNM00048698,2010-05-01,0,NA,265
SNM00048698,2010-05-02,0,340,264
SNM00048698,2010-05-03,0,NA,265
SNM00048698,2010-05-04,10,345,268
SNM00048698,2010-05-05,0,339,270
SNM00048698,2010-05-06,0,NA,274
SNM00048698,2010-05-07,23,NA,269
SNM00048698,2010-05-08,0,352,NA
SNM00048698,2010-05-09,201,331,251
SNM00048698,2010-05-10,0,NA,256
SNM00048698,2010-05-11,0,342,266
SNM00048698,2010-05-12,33,337,NA
SNM00048698,2010-05-13,38,334,246
SNM00048698,2010-05-14,56,NA,NA
SNM00048698,2010-05-15,107,335,243
SNM00048698,2010-05-16,0,351,NA
SNM00048698,2010-05-17,904,NA,229
SNM00048698,2010-05-18,30,341,244
SNM00048698,2010-05-19,33,297,255
SNM00048698,2010-05-20,48,NA,252
SNM00048698,2010-05-21,10,336,257
SNM00048698,2010-05-22,5,NA,NA
SNM00048698,2010-05-23,10,326,256
SNM00048698,2010-05-24,0,335,265
SNM00048698,2010-05-25,0,335,275
SNM00048698,2010-05-26,0,NA,NA
SNM00048698,2010-05-27,0,NA,266
SNM00048698,2010-05-28,8,331,259
SNM00048698,2010-05-29,3,340,266
SNM00048698,2010-05-30,0,327,NA
SNM00048698,2010-05-31,0,304,255
SNM00048698,2010-06-01,48,NA,NA
SNM00048698,2010-06-02,429,316,241
SNM00048698,2010-06-03,33,331,244
SNM00048698,2010-06-04,0,325,NA
SNM00048698,2010-06-05,0,311,262
SNM00048698,2010-06-06,0,NA,NA
SNM00048698,2010-06-07,244,309,NA
SNM00048698,2010-06-08,104,NA,243
SNM00048698,2010-06-09,20,NA,254
SNM00048698,2010-06-10,0,293,259
SNM00048698,2010-06-11,18,330,259
SNM00048698,2010-06-12,0,335,266
SNM00048698,2010-06-13,0,334,NA
SNM00048698,2010-06-14,10,316,255
SNM00048698,2010-06-15,8,NA,243
SNM00048698,2010-06-16,297,282,NA
SNM00048698,2010-06-17,384,NA,230
SNM00048698,2010-06-18,0,304,251
SNM00048698,2010-06-19,10,NA,257
SNM00048698,2010-06-20,81,316,250
SNM00048698,2010-06-21,0,322,246
SNM00048698,2010-06-22,0,304,NA
