id,date,prcp,tmax,tmin
SP000003195,2010-01-01,1,76,36
SP000003195,2010-01-02,0,75,26
SP000003195,2010-01-03,67,74,42
SP000003195,2010-01-04,95,92,64
SP000003195,2010-01-05,0,98,62
SP000003195,2010-01-06,53,68,36
SP000003195,2010-01-07,93,36,6
SP000003195,2010-01-08,0,30,-2
SP000003195,2010-01-09,0,24,-18
SP000003195,2010-01-10,44,1,-38
SP000003195,2010-01-11,2,20,-28
SP000003195,2010-01-12,62,38,-6
SP000003195,2010-01-13,107,79,14
SP000003195,2010-01-14,0,105,64
SP000003195,2010-01-15,0,80,22
SP000003195,2010-01-16,2,90,44
SP000003195,2010-01-17,0,114,84
SP000003195,2010-01-18,4,128,83
SP000003195,2010-01-19,24,112,70
SP000003195,2010-01-20,0,120,50
SP000003195,2010-01-21,0,90,30
SP000003195,2010-01-22,0,84,34
SP000003195,2010-01-23,0,108,64
SP000003195,2010-01-24,0,115,60
SP000003195,2010-01-25,55,84,21
SP000003195,2010-01-26,0,85,3
SP000003195,2010-01-27,1,43,5
SP000003195,2010-01-28,0,94,-21
SP000003195,2010-01-29,0,116,-2
SP000003195,2010-01-30,0,103,35
SP000003195,2010-01-31,0,102,32
SP000003195,2010-02-01,0,97,25
SP000003195,2010-02-02,0,95,2
SP000003195,2010-02-03,8,126,8
SP000003195,2010-02-04,36,96,62
SP000003195,2010-02-05,0,124,70
SP000003195,2010-02-06,0,140,52
SP000003195,2010-02-07,4,114,38
SP000003195,2010-02-08,48,114,70
SP000003195,2010-02-09,0,116,37
SP000003195,2010-02-10,0,75,8
SP000003195,2010-02-11,0,61,-11
SP000003195,2010-02-12,0,64,-16
SP000003195,2010-02-13,0,50,-22
SP000003195,2010-02-14,0,52,-30
SP000003195,2010-02-15,178,22,4
SP000003195,2010-02-16,249,68,17
SP000003195,2010-02-17,3,102,48
SP000003195,2010-02-18,2,78,22
SP000003195,2010-02-19,3,85,32
SP000003195,2010-02-20,22,96,10
SP000003195,2010-02-21,111,66,18
SP000003195,2010-02-22,91,116,60
SP000003195,2010-02-23,135,114,66
SP000003195,2010-02-24,17,127,37
SP000003195,2010-02-25,126,120,85
SP000003195,2010-02-26,53,112,48
SP000003195,2010-02-27,13,190,70
SP000003195,2010-02-28,24,124,50
SP000003195,2010-03-01,0,123,46
SP000003195,2010-03-02,45,142,55
SP000003195,2010-03-03,6,135,64
SP000003195,2010-03-04,0,160,54
SP000003195,2010-03-05,348,102,28
SP000003195,2010-03-06,30,50,10
SP000003195,2010-03-07,20,90,43
SP000003195,2010-03-08,0,53,2
SP000003195,2010-03-09,0,102,-10
SP000003195,2010-03-10,0,84,-12
SP000003195,2010-03-11,0,82,-2
SP000003195,2010-03-12,0,60,30
SP000003195,2010-03-13,0,106,-16
SP000003195,2010-03-14,0,132,17
SP000003195,2010-03-15,0,158,23
SP000003195,2010-03-16,0,180,48
SP000003195,2010-03-17,0,186,59
SP000003195,2010-03-18,2,177,86
SP000003195,2010-03-19,9,162,98
SP000003195,2010-03-20,0,188,116
SP000003195,2010-03-21,5,165,98
SP000003195,2010-03-22,0,195,80
SP000003195,2010-03-23,0,186,96
SP000003195,2010-03-24,68,189,100
SP000003195,2010-03-25,33,125,62
SP000003195,2010-03-26,0,118,44
SP000003195,2010-03-27,0,165,56
SP000003195,2010-03-28,0,188,74
SP000003195,2010-03-29,29,144,88
SP000003195,2010-03-30,2,134,54
SP000003195,2010-03-31,0,144,44
SP000003195,2010-04-01,0,140,52
SP000003195,2010-04-02,0,160,39
SP000003195,2010-04-03,27,132,61
SP000003195,2010-04-04,0,156,34
SP000003195,2010-04-05,0,186,56
SP000003195,2010-04-06,0,184,64
SP000003195,2010-04-07,0,171,84
SP000003195,2010-04-08,0,195,50
SP000003195,2010-04-09,0,190,62
SP000003195,2010-04-10,0,206,82
SP000003195,2010-04-11,0,216,72
SP000003195,2010-04-12,9,203,86
SP000003195,2010-04-13,112,100,58
SP000003195,2010-04-14,89,125,76
SP000003195,2010-04-15,35,151,84
SP000003195,2010-04-16,21,180,101
SP000003195,2010-04-17,54,160,94
SP000003195,2010-04-18,109,146,88
SP000003195,2010-04-19,0,188,85
SP000003195,2010-04-20,0,210,92
SP000003195,2010-04-21,7,223,118
SP000003195,2010-04-22,0,210,124
SP000003195,2010-04-23,15,206,110
SP000003195,2010-04-24,0,230,102
SP000003195,2010-04-25,0,257,124
SP000003195,2010-04-26,0,269,144
SP000003195,2010-04-27,0,290,140
SP000003195,2010-04-28,0,284,154
SP000003195,2010-04-29,0,257,158
SP000003195,2010-04-30,0,240,136
SP000003195,2010-05-01,0,232,136
