id,date,prcp,tmax,tmin
SPM00008359,2015-06-01,NA,NA,NA
SPM00008359,2015-06-02,NA,NA,NA
SPM00008359,2015-06-03,NA,NA,NA
SPM00008359,2015-06-04,NA,NA,NA
SPM00008359,2015-06-05,NA,NA,NA
SPM00008359,2015-06-06,NA,NA,NA
SPM00008359,2015-06-07,NA,NA,NA
SPM00008359,2015-06-08,NA,NA,NA
SPM00008359,2015-06-09,NA,NA,NA
SPM00008359,2015-06-10,NA,NA,NA
SPM00008359,2015-06-11,NA,NA,NA
SPM00008359,2015-06-12,NA,NA,NA
SPM00008359,2015-06-13,NA,NA,NA
SPM00008359,2015-06-14,NA,NA,NA
SPM00008359,2015-06-15,NA,NA,NA
SPM00008359,2015-06-16,NA,NA,NA
SPM00008359,2015-06-17,NA,NA,NA
SPM00008359,2015-06-18,NA,NA,NA
SPM00008359,2015-06-19,NA,NA,NA
SPM00008359,2015-06-20,NA,NA,NA
SPM00008359,2015-06-21,NA,NA,NA
SPM00008359,2015-06-22,NA,NA,NA
SPM00008359,2015-06-23,NA,NA,NA
SPM00008359,2015-06-24,NA,NA,NA
SPM00008359,2015-06-25,NA,NA,NA
SPM00008359,2015-06-26,NA,NA,NA
SPM00008359,2015-06-27,NA,NA,NA
SPM00008359,2015-06-28,NA,NA,NA
SPM00008359,2015-06-29,NA,NA,NA
SPM00008359,2015-06-30,0,NA,214
SPM00008359,2015-07-01,NA,NA,NA
SPM00008359,2015-07-02,0,341,246
SPM00008359,2015-07-03,0,325,234
SPM00008359,2015-07-04,0,327,218
SPM00008359,2015-07-05,0,335,218
SPM00008359,2015-07-06,NA,348,222
SPM00008359,2015-07-07,NA,374,221
SPM00008359,2015-07-08,NA,330,236
SPM00008359,2015-07-09,0,306,239
SPM00008359,2015-07-10,0,315,226
SPM00008359,2015-07-11,0,298,236
SPM00008359,2015-07-12,0,309,218
SPM00008359,2015-07-13,0,316,220
SPM00008359,2015-07-14,0,328,234
SPM00008359,2015-07-15,0,345,221
SPM00008359,2015-07-16,0,345,216
SPM00008359,2015-07-17,0,339,227
SPM00008359,2015-07-18,0,318,227
SPM00008359,2015-07-19,0,317,227
SPM00008359,2015-07-20,0,320,234
SPM00008359,2015-07-21,0,331,243
SPM00008359,2015-07-22,0,344,232
SPM00008359,2015-07-23,0,323,241
SPM00008359,2015-07-24,0,336,236
SPM00008359,2015-07-25,0,329,259
SPM00008359,2015-07-26,0,322,264
SPM00008359,2015-07-27,0,368,239
SPM00008359,2015-07-28,0,316,257
SPM00008359,2015-07-29,0,328,242
SPM00008359,2015-07-30,0,323,NA
SPM00008359,2015-07-31,5,298,NA
SPM00008359,2015-08-01,0,311,250
SPM00008359,2015-08-02,0,319,NA
SPM00008359,2015-08-03,0,338,234
SPM00008359,2015-08-04,0,317,243
SPM00008359,2015-08-05,0,317,247
SPM00008359,2015-08-06,0,321,267
SPM00008359,2015-08-07,0,332,267
SPM00008359,2015-08-08,0,322,259
SPM00008359,2015-08-09,0,305,246
SPM00008359,2015-08-10,10,330,251
SPM00008359,2015-08-11,0,317,266
SPM00008359,2015-08-12,0,323,252
SPM00008359,2015-08-13,0,382,246
SPM00008359,2015-08-14,0,316,236
SPM00008359,2015-08-15,0,297,NA
SPM00008359,2015-08-16,0,299,207
SPM00008359,2015-08-17,0,315,240
SPM00008359,2015-08-18,0,309,237
SPM00008359,2015-08-19,0,308,238
SPM00008359,2015-08-20,0,310,234
SPM00008359,2015-08-21,0,315,223
SPM00008359,2015-08-22,0,304,211
SPM00008359,2015-08-23,0,338,220
SPM00008359,2015-08-24,0,340,246
SPM00008359,2015-08-25,0,304,217
SPM00008359,2015-08-26,0,306,227
SPM00008359,2015-08-27,0,310,207
SPM00008359,2015-08-28,0,310,211
SPM00008359,2015-08-29,0,312,212
SPM00008359,2015-08-30,0,NA,NA
SPM00008359,2015-08-31,0,314,NA
SPM00008359,2015-09-01,15,310,230
SPM00008359,2015-09-02,0,302,229
SPM00008359,2015-09-03,0,318,217
SPM00008359,2015-09-04,0,286,NA
SPM00008359,2015-09-05,13,266,201
SPM00008359,2015-09-06,102,228,NA
SPM00008359,2015-09-07,66,240,193
SPM00008359,2015-09-08,163,265,NA
SPM00008359,2015-09-09,414,268,162
SPM00008359,2015-09-10,0,295,191
SPM00008359,2015-09-11,0,289,198
SPM00008359,2015-09-12,0,272,181
SPM00008359,2015-09-13,0,311,199
SPM00008359,2015-09-14,0,314,NA
SPM00008359,2015-09-15,0,301,188
SPM00008359,2015-09-16,0,309,189
SPM00008359,2015-09-17,0,303,NA
SPM00008359,2015-09-18,0,266,178
SPM00008359,2015-09-19,0,266,192
SPM00008359,2015-09-20,0,283,170
SPM00008359,2015-09-21,0,293,168
SPM00008359,2015-09-22,0,341,208
SPM00008359,2015-09-23,0,267,194
SPM00008359,2015-09-24,0,NA,189
SPM00008359,2015-09-25,0,270,159
SPM00008359,2015-09-26,0,264,165
SPM00008359,2015-09-27,0,259,NA
SPM00008359,2015-09-28,46,267,151
SPM00008359,2015-09-29,0,229,151
SPM00008359,2015-09-30,41,265,150
SPM00008359,2015-10-01,0,255,NA
SPM00008359,2015-10-02,0,261,157
SPM00008359,2015-10-03,0,264,168
SPM00008359,2015-10-04,0,297,NA
SPM00008359,2015-10-05,0,334,208
SPM00008359,2015-10-06,0,312,198
SPM00008359,2015-10-07,0,267,NA
SPM00008359,2015-10-08,0,226,NA
SPM00008359,2015-10-09,48,247,151
SPM00008359,2015-10-10,0,254,147
SPM00008359,2015-10-11,0,262,170
SPM00008359,2015-10-12,0,276,172
