id,date,prcp,tmax,tmin
SU000062762,2010-01-01,NA,336,100
SU000062762,2010-01-02,NA,336,135
SU000062762,2010-01-03,NA,345,126
SU000062762,2010-01-04,NA,NA,NA
SU000062762,2010-01-05,NA,NA,NA
SU000062762,2010-01-06,NA,347,127
SU000062762,2010-01-07,NA,352,NA
SU000062762,2010-01-08,NA,350,166
SU000062762,2010-01-09,NA,NA,NA
SU000062762,2010-01-10,NA,NA,176
SU000062762,2010-01-11,NA,390,180
SU000062762,2010-01-12,NA,383,NA
SU000062762,2010-01-13,NA,380,160
SU000062762,2010-01-14,NA,378,NA
SU000062762,2010-01-15,NA,NA,NA
SU000062762,2010-01-16,NA,363,160
SU000062762,2010-01-17,NA,NA,NA
SU000062762,2010-01-18,NA,NA,NA
SU000062762,2010-01-19,NA,315,NA
SU000062762,2010-01-20,NA,NA,NA
SU000062762,2010-01-21,NA,NA,NA
SU000062762,2010-01-22,NA,NA,NA
SU000062762,2010-01-23,NA,NA,NA
SU000062762,2010-01-24,NA,NA,NA
SU000062762,2010-01-25,NA,342,NA
SU000062762,2010-01-26,NA,342,156
SU000062762,2010-01-27,NA,NA,NA
SU000062762,2010-01-28,NA,370,154
SU000062762,2010-01-29,NA,NA,NA
SU000062762,2010-01-30,NA,NA,NA
SU000062762,2010-01-31,NA,NA,NA
SU000062762,2010-02-01,NA,NA,NA
SU000062762,2010-02-02,NA,NA,NA
SU000062762,2010-02-03,NA,NA,NA
SU000062762,2010-02-04,NA,NA,NA
SU000062762,2010-02-05,NA,NA,NA
SU000062762,2010-02-06,NA,296,NA
SU000062762,2010-02-07,NA,307,NA
SU000062762,2010-02-08,NA,NA,NA
SU000062762,2010-02-09,NA,340,NA
SU000062762,2010-02-10,NA,340,150
SU000062762,2010-02-11,NA,NA,NA
SU000062762,2010-02-12,NA,NA,NA
SU000062762,2010-02-13,NA,NA,NA
SU000062762,2010-02-14,NA,NA,192
SU000062762,2010-02-15,NA,NA,NA
SU000062762,2010-02-16,NA,373,175
SU000062762,2010-02-17,NA,NA,NA
SU000062762,2010-02-18,NA,NA,NA
SU000062762,2010-02-19,NA,NA,NA
SU000062762,2010-02-20,NA,NA,NA
SU000062762,2010-02-21,NA,NA,NA
SU000062762,2010-02-22,NA,NA,NA
SU000062762,2010-02-23,NA,NA,NA
SU000062762,2010-02-24,NA,NA,NA
SU000062762,2010-02-25,NA,NA,NA
SU000062762,2010-02-26,NA,400,200
SU000062762,2010-02-27,NA,NA,NA
SU000062762,2010-02-28,NA,NA,NA
SU000062762,2010-03-01,NA,330,188
SU000062762,2010-03-02,NA,NA,NA
SU000062762,2010-03-03,NA,NA,NA
SU000062762,2010-03-04,NA,NA,NA
SU000062762,2010-03-05,NA,NA,NA
SU000062762,2010-03-06,NA,NA,140
SU000062762,2010-03-07,NA,NA,NA
SU000062762,2010-03-08,NA,NA,NA
SU000062762,2010-03-09,NA,NA,NA
SU000062762,2010-03-10,NA,437,220
SU000062762,2010-03-11,NA,NA,NA
SU000062762,2010-03-12,NA,435,NA
SU000062762,2010-03-13,NA,NA,NA
SU000062762,2010-03-14,NA,NA,NA
SU000062762,2010-03-15,NA,445,NA
SU000062762,2010-03-16,NA,438,226
SU000062762,2010-03-17,NA,427,NA
SU000062762,2010-03-18,NA,427,NA
SU000062762,2010-03-19,NA,NA,NA
SU000062762,2010-03-20,NA,NA,NA
SU000062762,2010-03-21,NA,NA,NA
SU000062762,2010-03-22,NA,NA,NA
SU000062762,2010-03-23,NA,355,213
SU000062762,2010-03-24,NA,NA,NA
SU000062762,2010-03-25,NA,NA,NA
SU000062762,2010-03-26,NA,364,NA
SU000062762,2010-03-27,NA,355,170
SU000062762,2010-03-28,NA,NA,NA
SU000062762,2010-03-29,NA,NA,NA
SU000062762,2010-03-30,NA,NA,NA
SU000062762,2010-03-31,NA,405,181
SU000062762,2010-04-01,NA,400,175
SU000062762,2010-04-02,NA,412,170
SU000062762,2010-04-03,NA,NA,NA
SU000062762,2010-04-04,NA,426,223
SU000062762,2010-04-05,NA,435,230
SU000062762,2010-04-06,NA,432,NA
SU000062762,2010-04-07,NA,NA,NA
SU000062762,2010-04-08,NA,430,220
SU000062762,2010-04-09,NA,NA,NA
SU000062762,2010-04-10,NA,416,246
SU000062762,2010-04-11,NA,NA,NA
SU000062762,2010-04-12,NA,433,217
SU000062762,2010-04-13,NA,423,NA
