id,date,prcp,tmax,tmin
SUM00062680,2010-01-01,NA,310,160
SUM00062680,2010-01-02,NA,314,140
SUM00062680,2010-01-03,NA,330,160
SUM00062680,2010-01-04,NA,334,178
SUM00062680,2010-01-05,NA,NA,NA
SUM00062680,2010-01-06,NA,345,200
SUM00062680,2010-01-07,NA,326,NA
SUM00062680,2010-01-08,NA,330,206
SUM00062680,2010-01-09,NA,342,205
SUM00062680,2010-01-10,NA,NA,NA
SUM00062680,2010-01-11,NA,355,202
SUM00062680,2010-01-12,NA,NA,NA
SUM00062680,2010-01-13,NA,360,180
SUM00062680,2010-01-14,NA,360,190
SUM00062680,2010-01-15,NA,345,180
SUM00062680,2010-01-16,NA,NA,NA
SUM00062680,2010-01-17,NA,353,NA
SUM00062680,2010-01-18,NA,320,NA
SUM00062680,2010-01-19,NA,320,152
SUM00062680,2010-01-20,NA,NA,NA
SUM00062680,2010-01-21,NA,NA,NA
SUM00062680,2010-01-22,NA,NA,NA
SUM00062680,2010-01-23,NA,NA,NA
SUM00062680,2010-01-24,NA,310,145
SUM00062680,2010-01-25,NA,306,139
SUM00062680,2010-01-26,NA,315,140
SUM00062680,2010-01-27,NA,NA,NA
SUM00062680,2010-01-28,NA,NA,NA
SUM00062680,2010-01-29,NA,NA,NA
SUM00062680,2010-01-30,NA,375,187
SUM00062680,2010-01-31,NA,NA,NA
SUM00062680,2010-02-01,NA,NA,NA
SUM00062680,2010-02-02,NA,NA,NA
SUM00062680,2010-02-03,NA,NA,NA
SUM00062680,2010-02-04,NA,324,NA
SUM00062680,2010-02-05,NA,NA,NA
SUM00062680,2010-02-06,NA,264,NA
SUM00062680,2010-02-07,NA,264,110
SUM00062680,2010-02-08,NA,NA,120
SUM00062680,2010-02-09,NA,320,152
SUM00062680,2010-02-10,NA,325,140
SUM00062680,2010-02-11,NA,NA,NA
SUM00062680,2010-02-12,NA,350,165
SUM00062680,2010-02-13,NA,350,184
SUM00062680,2010-02-14,NA,360,186
SUM00062680,2010-02-15,NA,360,207
SUM00062680,2010-02-16,NA,NA,NA
SUM00062680,2010-02-17,NA,NA,NA
SUM00062680,2010-02-18,NA,395,225
SUM00062680,2010-02-19,NA,380,220
SUM00062680,2010-02-20,NA,395,NA
SUM00062680,2010-02-21,NA,NA,NA
SUM00062680,2010-02-22,NA,NA,NA
SUM00062680,2010-02-23,NA,400,210
SUM00062680,2010-02-24,NA,394,200
SUM00062680,2010-02-25,NA,NA,NA
SUM00062680,2010-02-26,NA,325,220
SUM00062680,2010-02-27,NA,NA,NA
SUM00062680,2010-02-28,NA,320,152
SUM00062680,2010-03-01,NA,326,175
SUM00062680,2010-03-02,NA,NA,NA
SUM00062680,2010-03-03,NA,NA,NA
SUM00062680,2010-03-04,NA,NA,NA
SUM00062680,2010-03-05,NA,366,160
SUM00062680,2010-03-06,NA,380,165
SUM00062680,2010-03-07,NA,NA,NA
SUM00062680,2010-03-08,NA,NA,NA
SUM00062680,2010-03-09,NA,NA,NA
SUM00062680,2010-03-10,NA,418,260
SUM00062680,2010-03-11,NA,NA,NA
SUM00062680,2010-03-12,NA,423,255
SUM00062680,2010-03-13,NA,NA,NA
SUM00062680,2010-03-14,NA,NA,NA
SUM00062680,2010-03-15,NA,440,270
SUM00062680,2010-03-16,NA,433,255
SUM00062680,2010-03-17,NA,432,NA
SUM00062680,2010-03-18,NA,NA,NA
SUM00062680,2010-03-19,NA,NA,NA
SUM00062680,2010-03-20,NA,NA,NA
SUM00062680,2010-03-21,NA,360,202
SUM00062680,2010-03-22,NA,NA,NA
SUM00062680,2010-03-23,NA,348,208
SUM00062680,2010-03-24,NA,NA,NA
SUM00062680,2010-03-25,NA,356,190
SUM00062680,2010-03-26,NA,355,185
SUM00062680,2010-03-27,NA,325,165
SUM00062680,2010-03-28,NA,NA,NA
SUM00062680,2010-03-29,NA,NA,NA
SUM00062680,2010-03-30,NA,NA,175
SUM00062680,2010-03-31,NA,387,192
SUM00062680,2010-04-01,NA,385,193
SUM00062680,2010-04-02,NA,387,195
SUM00062680,2010-04-03,NA,NA,NA
SUM00062680,2010-04-04,NA,423,243
SUM00062680,2010-04-05,NA,432,247
SUM00062680,2010-04-06,NA,410,NA
SUM00062680,2010-04-07,NA,NA,NA
SUM00062680,2010-04-08,NA,404,242
SUM00062680,2010-04-09,NA,406,243
SUM00062680,2010-04-10,NA,406,232
SUM00062680,2010-04-11,NA,NA,NA
SUM00062680,2010-04-12,NA,416,235
SUM00062680,2010-04-13,NA,412,NA
SUM00062680,2010-04-14,NA,412,230
SUM00062680,2010-04-15,NA,423,216
SUM00062680,2010-04-16,NA,430,230
