id,date,prcp,tmax,tmin
SW000008525,2010-01-01,14,-75,-132
SW000008525,2010-01-02,3,-73,-134
SW000008525,2010-01-03,2,-47,-154
SW000008525,2010-01-04,2,-20,-111
SW000008525,2010-01-05,3,-43,-227
SW000008525,2010-01-06,26,-136,-173
SW000008525,2010-01-07,4,-87,-140
SW000008525,2010-01-08,1,-115,-215
SW000008525,2010-01-09,0,-153,-272
SW000008525,2010-01-10,3,-52,-244
SW000008525,2010-01-11,0,-56,-179
SW000008525,2010-01-12,0,-115,-198
SW000008525,2010-01-13,7,-87,-119
SW000008525,2010-01-14,2,-33,-111
SW000008525,2010-01-15,0,-21,-34
SW000008525,2010-01-16,2,-15,-28
SW000008525,2010-01-17,0,-12,-35
SW000008525,2010-01-18,39,-13,-30
SW000008525,2010-01-19,18,-1,-19
SW000008525,2010-01-20,21,-17,-36
SW000008525,2010-01-21,0,-25,-56
SW000008525,2010-01-22,0,-29,-46
SW000008525,2010-01-23,0,-34,-62
SW000008525,2010-01-24,0,-44,-105
SW000008525,2010-01-25,0,-65,-129
SW000008525,2010-01-26,6,-71,-167
SW000008525,2010-01-27,156,-33,-88
SW000008525,2010-01-28,27,-34,-75
SW000008525,2010-01-29,2,-72,-185
SW000008525,2010-01-30,2,-161,-289
SW000008525,2010-01-31,12,-116,-210
SW000008525,2010-02-01,19,-7,-133
SW000008525,2010-02-02,80,-14,-68
SW000008525,2010-02-03,36,3,-37
SW000008525,2010-02-04,2,-5,-32
SW000008525,2010-02-05,0,-15,-152
SW000008525,2010-02-06,0,-13,-35
SW000008525,2010-02-07,0,-33,-48
SW000008525,2010-02-08,3,-42,-61
SW000008525,2010-02-09,4,-39,-62
SW000008525,2010-02-10,5,-39,-56
SW000008525,2010-02-11,0,-45,-177
SW000008525,2010-02-12,7,-35,-161
SW000008525,2010-02-13,26,-42,-67
SW000008525,2010-02-14,0,-29,-123
SW000008525,2010-02-15,0,-43,-148
SW000008525,2010-02-16,9,-19,-49
SW000008525,2010-02-17,6,-29,-66
SW000008525,2010-02-18,67,-35,-58
SW000008525,2010-02-19,54,-40,-98
SW000008525,2010-02-20,109,-73,-137
SW000008525,2010-02-21,9,-125,-153
SW000008525,2010-02-22,14,-95,-246
SW000008525,2010-02-23,8,-62,-122
SW000008525,2010-02-24,0,-3,-158
SW000008525,2010-02-25,12,-9,-140
SW000008525,2010-02-26,29,34,-13
SW000008525,2010-02-27,38,17,1
SW000008525,2010-02-28,39,42,9
SW000008525,2010-03-01,79,19,-37
SW000008525,2010-03-02,2,-26,-99
SW000008525,2010-03-03,0,-24,-115
SW000008525,2010-03-04,0,-30,-117
SW000008525,2010-03-05,0,-27,-120
SW000008525,2010-03-06,0,-28,-210
SW000008525,2010-03-07,0,-27,-168
SW000008525,2010-03-08,0,41,-78
SW000008525,2010-03-09,0,19,-110
SW000008525,2010-03-10,0,22,-62
SW000008525,2010-03-11,0,38,-42
SW000008525,2010-03-12,3,21,-57
SW000008525,2010-03-13,0,23,-79
SW000008525,2010-03-14,0,-7,-80
SW000008525,2010-03-15,0,5,-66
SW000008525,2010-03-16,14,5,-79
SW000008525,2010-03-17,0,20,-43
SW000008525,2010-03-18,0,60,-15
SW000008525,2010-03-19,6,69,28
SW000008525,2010-03-20,0,83,35
SW000008525,2010-03-21,55,58,-16
SW000008525,2010-03-22,23,50,-62
SW000008525,2010-03-23,30,43,9
SW000008525,2010-03-24,0,44,4
SW000008525,2010-03-25,0,37,8
SW000008525,2010-03-26,0,116,-21
SW000008525,2010-03-27,0,77,-14
SW000008525,2010-03-28,4,67,15
SW000008525,2010-03-29,27,69,11
SW000008525,2010-03-30,0,91,-19
SW000008525,2010-03-31,15,46,-3
SW000008525,2010-04-01,3,107,17
SW000008525,2010-04-02,0,92,-3
SW000008525,2010-04-03,0,111,-38
SW000008525,2010-04-04,48,104,-30
SW000008525,2010-04-05,2,51,-1
SW000008525,2010-04-06,0,92,8
SW000008525,2010-04-07,0,123,44
SW000008525,2010-04-08,35,136,-8
SW000008525,2010-04-09,8,73,40
SW000008525,2010-04-10,2,58,17
SW000008525,2010-04-11,0,107,-5
SW000008525,2010-04-12,0,130,-26
SW000008525,2010-04-13,0,124,-25
SW000008525,2010-04-14,0,113,-23
SW000008525,2010-04-15,0,152,-2
SW000008525,2010-04-16,0,115,26
SW000008525,2010-04-17,0,112,-3
SW000008525,2010-04-18,0,117,48
SW000008525,2010-04-19,0,96,-17
SW000008525,2010-04-20,15,100,-40
SW000008525,2010-04-21,29,48,2
SW000008525,2010-04-22,2,65,1
SW000008525,2010-04-23,17,82,-14
SW000008525,2010-04-24,0,103,-7
SW000008525,2010-04-25,0,124,-43
SW000008525,2010-04-26,9,174,2
SW000008525,2010-04-27,20,156,72
SW000008525,2010-04-28,22,133,43
SW000008525,2010-04-29,0,188,84
SW000008525,2010-04-30,6,167,76
SW000008525,2010-05-01,3,122,73
SW000008525,2010-05-02,0,106,-3
SW000008525,2010-05-03,0,125,-38
SW000008525,2010-05-04,3,110,13
SW000008525,2010-05-05,0,114,31
SW000008525,2010-05-06,0,98,-24
SW000008525,2010-05-07,0,107,41
SW000008525,2010-05-08,124,83,37
SW000008525,2010-05-09,3,102,31
SW000008525,2010-05-10,0,126,55
SW000008525,2010-05-11,0,136,-29
SW000008525,2010-05-12,110,134,-7
SW000008525,2010-05-13,91,114,61
SW000008525,2010-05-14,53,133,88
SW000008525,2010-05-15,4,210,107
SW000008525,2010-05-16,0,160,101
SW000008525,2010-05-17,0,132,31
SW000008525,2010-05-18,7,211,76
SW000008525,2010-05-19,29,205,134
SW000008525,2010-05-20,2,222,132
SW000008525,2010-05-21,0,226,132
SW000008525,2010-05-22,18,210,83
SW000008525,2010-05-23,6,195,120
SW000008525,2010-05-24,92,172,45
SW000008525,2010-05-25,173,130,62
SW000008525,2010-05-26,41,133,59
SW000008525,2010-05-27,10,151,21
SW000008525,2010-05-28,49,160,31
SW000008525,2010-05-29,2,147,67
SW000008525,2010-05-30,0,179,36
SW000008525,2010-05-31,0,179,31
SW000008525,2010-06-01,0,166,55
SW000008525,2010-06-02,0,224,50
SW000008525,2010-06-03,0,204,77
SW000008525,2010-06-04,0,189,95
SW000008525,2010-06-05,0,228,43
SW000008525,2010-06-06,0,214,66
SW000008525,2010-06-07,19,193,58
SW000008525,2010-06-08,4,174,77
SW000008525,2010-06-09,26,173,91
SW000008525,2010-06-10,203,148,109
SW000008525,2010-06-11,104,137,99
SW000008525,2010-06-12,6,157,101
SW000008525,2010-06-13,7,184,105
SW000008525,2010-06-14,9,167,102
SW000008525,2010-06-15,0,175,70
SW000008525,2010-06-16,0,201,39
SW000008525,2010-06-17,0,218,78
SW000008525,2010-06-18,0,208,103
SW000008525,2010-06-19,56,163,48
SW000008525,2010-06-20,35,168,42
SW000008525,2010-06-21,2,175,85
SW000008525,2010-06-22,0,220,70
SW000008525,2010-06-23,0,219,76
SW000008525,2010-06-24,0,238,79
SW000008525,2010-06-25,0,223,94
SW000008525,2010-06-26,0,211,78
SW000008525,2010-06-27,0,245,79
SW000008525,2010-06-28,0,252,93
SW000008525,2010-06-29,2,272,101
SW000008525,2010-06-30,0,260,134
SW000008525,2010-07-01,0,217,104
SW000008525,2010-07-02,0,267,95
SW000008525,2010-07-03,0,303,137
SW000008525,2010-07-04,0,292,162
SW000008525,2010-07-05,7,253,161
SW000008525,2010-07-06,0,222,141
SW000008525,2010-07-07,0,236,121
SW000008525,2010-07-08,0,263,99
SW000008525,2010-07-09,0,265,140
SW000008525,2010-07-10,0,324,109
SW000008525,2010-07-11,0,339,145
SW000008525,2010-07-12,0,301,183
SW000008525,2010-07-13,130,331,187
SW000008525,2010-07-14,0,254,160
SW000008525,2010-07-15,110,284,144
SW000008525,2010-07-16,0,262,139
SW000008525,2010-07-17,64,244,148
SW000008525,2010-07-18,0,221,137
SW000008525,2010-07-19,0,215,105
SW000008525,2010-07-20,0,259,152
SW000008525,2010-07-21,0,275,159
SW000008525,2010-07-22,5,245,168
SW000008525,2010-07-23,0,218,144
SW000008525,2010-07-24,359,183,106
SW000008525,2010-07-25,87,177,99
SW000008525,2010-07-26,5,178,124
SW000008525,2010-07-27,0,247,135
SW000008525,2010-07-28,127,230,114
SW000008525,2010-07-29,84,194,154
SW000008525,2010-07-30,59,196,157
SW000008525,2010-07-31,2,219,138
SW000008525,2010-08-01,280,226,157
SW000008525,2010-08-02,48,179,121
SW000008525,2010-08-03,27,173,103
SW000008525,2010-08-04,2,208,134
SW000008525,2010-08-05,0,230,105
SW000008525,2010-08-06,0,241,135
SW000008525,2010-08-07,108,210,138
SW000008525,2010-08-08,6,181,144
SW000008525,2010-08-09,15,213,163
SW000008525,2010-08-10,2,218,127
SW000008525,2010-08-11,107,230,108
SW000008525,2010-08-12,2,243,146
SW000008525,2010-08-13,0,261,167
SW000008525,2010-08-14,0,235,166
SW000008525,2010-08-15,42,222,180
SW000008525,2010-08-16,19,196,148
SW000008525,2010-08-17,49,201,156
SW000008525,2010-08-18,7,198,110
SW000008525,2010-08-19,82,178,115
