id,date,tmax,tmin
SWE00137522,2010-01-01,-60,-106
SWE00137522,2010-01-02,-33,-78
SWE00137522,2010-01-03,-73,-140
SWE00137522,2010-01-04,-8,-123
SWE00137522,2010-01-05,-2,-26
SWE00137522,2010-01-06,-11,-39
SWE00137522,2010-01-07,-38,-85
SWE00137522,2010-01-08,-56,-113
SWE00137522,2010-01-09,-19,-119
SWE00137522,2010-01-10,3,-20
SWE00137522,2010-01-11,6,-21
SWE00137522,2010-01-12,4,-8
SWE00137522,2010-01-13,13,4
SWE00137522,2010-01-14,7,-31
SWE00137522,2010-01-15,-16,-33
SWE00137522,2010-01-16,-17,-30
SWE00137522,2010-01-17,-16,-38
SWE00137522,2010-01-18,-3,-27
SWE00137522,2010-01-19,-6,-25
SWE00137522,2010-01-20,0,-30
SWE00137522,2010-01-21,-4,-38
SWE00137522,2010-01-22,-9,-30
SWE00137522,2010-01-23,-28,-58
SWE00137522,2010-01-24,-37,-67
SWE00137522,2010-01-25,-38,-79
SWE00137522,2010-01-26,-13,-155
SWE00137522,2010-01-27,-23,-101
SWE00137522,2010-01-28,23,-26
SWE00137522,2010-01-29,-9,-130
SWE00137522,2010-01-30,-28,-133
SWE00137522,2010-01-31,-4,-205
SWE00137522,2010-02-01,4,-41
SWE00137522,2010-02-02,-14,-69
SWE00137522,2010-02-03,3,-19
SWE00137522,2010-02-04,-4,-77
SWE00137522,2010-02-05,14,-29
SWE00137522,2010-02-06,0,-23
SWE00137522,2010-02-07,-19,-37
SWE00137522,2010-02-08,-35,-74
SWE00137522,2010-02-09,-31,-59
SWE00137522,2010-02-10,-13,-44
SWE00137522,2010-02-11,-21,-95
SWE00137522,2010-02-12,-34,-66
SWE00137522,2010-02-13,-23,-50
SWE00137522,2010-02-14,-15,-38
SWE00137522,2010-02-15,-12,-41
SWE00137522,2010-02-16,-6,-22
SWE00137522,2010-02-17,-8,-20
SWE00137522,2010-02-18,1,-18
SWE00137522,2010-02-19,20,-5
SWE00137522,2010-02-20,16,0
SWE00137522,2010-02-21,0,-66
SWE00137522,2010-02-22,-6,-89
SWE00137522,2010-02-23,-6,-43
SWE00137522,2010-02-24,-6,-84
SWE00137522,2010-02-25,17,-10
SWE00137522,2010-02-26,41,17
SWE00137522,2010-02-27,27,11
SWE00137522,2010-02-28,43,12
SWE00137522,2010-03-01,33,-2
SWE00137522,2010-03-02,21,-18
SWE00137522,2010-03-03,23,-28
SWE00137522,2010-03-04,-17,-84
SWE00137522,2010-03-05,-17,-100
SWE00137522,2010-03-06,16,-79
SWE00137522,2010-03-07,13,-55
SWE00137522,2010-03-08,14,-88
SWE00137522,2010-03-09,-14,-58
SWE00137522,2010-03-10,-14,-36
SWE00137522,2010-03-11,5,-31
SWE00137522,2010-03-12,24,1
SWE00137522,2010-03-13,43,-28
SWE00137522,2010-03-14,34,-2
SWE00137522,2010-03-15,29,-34
SWE00137522,2010-03-16,32,-57
SWE00137522,2010-03-17,59,-10
SWE00137522,2010-03-18,97,22
SWE00137522,2010-03-19,89,13
SWE00137522,2010-03-20,80,38
SWE00137522,2010-03-21,91,50
SWE00137522,2010-03-22,65,15
SWE00137522,2010-03-23,86,3
SWE00137522,2010-03-24,79,2
SWE00137522,2010-03-25,135,33
SWE00137522,2010-03-26,170,51
SWE00137522,2010-03-27,135,39
SWE00137522,2010-03-28,82,46
SWE00137522,2010-03-29,73,35
SWE00137522,2010-03-30,108,-14
SWE00137522,2010-03-31,92,54
SWE00137522,2010-04-01,76,14
SWE00137522,2010-04-02,89,12
SWE00137522,2010-04-03,83,6
SWE00137522,2010-04-04,61,23
SWE00137522,2010-04-05,76,28
SWE00137522,2010-04-06,94,-4
SWE00137522,2010-04-07,108,20
SWE00137522,2010-04-08,107,36
SWE00137522,2010-04-09,96,27
SWE00137522,2010-04-10,118,32
SWE00137522,2010-04-11,129,45
SWE00137522,2010-04-12,122,30
SWE00137522,2010-04-13,126,-21
SWE00137522,2010-04-14,137,23
SWE00137522,2010-04-15,135,-27
SWE00137522,2010-04-16,113,47
SWE00137522,2010-04-17,104,12
SWE00137522,2010-04-18,133,42
SWE00137522,2010-04-19,93,0
SWE00137522,2010-04-20,85,-22
SWE00137522,2010-04-21,76,18
SWE00137522,2010-04-22,96,6
SWE00137522,2010-04-23,89,18
SWE00137522,2010-04-24,102,16
SWE00137522,2010-04-25,121,-27
SWE00137522,2010-04-26,163,59
SWE00137522,2010-04-27,140,69
SWE00137522,2010-04-28,158,71
SWE00137522,2010-04-29,189,76
SWE00137522,2010-04-30,164,77
SWE00137522,2010-05-01,139,79
SWE00137522,2010-05-02,141,31
SWE00137522,2010-05-03,95,4
SWE00137522,2010-05-04,118,47
SWE00137522,2010-05-05,116,34
SWE00137522,2010-05-06,82,5
SWE00137522,2010-05-07,81,53
SWE00137522,2010-05-08,72,43
SWE00137522,2010-05-09,92,53
SWE00137522,2010-05-10,112,57
SWE00137522,2010-05-11,118,12
SWE00137522,2010-05-12,88,33
SWE00137522,2010-05-13,108,67
SWE00137522,2010-05-14,116,75
SWE00137522,2010-05-15,109,70
SWE00137522,2010-05-16,111,64
SWE00137522,2010-05-17,133,77
SWE00137522,2010-05-18,168,64
SWE00137522,2010-05-19,205,101
SWE00137522,2010-05-20,211,121
SWE00137522,2010-05-21,191,99
SWE00137522,2010-05-22,203,125
SWE00137522,2010-05-23,176,101
SWE00137522,2010-05-24,152,90
SWE00137522,2010-05-25,137,70
SWE00137522,2010-05-26,143,59
SWE00137522,2010-05-27,151,27
SWE00137522,2010-05-28,143,3
SWE00137522,2010-05-29,147,62
SWE00137522,2010-05-30,149,56
SWE00137522,2010-05-31,154,88
SWE00137522,2010-06-01,132,96
SWE00137522,2010-06-02,220,98
SWE00137522,2010-06-03,187,64
SWE00137522,2010-06-04,219,74
SWE00137522,2010-06-05,211,57
SWE00137522,2010-06-06,215,78
SWE00137522,2010-06-07,180,94
SWE00137522,2010-06-08,167,93
SWE00137522,2010-06-09,183,106
SWE00137522,2010-06-10,157,111
SWE00137522,2010-06-11,172,112
SWE00137522,2010-06-12,173,104
SWE00137522,2010-06-13,142,105
SWE00137522,2010-06-14,166,91
SWE00137522,2010-06-15,156,82
SWE00137522,2010-06-16,194,65
SWE00137522,2010-06-17,190,45
SWE00137522,2010-06-18,180,79
SWE00137522,2010-06-19,158,71
SWE00137522,2010-06-20,169,74
SWE00137522,2010-06-21,194,54
SWE00137522,2010-06-22,200,72
SWE00137522,2010-06-23,200,113
SWE00137522,2010-06-24,223,68
SWE00137522,2010-06-25,208,84
SWE00137522,2010-06-26,189,109
SWE00137522,2010-06-27,221,52
SWE00137522,2010-06-28,235,67
SWE00137522,2010-06-29,252,86
SWE00137522,2010-06-30,213,128
SWE00137522,2010-07-01,217,110
SWE00137522,2010-07-02,233,58
SWE00137522,2010-07-03,256,162
SWE00137522,2010-07-04,261,142
SWE00137522,2010-07-05,249,115
SWE00137522,2010-07-06,219,140
SWE00137522,2010-07-07,214,106
SWE00137522,2010-07-08,245,103
SWE00137522,2010-07-09,292,147
SWE00137522,2010-07-10,314,178
SWE00137522,2010-07-11,307,183
SWE00137522,2010-07-12,305,192
SWE00137522,2010-07-13,266,212
SWE00137522,2010-07-14,263,125
SWE00137522,2010-07-15,256,186
SWE00137522,2010-07-16,275,117
SWE00137522,2010-07-17,248,196
SWE00137522,2010-07-18,223,145
SWE00137522,2010-07-19,239,93
SWE00137522,2010-07-20,244,118
SWE00137522,2010-07-21,258,150
SWE00137522,2010-07-22,262,180
SWE00137522,2010-07-23,252,166
SWE00137522,2010-07-24,214,142
SWE00137522,2010-07-25,204,142
SWE00137522,2010-07-26,229,114
SWE00137522,2010-07-27,239,83
SWE00137522,2010-07-28,249,103
SWE00137522,2010-07-29,240,129
SWE00137522,2010-07-30,173,152
SWE00137522,2010-07-31,238,148
SWE00137522,2010-08-01,249,145
SWE00137522,2010-08-02,246,161
SWE00137522,2010-08-03,205,125
SWE00137522,2010-08-04,215,94
SWE00137522,2010-08-05,241,156
SWE00137522,2010-08-06,248,162
SWE00137522,2010-08-07,258,135
SWE00137522,2010-08-08,218,148
SWE00137522,2010-08-09,203,150
SWE00137522,2010-08-10,218,86
SWE00137522,2010-08-11,209,165
SWE00137522,2010-08-12,237,108
SWE00137522,2010-08-13,217,164
SWE00137522,2010-08-14,199,114
SWE00137522,2010-08-15,233,187
SWE00137522,2010-08-16,221,183
SWE00137522,2010-08-17,194,130
SWE00137522,2010-08-18,190,130
SWE00137522,2010-08-19,206,128
SWE00137522,2010-08-20,213,126
SWE00137522,2010-08-21,241,167
SWE00137522,2010-08-22,220,176
