id,date,prcp,tmax,tmin
SWE00138596,2010-01-01,14,-80,-111
SWE00138596,2010-01-02,3,-80,-112
SWE00138596,2010-01-03,0,-68,-144
SWE00138596,2010-01-04,0,-32,-70
SWE00138596,2010-01-05,0,-48,-192
SWE00138596,2010-01-06,28,-136,-187
SWE00138596,2010-01-07,3,-87,-143
SWE00138596,2010-01-08,1,-128,-169
SWE00138596,2010-01-09,0,-88,-169
SWE00138596,2010-01-10,2,-55,-116
SWE00138596,2010-01-11,0,-64,-117
SWE00138596,2010-01-12,0,-77,-125
SWE00138596,2010-01-13,1,-74,-105
SWE00138596,2010-01-14,1,-38,-96
SWE00138596,2010-01-15,0,-18,-39
SWE00138596,2010-01-16,0,-25,-35
SWE00138596,2010-01-17,0,-19,-39
SWE00138596,2010-01-18,64,-21,-36
SWE00138596,2010-01-19,28,-12,-25
SWE00138596,2010-01-20,23,-25,-38
SWE00138596,2010-01-21,0,-27,-43
SWE00138596,2010-01-22,0,-32,-53
SWE00138596,2010-01-23,0,-30,-51
SWE00138596,2010-01-24,0,-47,-82
SWE00138596,2010-01-25,0,-50,-93
SWE00138596,2010-01-26,1,-76,-103
SWE00138596,2010-01-27,269,-52,-99
SWE00138596,2010-01-28,10,-46,-89
SWE00138596,2010-01-29,3,-89,-151
SWE00138596,2010-01-30,3,-139,-176
SWE00138596,2010-01-31,24,-94,-163
SWE00138596,2010-02-01,23,-12,-122
SWE00138596,2010-02-02,65,-23,-51
SWE00138596,2010-02-03,150,-13,-46
SWE00138596,2010-02-04,6,-12,-36
SWE00138596,2010-02-05,0,-15,-71
SWE00138596,2010-02-06,0,-24,-42
SWE00138596,2010-02-07,0,-36,-63
SWE00138596,2010-02-08,0,-35,-84
SWE00138596,2010-02-09,11,-42,-77
SWE00138596,2010-02-10,3,-29,-66
SWE00138596,2010-02-11,0,-52,-119
SWE00138596,2010-02-12,8,-40,-102
SWE00138596,2010-02-13,34,-47,-68
SWE00138596,2010-02-14,0,-30,-98
SWE00138596,2010-02-15,0,-10,-77
SWE00138596,2010-02-16,10,-37,-77
SWE00138596,2010-02-17,13,-33,-53
SWE00138596,2010-02-18,67,-46,-73
SWE00138596,2010-02-19,32,-56,-106
SWE00138596,2010-02-20,173,-86,-143
SWE00138596,2010-02-21,3,-117,-172
SWE00138596,2010-02-22,5,-114,-213
SWE00138596,2010-02-23,13,-77,-118
SWE00138596,2010-02-24,0,-27,-131
SWE00138596,2010-02-25,21,-17,-99
SWE00138596,2010-02-26,21,12,-19
SWE00138596,2010-02-27,41,2,-7
SWE00138596,2010-02-28,15,25,-1
SWE00138596,2010-03-01,58,10,-49
SWE00138596,2010-03-02,8,-36,-96
SWE00138596,2010-03-03,3,-29,-88
SWE00138596,2010-03-04,2,-46,-97
SWE00138596,2010-03-05,0,-8,-109
SWE00138596,2010-03-06,0,16,-97
SWE00138596,2010-03-07,0,-7,-101
SWE00138596,2010-03-08,0,70,-52
SWE00138596,2010-03-09,0,39,-48
SWE00138596,2010-03-10,0,42,-35
SWE00138596,2010-03-11,3,22,-45
SWE00138596,2010-03-12,0,24,-25
SWE00138596,2010-03-13,0,47,-37
SWE00138596,2010-03-14,0,14,-63
SWE00138596,2010-03-15,0,15,-68
SWE00138596,2010-03-16,14,31,-67
SWE00138596,2010-03-17,2,40,-41
SWE00138596,2010-03-18,0,49,-9
SWE00138596,2010-03-19,12,67,29
SWE00138596,2010-03-20,0,91,25
SWE00138596,2010-03-21,54,51,-31
SWE00138596,2010-03-22,22,43,-59
SWE00138596,2010-03-23,45,35,1
SWE00138596,2010-03-24,1,26,-8
SWE00138596,2010-03-25,0,7,-10
SWE00138596,2010-03-26,0,105,2
SWE00138596,2010-03-27,12,77,16
SWE00138596,2010-03-28,11,38,2
SWE00138596,2010-03-29,41,40,11
SWE00138596,2010-03-30,0,73,-13
SWE00138596,2010-03-31,11,35,-4
SWE00138596,2010-04-01,21,96,13
SWE00138596,2010-04-02,0,78,-11
SWE00138596,2010-04-03,0,112,-4
SWE00138596,2010-04-04,41,102,19
SWE00138596,2010-04-05,13,28,-4
SWE00138596,2010-04-06,0,72,-9
SWE00138596,2010-04-07,0,107,20
SWE00138596,2010-04-08,28,109,9
SWE00138596,2010-04-09,11,59,37
SWE00138596,2010-04-10,2,45,20
SWE00138596,2010-04-11,0,103,-2
SWE00138596,2010-04-12,0,124,-12
SWE00138596,2010-04-13,0,123,19
SWE00138596,2010-04-14,0,113,7
SWE00138596,2010-04-15,7,151,20
SWE00138596,2010-04-16,5,103,5
SWE00138596,2010-04-17,0,119,9
SWE00138596,2010-04-18,0,119,38
SWE00138596,2010-04-19,2,98,-14
SWE00138596,2010-04-20,8,96,-8
SWE00138596,2010-04-21,60,30,1
SWE00138596,2010-04-22,83,26,-4
SWE00138596,2010-04-23,24,94,-9
SWE00138596,2010-04-24,0,100,2
SWE00138596,2010-04-25,0,129,6
SWE00138596,2010-04-26,5,155,24
SWE00138596,2010-04-27,11,166,55
SWE00138596,2010-04-28,23,108,25
SWE00138596,2010-04-29,0,192,77
SWE00138596,2010-04-30,6,168,85
SWE00138596,2010-05-01,1,139,74
SWE00138596,2010-05-02,0,124,14
SWE00138596,2010-05-03,0,136,22
SWE00138596,2010-05-04,0,122,24
SWE00138596,2010-05-05,0,117,12
SWE00138596,2010-05-06,0,99,6
SWE00138596,2010-05-07,0,111,34
SWE00138596,2010-05-08,106,72,29
SWE00138596,2010-05-09,8,106,24
SWE00138596,2010-05-10,1,116,39
SWE00138596,2010-05-11,0,135,-5
SWE00138596,2010-05-12,95,136,31
SWE00138596,2010-05-13,140,119,61
SWE00138596,2010-05-14,15,152,102
SWE00138596,2010-05-15,7,217,107
SWE00138596,2010-05-16,2,152,73
SWE00138596,2010-05-17,0,182,35
SWE00138596,2010-05-18,0,223,96
SWE00138596,2010-05-19,43,205,143
SWE00138596,2010-05-20,0,226,116
SWE00138596,2010-05-21,0,234,128
SWE00138596,2010-05-22,16,220,98
SWE00138596,2010-05-23,15,185,103
SWE00138596,2010-05-24,13,177,59
SWE00138596,2010-05-25,125,128,65
SWE00138596,2010-05-26,0,145,58
SWE00138596,2010-05-27,1,178,60
SWE00138596,2010-05-28,23,170,73
SWE00138596,2010-05-29,12,155,67
SWE00138596,2010-05-30,0,187,66
SWE00138596,2010-05-31,0,186,58
SWE00138596,2010-06-01,0,180,78
SWE00138596,2010-06-02,0,230,78
SWE00138596,2010-06-03,0,230,110
SWE00138596,2010-06-04,0,205,100
SWE00138596,2010-06-05,0,188,92
SWE00138596,2010-06-06,0,225,87
SWE00138596,2010-06-07,16,195,89
SWE00138596,2010-06-08,0,175,77
SWE00138596,2010-06-09,16,172,81
SWE00138596,2010-06-10,169,161,96
SWE00138596,2010-06-11,126,136,94
SWE00138596,2010-06-12,8,162,94
SWE00138596,2010-06-13,20,211,98
SWE00138596,2010-06-14,0,178,101
SWE00138596,2010-06-15,2,187,74
SWE00138596,2010-06-16,0,223,83
SWE00138596,2010-06-17,0,235,111
SWE00138596,2010-06-18,0,202,106
SWE00138596,2010-06-19,0,175,47
SWE00138596,2010-06-20,26,174,72
SWE00138596,2010-06-21,0,178,91
SWE00138596,2010-06-22,0,235,78
SWE00138596,2010-06-23,0,246,98
SWE00138596,2010-06-24,0,238,116
SWE00138596,2010-06-25,0,241,122
SWE00138596,2010-06-26,0,227,109
SWE00138596,2010-06-27,0,263,125
SWE00138596,2010-06-28,0,261,130
SWE00138596,2010-06-29,11,283,123
SWE00138596,2010-06-30,0,238,149
SWE00138596,2010-07-01,0,228,116
SWE00138596,2010-07-02,0,274,142
SWE00138596,2010-07-03,0,310,149
SWE00138596,2010-07-04,0,300,162
SWE00138596,2010-07-05,1,273,156
SWE00138596,2010-07-06,5,230,136
SWE00138596,2010-07-07,0,268,121
SWE00138596,2010-07-08,0,268,138
SWE00138596,2010-07-09,0,269,145
SWE00138596,2010-07-10,0,338,155
SWE00138596,2010-07-11,0,318,188
SWE00138596,2010-07-12,0,305,205
SWE00138596,2010-07-13,0,320,182
SWE00138596,2010-07-14,0,265,171
SWE00138596,2010-07-15,22,279,174
SWE00138596,2010-07-16,0,282,157
SWE00138596,2010-07-17,133,239,165
SWE00138596,2010-07-18,0,231,158
SWE00138596,2010-07-19,0,238,114
SWE00138596,2010-07-20,0,276,150
SWE00138596,2010-07-21,0,267,166
SWE00138596,2010-07-22,4,253,174
SWE00138596,2010-07-23,0,217,146
SWE00138596,2010-07-24,251,160,102
SWE00138596,2010-07-25,67,169,94
SWE00138596,2010-07-26,1,162,131
SWE00138596,2010-07-27,0,253,119
SWE00138596,2010-07-28,231,243,140
SWE00138596,2010-07-29,93,179,148
SWE00138596,2010-07-30,86,200,150
SWE00138596,2010-07-31,0,228,130
SWE00138596,2010-08-01,42,233,150
SWE00138596,2010-08-02,186,176,135
SWE00138596,2010-08-03,100,176,134
SWE00138596,2010-08-04,1,217,131
SWE00138596,2010-08-05,0,238,119
SWE00138596,2010-08-06,0,231,145
SWE00138596,2010-08-07,121,205,151
SWE00138596,2010-08-08,10,174,136
SWE00138596,2010-08-09,1,238,166
SWE00138596,2010-08-10,0,221,133
SWE00138596,2010-08-11,8,222,128
SWE00138596,2010-08-12,0,244,163
SWE00138596,2010-08-13,0,256,168
SWE00138596,2010-08-14,0,272,172
SWE00138596,2010-08-15,5,224,183
SWE00138596,2010-08-16,83,219,140
SWE00138596,2010-08-17,206,210,137
SWE00138596,2010-08-18,0,232,136
SWE00138596,2010-08-19,49,174,139
SWE00138596,2010-08-20,8,216,133
SWE00138596,2010-08-21,7,229,143
SWE00138596,2010-08-22,0,214,138
SWE00138596,2010-08-23,107,215,120
SWE00138596,2010-08-24,22,206,120
SWE00138596,2010-08-25,164,141,105
SWE00138596,2010-08-26,110,154,113
SWE00138596,2010-08-27,0,159,97
SWE00138596,2010-08-28,20,183,67
SWE00138596,2010-08-29,45,158,91
SWE00138596,2010-08-30,0,147,83
SWE00138596,2010-08-31,0,180,86
SWE00138596,2010-09-01,121,175,89
SWE00138596,2010-09-02,0,151,61
SWE00138596,2010-09-03,0,151,49
SWE00138596,2010-09-04,0,154,46
SWE00138596,2010-09-05,0,169,61
SWE00138596,2010-09-06,0,159,102
SWE00138596,2010-09-07,0,170,77
SWE00138596,2010-09-08,0,182,93
SWE00138596,2010-09-09,0,178,102
SWE00138596,2010-09-10,49,137,87
SWE00138596,2010-09-11,5,171,119
SWE00138596,2010-09-12,20,195,123
SWE00138596,2010-09-13,14,155,110
SWE00138596,2010-09-14,25,131,82
SWE00138596,2010-09-15,12,151,104
SWE00138596,2010-09-16,22,139,82
SWE00138596,2010-09-17,37,138,91
SWE00138596,2010-09-18,108,98,74
SWE00138596,2010-09-19,3,151,78
SWE00138596,2010-09-20,119,147,75
SWE00138596,2010-09-21,24,122,87
SWE00138596,2010-09-22,0,157,49
SWE00138596,2010-09-23,3,169,69
SWE00138596,2010-09-24,8,193,108
SWE00138596,2010-09-25,5,187,101
SWE00138596,2010-09-26,7,101,79
SWE00138596,2010-09-27,0,118,73
SWE00138596,2010-09-28,0,116,41
SWE00138596,2010-09-29,0,120,40
SWE00138596,2010-09-30,2,125,30
SWE00138596,2010-10-01,3,103,51
SWE00138596,2010-10-02,0,119,47
SWE00138596,2010-10-03,0,128,63
SWE00138596,2010-10-04,0,126,85
SWE00138596,2010-10-05,0,112,77
SWE00138596,2010-10-06,82,96,77
SWE00138596,2010-10-07,170,96,82
SWE00138596,2010-10-08,10,116,75
SWE00138596,2010-10-09,0,110,37
SWE00138596,2010-10-10,0,97,25
SWE00138596,2010-10-11,0,86,-5
SWE00138596,2010-10-12,0,85,20
SWE00138596,2010-10-13,5,76,5
SWE00138596,2010-10-14,3,87,43
SWE00138596,2010-10-15,0,54,-18
SWE00138596,2010-10-16,0,50,-27
SWE00138596,2010-10-17,0,94,3
SWE00138596,2010-10-18,40,80,1
SWE00138596,2010-10-19,31,69,42
SWE00138596,2010-10-20,0,55,2
SWE00138596,2010-10-21,45,42,-28
SWE00138596,2010-10-22,0,19,-10
SWE00138596,2010-10-23,116,40,-12
SWE00138596,2010-10-24,54,33,10
SWE00138596,2010-10-25,0,39,-14
SWE00138596,2010-10-26,0,43,-19
SWE00138596,2010-10-27,23,48,-16
SWE00138596,2010-10-28,7,102,47
SWE00138596,2010-10-29,0,95,52
SWE00138596,2010-10-30,48,94,65
SWE00138596,2010-10-31,0,103,68
SWE00138596,2010-11-01,2,87,47
SWE00138596,2010-11-02,59,71,39
