id,date,prcp,tmax,tmin
SY000040001,2010-01-01,NA,NA,NA
SY000040001,2010-01-02,NA,NA,77
SY000040001,2010-01-03,NA,236,80
SY000040001,2010-01-04,25,115,82
SY000040001,2010-01-05,NA,NA,NA
SY000040001,2010-01-06,NA,NA,30
SY000040001,2010-01-07,NA,157,NA
SY000040001,2010-01-08,NA,190,69
SY000040001,2010-01-09,NA,194,NA
SY000040001,2010-01-10,NA,NA,NA
SY000040001,2010-01-11,NA,160,NA
SY000040001,2010-01-12,NA,140,NA
SY000040001,2010-01-13,NA,NA,100
SY000040001,2010-01-14,NA,NA,NA
SY000040001,2010-01-15,NA,140,NA
SY000040001,2010-01-16,NA,156,NA
SY000040001,2010-01-17,NA,NA,NA
SY000040001,2010-01-18,NA,NA,NA
SY000040001,2010-01-19,330,NA,NA
SY000040001,2010-01-20,51,NA,NA
SY000040001,2010-01-21,NA,134,NA
SY000040001,2010-01-22,NA,127,NA
SY000040001,2010-01-23,NA,91,NA
SY000040001,2010-01-24,8,110,NA
SY000040001,2010-01-25,0,NA,NA
SY000040001,2010-01-26,NA,NA,-31
SY000040001,2010-01-27,NA,NA,NA
SY000040001,2010-01-28,NA,NA,-32
SY000040001,2010-01-29,NA,106,NA
SY000040001,2010-01-30,NA,NA,NA
SY000040001,2010-01-31,81,NA,86
SY000040001,2010-02-01,NA,NA,NA
SY000040001,2010-02-02,NA,NA,NA
SY000040001,2010-02-03,NA,NA,60
SY000040001,2010-02-04,NA,82,NA
SY000040001,2010-02-05,NA,80,-22
SY000040001,2010-02-06,NA,82,NA
SY000040001,2010-02-07,NA,106,NA
SY000040001,2010-02-08,NA,94,NA
SY000040001,2010-02-09,20,NA,40
SY000040001,2010-02-10,NA,NA,50
SY000040001,2010-02-11,NA,NA,NA
SY000040001,2010-02-12,NA,NA,45
SY000040001,2010-02-13,NA,172,NA
SY000040001,2010-02-14,NA,NA,NA
SY000040001,2010-02-15,NA,NA,68
SY000040001,2010-02-16,NA,170,110
SY000040001,2010-02-17,NA,190,NA
SY000040001,2010-02-18,NA,180,NA
SY000040001,2010-02-19,NA,NA,70
SY000040001,2010-02-20,NA,NA,NA
SY000040001,2010-02-21,NA,NA,NA
SY000040001,2010-02-22,41,NA,NA
SY000040001,2010-02-23,NA,130,31
SY000040001,2010-02-24,NA,NA,NA
SY000040001,2010-02-25,NA,140,NA
SY000040001,2010-02-26,NA,150,50
SY000040001,2010-02-27,NA,118,NA
SY000040001,2010-02-28,NA,NA,80
SY000040001,2010-03-01,NA,NA,NA
SY000040001,2010-03-02,NA,NA,28
SY000040001,2010-03-03,NA,NA,NA
SY000040001,2010-03-04,NA,160,NA
SY000040001,2010-03-05,NA,NA,NA
SY000040001,2010-03-06,NA,NA,NA
SY000040001,2010-03-07,NA,160,80
SY000040001,2010-03-08,NA,190,78
SY000040001,2010-03-09,NA,NA,NA
SY000040001,2010-03-10,NA,224,NA
SY000040001,2010-03-11,NA,NA,108
SY000040001,2010-03-12,NA,NA,NA
SY000040001,2010-03-13,NA,220,NA
SY000040001,2010-03-14,NA,NA,135
SY000040001,2010-03-15,NA,NA,NA
SY000040001,2010-03-16,NA,NA,NA
SY000040001,2010-03-17,NA,164,NA
SY000040001,2010-03-18,NA,NA,18
SY000040001,2010-03-19,NA,NA,NA
SY000040001,2010-03-20,NA,170,NA
SY000040001,2010-03-21,NA,180,NA
SY000040001,2010-03-22,NA,NA,NA
SY000040001,2010-03-23,NA,NA,55
SY000040001,2010-03-24,NA,242,NA
SY000040001,2010-03-25,NA,220,60
SY000040001,2010-03-26,NA,232,NA
SY000040001,2010-03-27,NA,200,NA
SY000040001,2010-03-28,NA,NA,NA
SY000040001,2010-03-29,79,180,110
SY000040001,2010-03-30,0,194,NA
SY000040001,2010-03-31,NA,184,NA
SY000040001,2010-04-01,NA,NA,NA
SY000040001,2010-04-02,NA,224,NA
SY000040001,2010-04-03,NA,NA,90
SY000040001,2010-04-04,NA,248,NA
SY000040001,2010-04-05,NA,NA,NA
SY000040001,2010-04-06,NA,250,NA
SY000040001,2010-04-07,NA,234,83
SY000040001,2010-04-08,NA,200,65
SY000040001,2010-04-09,NA,198,NA
SY000040001,2010-04-10,NA,NA,NA
SY000040001,2010-04-11,NA,NA,103
SY000040001,2010-04-12,NA,NA,NA
SY000040001,2010-04-13,NA,NA,57
SY000040001,2010-04-14,NA,226,60
SY000040001,2010-04-15,NA,NA,60
SY000040001,2010-04-16,NA,NA,92
SY000040001,2010-04-17,NA,NA,130
SY000040001,2010-04-18,NA,282,130
SY000040001,2010-04-19,NA,270,148
SY000040001,2010-04-20,NA,NA,NA
SY000040001,2010-04-21,NA,210,NA
SY000040001,2010-04-22,140,NA,NA
SY000040001,2010-04-23,NA,NA,NA
SY000040001,2010-04-24,NA,244,80
SY000040001,2010-04-25,NA,263,NA
SY000040001,2010-04-26,NA,NA,100
SY000040001,2010-04-27,NA,270,NA
SY000040001,2010-04-28,NA,212,NA
SY000040001,2010-04-29,NA,NA,100
SY000040001,2010-04-30,NA,NA,NA
SY000040001,2010-05-01,NA,250,NA
SY000040001,2010-05-02,NA,NA,NA
SY000040001,2010-05-03,30,206,NA
SY000040001,2010-05-04,NA,250,104
SY000040001,2010-05-05,NA,NA,114
SY000040001,2010-05-06,NA,NA,NA
SY000040001,2010-05-07,NA,NA,NA
SY000040001,2010-05-08,NA,NA,NA
SY000040001,2010-05-09,NA,NA,196
SY000040001,2010-05-10,NA,336,NA
SY000040001,2010-05-11,NA,340,215
SY000040001,2010-05-12,NA,NA,200
SY000040001,2010-05-13,NA,358,200
SY000040001,2010-05-14,NA,NA,156
SY000040001,2010-05-15,NA,NA,NA
SY000040001,2010-05-16,NA,364,180
SY000040001,2010-05-17,NA,350,NA
SY000040001,2010-05-18,NA,300,NA
SY000040001,2010-05-19,NA,280,164
SY000040001,2010-05-20,NA,NA,NA
SY000040001,2010-05-21,NA,NA,NA
SY000040001,2010-05-22,NA,305,118
SY000040001,2010-05-23,NA,NA,NA
SY000040001,2010-05-24,NA,289,NA
SY000040001,2010-05-25,NA,NA,NA
SY000040001,2010-05-26,NA,NA,139
SY000040001,2010-05-27,NA,355,NA
SY000040001,2010-05-28,NA,315,NA
SY000040001,2010-05-29,NA,350,245
SY000040001,2010-05-30,NA,NA,NA
SY000040001,2010-05-31,NA,380,196
SY000040001,2010-06-01,NA,NA,204
SY000040001,2010-06-02,NA,NA,258
SY000040001,2010-06-03,NA,402,206
SY000040001,2010-06-04,NA,NA,NA
SY000040001,2010-06-05,NA,NA,NA
SY000040001,2010-06-06,NA,415,230
SY000040001,2010-06-07,NA,NA,NA
SY000040001,2010-06-08,NA,320,150
SY000040001,2010-06-09,NA,355,NA
SY000040001,2010-06-10,NA,342,191
SY000040001,2010-06-11,NA,NA,191
SY000040001,2010-06-12,NA,NA,192
SY000040001,2010-06-13,NA,NA,260
SY000040001,2010-06-14,NA,NA,NA
SY000040001,2010-06-15,NA,NA,NA
SY000040001,2010-06-16,NA,365,187
SY000040001,2010-06-17,NA,382,NA
SY000040001,2010-06-18,NA,373,250
SY000040001,2010-06-19,NA,390,NA
SY000040001,2010-06-20,NA,381,220
SY000040001,2010-06-21,NA,383,219
SY000040001,2010-06-22,NA,NA,NA
SY000040001,2010-06-23,NA,340,194
SY000040001,2010-06-24,NA,290,180
SY000040001,2010-06-25,NA,NA,167
SY000040001,2010-06-26,NA,340,195
SY000040001,2010-06-27,NA,350,190
SY000040001,2010-06-28,NA,357,188
SY000040001,2010-06-29,NA,NA,NA
SY000040001,2010-06-30,NA,362,174
SY000040001,2010-07-01,NA,380,190
SY000040001,2010-07-02,NA,396,208
SY000040001,2010-07-03,NA,415,250
SY000040001,2010-07-04,NA,424,228
SY000040001,2010-07-05,NA,420,NA
SY000040001,2010-07-06,NA,NA,NA
SY000040001,2010-07-07,NA,414,NA
SY000040001,2010-07-08,NA,NA,205
SY000040001,2010-07-09,NA,400,NA
SY000040001,2010-07-10,NA,410,223
SY000040001,2010-07-11,NA,440,247
SY000040001,2010-07-12,NA,444,NA
SY000040001,2010-07-13,NA,NA,248
SY000040001,2010-07-14,NA,NA,NA
SY000040001,2010-07-15,NA,413,NA
SY000040001,2010-07-16,NA,400,230
SY000040001,2010-07-17,NA,NA,240
SY000040001,2010-07-18,NA,380,233
SY000040001,2010-07-19,NA,NA,NA
SY000040001,2010-07-20,NA,426,244
SY000040001,2010-07-21,NA,430,NA
SY000040001,2010-07-22,NA,423,220
SY000040001,2010-07-23,NA,410,228
SY000040001,2010-07-24,NA,385,NA
SY000040001,2010-07-25,NA,380,230
SY000040001,2010-07-26,NA,NA,250
SY000040001,2010-07-27,NA,NA,293
SY000040001,2010-07-28,NA,NA,258
SY000040001,2010-07-29,NA,NA,267
SY000040001,2010-07-30,NA,NA,265
SY000040001,2010-07-31,NA,437,276
SY000040001,2010-08-01,NA,430,258
SY000040001,2010-08-02,NA,NA,250
SY000040001,2010-08-03,NA,NA,NA
SY000040001,2010-08-04,NA,NA,277
SY000040001,2010-08-05,NA,NA,NA
SY000040001,2010-08-06,NA,442,280
SY000040001,2010-08-07,NA,NA,NA
SY000040001,2010-08-08,NA,NA,NA
SY000040001,2010-08-09,NA,NA,NA
SY000040001,2010-08-10,NA,NA,218
SY000040001,2010-08-11,NA,NA,243
SY000040001,2010-08-12,NA,NA,NA
SY000040001,2010-08-13,NA,430,NA
SY000040001,2010-08-14,NA,NA,270
SY000040001,2010-08-15,NA,NA,279
SY000040001,2010-08-16,NA,431,NA
SY000040001,2010-08-17,NA,420,219
SY000040001,2010-08-18,NA,420,NA
SY000040001,2010-08-19,NA,426,NA
SY000040001,2010-08-20,NA,NA,NA
SY000040001,2010-08-21,NA,NA,275
SY000040001,2010-08-22,NA,428,NA
SY000040001,2010-08-23,NA,430,240
SY000040001,2010-08-24,NA,NA,NA
SY000040001,2010-08-25,NA,NA,NA
SY000040001,2010-08-26,NA,400,NA
SY000040001,2010-08-27,NA,390,290
SY000040001,2010-08-28,NA,NA,240
SY000040001,2010-08-29,NA,410,NA
SY000040001,2010-08-30,NA,NA,244
SY000040001,2010-08-31,NA,412,218
SY000040001,2010-09-01,NA,NA,NA
SY000040001,2010-09-02,NA,410,NA
SY000040001,2010-09-03,NA,372,206
SY000040001,2010-09-04,NA,382,NA
SY000040001,2010-09-05,NA,NA,NA
SY000040001,2010-09-06,NA,398,220
SY000040001,2010-09-07,NA,385,NA
SY000040001,2010-09-08,NA,380,213
SY000040001,2010-09-09,NA,NA,212
SY000040001,2010-09-10,NA,390,190
SY000040001,2010-09-11,NA,NA,210
SY000040001,2010-09-12,NA,NA,217
SY000040001,2010-09-13,NA,NA,NA
SY000040001,2010-09-14,NA,328,174
SY000040001,2010-09-15,NA,358,NA
SY000040001,2010-09-16,NA,364,201
SY000040001,2010-09-17,NA,370,NA
SY000040001,2010-09-18,NA,370,200
SY000040001,2010-09-19,NA,378,NA
SY000040001,2010-09-20,NA,378,NA
SY000040001,2010-09-21,NA,381,220
SY000040001,2010-09-22,NA,NA,NA
SY000040001,2010-09-23,NA,360,NA
SY000040001,2010-09-24,NA,NA,230
SY000040001,2010-09-25,NA,NA,222
SY000040001,2010-09-26,NA,350,NA
SY000040001,2010-09-27,NA,NA,NA
SY000040001,2010-09-28,NA,344,NA
SY000040001,2010-09-29,NA,NA,NA
SY000040001,2010-09-30,NA,350,NA
SY000040001,2010-10-01,NA,NA,NA
SY000040001,2010-10-02,NA,313,NA
SY000040001,2010-10-03,NA,NA,202
SY000040001,2010-10-04,NA,NA,NA
SY000040001,2010-10-05,NA,300,NA
SY000040001,2010-10-06,NA,299,NA
SY000040001,2010-10-07,NA,290,131
SY000040001,2010-10-08,NA,NA,NA
SY000040001,2010-10-09,NA,277,140
SY000040001,2010-10-10,NA,250,133
SY000040001,2010-10-11,NA,NA,NA
SY000040001,2010-10-12,NA,NA,NA
SY000040001,2010-10-13,NA,265,NA
SY000040001,2010-10-14,NA,275,175
SY000040001,2010-10-15,NA,NA,NA
SY000040001,2010-10-16,NA,NA,NA
SY000040001,2010-10-17,NA,300,NA
SY000040001,2010-10-18,NA,302,NA
SY000040001,2010-10-19,NA,NA,NA
SY000040001,2010-10-20,NA,NA,NA
SY000040001,2010-10-21,NA,352,190
SY000040001,2010-10-22,NA,324,NA
SY000040001,2010-10-23,NA,NA,NA
SY000040001,2010-10-24,NA,NA,164
SY000040001,2010-10-25,NA,282,NA
SY000040001,2010-10-26,NA,285,NA
SY000040001,2010-10-27,NA,290,NA
SY000040001,2010-10-28,NA,NA,156
SY000040001,2010-10-29,NA,267,178
SY000040001,2010-10-30,NA,215,NA
SY000040001,2010-10-31,NA,NA,NA
SY000040001,2010-11-01,NA,230,NA
SY000040001,2010-11-02,NA,241,NA
SY000040001,2010-11-03,NA,240,NA
SY000040001,2010-11-04,NA,240,67
SY000040001,2010-11-05,NA,250,110
SY000040001,2010-11-06,NA,NA,NA
