id,date,prcp,tmax,tmin
SYE00147760,2010-01-01,NA,155,64
SYE00147760,2010-01-02,NA,204,76
SYE00147760,2010-01-03,NA,165,NA
SYE00147760,2010-01-04,NA,169,93
SYE00147760,2010-01-05,NA,138,NA
SYE00147760,2010-01-06,NA,131,43
SYE00147760,2010-01-07,NA,143,20
SYE00147760,2010-01-08,NA,163,35
SYE00147760,2010-01-09,NA,184,NA
SYE00147760,2010-01-10,NA,NA,40
SYE00147760,2010-01-11,NA,123,NA
SYE00147760,2010-01-12,NA,NA,33
SYE00147760,2010-01-13,NA,124,64
SYE00147760,2010-01-14,NA,110,NA
SYE00147760,2010-01-15,NA,131,NA
SYE00147760,2010-01-16,NA,NA,NA
SYE00147760,2010-01-17,NA,150,NA
SYE00147760,2010-01-18,NA,133,NA
SYE00147760,2010-01-19,NA,NA,88
SYE00147760,2010-01-20,NA,126,NA
SYE00147760,2010-01-21,NA,154,60
SYE00147760,2010-01-22,NA,130,29
SYE00147760,2010-01-23,NA,NA,NA
SYE00147760,2010-01-24,NA,119,59
SYE00147760,2010-01-25,NA,105,NA
SYE00147760,2010-01-26,NA,69,NA
SYE00147760,2010-01-27,NA,61,-50
SYE00147760,2010-01-28,NA,NA,NA
SYE00147760,2010-01-29,NA,NA,23
SYE00147760,2010-01-30,NA,92,NA
SYE00147760,2010-01-31,3,134,56
SYE00147760,2010-02-01,0,164,47
SYE00147760,2010-02-02,NA,156,NA
SYE00147760,2010-02-03,NA,131,34
SYE00147760,2010-02-04,NA,79,NA
SYE00147760,2010-02-05,NA,NA,-30
SYE00147760,2010-02-06,NA,101,-28
SYE00147760,2010-02-07,NA,106,-6
SYE00147760,2010-02-08,NA,103,20
SYE00147760,2010-02-09,NA,87,30
SYE00147760,2010-02-10,20,NA,43
SYE00147760,2010-02-11,NA,124,47
SYE00147760,2010-02-12,NA,148,60
SYE00147760,2010-02-13,NA,141,45
SYE00147760,2010-02-14,NA,NA,NA
SYE00147760,2010-02-15,NA,165,67
SYE00147760,2010-02-16,NA,NA,NA
SYE00147760,2010-02-17,NA,186,61
SYE00147760,2010-02-18,NA,185,77
SYE00147760,2010-02-19,NA,193,79
SYE00147760,2010-02-20,NA,200,NA
SYE00147760,2010-02-21,NA,170,NA
SYE00147760,2010-02-22,NA,167,NA
SYE00147760,2010-02-23,NA,153,NA
SYE00147760,2010-02-24,NA,168,NA
SYE00147760,2010-02-25,NA,NA,NA
SYE00147760,2010-02-26,NA,128,79
SYE00147760,2010-02-27,NA,NA,58
SYE00147760,2010-02-28,NA,113,74
SYE00147760,2010-03-01,NA,176,85
SYE00147760,2010-03-02,NA,189,75
SYE00147760,2010-03-03,NA,146,64
SYE00147760,2010-03-04,NA,177,67
SYE00147760,2010-03-05,0,163,80
SYE00147760,2010-03-06,NA,168,59
SYE00147760,2010-03-07,NA,192,81
SYE00147760,2010-03-08,NA,181,70
SYE00147760,2010-03-09,NA,NA,NA
SYE00147760,2010-03-10,NA,NA,NA
SYE00147760,2010-03-11,NA,223,95
SYE00147760,2010-03-12,NA,255,NA
SYE00147760,2010-03-13,NA,238,NA
SYE00147760,2010-03-14,NA,NA,119
SYE00147760,2010-03-15,NA,263,110
SYE00147760,2010-03-16,NA,175,NA
SYE00147760,2010-03-17,NA,166,44
SYE00147760,2010-03-18,23,124,NA
SYE00147760,2010-03-19,NA,148,NA
SYE00147760,2010-03-20,NA,176,NA
SYE00147760,2010-03-21,NA,206,NA
SYE00147760,2010-03-22,NA,221,NA
SYE00147760,2010-03-23,NA,232,42
SYE00147760,2010-03-24,NA,260,67
