id,date,prcp,tmax,tmin
SYM00040030,2010-01-01,NA,182,NA
SYM00040030,2010-01-02,NA,221,145
SYM00040030,2010-01-03,NA,180,NA
SYM00040030,2010-01-04,NA,180,144
SYM00040030,2010-01-05,NA,178,NA
SYM00040030,2010-01-06,NA,170,NA
SYM00040030,2010-01-07,NA,156,35
SYM00040030,2010-01-08,NA,168,37
SYM00040030,2010-01-09,NA,180,40
SYM00040030,2010-01-10,NA,174,35
SYM00040030,2010-01-11,NA,178,22
SYM00040030,2010-01-12,NA,152,NA
SYM00040030,2010-01-13,NA,NA,66
SYM00040030,2010-01-14,0,162,71
SYM00040030,2010-01-15,NA,176,100
SYM00040030,2010-01-16,NA,146,52
SYM00040030,2010-01-17,NA,150,NA
SYM00040030,2010-01-18,NA,109,88
SYM00040030,2010-01-19,NA,155,NA
SYM00040030,2010-01-20,30,140,NA
SYM00040030,2010-01-21,NA,149,NA
SYM00040030,2010-01-22,NA,163,62
SYM00040030,2010-01-23,NA,173,60
SYM00040030,2010-01-24,NA,130,80
SYM00040030,2010-01-25,NA,115,NA
SYM00040030,2010-01-26,NA,84,9
SYM00040030,2010-01-27,NA,87,-30
SYM00040030,2010-01-28,NA,49,-21
SYM00040030,2010-01-29,8,50,4
SYM00040030,2010-01-30,NA,80,35
SYM00040030,2010-01-31,NA,135,42
SYM00040030,2010-02-01,NA,185,83
SYM00040030,2010-02-02,NA,174,54
SYM00040030,2010-02-03,NA,124,66
SYM00040030,2010-02-04,NA,66,NA
SYM00040030,2010-02-05,NA,99,-12
SYM00040030,2010-02-06,NA,113,NA
SYM00040030,2010-02-07,NA,130,-6
SYM00040030,2010-02-08,NA,86,20
SYM00040030,2010-02-09,18,68,34
SYM00040030,2010-02-10,NA,88,52
SYM00040030,2010-02-11,NA,154,52
SYM00040030,2010-02-12,NA,148,56
SYM00040030,2010-02-13,NA,NA,51
SYM00040030,2010-02-14,NA,176,53
SYM00040030,2010-02-15,NA,168,70
