id,date,prcp,tmax,tmin
TH000048455,2010-01-01,0,332,261
TH000048455,2010-01-02,NA,334,235
TH000048455,2010-01-03,NA,352,246
TH000048455,2010-01-04,NA,334,261
TH000048455,2010-01-05,NA,345,NA
TH000048455,2010-01-06,315,347,NA
TH000048455,2010-01-07,254,338,250
TH000048455,2010-01-08,107,330,NA
TH000048455,2010-01-09,NA,316,235
TH000048455,2010-01-10,NA,347,235
TH000048455,2010-01-11,NA,336,237
TH000048455,2010-01-12,NA,334,249
TH000048455,2010-01-13,NA,323,NA
TH000048455,2010-01-14,NA,311,NA
TH000048455,2010-01-15,NA,322,220
TH000048455,2010-01-16,NA,320,220
TH000048455,2010-01-17,NA,318,221
TH000048455,2010-01-18,NA,305,211
TH000048455,2010-01-19,NA,316,218
TH000048455,2010-01-20,NA,320,242
TH000048455,2010-01-21,0,319,225
TH000048455,2010-01-22,0,309,247
TH000048455,2010-01-23,23,315,251
TH000048455,2010-01-24,340,306,NA
TH000048455,2010-01-25,117,338,244
TH000048455,2010-01-26,0,328,256
TH000048455,2010-01-27,NA,331,249
TH000048455,2010-01-28,NA,354,252
TH000048455,2010-01-29,198,355,254
TH000048455,2010-01-30,18,320,259
TH000048455,2010-01-31,0,336,257
TH000048455,2010-02-01,NA,338,266
TH000048455,2010-02-02,NA,338,267
TH000048455,2010-02-03,NA,334,262
TH000048455,2010-02-04,NA,336,264
TH000048455,2010-02-05,NA,333,256
TH000048455,2010-02-06,NA,335,267
TH000048455,2010-02-07,NA,330,265
TH000048455,2010-02-08,NA,327,265
TH000048455,2010-02-09,NA,333,261
TH000048455,2010-02-10,NA,331,241
TH000048455,2010-02-11,NA,336,266
TH000048455,2010-02-12,NA,344,265
TH000048455,2010-02-13,NA,335,273
TH000048455,2010-02-14,NA,335,270
TH000048455,2010-02-15,NA,339,266
TH000048455,2010-02-16,NA,336,NA
TH000048455,2010-02-17,NA,334,267
TH000048455,2010-02-18,NA,338,266
TH000048455,2010-02-19,NA,335,269
TH000048455,2010-02-20,28,330,274
TH000048455,2010-02-21,NA,339,273
TH000048455,2010-02-22,NA,341,273
