id,date,prcp,tmax,tmin
THM00048453,2010-01-01,NA,330,256
THM00048453,2010-01-02,NA,328,247
THM00048453,2010-01-03,NA,346,235
THM00048453,2010-01-04,NA,NA,NA
THM00048453,2010-01-05,NA,340,262
THM00048453,2010-01-06,74,324,NA
THM00048453,2010-01-07,61,334,246
THM00048453,2010-01-08,38,318,NA
THM00048453,2010-01-09,0,320,235
THM00048453,2010-01-10,NA,344,230
THM00048453,2010-01-11,NA,332,228
THM00048453,2010-01-12,NA,337,243
THM00048453,2010-01-13,NA,323,245
THM00048453,2010-01-14,NA,305,229
THM00048453,2010-01-15,NA,313,213
THM00048453,2010-01-16,NA,320,215
THM00048453,2010-01-17,NA,318,214
THM00048453,2010-01-18,NA,298,206
THM00048453,2010-01-19,NA,318,221
THM00048453,2010-01-20,0,317,245
THM00048453,2010-01-21,5,304,247
THM00048453,2010-01-22,3,309,237
THM00048453,2010-01-23,0,318,244
THM00048453,2010-01-24,23,319,248
THM00048453,2010-01-25,18,334,243
THM00048453,2010-01-26,0,325,250
THM00048453,2010-01-27,NA,332,236
THM00048453,2010-01-28,NA,348,247
THM00048453,2010-01-29,NA,332,253
THM00048453,2010-01-30,43,317,265
THM00048453,2010-01-31,NA,331,255
THM00048453,2010-02-01,NA,336,267
THM00048453,2010-02-02,NA,333,269
THM00048453,2010-02-03,NA,330,255
THM00048453,2010-02-04,NA,334,255
THM00048453,2010-02-05,NA,328,267
THM00048453,2010-02-06,NA,328,260
THM00048453,2010-02-07,NA,327,264
THM00048453,2010-02-08,NA,327,257
THM00048453,2010-02-09,NA,333,253
THM00048453,2010-02-10,NA,330,260
THM00048453,2010-02-11,NA,343,260
THM00048453,2010-02-12,NA,335,263
THM00048453,2010-02-13,NA,333,268
THM00048453,2010-02-14,NA,334,269
THM00048453,2010-02-15,NA,335,262
THM00048453,2010-02-16,NA,338,274
THM00048453,2010-02-17,NA,333,263
THM00048453,2010-02-18,NA,334,262
THM00048453,2010-02-19,NA,337,262
THM00048453,2010-02-20,5,332,267
THM00048453,2010-02-21,0,331,270
THM00048453,2010-02-22,0,336,272
THM00048453,2010-02-23,NA,337,272
THM00048453,2010-02-24,NA,334,273
THM00048453,2010-02-25,NA,347,252
THM00048453,2010-02-26,NA,355,269
THM00048453,2010-02-27,NA,347,263
THM00048453,2010-02-28,NA,338,279
THM00048453,2010-03-01,NA,335,275
THM00048453,2010-03-02,NA,340,273
THM00048453,2010-03-03,NA,345,274
THM00048453,2010-03-04,NA,342,273
THM00048453,2010-03-05,NA,381,269
THM00048453,2010-03-06,NA,366,261
THM00048453,2010-03-07,NA,345,259
THM00048453,2010-03-08,NA,342,267
THM00048453,2010-03-09,NA,343,270
THM00048453,2010-03-10,0,314,NA
THM00048453,2010-03-11,0,330,234
THM00048453,2010-03-12,NA,NA,NA
THM00048453,2010-03-13,NA,NA,NA
THM00048453,2010-03-14,NA,NA,NA
THM00048453,2010-03-15,NA,NA,NA
THM00048453,2010-03-16,NA,NA,NA
THM00048453,2010-03-17,NA,NA,NA
THM00048453,2010-03-18,NA,NA,NA
THM00048453,2010-03-19,NA,NA,NA
THM00048453,2010-03-20,NA,NA,NA
THM00048453,2010-03-21,NA,NA,NA
THM00048453,2010-03-22,NA,344,284
THM00048453,2010-03-23,NA,NA,NA
THM00048453,2010-03-24,NA,346,283
THM00048453,2010-03-25,NA,356,274
THM00048453,2010-03-26,NA,NA,NA
THM00048453,2010-03-27,NA,342,232
THM00048453,2010-03-28,NA,NA,NA
THM00048453,2010-03-29,NA,NA,NA
THM00048453,2010-03-30,13,350,240
THM00048453,2010-03-31,0,350,281
THM00048453,2010-04-01,NA,345,276
THM00048453,2010-04-02,NA,356,281
THM00048453,2010-04-03,NA,353,283
THM00048453,2010-04-04,NA,NA,NA
THM00048453,2010-04-05,NA,NA,NA
THM00048453,2010-04-06,NA,NA,NA
THM00048453,2010-04-07,NA,357,291
THM00048453,2010-04-08,NA,NA,NA
THM00048453,2010-04-09,NA,356,292
THM00048453,2010-04-10,NA,347,294
THM00048453,2010-04-11,NA,358,292
THM00048453,2010-04-12,NA,356,292
THM00048453,2010-04-13,NA,382,287
THM00048453,2010-04-14,NA,NA,NA
THM00048453,2010-04-15,NA,357,290
THM00048453,2010-04-16,NA,NA,NA
THM00048453,2010-04-17,NA,NA,NA
THM00048453,2010-04-18,3,347,247
THM00048453,2010-04-19,0,350,287
THM00048453,2010-04-20,NA,365,279
THM00048453,2010-04-21,NA,NA,NA
THM00048453,2010-04-22,NA,NA,NA
THM00048453,2010-04-23,NA,364,NA
THM00048453,2010-04-24,NA,NA,NA
THM00048453,2010-04-25,15,362,265
THM00048453,2010-04-26,0,364,295
THM00048453,2010-04-27,NA,NA,NA
THM00048453,2010-04-28,0,364,279
THM00048453,2010-04-29,5,364,276
THM00048453,2010-04-30,NA,NA,NA
THM00048453,2010-05-01,NA,NA,NA
THM00048453,2010-05-02,NA,NA,NA
THM00048453,2010-05-03,10,342,NA
THM00048453,2010-05-04,97,348,248
THM00048453,2010-05-05,5,355,285
THM00048453,2010-05-06,NA,NA,NA
THM00048453,2010-05-07,94,354,294
THM00048453,2010-05-08,NA,361,269
THM00048453,2010-05-09,NA,363,300
THM00048453,2010-05-10,NA,NA,NA
THM00048453,2010-05-11,NA,365,283
THM00048453,2010-05-12,NA,332,282
THM00048453,2010-05-13,NA,361,273
